poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 211511.5 216575.25 NA NA 556 0.00418023345323741 0.200506597984399 0.242025 207262.892010532
0.01 1 1152787.33333333 1158944.66666667 0.94 1.95 1041 0.00303728247262248 0.144786763086571 0.172733333333333 211003.799719045
0.02 1 2477071 2481228 1.03 1.93 90 0.0178771 0.141838441357938 0.1625 1320155.07692308
0.04 1 4312493 4363970 1.21 1.9 62 0 Inf 0.1607 0
0.05 1 4886991 4896911 1.245 1.89 120 0.0244961225 0.0797773674860855 0.15815 1858700.41100221
0.07 1 6686731 6690773 1.44 1.83 348 0 Inf 0.1855 0
0.09 1 7945074.5 7953901.5 1.645 1.785 133 0.0295757413533835 0 0.1766 2009676.64915403
0.1 1 8465173 8469506 1.73 1.76 42 0 NA 0.3045 0
0.11 1 9084148 9090117.5 1.85 1.74 558 0 NA 0.12915 0
0.14 1 10739577 10746629 2.16 1.7 278 0 NA 0.2105 0
0.16 1 11498084 11501301 2.2 1.67 99 0 NA 0.248 0
0.2 1 12950868 12954667 2.43 1.59 89 0 NA 0.2464 0
0.21 1 13537075.5 13550271.5 1.98 1.555 675 0 NA 0.1408 0
0.22 1 13725749 13735135 1.92 1.56 55 0 NA 0.0944 0
0.25 1 15605095.5 15611662.5 1.72 1.63 288 0 NA 0.11215 0
0.28 1 17580274 17583426 1.49 1.47 248 0 NA 0.5072 0
0.29 1 18129884.5 18136854 1.39 1.38 892 0 NA 0.11665 0
0.3 1 18802466 18807666 1.27 1.3 182 0 NA 0.1172 0
0.31 1 20234720 20239868 1.07 1.19 153 0 NA 0.1045 0
0.34 1 23812071 23816472 0.74 0.95 760 0 NA 0.1794 0
0.36 1 25352879.6666667 25359590.3333333 0.66 0.85 575 0 Inf 0.109066666666667 0
0.39 1 31344211 31349062 0.53 0.52 140 0 Inf 0.1556 0
0.41 1 34083562 34088731 0.46 0.39 499 0.00146789 0 0.1238 142283.360258481
0.42 1 36920336 36932328 0.373333333333333 0.423333333333333 266 0.00295874868421053 0 0.0916333333333333 387467.997932263
0.43 1 39667417 39683753.5 0.3 0.36 248 0 Inf 0.08235 0
0.44 1 42490639 42497130 0.23 0.27 29 0 NA 0.1482 0
0.45 1 53233253.0909091 53238606.0909091 0.0890909090909091 0.0781818181818182 2054 0.00039844888023369 0 0.134536363636364 35539.7338947545
0.46 1 66637652.7142857 66643363.8571429 0.0657142857142857 0.0528571428571429 1656 0 NA 0.0982285714285714 0
0.47 1 101040332.688889 101048567.622222 0.018 0.0231111111111111 11521 0.000194023359951393 0.405930507858988 0.104726666666667 22231.9719850091
0.48 1 216361254.967213 216378595.393443 0 -0.00508196721311475 14310 0.00022104578546471 0.381344097935018 0.107736065573771 24620.812087854
0.49 1 337776657.295082 337785380.42623 0.0114754098360656 0.0191803278688525 11348 0.00020544173598872 0.1954109030996 0.11146393442623 22117.4754377279
0.5 1 377626683.833333 377632316.166667 0.15 0.0733333333333333 1305 0 Inf 0.10565 0
0.51 1 385348130.888889 385354567 0.0944444444444444 0.0855555555555556 2092 0 NA 0.104377777777778 0
0.52 1 397064449.142857 397071436.928571 0.0807142857142857 0.107142857142857 2832 0.000554663923022599 0.524575912108635 0.106742857142857 62355.1519457954
0.53 1 406465281.333333 406491753.444444 0.141111111111111 0.128888888888889 1372 0 Inf 0.124444444444444 0
0.54 1 413054368.5 413060956.333333 0.175 0.145 2010 0.000743619639303483 0 0.1294 68960.0901981591
0.55 1 418974873 418983546.833333 0.163333333333333 0.156666666666667 1482 0 Inf 0.129766666666667 0
0.56 1 425349488.375 425354425.25 0.1525 0.1525 1643 0 NA 0.1284625 0
0.57 1 432953969.833333 432968186.833333 0.151666666666667 0.121666666666667 1178 0 NA 0.10855 0
0.58 1 439202905.769231 439218069.461538 0.124615384615385 0.157692307692308 2045 0 Inf 0.123746153846154 0
0.59 1 446887363.833333 446892764.5 0.146666666666667 0.175 905 0.00168471301657459 0.148221877263448 0.188666666666667 107154.891513578
0.6 1 452849088.333333 452856527 0.254444444444444 0.232222222222222 2625 0.00206579575238095 0.041925439233715 0.135322222222222 183189.047751985
0.61 1 455970402 455978459.25 0.31 0.2825 480 0 NA 0.117475 0
0.62 1 458833106.166667 458839380.333333 0.325 0.336666666666667 1011 0.00150113510385757 0 0.18985 94883.440854837
0.63 1 462165543.75 462171610.25 0.3575 0.3775 1005 0 NA 0.070975 0
0.64 1 464402257 464406612.5 0.375 0.405 519 0.0013939106743738 0 0.1133 147633.963746563
0.66 1 469543041 469552480 0.43 0.45 423 0 NA 0.132 0
0.68 1 473523069 473525785 0.53 0.48 189 0.00797247619047619 0 0.35455 269834.196264883
0.69 1 475289369 475294449 0.56 0.49 43 0 NA 0.1206 0
0.7 1 477362852.25 477371008.25 0.5875 0.51 532 0.00274551383458647 0 0.196625 167558.377698856
0.72 1 481301681 481306855.5 0.585 0.54 248 0.0100358322580645 0 0.1524 790223.012446025
0.73 1 482677609 482683031.333333 0.596666666666667 0.55 494 0 NA 0.123633333333333 0
0.74 1 483521236 483525244 0.62 0.56 295 0.00284698 0 0.1317 259405.922551253
0.75 1 485985464 485992576 0.65 0.57 341 0 Inf 0.1191 0
0.77 1 488623679.666667 488628552.333333 0.67 0.58 425 0 NA 0.1949 0
0.78 1 489289900 489292529 0.67 0.59 15 0 NA 0.1582 0
0.79 1 491506406.5 491514627.5 0.655 0.595 259 0 NA 0.138 0
0.8 1 492846908.8 492852016.4 0.63 0.6 1615 0.000500930972136223 0.558570338482582 0.16798 35785.0438482836
0.81 1 494665550 494670814.75 0.595 0.605 1454 0.000878171320495186 0 0.227825 46255.0459604619
0.82 1 496115120.333333 496117857.666667 0.563333333333333 0.61 455 0.00174149485714286 0 0.131933333333333 158397.71313073
0.83 1 498597347 498612383.8 0.388 0.618 1577 0 NA 0.1244 0
0.84 1 501234059 501238731 0.385 0.625 425 0 NA 0.20565 0
0.85 1 504253327.333333 504260174.666667 0.416666666666667 0.646666666666667 720 0 NA 0.150833333333333 0
0.86 1 506686775 506691470.5 0.6 0.67 232 0 NA 0.2189 0
0.87 1 507686919 507690316 0.73 0.68 377 0 Inf 0.1408 0
0.88 1 509038212 509045557 0.905 0.715 45 0 NA 0.19415 0
0.89 1 509965639 509968635 1.085 0.735 379 0 NA 0.24285 0
0.9 1 510952304.666667 510960020.333333 1.12333333333333 0.74 1655 0 NA 0.1307 0
0.93 1 513423995.5 513431429 1.07 0.8375 1141 0 Inf 0.131425 0
0.95 1 516150107 516154195 0.85 0.85 14 0 NA 0.0892 0
0.96 1 517246875 517252028 0.82 0.795 191 0 NA 0.23915 0
0.97 1 517807030 517815390.5 0.795 0.765 903 0 Inf 0.1199 0
0.98 1 519360722 519369275.666667 0.726666666666667 0.72 1055 0.000736178407582938 0 0.146866666666667 60150.7550453604
0.99 1 520876084.5 520888252 0.58 0.715 590 0.00262531606779661 0 0.1811 173957.994553061
1 1 522830746.6 522836165 0.506 0.77 1223 0 Inf 0.1558 0
1.01 1 524909509 524915163.8 0.752 0.908 1636 0 NA 0.12968 0
1.02 1 525920572.666667 525925547 0.893333333333333 1.00666666666667 350 0 NA 0.2103 0
1.03 1 526972330 526982366 0.996666666666667 1.06666666666667 1290 0.000596412573643411 0 0.129333333333333 55337.249100935
1.04 1 528121558.25 528126667.75 1.1525 1.07 1762 0.000400465437003405 1.00103648124536 0.13215 36364.6253805589
1.06 1 529763125.5 529769948.5 1.305 1.27 536 0.00151558656716418 0.280151515151515 0.11355 160167.668920917
1.07 1 530175208 530180789 1.36 1.31 153 0 NA 0.141 0
1.09 1 531737249 531740166.5 1.565 1.4 337 0 NA 0.1361 0
1.1 1 532235820.666667 532240102.333333 1.59333333333333 1.41666666666667 917 0.0017731147219193 0.367451014061843 0.193366666666667 110036.424735554
