Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_uniaristata_Tr403_UNA23_Contig1015_simExt	TraesCS6A02G336800	2357	1.8089766534264	0	1	98.727
Ae_uniaristata_Tr403_UNA23_Contig1017_simExt	TraesCS3A02G203100	1256	1.6890756302521	7.08534080298786e-54	0.852707006369427	97.1988029878618
Ae_uniaristata_Tr403_UNA23_Contig1020_simExt	TraesCS2A02G502400	268	1.47761194029851	8.83e-110	1	93.284
Ae_uniaristata_Tr403_UNA23_Contig1023_simExt	TraesCS5A02G153900	538	1.82410279131591	2.12638458130261e-64	0.882899628252788	99.564376
Ae_uniaristata_Tr403_UNA23_Contig1031_simExt	TraesCS6A02G250800	482	1.48909156723887	0	1	99.378
Ae_uniaristata_Tr403_UNA23_Contig1034_simExt	TraesCS1A02G050100	781	1.49213630406291	2.89344692005242e-71	1	93.8503450704225
Ae_uniaristata_Tr403_UNA23_Contig1037_simExt	TraesCS1A02G401000	432	1.42316258351893	1.70692650334076e-70	0.993055555555556	92.4163706293706
Ae_uniaristata_Tr403_UNA23_Contig1038_simExt	TraesCS7A02G427600	263	0.848342134223726	5.06e-127	1	97.719
Ae_uniaristata_Tr403_UNA23_Contig1040	TraesCS4A02G208000	496	1.26822266948701	0	1	93.952
Ae_uniaristata_Tr403_UNA23_Contig1061_simExt	TraesCS1A02G005600	1929	1.71122552174313	7.49177162820631e-28	0.993779160186625	97.4635322490498
Ae_uniaristata_Tr403_UNA23_Contig1064	TraesCS6A02G084200	484	1.14846278433295	0	0.830578512396694	96.269
Ae_uniaristata_Tr403_UNA23_Contig1071_simExt	TraesCS3A02G519800	1122	2.16170371739622	0	1	98.663
Ae_uniaristata_Tr403_UNA23_Contig1077_simExt	TraesCS5A02G024900	506	1.642578125	0	1	96.484
Ae_uniaristata_Tr403_UNA23_Contig1078_simExt	TraesCS2A02G291700	1588	1.6954560103126	1.23738317757009e-141	1	97.4005289672544
Ae_uniaristata_Tr403_UNA23_Contig1080_simExt	TraesCS3A02G424900	1746	1.54472547809994	2.34824182603331e-14	0.9553264604811	94.6904166666667
Ae_uniaristata_Tr403_UNA23_Contig1087_simExt	TraesCS5A02G008700	393	1.64965986394558	1.63494897959184e-89	1	96.3665877862595
Ae_uniaristata_Tr403_UNA23_Contig109_simExt	TraesCS4A02G160400	941	1.68367346938776	0	0.936238044633369	97.279
Ae_uniaristata_Tr403_UNA23_Contig1090_simExt	TraesCS3A02G278800	1253	1.85862796423149	0	0.945730247406225	94.996
Ae_uniaristata_Tr403_UNA23_Contig1093_simExt	TraesCS2A02G239000	2263	1.70430906389302	1.02347696879643e-24	0.892178524083076	97.5236448736999
Ae_uniaristata_Tr403_UNA23_Contig1094_simExt	TraesCS1A02G152500	4055	1.77231645412901	0	1	98.6625447595561
Ae_uniaristata_Tr403_UNA23_Contig1106_simExt	TraesCS2A02G387000	957	2.10727281291478	0	0.99791013584117	98.848
Ae_uniaristata_Tr403_UNA23_Contig1113_simExt	TraesCS1A02G001900	702	1.59856696674628	1.7167003490722e-29	0.800569800569801	95.5008491103203
Ae_uniaristata_Tr403_UNA23_Contig1116_simExt	TraesCS5A02G452400	546	1.32580274944557	0	0.992673992673993	93.75
Ae_uniaristata_Tr403_UNA23_Contig112_simExt	TraesCS2A02G545600	403	1.74258289703316	9.26701570680628e-37	0.992555831265509	98.0992716666667
Ae_uniaristata_Tr403_UNA23_Contig1122_simExt	TraesCS7A02G386100	933	1.65873015873016	1.22685201351852e-78	0.839228295819936	96.6930851426139
Ae_uniaristata_Tr403_UNA23_Contig1130_simExt	TraesCS2A02G246000	1621	2.02347823315547	0	0.91425046267736	98.52
Ae_uniaristata_Tr403_UNA23_Contig1141	TraesCS5A02G416700	476	1.64508928571429	0	0.941176470588235	96.429
Ae_uniaristata_Tr403_UNA23_Contig1149_simExt	TraesCS6A02G225900	854	1.93031711679008	0	0.949648711943794	98.284
Ae_uniaristata_Tr403_UNA23_Contig1150_ESTScan	TraesCS5A02G082300	255	0.731295960883103	3.89e-108	1	93.916
Ae_uniaristata_Tr403_UNA23_Contig1155_simExt	TraesCS4A02G106300	1108	1.52572202166065	0	0.998194945848375	94.585
Ae_uniaristata_Tr403_UNA23_Contig1162_simExt	TraesCS7A02G557800	5620	1.60074154458311	6.50913365888949e-22	0.97508896797153	95.755428330292
Ae_uniaristata_Tr403_UNA23_Contig1169_simExt	TraesCS5A02G123600	1274	1.68520263901979	0	0.832810047095761	97.078
Ae_uniaristata_Tr403_UNA23_Contig1173_ESTScan	TraesCS1A02G323500	320	1.28082191780822	5.02e-103	0.909375	90.068
Ae_uniaristata_Tr403_UNA23_Contig118_simExt	TraesCS3A02G182900	3247	1.69820397690827	9.65234124438743e-58	0.955959347089621	97.4011391752577
