Query	Subject	Query_length.x	BitScore_corrected.x	Evalue.x	Coverage.x	Similarity.x	Query_length.y	BitScore_corrected.y	Evalue.y	Coverage.y	Similarity.y
S_vavilovii_Tr105_SEC02_Contig1005_simExt	HORVU1Hr1G065960	2718	1.50644725531131	7.88898440378239e-67	0.976085356880059	93.9658466440018	2718	1.50644725531131	5.11703303450817e-68	0.976085356880059	93.9658466440018
S_vavilovii_Tr105_SEC02_Contig1023_simExt	HORVU2Hr1G001360	2088	1.54269916035224	1.58650419823879e-92	1	94.594028192848	2088	1.54269916035224	1.05893917673561e-93	1	94.594028192848
S_vavilovii_Tr105_SEC02_Contig1035_simExt	HORVU3Hr1G012150	2115	1.63992759883171	0	0.985815602836879	96.3113733744473	2115	1.64067001399292	0	0.985815602836879	96.3097275297943
S_vavilovii_Tr105_SEC02_Contig106_simExt	HORVU0Hr1G008620	2741	1.57709117659786	4.355013198321e-173	1	95.3842708585437	2741	1.57709117659786	2.89800510623567e-174	1	95.3842708585437
S_vavilovii_Tr105_SEC02_Contig1067_simExt	HORVU6Hr1G084650	5853	1.56902596127778	2.2257331700431e-33	0.998120621903297	95.1456091393083	5853	1.56902596127778	5.5382501145213e-35	0.998120621903297	95.1456091393083
S_vavilovii_Tr105_SEC02_Contig1069_simExt	HORVU7Hr1G080670	2028	1.46382309400444	9.45739267209474e-93	1	93.1965989013657	2028	1.46382309400444	6.0310695780903e-94	1	93.1965989013657
S_vavilovii_Tr105_SEC02_Contig1090_simExt	HORVU3Hr1G113910	2801	1.5356614017769	0	0.995358800428418	94.4631099952176	2801	1.5356614017769	0	0.995358800428418	94.4631099952176
S_vavilovii_Tr105_SEC02_Contig1093_simExt	HORVU7Hr1G028670	1170	1.56041131105398	1.0530374780138e-32	1	95.0544602612203	1170	1.56041131105398	7.62143147070762e-34	1	95.0544602612203
S_vavilovii_Tr105_SEC02_Contig1095_simExt	HORVU5Hr1G082570	1028	1.44119368051492	7.26717378583967e-141	0.955252918287938	92.5376875763748	1028	1.44119368051492	6.31410181392627e-142	0.955252918287938	92.5376875763748
S_vavilovii_Tr105_SEC02_Contig1101_simExt	HORVU3Hr1G043440	1373	1.58251043969541	4.29732252517809e-63	0.994901675163875	95.240745921241	1373	1.58251043969541	1.24834193072955e-64	0.994901675163875	95.240745921241
S_vavilovii_Tr105_SEC02_Contig1107_simExt	HORVU7Hr1G053720	895	1.52409702432235	9.1106110553126e-21	0.935195530726257	94.3607774737714	895	1.52409702432235	5.08317473230191e-22	0.935195530726257	94.3607774737714
S_vavilovii_Tr105_SEC02_Contig1111_simExt	HORVU3Hr1G020810	827	1.43874345549738	0	0.846432889963724	92.7237357142857	827	1.43874345549738	0	0.846432889963724	92.7237357142857
S_vavilovii_Tr105_SEC02_Contig1130_simExt	HORVU1Hr1G055250	1076	1.64860745462103	0	0.991635687732342	96.3458680250084	1076	1.64860745462103	0	0.991635687732342	96.3458680250084
S_vavilovii_Tr105_SEC02_Contig1131_simExt	HORVU3Hr1G027970	301	1.43015362629511	7.27331189710611e-30	1	92.5632730976111	301	1.43015362629511	1.4518756698821e-30	1	92.5632730976111
S_vavilovii_Tr105_SEC02_Contig1144_simExt	HORVU3Hr1G096140	1687	1.47478039104562	3.67582884669878e-34	0.998814463544754	93.2245878736496	1687	1.47478039104562	4.15160102011901e-35	0.998814463544754	93.2245878736496
S_vavilovii_Tr105_SEC02_Contig1146_simExt	HORVU5Hr1G092570	647	1.34150179856115	1.64370503597122e-27	0.979907264296754	91.4349280531771	647	1.34150179856115	1.25440647482014e-28	0.979907264296754	91.4349280531771
S_vavilovii_Tr105_SEC02_Contig115_lgORF	HORVU7Hr1G112850	418	1.3271954674221	5.54050991501416e-37	0.911483253588517	90.6321338582677	418	1.3271954674221	1.15127478753541e-37	0.911483253588517	90.6321338582677
S_vavilovii_Tr105_SEC02_Contig1150_simExt	HORVU6Hr1G034680	6150	1.60827784723636	9.39697031372663e-50	0.996585365853659	95.8556049944313	6150	1.60827784723636	7.62364434623325e-52	0.996585365853659	95.8556049944313
S_vavilovii_Tr105_SEC02_Contig1151	HORVU7Hr1G060260	1290	1.66650385855231	1.75832763504933e-32	0.82093023255814	96.8208264630396	1290	1.66650385855231	9.14330370225652e-34	0.82093023255814	96.8208264630396
S_vavilovii_Tr105_SEC02_Contig1160_simExt	HORVU4Hr1G005360	1809	1.43959941581473	0	0.976782752902156	92.8701965666855	1809	1.43959941581473	0	0.976782752902156	92.8701965666855
S_vavilovii_Tr105_SEC02_Contig1167	HORVU3Hr1G085760	2639	1.49566077467934	4.20968105276186e-26	0.889352027283062	93.5317987004358	2639	1.49566077467934	2.77752080121401e-27	0.889352027283062	93.5317987004358
S_vavilovii_Tr105_SEC02_Contig1176_simExt	HORVU7Hr1G082730	703	1.348401323043	7.16207276736494e-161	0.998577524893314	91.0946495726496	703	1.348401323043	1.31826901874311e-161	0.998577524893314	91.0946495726496
S_vavilovii_Tr105_SEC02_Contig1196_simExt	HORVU3Hr1G080130	859	1.56564510026485	1.50522133938706e-125	0.821885913853318	95.0882640462701	859	1.56564510026485	7.04120317820658e-127	0.821885913853318	95.0882640462701
