poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 183602.6 187708.4 NA 1339 0.082823489021658 0.0205103432043129 0.22382 4440540.91796933
0.01 1 1460438.33333333 1464302.33333333 1.95333333333333 709 0.041473290832158 0.0568255235976435 0.137666666666667 3615105.25413483
0.02 1 2193995 2197810.5 1.935 424 0.0437126396226415 0.023466186046357 0.1411 3717588.06145782
0.04 1 4128356.16666667 4139921.5 1.90666666666667 1656 0.0653099303743961 0.042794904561934 0.16625 4714100.2375504
0.05 1 4885109.66666667 4889504.33333333 1.89333333333333 378 0.0476888375661376 0.0611593693966497 0.139366666666667 4106190.27118142
0.06 1 5766065 5768777 1.86 30 0.0520408 0.0326057631704355 0.19 3286787.36842105
0.07 1 6686731 6690773 1.83 49 0.0809979 0 0.2243 4333369.59429336
0.08 1 7060150 7073067 1.82 417 0.00457898 0.687159585759274 0.081 678367.407407407
0.09 1 8048778 8051397 1.78 184 0.0721971 0.0274062254578092 0.253 3424368.37944664
0.1 1 8437474 8441718.5 1.765 252 0.0266709173809524 0.147742038940882 0.168 1905065.52721088
0.11 1 9072915.33333333 9087762.66666667 1.74 989 0.05075516380182 0.0304312198271697 0.2072 2939488.25107066
0.14 1 10739577 10746629 1.7 342 0.0468805 0.0139198174080908 0.2397 2346958.69837297
0.16 1 11343211 11348225 1.675 103 0.0523333349514563 0.0877984636757633 0.1204 5215947.00512854
0.19 1 12440825 12445476 1.62 179 0.0593387 0.040241865763827 0.181 3934057.45856354
0.2 1 12990954 13005515 1.59 739 0.0174743 0.103772969446559 0.0826 2538639.2251816
0.21 1 13580454.5 13586743.5 1.55 460 0.04461816 0.0627252221965227 0.15455 3464367.00097056
0.22 1 13857194 13863951.5 1.575 717 0.0419393861924686 0.0805650958731207 0.1667 3019031.99945785
0.28 1 17566211 17571933 1.47 202 0.0632859 0.0290774090279193 0.2744 2767604.95626822
0.29 1 18222715.6666667 18229327.3333333 1.36333333333333 1044 0.0299501070881226 0.0617378178417402 0.0926333333333333 3879826.75484856
0.3 1 18802466 18807666 1.3 275 0.0495463 0.0465451506974285 0.1817 3272182.7187672
0.31 1 19950477.5 19954610.5 1.215 779 0.0292576938382542 0.0548671460785789 0.1421 2470741.21083075
0.33 1 22365094 22372460 1.045 1255 0.0232848900398406 0.0512154564129733 0.1093 2556438.06475835
0.34 1 23812071 23816472 0.95 660 0.0716677 0.0950309553676203 0.2023 4251173.504696
0.35 1 24655081 24658793 0.89 73 0.0661261 0.0498930074509158 0.1698 4673222.61484099
0.36 1 25352879.6666667 25359590.3333333 0.85 2671 0.0182802490003744 0.0776130861766064 0.106066666666667 2068161.42053262
0.37 1 27535222.5 27539107.5 0.715 167 0.0751561131736527 0.0973819676215836 0.27215 3313883.36609896
0.38 1 29080611 29086514 0.63 68 0.0160509 0.271963565905962 0.1942 991816.683831102
0.39 1 31214977 31217837 0.52 45 0.0549944 0 0.2729 2418222.0593624
0.4 1 32807614.5 32815807 0.45 545 0.015435687706422 0.440642007753794 0.0941 1968419.26118028
0.41 1 34083562 34088731 0.39 312 0.010093 0.0789509561081938 0.1557 777880.539499037
0.42 1 37394288.6666667 37442498.6666667 0.44 901 0.0499555541620422 0.0189106093804676 0.1125 5328592.44395116
0.43 1 40120703 40130577.5 0.345 1644 0.018077998296837 0.210964660057198 0.1307 1659800.91478228
0.44 1 43393559.3333333 43397138 0.246666666666667 374 0.0290615593048128 0.207193712692036 0.163933333333333 2127320.32324779
0.45 1 53173175.4 53179056.8 0.078 5966 0.0330991562403621 0.107847436384095 0.157595 2520320.28227003
0.46 1 67410111.8 67415674.1 0.064 3266 0.0233237203919167 0.0898928712177286 0.11112 2518760.30150289
0.47 1 97290117.6231884 97298480.9855072 0.0249275362318841 24788 0.0129942937096982 0.0955962612298588 0.143771014492754 1084582.48741257
0.48 1 224370134.210526 224382680.442105 -0.00463157894736842 31301 0.00434824607804862 0.147436861882939 0.123996842105263 420808.724243863
0.49 1 336979224.164948 336987666.474227 0.0177319587628866 33076 0.0133261921822469 0.0958136086619747 0.137415463917526 1163728.6054133
0.5 1 378471435.785714 378476261 0.075 5072 0.0241490345031546 0.0541269995943875 0.126814285714286 2285140.13547931
0.51 1 385765991.2 385771275.95 0.085 5278 0.0135723929291398 0.0883548094181577 0.14143 1151585.34363062
0.52 1 397785077.75 397792265.607143 0.108571428571429 10794 0.0161224243042431 0.115638642889391 0.141464285714286 1367617.91623976
0.53 1 406821396.0625 406838099.5625 0.130625 4022 0.0161400767652909 0.0552634737629912 0.15216875 1272803.52361106
0.54 1 412544905.777778 412549443.333333 0.146666666666667 4067 0.0187445283993115 0.184110163946933 0.168277777777778 1336684.75874919
0.55 1 419226738.727273 419235163.272727 0.157272727272727 5299 0.0201329781109643 0.12190887263418 0.118681818181818 2035659.21918598
0.56 1 425211189.6 425215358 0.156666666666667 4203 0.0193416049773971 0.0930729771460899 0.14342 1618318.64264932
0.57 1 433188276.3 433198563.8 0.122 5287 0.0128545706865897 0.0806752946439562 0.14236 1083554.70805758
0.58 1 439582337.380952 439595268.857143 0.161428571428571 5603 0.0137971225290023 0.0856557712043699 0.147385714285714 1123348.15589434
0.59 1 447120094.8 447126607.6 0.176 3808 0.0192838495535714 0.0527479877939342 0.124 1866178.9890553
0.6 1 452685219.416667 452692406.583333 0.23 5668 0.0233785068278052 0.0990057442629266 0.140491666666667 1996859.23435788
0.61 1 456146459.25 456152672.375 0.28625 3258 0.0186271052363413 0.140515671914314 0.1617875 1381597.85419823
0.62 1 458808210.5 458814317.875 0.3375 2568 0.0152534555802181 0.135652944059806 0.1394875 1312242.79568145
0.63 1 462396599.5 462402566.5 0.382 3082 0.022031429101233 0.0791790779599248 0.12904 2048799.97841596
0.64 1 464640025 464643679.4 0.408 1165 0.0403676016309013 0.0424837751637734 0.23586 2053808.27427633
0.65 1 467021964 467026471.5 0.43 480 0.0343708375 0.0272765574885977 0.2571 1604239.78996499
0.66 1 469543041 469552480 0.45 691 0.0398328 0.152286306762266 0.1069 4471408.79326473
0.67 1 472327773 472331564.25 0.465 485 0.0233971315463918 0.0686755955140082 0.3633 772820.199715665
0.68 1 474026725 474046664 0.48 1162 0.017453617211704 0.0283332920469533 0.14305 1464127.27396328
0.69 1 475289369 475294449 0.49 294 0.0368918 0.00879599260540283 0.1003 4413774.67597208
0.7 1 477553957.333333 477560755.333333 0.513333333333333 1440 0.0187224566666667 0.0923231192772601 0.266633333333333 842615.876984623
0.71 1 479547154.5 479550661 0.53 389 0.0228844424164524 0.0466807520395222 0.15365 1787265.27170471
0.72 1 481301681 481306855.5 0.54 570 0.02775984 0.0805956950760523 0.1752 1901358.90410959
