Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_bicornis_Tr406_BIS2_Contig10002_simExt	TraesCS5B02G303100	737	2.02340427685702	0	0.94572591587517	97.704
Ae_bicornis_Tr406_BIS2_Contig10007_simExt	TraesCS7B02G078700	2208	1.71414242728185	6.05015045135406e-44	0.903079710144927	97.5925025075226
Ae_bicornis_Tr406_BIS2_Contig10014	TraesCS4B02G316300	426	1.31649652728197	0	1	93.764
Ae_bicornis_Tr406_BIS2_Contig10019_simExt	TraesCS4B02G261800	1897	1.64390706868554	0	0.923036373220875	92.007
Ae_bicornis_Tr406_BIS2_Contig10020_simExt	TraesCS5B02G152500	976	2.22154700659791	0	0.992827868852459	96.804
Ae_bicornis_Tr406_BIS2_Contig10026_simExt	TraesCS3B02G249200	1373	1.63291139240506	1.36928270042194e-23	0.855790240349599	96.3435574468085
Ae_bicornis_Tr406_BIS2_Contig10030_simExt	TraesCS5B02G437400	3492	1.64857380227084	5.57075602326225e-29	1	96.7229448739977
Ae_bicornis_Tr406_BIS2_Contig10035_simExt	TraesCS1B02G283900	1480	2.13563247829321	0	0.859459459459459	97.799
Ae_bicornis_Tr406_BIS2_Contig10038_simExt	TraesCS6B02G093600	1165	1.4922515952598	0	0.940772532188841	93.801
Ae_bicornis_Tr406_BIS2_Contig10046_simExt	TraesCS6B02G332100	1197	1.72219003476246	2.22914252607184e-106	1	97.7423812308549
Ae_bicornis_Tr406_BIS2_Contig10054_simExt	TraesCS5B02G071400	1384	1.88023242625801	0	0.953757225433526	92.836
Ae_bicornis_Tr406_BIS2_Contig10056_simExt	TraesCS6B02G174300	467	1.39855132513364	0	1	93.658
Ae_bicornis_Tr406_BIS2_Contig10063_simExt	TraesCS3B02G359100	910	2.05615168119327	0	0.985714285714286	95.249
Ae_bicornis_Tr406_BIS2_Contig10066_simExt	TraesCS2B02G178100	2057	1.54292697830736	0	1	94.7890695187166
Ae_bicornis_Tr406_BIS2_Contig10070_simExt	TraesCS5B02G405200	2467	1.69324819997283	0	1	97.3537412511823
Ae_bicornis_Tr406_BIS2_Contig10073_simExt	TraesCS1B02G162300	2149	1.7524893314367	5.98629682313893e-61	0.979060027919963	98.4019213403042
Ae_bicornis_Tr406_BIS2_Contig10074_simExt	TraesCS5B02G036800	1510	2.19454361481945	0	1	96.757
Ae_bicornis_Tr406_BIS2_Contig1008_simExt	TraesCS5B02G521500	2783	1.62547384382108	6.18176648976497e-142	0.947897951850521	95.9818567096285
