poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.03 1A 1204175.16666667 1209050.16666667 1.28172625511137e-06 968 0.00523517800413223 0.0759726590934857
0.08 1A 3403685.33333333 3408569 1.22348203918487e-06 807 0.0163872727385378 0.038542678241753
0.12 1A 5491027 5495112 1.15658401937862e-06 28 0 Inf
0.14 1A 6569388 6576401 1.12599356487817e-06 43 0 NA
0.15 1A 7417672.5 7427479 1.10124111080895e-06 361 0.0181639130193906 0.0760367422690688
0.16 1A 8239469 8244826 1.07686217957833e-06 133 0.00761659593984962 0
0.17 1A 9104841 9110639 1.05050385683924e-06 206 0.0045169613592233 0
0.18 1A 9602738.33333333 9605994 1.03510898989329e-06 101 0.0143396147524752 0.101871745466959
0.19 1A 10066113 10069211 1.02151723414911e-06 288 0.0322867541666667 0
0.2 1A 11266930 11272520 9.88888332459153e-07 89 0 Inf
0.21 1A 11985899 11990353.25 9.6980810316892e-07 253 0.0240243889328063 0.0589124780048944
0.22 1A 13762566 13768572 9.23164064854122e-07 176 0.0227704 0
0.23 1A 14715713.8 14721242.2 8.95166696686152e-07 152 0.00989275986842105 0
0.26 1A 19895297 19897721 7.53136045557493e-07 15 0 NA
0.27 1A 20427511 20434169.6666667 7.39967854933247e-07 268 0.0132593712686567 0.0553289330849218
0.28 1A 21760904.8 21768164.8 7.08024633342341e-07 574 0.0106996005662021 0.0769956135691981
0.3 1A 24142617.5 24145840.5 6.51408299436471e-07 98 0.0156648821428571 0
0.31 1A 25620304.5 25627185 6.06857316574939e-07 176 0.00945711511363636 0
0.32 1A 27708166.4 27714360 5.38347341427891e-07 802 0.00746749655860349 0.0737620454359991
0.33 1A 30486931 30497827 4.62628958990486e-07 47 0 NA
0.34 1A 33228994.4285714 33235743.7142857 4.25355460330258e-07 598 0.00172444109698997 0.462336410183081
0.35 1A 36291198.5 36295503.5 3.33523217394584e-07 430 0.00331598469767442 0
0.37 1A 45668347 45673189.5 2.30131335000653e-07 135 0.00582714592592593 0.328467821169553
0.38 1A 49387375.1111111 49394362.4444444 2.22158153302377e-07 1112 0.00372850710431655 0.122146853721494
0.39 1A 53713747.7142857 53717730.4285714 1.76307989281087e-07 727 0.00338562404401651 0
0.4 1A 59094003.6923077 59098622.8461538 1.48615246274315e-07 1205 0.00284305834854772 0.0995880475053031
0.41 1A 64775706.2222222 64780089.6666667 1.30883463409857e-07 1576 0.00214699672033629 0.0283411397036314
0.42 1A 79095857.5238095 79102158.7142857 5.31983113889187e-08 5060 0.00208472981422925 0.161074209059077
0.43 1A 156097098.093023 156106492.596899 6.11183332573284e-09 20278 0.000756994335183802 0.295314855736981
0.44 1A 280632151.773333 280639163.426667 1.10923360634481e-08 10260 0.0010733992566891 0.360598793968969
0.45 1A 328489634.244444 328498638.244444 2.9807925908735e-08 5907 0.00151241391280761 0.204231133805035
0.46 1A 354159313.206897 354164633.931035 2.44325451961453e-08 3271 0.000937283061864 0.197390366975401
0.47 1A 368555777.75 368561122.5 1.50477995816951e-08 2395 0.000297450155323591 1.09594029741348
0.48 1A 380398366.444444 380408011.666667 1.43309027721436e-08 2966 0.00172265266373061 0.174264679080747
0.49 1A 394903622.111111 394910762.916667 2.24263052477748e-08 5535 0.00154032779975363 0.10177775139934
0.5 1A 425402533.552632 425409200.894737 7.09039987522369e-08 3951 0.000651565043308305 0.4741632325748
0.51 1A 446653218.566667 446659110.666667 1.28191281908653e-07 3780 0.00204633794198139 0.119275683314315
0.52 1A 459749671.235294 459755214 1.85450305716632e-07 1866 0.00282939816586281 0.189071143850652
0.53 1A 465318442.181818 465321569.636364 2.1316251890371e-07 596 0 Inf
0.54 1A 470444027.857143 470448130.857143 2.39478103704498e-07 710 0.00414126253521127 0.0963688558745302
0.55 1A 474064866.166667 474070229.166667 2.58489361724945e-07 1055 0.00135681850236967 0.391691702932156
0.56 1A 478601615.5 478609791.25 2.8388736536664e-07 650 0.00375106243076923 0.0832788140785943
0.57 1A 481707826.933333 481711394.533333 3.02690847006269e-07 1803 0.00116214584026622 0.0820369943631585
0.58 1A 485698321.625 485704891.875 3.28286120927254e-07 1439 0.00127797491313412 0.222362349136563
0.59 1A 487753958.5 487760107.25 3.42047038980063e-07 342 0.00901686842105263 0
0.6 1A 491215005 491221320 3.66534698038158e-07 96 0 Inf
0.61 1A 493675153 493679436.4 3.80050076434921e-07 648 0.00236426666666667 0
0.62 1A 494943518.5 494948047 3.8447332583479e-07 423 0.00522510127659574 0.0489945751229662
0.63 1A 496557717 496562939.5 3.88331965752947e-07 239 0.00416208577405858 0
0.64 1A 498620230.6 498624280 3.90287901996443e-07 607 0.000526607874794069 1.28615166454362
0.65 1A 500199006.6 500202978.6 3.8942500037167e-07 347 0.00490049337175793 0.0699232189289651
0.66 1A 502504691 502511770.5 3.88936682341671e-07 1465 0.00154672264778157 0.099195450489724
0.67 1A 506952646 506957774.444444 3.95884898047635e-07 1191 0.0033019040302267 0.124088389628995
0.68 1A 510513398 510517359.666667 3.78581982527248e-07 93 0.00368300623655914 0
0.69 1A 513506779.2 513512887 3.31331066173407e-07 684 0.0117255682748538 0.0429231169695924
0.7 1A 516542205.875 516548182.375 3.29299021494606e-07 1999 0.00218631808904452 0.190534832494337
0.71 1A 518755842.833333 518766001.166667 3.44917023453299e-07 1009 0.00141647632309217 0
0.72 1A 520237762.75 520244000.75 3.44801096399149e-07 405 0.0144354340740741 0.15171825645495
0.73 1A 521385322.5 521389414 3.47291645867981e-07 254 0.00310115275590551 0.187321275502328
0.74 1A 522706702 522713199 3.53111210590764e-07 96 0.0106770833333333 0.161616
0.75 1A 529496843.416667 529502591.75 4.31377231892195e-07 2220 0.00320978061261261 0.0312117568092442
0.76 1A 532226198.5 532233110.666667 4.62856639904845e-07 701 0.00755796770328103 0
0.77 1A 534436312.333333 534439769 4.69188795260149e-07 511 0.000684152348336595 0
0.78 1A 536507226.5 536510721 4.42775488527179e-07 47 0 NA
0.79 1A 537652724.2 537657647 4.35567456989524e-07 714 0.0111162144397759 0.09223966377295
