poscM Chromosome Start End recRate nb_complete_site piSyn f0
0 1D 1492336.66666667 1497157.86666667 6.20029608696946e-07 5748 0.030346047112039 0.0438493577310574
0.01 1D 3963719.5 3967548.5 7.9084805232784e-07 437 0.0223446778032037 0.0972004964615023
0.02 1D 5425513 5430556 9.06139680338369e-07 226 0.00759271650442478 0.063725947467599
0.03 1D 5511254 5517977 9.13196172291157e-07 597 0.0360039 0.0399565047119895
0.04 1D 6328647.5 6336972.5 9.81164112860305e-07 815 0.0257785796319018 0.0499705962182213
0.05 1D 6772688.5 6776114 1.01880718595463e-06 423 0.0192921914893617 0.0837314046999258
0.06 1D 7487543 7492403.5 9.76008496030621e-07 427 0.0348040615925059 0.0162543534196657
0.07 1D 9033444.81818182 9038679.90909091 9.27740342390976e-07 2910 0.0294614621512027 0.0418664167530791
0.08 1D 10690815.5 10697115 1.29229558679425e-06 147 0.0146571373469388 0.160275972256353
0.1 1D 11580304.5 11587739.5 1.17433541115337e-06 769 0.032288611183355 0.0186295335687856
0.11 1D 12081191.3333333 12086862.6666667 1.11451545800267e-06 287 0.0218195958188153 0.117910908329054
0.12 1D 14744768.2 14749245 3.33972256055056e-07 1078 0.026075103812616 0.0195671046750513
0.13 1D 16965512 16972858 8.249972861905e-07 16 0.0428571 0
0.15 1D 18081233 18084186.5 1.03490939159568e-06 562 0.0300766861209964 0.0223672168821885
0.16 1D 19572258.875 19577914.75 1.33791361905786e-06 2656 0.0120951110993976 0.123723586418144
0.19 1D 21885424 21888853 1.06436469519594e-06 310 0.00246863 0.278423660086769
0.2 1D 22943873 22947779 1.02511639374481e-06 511 0.0348492833659491 0.0553698886451143
0.21 1D 24399054 24402498.6666667 9.84558259357803e-07 803 0.00537809501867995 0.0423802430147494
0.22 1D 24779031 24786455 9.74006980762083e-07 269 0.00472906 0.144826244539084
0.23 1D 25806653 25810798.6666667 9.45894765317149e-07 953 0.0211525774396642 0.027395171115288
0.24 1D 27863820.5 27871401.75 8.90417204394331e-07 2372 0.0208052698271501 0.0613408810956771
0.27 1D 31421662 31431937 7.97441065649626e-07 792 0.000820494 0.657495362549879
0.28 1D 32737866 32740293 7.64103826208086e-07 173 0.0462725 0.0237890755848506
0.3 1D 34782248.5 34785457 7.20468309871894e-07 855 0.0526974881871345 0.0920673396544191
0.32 1D 36782465 36788138.25 6.78629324817066e-07 2984 0.00441825580093834 0.0280152664722605
0.33 1D 37545378.5 37552059.5 6.62776809866375e-07 323 0.00948862352941176 0.364657327624601
0.34 1D 38549079 38552961 6.42062547973078e-07 658 0.0276327370820669 0.00590172910077971
0.36 1D 41656990 41660321.5 5.78511946577139e-07 180 0.0107763746111111 0.0942291904467171
0.37 1D 43123433 43127371 5.48870895171306e-07 256 0.002570480859375 0
0.38 1D 45436116 45440040 5.02617048950826e-07 676 0 NA
0.39 1D 47706578 47716370 4.57657223182743e-07 29 0 NA
0.4 1D 49615442.875 49622981.125 4.20382451471267e-07 3445 0.00398546399709724 0.125770436359177
0.41 1D 52751592 52757766.3333333 3.59920902121984e-07 291 0.00207588054982818 0
0.42 1D 55770144.2 55774284 3.02720835630773e-07 1913 0.00455089125980136 0.077243970356143
0.43 1D 59731382.6666667 59738040.9166667 2.29120400709325e-07 3205 0.00103372668954758 0.296723785419625
0.44 1D 70974886 70980727.0208333 6.08929942725345e-08 15098 0.000990496439263479 0.330786124432075
0.46 1D 85745697.75 85752668.5 0 1864 0 Inf
0.47 1D 87397534.8 87410272.6 0 1762 0.000337960953461975 0.312370291082663
0.48 1D 91356149.5555556 91361469.2222222 0 4127 0.000664115553670947 0.201962247301741
0.49 1D 117902046.232143 117907916.8125 0 35756 0.000634092131194765 0.238542284921835
0.5 1D 150285006.5 150301843 0 1290 0 Inf
0.51 1D 153766195 153777481 0 1368 0.00045902 0.687168315106096
0.52 1D 208344927.406452 208352294.122581 3.58078049052742e-08 58115 0.000514441927333735 0.352833503602328
0.53 1D 251431328.216216 251437482.297297 7.78945566986197e-08 12849 0.000748137679196825 0.286475950144184
0.54 1D 262552469.111111 262557892.62963 8.78098370251922e-08 7967 0.000241781630224677 1.13941012359939
0.55 1D 281515478.324324 281520267.756757 1.03760498521596e-07 13087 0.000746817912355773 0.248399202124622
0.56 1D 294049029.72 294053889.64 1.13467938295374e-07 8326 0.000750139394427096 0.204151683395717
0.57 1D 301563113.852941 301568085 1.19171481504541e-07 11182 0.000922996480504382 0.208165880359514
0.58 1D 309853335.75 309858324.2 1.26805091431488e-07 8635 0.00101081169044586 0.34031549424545
0.59 1D 316910796 316918556.125 1.3487930967903e-07 7289 0.00140347503772808 0.0533787693581917
0.6 1D 324698508.571429 324703845.857143 1.40120044541807e-07 4740 0.000917176668776371 0.183625397497776
0.61 1D 329321397.157895 329326627.736842 1.42107763942689e-07 6370 0.0011194729466248 0.164602781152619
0.62 1D 335246067.727273 335251914.681818 1.45693854026438e-07 8477 0.00085466605143329 0.301757144839762
0.63 1D 343444003.555556 343449789.555556 1.52449499325028e-07 7612 0.000900087655412506 0.206579609719634
0.64 1D 349681181.6875 349685255.4375 1.59021746124443e-07 4797 0.00125024498436523 0.378049381054472
0.65 1D 355999039.933333 356003763.133333 1.66941000243927e-07 3657 0.000971068159693738 0.33291074259016
0.66 1D 361985235.52381 361990168 1.75692971717254e-07 7002 0.00208118991973722 0.153939821481257
0.67 1D 365985840.75 365989816.6875 1.82131705074423e-07 3828 0.00770169608934169 0.0926730691165324
0.68 1D 371304461.555556 371308226.333333 1.9185735176828e-07 2730 0.00725560116117216 0.192824866600207
0.69 1D 376385218.611111 376389164.333333 2.19581969262096e-07 4712 0.000794078664685908 0.261987543888449
0.7 1D 380918901.904762 380922610.952381 2.48501169245525e-07 4748 0.00385671518828981 0.0945700561481422
0.71 1D 386811890.272727 386818128.272727 2.88841811050585e-07 6489 0.000842218780089382 0.456186508656962
0.72 1D 392138261.5 392142692.75 3.32944584275104e-07 2147 0.000644702720074523 0.266074887228635
0.73 1D 396476456 396480031 3.80761821832185e-07 737 0.000848758005427408 0.392145902708987
0.74 1D 399002377.75 399005825 4.00593911019556e-07 1394 0.000832530694404591 0.323241400206779
0.75 1D 400136875.25 400142581.5 4.06841380211032e-07 1245 0.000502464610441767 0.299886611926906
0.76 1D 402252978.5 402256029.5 4.14093956761929e-07 502 0.00231067697211155 0
0.77 1D 403633572.588235 403636823.882353 4.15973925940681e-07 2759 0.00121254586444364 0.224132314874843
0.78 1D 406124502.666667 406127732.5 4.13702025136689e-07 1492 0.000420359249329759 0.554309669056214
0.79 1D 408129071 408134348.571429 4.1353070121528e-07 2500 0.000437551272 0.511307398050485
