Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
T_urartu_Tr246_URA09_Contig1004_simExt	TraesCS1A02G425000	1772	1.95786560277794	0	0.886568848758465	99.491
T_urartu_Tr246_URA09_Contig1014_simExt	TraesCS5A02G173100	922	1.82228260869565	6.87538043478261e-24	1	99.5562015545915
T_urartu_Tr246_URA09_Contig1016_simExt	TraesCS2A02G493700	716	1.68644749967479	0	1	99.86
T_urartu_Tr246_URA09_Contig102_simExt	TraesCS1A02G277600	746	1.73544887671955	0	1	100
T_urartu_Tr246_URA09_Contig1020_simExt	TraesCS2A02G296000	268	1.85074626865672	8.47e-140	1	100
T_urartu_Tr246_URA09_Contig1023_simExt	TraesCS1A02G139900	486	1.6824644549763	0	0.87037037037037	97.3935307328605
T_urartu_Tr246_URA09_Contig1026_simExt	TraesCS2A02G506000	624	1.71474358974359	0	1	97.596
T_urartu_Tr246_URA09_Contig1030_simExt	TraesCS1A02G225300	2522	1.83953287197232	0	0.998413957176844	99.8594737887212
T_urartu_Tr246_URA09_Contig1033_simExt	TraesCS2A02G450400	1652	1.82941176470588	0	0.926150121065375	99.6730516339869
T_urartu_Tr246_URA09_Contig1037_simExt	TraesCS1A02G188900	995	1.95451227550183	0	1	99.296
T_urartu_Tr246_URA09_Contig1051_simExt	TraesCS6A02G241400	1083	1.97019853446191	0	1	98.803
T_urartu_Tr246_URA09_Contig1055_simExt	TraesCS1A02G172300	1703	1.83727702948671	0	0.909571344685849	99.8282553260168
T_urartu_Tr246_URA09_Contig1057_simExt	TraesCS6A02G203700	2025	1.82756785524215	0	0.927901234567901	99.68052368281
T_urartu_Tr246_URA09_Contig1062_simExt	TraesCS4A02G186200	2272	1.81416743099644	0	0.840228873239437	99.686
T_urartu_Tr246_URA09_Contig1065_simExt	TraesCS3A02G100400	1146	1.82810499359795	4.42375160051216e-43	1	99.6998211169284
T_urartu_Tr246_URA09_Contig1074_ESTScan	TraesCS6A02G282200	433	1.16990516566014	0	1	100
T_urartu_Tr246_URA09_Contig1076_simExt	TraesCS1A02G197800	1067	2.01891878500867	0	1	99.719
T_urartu_Tr246_URA09_Contig1078_simExt	TraesCS1A02G273500	1346	1.80240073868883	1.1342566943675e-35	0.804606240713224	99.1689787626962
T_urartu_Tr246_URA09_Contig1082_simExt	TraesCS3A02G417000	2363	1.81241336824272	0	1	99.4270145295528
T_urartu_Tr246_URA09_Contig1084_simExt	TraesCS4A02G157200	1264	2.1077056778861	0	1	99.921
