Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_searsii_Tr165_SER04_Contig1009_simExt	TraesCS7D02G093000	1010	1.7258922323303	1.4829811056683e-16	1	98.0460341584158
Ae_searsii_Tr165_SER04_Contig101_simExt	TraesCS6D02G017100	2889	1.5833450952717	0	0.993077189338872	95.4281676542349
Ae_searsii_Tr165_SER04_Contig1011_simExt	TraesCS1D02G003700	641	1.40554592720971	7.2213171577123e-39	0.898595943837754	92.3730052083333
Ae_searsii_Tr165_SER04_Contig1013_simExt	TraesCS4D02G268800	2763	1.74027864420878	3.58536078186733e-57	0.965255157437568	98.1197015373078
Ae_searsii_Tr165_SER04_Contig1027_simExt	TraesCS5D02G138300	1489	1.81732706514439	0	1	99.463
Ae_searsii_Tr165_SER04_Contig1030_simExt	TraesCS6D02G081700	1066	1.64509068167605	0	1	96.435
Ae_searsii_Tr165_SER04_Contig1037_simExt	TraesCS3D02G073000	1118	1.7833576108227	0	0.976744186046512	95.359
Ae_searsii_Tr165_SER04_Contig1048_simExt	TraesCS1D02G372000	1295	1.97783167569791	0	0.95984555984556	98.153
Ae_searsii_Tr165_SER04_Contig1067_simExt	TraesCS3D02G003800	806	1.54198367740211	0	0.913151364764268	95.788
Ae_searsii_Tr165_SER04_Contig1079_simExt	TraesCS6D02G269700	748	1.55940093896199	0	0.842245989304813	99.206
Ae_searsii_Tr165_SER04_Contig108_simExt	TraesCS2D02G276000	675	1.6405325443787	0	1	96.302
Ae_searsii_Tr165_SER04_Contig1086_simExt	TraesCS5D02G324800	613	1.6256345177665	1.70461082910321e-21	1	96.3229129961936
Ae_searsii_Tr165_SER04_Contig1089_simExt	TraesCS3D02G263700	621	1.80819912152269	8.56046852122987e-96	0.948470209339775	99.2413293718166
Ae_searsii_Tr165_SER04_Contig1092	TraesCS3D02G056200	396	1.69006024096386	4.64156626506024e-17	0.838383838383838	97.2890301204819
Ae_searsii_Tr165_SER04_Contig1097_simExt	TraesCS2D02G183100	659	1.50576386429156	0	0.918057663125948	98.35
Ae_searsii_Tr165_SER04_Contig1100_simExt	TraesCS4D02G163800	814	1.7680981595092	2.72e-25	0.998771498771499	98.6497995079951
Ae_searsii_Tr165_SER04_Contig1101_simExt	TraesCS6D02G245100	1246	1.89230361183257	0	1	96.317
Ae_searsii_Tr165_SER04_Contig1108_simExt	TraesCS7D02G435400	1009	1.66357226885084	0	1	93.646
Ae_searsii_Tr165_SER04_Contig1109_simExt	TraesCS1D02G247800	1263	2.12255846625573	0	1	99.762
Ae_searsii_Tr165_SER04_Contig1119_simExt	TraesCS7D02G142600	319	1.67432150313152	2.4133611691023e-26	0.996865203761755	96.868001048218
Ae_searsii_Tr165_SER04_Contig1128_simExt	TraesCS5D02G174000	2699	1.60954755473321	0	0.998888477213783	98.259
Ae_searsii_Tr165_SER04_Contig1133_simExt	TraesCS4D02G304400	1400	1.92747419570709	0	1	96.804
Ae_searsii_Tr165_SER04_Contig1136_simExt	TraesCS1D02G119600	1208	1.51274092612894	0	0.879139072847682	92.266
Ae_searsii_Tr165_SER04_Contig1153_simExt	TraesCS7D02G142600	653	1.73660030627871	0	1	98.009
Ae_searsii_Tr165_SER04_Contig1154_simExt	TraesCS1D02G421000	1987	1.61596958174905	1.08153781157786e-62	1	96.2638676396578
Ae_searsii_Tr165_SER04_Contig1160_simExt	TraesCS7D02G298100	2756	1.71932921447485	4.32352162400706e-31	0.818940493468795	97.8084412937528
Ae_searsii_Tr165_SER04_Contig1173_simExt	TraesCS6D02G280100	1440	1.80106957752044	0	0.852083333333333	97.066
Ae_searsii_Tr165_SER04_Contig1177_simExt	TraesCS1D02G217900	410	1.20189146529231	0	1	100
