Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_bicornis_Tr406_BIS2_Contig10002_simExt	TraesCS5D02G309600	737	1.67138599105812	0	0.91044776119403	97.1685
Ae_bicornis_Tr406_BIS2_Contig10003_simExt	TraesCS5D02G372300	1058	2.22292275232317	0	1	98.204
Ae_bicornis_Tr406_BIS2_Contig10007_simExt	TraesCS7D02G174900	2208	1.69616519174041	2.68436578171091e-47	0.920742753623188	97.2959193310379
Ae_bicornis_Tr406_BIS2_Contig10014	TraesCS4D02G312900	426	1.36270410023352	0	0.997652582159624	96.941
Ae_bicornis_Tr406_BIS2_Contig10019_simExt	TraesCS4D02G261400	1897	1.94863721458175	0	1	97.156
Ae_bicornis_Tr406_BIS2_Contig10020_simExt	TraesCS5D02G158600	976	1.69312796208531	0	0.957991803278688	97.2914064171123
Ae_bicornis_Tr406_BIS2_Contig10030_simExt	TraesCS5D02G442200	3492	1.6021116976938	0	1	95.9054730813288
Ae_bicornis_Tr406_BIS2_Contig10035_simExt	TraesCS1D02G274400	1480	1.73816155988858	8.23426183844011e-79	0.97027027027027	98.1891754874652
Ae_bicornis_Tr406_BIS2_Contig10046_simExt	TraesCS6D02G282400	1197	1.74144927536232	2.18478260869565e-106	1	98.086432887775
Ae_bicornis_Tr406_BIS2_Contig10047_simExt	TraesCS1D02G106400	1004	1.81630374092686	0	1	99.4483052788845
Ae_bicornis_Tr406_BIS2_Contig10052_simExt	TraesCS7D02G096600	1655	2.03417899834906	0	0.951057401812689	97.4
Ae_bicornis_Tr406_BIS2_Contig10054_simExt	TraesCS5D02G072200	1384	1.58373561084293	0	1	95.3930838150289
Ae_bicornis_Tr406_BIS2_Contig10056_simExt	TraesCS6D02G135300	467	1.36309242215907	0	1	94.715
Ae_bicornis_Tr406_BIS2_Contig10066_simExt	TraesCS2D02G158400	2057	1.63381245382653	0	0.982498784637822	93.692
Ae_bicornis_Tr406_BIS2_Contig10070_simExt	TraesCS5D02G410400	2467	1.71836561572176	0	0.999189298743413	97.7389658263305
Ae_bicornis_Tr406_BIS2_Contig10073_simExt	TraesCS1D02G144000	2149	1.64242128386624	4.08894312911887e-63	0.988832014890647	96.4906308235294
Ae_bicornis_Tr406_BIS2_Contig10074_simExt	TraesCS5D02G044400	1510	1.92939072429067	0	0.933774834437086	95.448
Ae_bicornis_Tr406_BIS2_Contig1008_simExt	TraesCS5D02G520200	2783	1.58834178131789	6.01564083997103e-67	0.988142292490119	95.5174756363636
Ae_bicornis_Tr406_BIS2_Contig10080_simExt	TraesCS6D02G335900	1331	2.08520744188477	0	0.974455296769346	96.544
Ae_bicornis_Tr406_BIS2_Contig10085_simExt	TraesCS4D02G227600	620	1.79230769230769	1.79307692307692e-22	0.838709677419355	99.0388134615385
Ae_bicornis_Tr406_BIS2_Contig10095_simExt	TraesCS5D02G035200	1736	1.29095826893354	5.90436630602782e-24	0.921082949308756	93.6173968105066
Ae_bicornis_Tr406_BIS2_Contig10096	TraesCS4D02G230000	1535	1.81364275668073	0	0.926384364820847	99.437529535865
Ae_bicornis_Tr406_BIS2_Contig10098	TraesCS1D02G280800	1043	1.6162669447341	0	0.918504314477469	95.9352818371607
Ae_bicornis_Tr406_BIS2_Contig10100_simExt	TraesCS6D02G247400	1712	2.10076466891495	0	0.961448598130841	98.603
Ae_bicornis_Tr406_BIS2_Contig10104_simExt	TraesCS7D02G364000	2050	1.75968612064738	0	0.994146341463415	98.4555
Ae_bicornis_Tr406_BIS2_Contig10105_simExt	TraesCS3D02G203100	1989	1.89747679474031	0	0.808949220713927	98.888
Ae_bicornis_Tr406_BIS2_Contig10110_simExt	TraesCS4D02G046700	1001	1.64950711938664	6.13899233296824e-148	0.904095904095904	96.739644198895
