poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 44458.5 48030 NA 505 0.0448751300990099 0.00954496611139751 0.2388 2255031.66326683
0.002 1 280805 285306.5 NA 1159 0.0269532647713546 0 0.2176 1486393.27783206
0.008 1 968286 979886 NA 1236 0.0247806 0.030140109601866 0.1431 2078037.73584906
0.013 1 1553661 1558343 1.95 623 0.031765437399679 0.0805160140662892 0.1098 3471632.50269715
0.016 1 1910919 1914393 1.94 193 0.016624 0 0.1397 1427974.23049392
0.041 1 4165175 4167785 1.91 25 0 Inf 0.3918 0
0.047 1 4675054 4682504 1.9 266 0 Inf 0.1369 0
0.051 1 5014845.5 5018981 1.89 375 0.028098664 0.0823803722483033 0.2785 1210714.42728905
0.057 1 5502121 5508568 1.87 378 0.0106918 0 0.1829 701484.964461454
0.061 1 5762785 5768382 1.86 410 0.00979499414634146 0 0.0917 1281787.6745485
0.068 1 6247444 6254946 1.85 147 0.0064 0.309253125 0.0989 776541.961577351
0.081 1 7217840 7229089 1.81 1184 0.0415751 0.0412949096935425 0.1212 4116346.53465346
0.091 1 7835028 7835570 1.79 114 0 NA 0.073 0
0.095 1 8048778 8051397 1.78 206 0.0729761 0.019361544396042 0.2808 3118636.75213675
0.1 1 8349328 8356000 1.77 386 0.0104575 0.0705981353095864 0.1908 657704.402515723
0.109 1 8912375 8919563 1.74 637 0.0152821 0 0.2057 891517.744287798
0.11 1 8929487 8937936 1.74 703 0.0276339 0.0296648681510753 0.1183 2803100.59171598
0.115 1 9238809 9242299 1.74 411 0.0628019 0.033277018688925 0.1397 5394579.8138869
0.144 1 10739577 10746629 1.7 349 0.00583942 0 0.2825 248046.159292035
0.188 1 12495183 12500461 1.62 78 0.0215633 0.359148646079218 0.3148 821980.940279542
0.199 1 12950868 12954667 1.59 201 0.0537897 0.053116860662915 0.235 2746708.08510638
0.2 1 12990954 13005515 1.59 861 0.00363857 0.270327903544524 0.0809 539713.720642769
0.211 1 13499647 13518570 1.56 543 0.0245631 0.063802614490842 0.112 2631760.71428571
0.212 1 13574504 13581973 1.55 535 0.0278902 0.0677693239919398 0.1886 1774562.03605514
0.213 1 13586405 13591514 1.55 339 0 Inf 0.1848 0
0.216 1 13725749 13735135 1.56 193 0.0306513 0.0848662210085706 0.0907 4055298.78721058
