Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
T_urartu_Tr246_URA09_Contig1004_simExt	TraesCS1B02G459400	1772	1.90839073736767	0	0.815462753950339	96.907
T_urartu_Tr246_URA09_Contig101_ESTScan	TraesCS3B02G250000	284	0.636129367128492	1.65e-102	0.876760563380282	93.6
T_urartu_Tr246_URA09_Contig1014_simExt	TraesCS5B02G170500	922	1.70286885245902	2.96813524590164e-24	0.993492407809111	97.3617914847162
T_urartu_Tr246_URA09_Contig1016_simExt	TraesCS2B02G521700	716	1.33296709458847	0	0.960893854748603	91.248
T_urartu_Tr246_URA09_Contig102_simExt	TraesCS1B02G286600	746	1.43622795115332	9.72048846675712e-146	0.986595174262735	93.2660489130435
T_urartu_Tr246_URA09_Contig1020_simExt	TraesCS2B02G312400	268	1.53061224489796	1.2e-103	0.914179104477612	94.286
T_urartu_Tr246_URA09_Contig1023_simExt	TraesCS1B02G157000	486	0.999255108379651	2.63e-177	0.87037037037037	93.853
T_urartu_Tr246_URA09_Contig1026_simExt	TraesCS2B02G534400	624	1.39824561403509	0	0.907051282051282	92.105
T_urartu_Tr246_URA09_Contig1030_simExt	TraesCS1B02G238700	2522	1.73186528497409	1.08937823834197e-162	1	97.8160226011102
T_urartu_Tr246_URA09_Contig1033_simExt	TraesCS2B02G472000	1652	1.62459123610203	0	0.923123486682809	96.0739816393443
T_urartu_Tr246_URA09_Contig1037_simExt	TraesCS1B02G196600	995	1.92158878875588	0	1	95.779
T_urartu_Tr246_URA09_Contig1041	TraesCS1B02G223300	670	1.66003616636528	3.99023508137432e-78	0.823880597014925	96.7478043478261
T_urartu_Tr246_URA09_Contig1051_simExt	TraesCS6B02G283200	1083	2.02735739890008	0	0.979686057248384	97.007
T_urartu_Tr246_URA09_Contig1055_simExt	TraesCS1B02G205000	1703	1.64020486555698	0	0.909571344685849	96.5180897353131
T_urartu_Tr246_URA09_Contig1057_simExt	TraesCS6B02G223600	2025	1.76555484284798	0	0.88	98.6140263748597
T_urartu_Tr246_URA09_Contig1076_simExt	TraesCS1B02G212500	1067	2.08333891017699	0	1	97.566
T_urartu_Tr246_URA09_Contig1087_simExt	TraesCS6B02G454200	501	1.17398675320552	0	0.984031936127745	94.13
T_urartu_Tr246_URA09_Contig1089	TraesCS3B02G129200	636	1.64416058394161	1.67956204379562e-22	0.861635220125786	96.3507846715328
T_urartu_Tr246_URA09_Contig1092_simExt	TraesCS3B02G226300	1832	1.65117453902501	6.36612781005304e-177	0.91703056768559	96.7220191666667
T_urartu_Tr246_URA09_Contig1096_ESTScan	TraesCS4B02G126100	422	1.33333333333333	2.39e-137	0.85781990521327	90.984
T_urartu_Tr246_URA09_Contig1105	TraesCS1B02G364500	254	1.69164265129683	1.0549855907781e-65	0.803149606299213	97.0362034313726
T_urartu_Tr246_URA09_Contig1107_simExt	TraesCS4B02G014700	263	1.74524714828897	1.13e-128	1	98.099
T_urartu_Tr246_URA09_Contig1112	TraesCS3B02G604600	363	1.52830188679245	1.74488207547186e-116	0.831955922865014	94.4517549668874
T_urartu_Tr246_URA09_Contig1123_simExt	TraesCS3B02G429700	3806	1.35763452445083	3.18406471084121e-22	1	93.8072275915639
T_urartu_Tr246_URA09_Contig113_simExt	TraesCS7B02G252300	404	1.43032159264931	1.08361416236447e-127	0.826732673267327	93.0666422155689
T_urartu_Tr246_URA09_Contig1137_simExt	TraesCS7B02G003300	3319	1.20715171004308	0	0.898764688159084	90.759
T_urartu_Tr246_URA09_Contig1138_simExt	TraesCS1B02G344100	2415	1.77283596365375	1.78923003347681e-32	0.958178053830228	98.6947851483722
T_urartu_Tr246_URA09_Contig1139_simExt	TraesCS3B02G317600	1218	1.30368725011106	2.82754331408263e-14	0.944991789819376	90.7237993049522
T_urartu_Tr246_URA09_Contig1144_simExt	TraesCS4B02G044900	1908	1.83435215683417	0	0.919811320754717	94.599
T_urartu_Tr246_URA09_Contig1150_simExt	TraesCS6B02G093100	575	1.5171202809482	0	1	94.5556469565217
T_urartu_Tr246_URA09_Contig1152_simExt	TraesCS3B02G022900	1462	1.61546961325967	0	0.955540355677155	95.8366950608447
T_urartu_Tr246_URA09_Contig1173_simExt	TraesCS3B02G314000	1316	1.70393740535083	0	1	97.478
T_urartu_Tr246_URA09_Contig118_simExt	TraesCS5B02G430800	797	1.61290322580645	2.96559139784946e-22	0.93099121706399	95.9800053908356
T_urartu_Tr246_URA09_Contig1190_simExt	TraesCS4B02G208900	510	1.539090444558	1.15574859478794e-98	0.986274509803922	95.0209339960239
T_urartu_Tr246_URA09_Contig1191_simExt	TraesCS1B02G286300	848	1.8386869911254	0	1	96.462
T_urartu_Tr246_URA09_Contig1192_simExt	TraesCS5B02G081800	637	1.43183292164629	0	0.93563579277865	95.674
T_urartu_Tr246_URA09_Contig1199_simExt	TraesCS5B02G006800	1980	1.8085253100673	0	0.97020202020202	93.999
T_urartu_Tr246_URA09_Contig120_simExt	TraesCS1B02G223100	1210	1.53339115351258	9.03972246313964e-118	0.950413223140496	94.6233895652174
T_urartu_Tr246_URA09_Contig1206_simExt	TraesCS2B02G311600	895	2.03894504380298	0	1	98.883
T_urartu_Tr246_URA09_Contig121_simExt	TraesCS5B02G151800	674	1.22061353452858	0	0.921364985163205	90.895
T_urartu_Tr246_URA09_Contig1217_simExt	TraesCS3B02G236700	2041	1.68616369331336	1.56788778428435e-24	0.99657030867222	97.3323182592358
T_urartu_Tr246_URA09_Contig1220_simExt	TraesCS5B02G337300	1582	2.15643132617014	0	0.920353982300885	98.558
T_urartu_Tr246_URA09_Contig1229_simExt	TraesCS5B02G274500	1109	1.66724678036895	0	1	96.8218440036069
T_urartu_Tr246_URA09_Contig1235_simExt	TraesCS2B02G503700	936	1.92987407679558	0	1	96.581
T_urartu_Tr246_URA09_Contig1250_simExt	TraesCS4B02G100800	1054	1.97351240920288	0	0.901328273244782	98.107
T_urartu_Tr246_URA09_Contig1259_simExt	TraesCS4B02G095700	892	1.59854073722028	0	1	92.12
T_urartu_Tr246_URA09_Contig1262_simExt	TraesCS6B02G256700	1159	1.41924095322154	1.55935569285084e-81	0.954270923209664	92.7662608499096
T_urartu_Tr246_URA09_Contig127_simExt	TraesCS6B02G313900	2704	1.66735966735967	1.60927234927235e-39	0.887204142011834	96.8398303459775
T_urartu_Tr246_URA09_Contig1270_simExt	TraesCS2B02G293800	1087	1.73017621145374	6.19383259911894e-87	0.894204231830727	97.8584015775034
T_urartu_Tr246_URA09_Contig1279_simExt	TraesCS3B02G318600	2312	1.77702849684577	0	0.989186851211073	98.8275
T_urartu_Tr246_URA09_Contig1280_simExt	TraesCS3B02G284100	2224	1.77591792656587	0	0.83273381294964	98.7041819654428
T_urartu_Tr246_URA09_Contig1283_simExt	TraesCS7B02G087000	6867	1.8001012145749	0	0.863259065093927	99.1566923076923
T_urartu_Tr246_URA09_Contig1291_simExt	TraesCS7B02G146700	1208	1.48897795591182	1.55751503006012e-50	0.826158940397351	93.8880360721443
T_urartu_Tr246_URA09_Contig1292_simExt	TraesCS4B02G331300	532	1.75816326530612	7.37142857142857e-23	0.990601503759398	98.3620313092979
T_urartu_Tr246_URA09_Contig1296_simExt	TraesCS2B02G270300	485	1.76701030927835	0	1	98.557
T_urartu_Tr246_URA09_Contig1305_simExt	TraesCS5B02G096100	1041	1.75873362445415	1.01157205240175e-111	0.9164265129683	98.4738647798742
T_urartu_Tr246_URA09_Contig1306_simExt	TraesCS3B02G061700	1044	1.43340380549683	2.5103065539112e-126	0.897509578544061	92.7125069370331
T_urartu_Tr246_URA09_Contig1307_simExt	TraesCS1B02G294400	730	1.62225705329154	2.76207438245701e-89	0.865753424657534	96.417894778481
T_urartu_Tr246_URA09_Contig1309	TraesCS7B02G188400	295	1.68474576271186	2.72e-140	1	97.288
T_urartu_Tr246_URA09_Contig1312_simExt	TraesCS1B02G137300	1091	1.79633027522936	0	1	99.0825009165903
T_urartu_Tr246_URA09_Contig133	TraesCS5B02G353200	475	1.63883089770355	3.04237995824635e-24	0.989473684210526	96.4300085106383
T_urartu_Tr246_URA09_Contig1332_simExt	TraesCS4B02G101200	1809	2.01870726720122	0	0.977888336097291	96.443
T_urartu_Tr246_URA09_Contig1337_simExt	TraesCS6B02G291100	1564	1.71830291070548	0	0.882992327365729	97.7561122375091
T_urartu_Tr246_URA09_Contig1340_simExt	TraesCS7B02G025700	2705	1.65078342992058	2.13216355441082e-21	1	96.8059451714931
T_urartu_Tr246_URA09_Contig1342_simExt	TraesCS6B02G200300	1512	1.7581503659348	0	1	98.5036408730159
T_urartu_Tr246_URA09_Contig1350_simExt	TraesCS6B02G291900	4340	1.69094766619519	0	0.973271889400922	97.3034176136364
T_urartu_Tr246_URA09_Contig1353_simExt	TraesCS3B02G343500	685	1.48276190773214	0	0.862773722627737	97.293
T_urartu_Tr246_URA09_Contig1360_simExt	TraesCS6B02G456500	1922	1.60988045007032	4.46715893108298e-114	0.838709677419355	95.8806878101737
T_urartu_Tr246_URA09_Contig1370	TraesCS7B02G140100	1829	1.59121437647486	4.35211474209947e-165	0.857299070530344	95.6737083864796
T_urartu_Tr246_URA09_Contig1371_simExt	TraesCS7B02G343600	1056	1.64706678700361	6.33799639013707e-18	1	96.61552598079
T_urartu_Tr246_URA09_Contig1385_simExt	TraesCS4B02G208500	1103	1.74784147062203	0	0.809610154125113	96.197
T_urartu_Tr246_URA09_Contig1387_simExt	TraesCS5B02G017900	1169	1.78836789210197	0	0.976903336184773	93.269
T_urartu_Tr246_URA09_Contig1398_simExt	TraesCS3B02G178100	1166	1.63502304147465	0	0.916809605488851	96.4396697848456
T_urartu_Tr246_URA09_Contig1400_simExt	TraesCS5B02G423800	1118	1.65822784810127	2.28432327166504e-27	0.915921288014311	96.6896640625
T_urartu_Tr246_URA09_Contig1401_simExt	TraesCS3B02G123300	3032	1.57546553413917	0	1	95.32
T_urartu_Tr246_URA09_Contig1410_simExt	TraesCS7B02G452000	3871	1.3638466682264	0	0.958667011108241	96.459
T_urartu_Tr246_URA09_Contig1413_simExt	TraesCS4B02G140300	758	1.77939646201873	2.0427471383975e-135	0.91688654353562	98.6924690647482
T_urartu_Tr246_URA09_Contig1420_simExt	TraesCS1B02G451700	840	1.77928440164721	0	0.996428571428571	95.699
