poscM Chromosome Start End GenDens
0 1D 107187574 107414624 227050
0.01 1D 85019958 85069617 49659
0.02 1D 104277326 104341985 64659
0.03 1D 16550933 16561817 10884
0.04 1D 114665038 114753424 88386
0.05 1D 187881105 187949189 68084
0.06 1D 157631567 157731488 99921
0.07 1D 733128956 733426571 297615
0.08 1D 193066882 193112753 45871
0.09 1D 166949395 166974519 25124
0.1 1D 185099685 185212022 112337
0.11 1D 206501735 206555569 53834
0.12 1D 586346399 586486157 139758
0.13 1D 221295453 221322681 27228
0.14 1D 88219451 88235987 16536
0.15 1D 145460929 145480326 19397
0.16 1D 777949978 778116839 166861
0.17 1D 104008487 104026717 18230
0.18 1D 86252858 86266008 13150
0.19 1D 111493232 111503126 9894
0.2 1D 206461282 206488439 27157
0.21 1D 217860032 217885415 25383
0.22 1D 174820633 174848482 27849
0.23 1D 314518997 314545999 27002
0.24 1D 391027305 391095340 68035
0.25 1D 258574703 258607601 32898
0.26 1D 393661272 393697768 36496
0.27 1D 218796030 218838194 42164
0.28 1D 194913270 194949758 36488
0.29 1D 302744054 302759890 15836
0.3 1D 312655703 312689448 33745
0.31 1D 214675850 214704046 28196
0.32 1D 550002996 550047447 44451
0.33 1D 640037304 640076822 39518
0.34 1D 540424265 540461384 37119
0.35 1D 318159557 318185479 25922
0.36 1D 1076916937 1076990380 73443
0.37 1D 563303616 563337637 34021
0.38 1D 361404724 361427925 23201
0.39 1D 849709704 849784656 74952
0.4 1D 1785066030 1785201959 135929
0.41 1D 1613589085 1613662018 72933
0.42 1D 1449359362 1449439788 80426
0.43 1D 2329454723 2329663137 208414
0.44 1D 12411263735 12411847001 583266
0.45 1D 930114214 930139475 25261
0.46 1D 771739283 771791758 52475
0.47 1D 1576129866 1576201116 71250
0.48 1D 2650125298 2650211632 86334
0.49 1D 30138759466 30139893799 1134333
0.5 1D 300570013 300603686 33673
0.51 1D 460400773 460427716 26943
0.52 1D 75934308552 75936185436 1876884
0.53 1D 38884892811 38885249922 357111
0.54 1D 25295301242 25295612048 310806
0.55 1D 23867265841 23867605056 339215
0.56 1D 25236440795 25236701195 260400
0.57 1D 20165805650 20166059285 253635
0.58 1D 19528824147 19529041397 217250
0.59 1D 21248069260 21248348784 279524
0.6 1D 15867828600 15868003584 174984
0.61 1D 14167815101 14167993008 177907
0.62 1D 16422881217 16423100386 219169
0.63 1D 27803466782 27803786122 319340
0.64 1D 17147021140 17147166909 145769
0.65 1D 12809145720 12809281914 136194
0.66 1D 18452354178 18452509058 154880
0.67 1D 17561833204 17561985034 151830
0.68 1D 11124345066 11124432579 87513
0.69 1D 14669227697 14669360863 133166
0.7 1D 21357964314 21358171328 207014
0.71 1D 18177594541 18177750674 156133
0.72 1D 16852418746 16852566578 147832
0.73 1D 17408053952 17408158627 104675
0.74 1D 9168925842 9168979083 53241
0.75 1D 5203960431 5204015607 55176
0.76 1D 8842988825 8843058440 69615
0.77 1D 14535734889 14535843801 108912
0.78 1D 8523309455 8523374884 65429
0.79 1D 12246791010 12246882164 91154
0.8 1D 7794025757 7794088825 63068
0.81 1D 11953777261 11953854402 77141
0.82 1D 11594085962 11594185828 99866
0.83 1D 12479225515 12479311821 86306
0.84 1D 10891358997 10891433798 74801
0.85 1D 26996048386 26996278399 230013
0.86 1D 23910883704 23911031985 148281
0.87 1D 2581726653 2581742613 15960
0.88 1D 2152433462 2152447438 13976
0.89 1D 430976701 430983376 6675
0.9 1D 3885034011 3885077692 43681
0.91 1D 5186459882 5186498236 38354
0.92 1D 6059818888 6059862511 43623
0.93 1D 7370867693 7370926028 58335
0.94 1D 6082163625 6082201678 38053
0.95 1D 11325719143 11325810370 91227
0.96 1D 6111132903 6111183070 50167
0.97 1D 2624717414 2624741069 23655
0.98 1D 4384819729 4384846440 26711
0.99 1D 10995175644 10995227208 51564
1 1D 36354985012 36355183390 198378
1.01 1D 8029188715 8029238517 49802
1.02 1D 4469380745 4469416932 36187
1.03 1D 9407553742 9407621500 67758
1.04 1D 5836353030 5836388021 34991
1.05 1D 6297563455 6297609708 46253
1.06 1D 5412301481 5412324171 22690
1.07 1D 6778386932 6778411314 24382
1.08 1D 7695575335 7695623075 47740
1.09 1D 4081729299 4081744170 14871
1.1 1D 4543200138 4543224055 23917
1.11 1D 9567626962 9567684589 57627
1.12 1D 8681707483 8681764507 57024
1.13 1D 25703296895 25703455788 158893
1.14 1D 14769238321 14769325498 87177
1.15 1D 8789208502 8789261407 52905
1.16 1D 5560408111 5560466363 58252
1.17 1D 4639990131 4640008319 18188
1.18 1D 3716341881 3716371076 29195
1.19 1D 9768640264 9768722101 81837
1.2 1D 7458453708 7458507818 54110
1.21 1D 3269937065 3269949635 12570
1.22 1D 12160815467 12160881299 65832
1.23 1D 2813784762 2813809497 24735
1.24 1D 11278948598 11278994275 45677
1.25 1D 10353142242 10353219283 77041
1.26 1D 4713906105 4713941475 35370
1.27 1D 2833002364 2833016159 13795
1.28 1D 4254174644 4254197818 23174
1.29 1D 16589393739 16589469100 75361
1.3 1D 14734625654 14734700458 74804
1.31 1D 14776256272 14776353412 97140
1.32 1D 11471873242 11471946361 73119
1.33 1D 9101334585 9101402179 67594
1.34 1D 8155201542 8155245959 44417
1.35 1D 6248093348 6248135818 42470
1.36 1D 12998765144 12998831508 66364
1.37 1D 6269554776 6269574214 19438
1.38 1D 3864364928 3864392006 27078
1.39 1D 13066716746 13066825836 109090
1.4 1D 6301752064 6301807136 55072
1.41 1D 9710720866 9710782151 61285
1.42 1D 8754606384 8754667227 60843
1.43 1D 11693617180 11693724997 107817
1.44 1D 7811069054 7811120236 51182
1.45 1D 4404132023 4404155238 23215
1.46 1D 8339610589 8339650859 40270
1.47 1D 11326164775 11326257850 93075
1.48 1D 18289521605 18289643628 122023
0 2D 3578709 3630579 51870
0.01 2D 2030340 2039580 9240
0.02 2D 23805892 23852004 46112
0.03 2D 59739138 59827207 88069
0.04 2D 47911758 47944955 33197
0.05 2D 23586224 23628739 42515
0.06 2D 39154911 39175338 20427
0.07 2D 80530432 80612608 82176
0.08 2D 98132327 98201484 69157
0.09 2D 52943367 52962872 19505
0.1 2D 93650521 93706270 55749
0.11 2D 147662467 147705693 43226
0.12 2D 245629229 245731459 102230
0.13 2D 292346033 292409659 63626
0.14 2D 475042826 475200672 157846
0.15 2D 289668696 289765401 96705
0.16 2D 311200756 311292251 91495
0.17 2D 310247301 310317813 70512
0.18 2D 507258131 507380418 122287
0.19 2D 585477133 585627047 149914
0.2 2D 677413419 677517219 103800
0.21 2D 733294945 733362168 67223
0.22 2D 373768878 373821780 52902
0.23 2D 250058713 250114134 55421
0.24 2D 440183344 440235846 52502
0.25 2D 545878124 545953178 75054
0.26 2D 186432899 186451732 18833
0.27 2D 123057566 123069541 11975
0.28 2D 578065946 578141356 75410
0.29 2D 211151467 211183960 32493
0.3 2D 134560302 134590768 30466
0.31 2D 775276602 775353078 76476
0.32 2D 534883030 534957969 74939
0.33 2D 492325922 492386782 60860
0.34 2D 386498174 386547756 49582
0.35 2D 762406661 762482150 75489
0.36 2D 189725936 189742056 16120
0.37 2D 710028094 710095688 67594
0.38 2D 595680992 595751913 70921
0.39 2D 715040289 715082772 42483
0.4 2D 811992624 812062601 69977
0.41 2D 1060426563 1060503967 77404
0.42 2D 903991990 904055789 63799
0.43 2D 549094142 549110794 16652
0.44 2D 80732362 80734026 1664
0.45 2D 515777190 515820306 43116
0.46 2D 882034214 882080530 46316
0.47 2D 692055813 692126639 70826
0.48 2D 669942454 669976435 33981
0.49 2D 844861187 844928941 67754
0.5 2D 1027238915 1027307008 68093
0.51 2D 481227847 481243037 15190
0.52 2D 2117805139 2117927844 122705
0.53 2D 809534543 809569207 34664
0.54 2D 1986595712 1986663957 68245
0.55 2D 2298881400 2298993148 111748
0.56 2D 1534678134 1534742958 64824
0.57 2D 1198104631 1198162847 58216
0.58 2D 1302053952 1302101135 47183
0.59 2D 1408300508 1408349285 48777
0.6 2D 2171783935 2171862302 78367
0.61 2D 2064375326 2064458167 82841
0.62 2D 2724183722 2724306191 122469
0.63 2D 1637429249 1637509365 80116
0.64 2D 3526164534 3526356319 191785
0.65 2D 3560878402 3561041428 163026
0.66 2D 1971502946 1971587933 84987
0.67 2D 3562298352 3562422611 124259
0.68 2D 5161607124 5161781925 174801
0.69 2D 5481771734 5481924086 152352
0.7 2D 7851145749 7851342711 196962
0.71 2D 7743620698 7743849824 229126
0.72 2D 5325793847 5325956377 162530
0.73 2D 4548205631 4548340305 134674
0.74 2D 8395165555 8395353723 188168
0.75 2D 6298296757 6298433152 136395
0.76 2D 6950759238 6950910255 151017
0.77 2D 43543825710 43544824057 998347
0.78 2D 6471602607 6471733130 130523
0.79 2D 12846392992 12846758529 365537
0.8 2D 114057229569 114059306135 2076566
0.81 2D 37777628147 37778075347 447200
0.82 2D 31624344091 31624636922 292831
0.83 2D 34358733190 34359061285 328095
0.84 2D 61975800496 61976361486 560990
0.85 2D 24461845024 24462018592 173568
0.86 2D 33828995547 33829267934 272387
0.87 2D 76730121697 76730728174 606477
0.88 2D 20447584359 20447730182 145823
0.89 2D 23530959695 23531145638 185943
0.9 2D 36722925041 36723195209 270168
0.91 2D 43062171705 43062436554 264849
0.92 2D 46898133347 46898451005 317658
0.93 2D 25950367266 25950512341 145075
0.94 2D 28490709170 28490926978 217808
0.95 2D 34181627703 34181879659 251956
0.96 2D 49449466623 49449749047 282424
0.97 2D 42740433140 42740656657 223517
0.98 2D 32945337773 32945573020 235247
0.99 2D 44781803748 44782028073 224325
1 2D 13774652565 13774792855 140290
1.01 2D 22753281113 22753401176 120063
1.02 2D 23445941291 23446068494 127203
1.03 2D 28108853421 28108966629 113208
