poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 878065.454545455 882918.454545455 0.9725 1.9425 5161 0.00392690305134664 0.139523458851697 0.228072727272727 206613.202637817
0.05 1 4838604.16666667 4848476.16666667 1.24833333333333 1.88916666666667 5017 0.0255841201594578 0.0995471974318547 0.169741666666667 1808686.38762921
0.1 1 8582634.88888889 8591978.66666667 1.75888888888889 1.75888888888889 4555 0.0199754500768386 0.0553263096602099 0.195444444444444 1226463.10875416
0.15 1 11118830.5 11123965 2.18 1.685 526 0 Inf 0.26325 0
0.2 1 13252707.4285714 13261835.7142857 2.17285714285714 1.57428571428571 3287 0.00174170672345604 0.200084952288126 0.150514285714286 138860.444922463
0.25 1 15643139.5 15651540 1.715 1.63 1076 0.00287743198884758 0.074744839246731 0.1369 252221.942046538
0.3 1 18414293.1428571 18420501.1428571 1.34571428571429 1.35571428571429 3206 0.00298299923580786 0.11906051130018 0.156742857142857 228373.984513179
0.35 1 25050229.4545455 25055305.9090909 0.704545454545455 0.871818181818182 6122 0.00177291168098661 0.147453927567238 0.191463636363636 111117.39323405
0.4 1 32796281.0625 32810185.25 0.49375 0.509375 5280 0.00349871724772727 0.171411777397853 0.1836375 228627.63309633
0.45 1 86572924.8867925 86579899.6792453 0.0509433962264151 0.054622641509434 44327 0.000465034726171408 0.210447775550083 0.131152830188679 42548.961437041
0.5 1 312256080.340517 312265671.452586 0.0275431034482759 0.0290086206896552 98593 0.000211004473877456 0.285018488874949 0.132431465517241 19119.728658442
0.55 1 418799954.311475 418809692.491803 0.156229508196721 0.141639344262295 26641 0.000444234674824519 0.217475867817008 0.125731147540984 42398.5321231287
0.6 1 448220680.847458 448229917.271186 0.196949152542373 0.210508474576271 24648 0.00092632289394677 0.130480641515614 0.133910169491525 83009.936956765
0.65 1 465462543.333333 465468887.722222 0.391666666666667 0.411666666666667 7800 0.000303372506410256 0.25557749209522 0.140005555555556 26002.3258539802
0.7 1 477250808.444444 477258240.388889 0.573333333333333 0.508333333333333 7557 0.00119294187111288 0.252944778175074 0.180433333333333 79338.4580825116
0.75 1 486562254.090909 486567278.727273 0.649090909090909 0.570909090909091 5440 0.00112433417463235 0.113447206861683 0.168518181818182 80062.6374556134
0.8 1 493511174.24 493516392.64 0.612 0.602 10423 0 Inf 0.16712 0
0.85 1 502787429 502795870.208333 0.495416666666667 0.643333333333333 6463 0.000660341118675538 0.160468303854085 0.195666666666667 40497.9220993515
0.9 1 510575645.625 510580748.75 1.06875 0.74125 6698 0.00199525695774858 0.255558322710637 0.219 109329.148369785
0.95 1 516079492.111111 516084588.259259 0.884074074074074 0.816666666666667 9971 0.00104088925985358 0.205335194356454 0.164988888888889 75706.1351364982
1 1 522672538.914286 522678123.685714 0.653142857142857 0.807428571428571 11567 0.00400960481023602 0.0844644651573398 0.193477142857143 248687.038749373
1.05 1 528208294.333333 528213312.333333 1.14916666666667 1.11083333333333 4192 0.00128154084208015 0.0856971675956611 0.164608333333333 93424.7361208637
1.1 1 532242172 532246324.2 1.574 1.40466666666667 3803 0.00432022644491191 0.1114876176099 0.154366666666667 335841.399302157
1.15 1 535595638.055556 535600543.166667 1.33666666666667 1.28111111111111 7326 0.00464158376262626 0.102913525777777 0.166961111111111 333604.662671704
1.2 1 540636820.25 540642164.35 0.8655 1.002 8347 0.00222003043380855 0.168671641652242 0.15687 169824.473804441
1.25 1 546030045 546044936.619048 0.985714285714286 0.88 6988 0.00831824321980538 0.0581995589606502 0.201709523809524 494864.678436922
1.3 1 551907997.37931 551919502.482759 0.768620689655172 0.750344827586207 13775 0.00525774966969147 0.0786403093014404 0.136058620689655 463719.209532562
1.35 1 556818713.714286 556825611 0.402857142857143 0.605714285714286 8631 0.00798440045093268 0.0902628998737434 0.141164285714286 678732.619418454
0 2 2271426 2333900.5 0.62 0.803333333333333 3745 0.00596814710547397 0.173559578468012 0.200516666666667 357166.147115057
0.05 2 8475927.18181818 8491119.81818182 0.633636363636364 0.807272727272727 4988 0.0108693029390537 0.0762697029666237 0.147318181818182 885373.642675157
0.1 2 15756836.4285714 15771942.5 0.677142857142857 0.809285714285714 6620 0.00320301100302115 0.0863017568867191 0.1483 259178.233555319
0.15 2 22120672.5294118 22132698.9411765 0.811764705882353 0.803529411764706 11084 0.000656504557921328 0.596053653341036 0.179829411764706 43808.48837655
0.2 2 28850823.5384615 28863036.6153846 0.911538461538462 0.783076923076923 6476 0.000379388505250154 0.092026625075731 0.191507692307692 23772.7373148394
0.25 2 33433202.5454545 33444688.0909091 0.93 0.771818181818182 6046 0.00128367895468078 0.108118180361879 0.155390909090909 99131.5872098889
0.3 2 38532657.6666667 38538272.2222222 0.921111111111111 0.781111111111111 4099 0.000399459741400342 0.275495199823074 0.128 37449.350756282
0.35 2 44597299.0909091 44603597.1818182 0.81 0.762727272727273 4049 0.00251828550407508 0.246391902675364 0.238145454545455 126894.826132963
0.4 2 52404529.8571429 52410518.4761905 0.531428571428571 0.603333333333333 6064 0.00153023190468338 0.172669624645066 0.143438095238095 128018.869922386
0.45 2 66113983.7419355 66129513.4516129 0.32 0.398064516129032 13771 0.00153180239851863 0.194807514597904 0.143929032258065 127713.140940636
0.5 2 84790637.8333333 84804306.7916667 0.207291666666667 0.206875 19934 0.00305396671606301 0.138793264794662 0.1451875 252415.67347572
0.55 2 292354421.766667 292370827.227273 0.0149393939393939 0.015 139713 0.000387097114656474 0.198441099685142 0.125564848484848 36994.1542711152
0.6 2 563352024.707865 563362573.88764 0.0726966292134831 0.0682022471910112 32626 0.000170928844173359 0.122383540494336 0.128591011235955 15950.9293096436
0.65 2 611310835.666667 611319337.074074 0.193148148148148 0.196851851851852 20079 0.000824588871955775 0.239135661860142 0.173453703703704 57047.3057201027
0.7 2 630020381.172414 630027607.241379 0.302758620689655 0.36448275862069 11743 0.000602438854466491 0.440559776940337 0.15881724137931 45519.4045105714
0.75 2 645100341.571429 645107917 0.585714285714286 0.430714285714286 5752 0.000401197145340751 0.497631670839375 0.180828571428571 26623.9217954046
0.8 2 654991918.055556 654998698.055556 0.377777777777778 0.44 6015 0.0023947888478803 0.176437462342208 0.152805555555556 188065.584854443
0.85 2 667298695.681818 667305987.681818 0.425454545454545 0.450454545454545 7748 0.000204677117965927 0.289965009736711 0.136427272727273 18003.1848947173
0.9 2 676030750.2 676034980.466667 0.673333333333333 0.599333333333333 4530 0.000745867369315673 0.514644311101759 0.147446666666667 60702.6841238962
0.95 2 683372161.642857 683377900.642857 0.786428571428571 0.629285714285714 5034 0.00153082640643623 0.180729612921727 0.134714285714286 136362.055292305
1 2 689221224.6875 689227599.6875 0.853125 0.641875 5977 0.000373099667057052 0.103947724230282 0.12681875 35303.8963456478
1.05 2 697845106.219512 697856388.658537 0.451707317073171 0.657317073170732 19636 0.00167786933581177 0.185066346808623 0.148129268292683 135924.738316795
1.1 2 707795116.5 707815759.083333 0.86 0.676666666666667 4793 0.000504551431253912 0.467811404768149 0.115041666666667 52629.7762409006
1.15 2 713036459.428571 713042807.666667 0.805238095238095 0.738571428571429 9340 0.00225828067173448 0.151940099867549 0.15397619047619 175997.132913898
1.2 2 720544590.888889 720576505.666667 0.727222222222222 0.777777777777778 7072 0.000341826100113122 0.384390045979179 0.204744444444444 20034.3077072867
1.25 2 726805333.727273 726812285.818182 0.795454545454546 0.739090909090909 3249 0.00150596829793783 0.139515656490202 0.196727272727273 91861.2824989802
1.3 2 733721432.043478 733733128.869565 0.689565217391304 0.71 10344 0.00156833119779582 0.197220187623988 0.161204347826087 116746.071848221
1.35 2 742097489.521739 742114454.565217 0.660434782608696 0.668260869565217 6933 0.00500622390595702 0.107571029669569 0.206313043478261 291182.204763579
1.4 2 748873552.678571 748881921.678571 0.66 0.644285714285714 9502 0.00931917123447695 0.0928439694394613 0.177160714285714 631235.063962152
1.45 2 756588529.823529 756619295.588235 0.627647058823529 0.6 8137 0.0103203807963623 0.0796766525349449 0.217323529411765 569862.683030967
1.5 2 764342389.2 764348720.3 0.391 0.558 6806 0.0140795325653835 0.0930440194451764 0.17858 946099.17563334
0 3 1342737.22222222 1352225.44444444 0.705 1.26 4364 0.00118612692942255 0.154375171861606 0.249422222222222 57065.9784290962
0.05 3 6748244.54545455 6767458.63636364 0.831818181818182 1.24090909090909 4085 0.0118237815764994 0.0192026829191641 0.202890909090909 699318.562639089
0.1 3 12027799.0909091 12032426.2727273 0.959090909090909 1.18454545454545 4177 0.00971769612401245 0.15926729984734 0.199154545454545 585536.991997829
0.15 3 17240892.7272727 17245301.5454545 1.08090909090909 1.12727272727273 2457 0.00601793196581197 0.161100597581553 0.135618181818182 532488.952598994
0.2 3 20460801.5 20464576.5 1.17 1.095 369 0.0153538536585366 0 0.34105 540232.352741355
0.25 3 24861886.3333333 24866505.1666667 1.59166666666667 1.01166666666667 2007 0.0129611233183857 0.0521966071200354 0.122366666666667 1271044.50956656
0.3 3 28449644.4 28458296.2 1.35 0.996 3925 0.00439930058420382 0.132624017972351 0.14564 362480.136023386
0.35 3 32469352.1578947 32474531.0526316 1.14368421052632 0.971578947368421 7034 0.00174896371481376 0.252167909004212 0.146463157894737 143295.862791986
0.4 3 39239719.5909091 39245798.3181818 0.567727272727273 0.702727272727273 8631 0.00318354941837562 0.167615324550597 0.149872727272727 254900.232455163
0.45 3 65530359.7464789 65541481.6197183 0.132535211267606 0.167183098591549 26142 0.000247616146851809 0.272487746481415 0.134239436619718 22135.028550807
0.5 3 246502263.271698 246513997.932075 0.0193207547169811 0.0175471698113208 100474 0.000165255016422159 0.349066073812698 0.130347547169811 15213.6364674547
0.55 3 464845687.511364 464855839.022727 0.05125 0.05125 37021 0.000276395662029659 0.313946620233987 0.119425 27772.6434528441
0.6 3 516831205.72973 516842855.783784 0.188108108108108 0.179189189189189 16817 0.000557061838972468 0.195718186089507 0.137583783783784 48586.7002914737
0.65 3 541648794.625 541655339.642857 0.211785714285714 0.205 22336 0.000174517597600287 0.389882078387664 0.142608928571429 14684.9933744121
0.7 3 562471965.361702 562481148.702128 0.294468085106383 0.282340425531915 20454 0.00146267236286301 0.200842438792358 0.130265957446809 134740.25523148
0.75 3 578995922.914286 579009490.314286 0.349142857142857 0.431428571428571 11497 0.000270791223797512 0.439192288008682 0.173688571428571 18708.7420827022
0.8 3 589626447 589633637.545455 0.647272727272727 0.545454545454545 6541 0.000250879946491362 0.419325351776803 0.122690909090909 24537.7541025932
0.85 3 597041993.045455 597059045.636364 0.803636363636364 0.617727272727273 8757 0.00101436330592669 0.360014922446341 0.150295454545455 80989.5396233617
0.9 3 604738122.789474 604744889 0.456842105263158 0.628947368421053 7502 0.00100314838189816 0.173198978597636 0.164236842105263 73295.2511048808
0.95 3 613993048.333333 613998034.5 0.735833333333333 0.68875 7638 0.000100222945797329 0.299651929451968 0.118945833333333 10111.1179422114
1 3 620908703.269231 620916187.5 0.858461538461538 0.802692307692308 9040 0.00105867647455752 0.280562432367431 0.137269230769231 92548.9100761969
1.05 3 626253329.272727 626260076.636364 0.879090909090909 0.819090909090909 9670 0.000668829891416753 0.24724797256435 0.129386363636364 62030.9472453971
1.1 3 632006380.88 632011392.24 0.7712 0.7892 8370 0.00399385816487455 0.0550782437601403 0.138788 345320.186028292
1.15 3 639368474.368421 639380559.421053 0.734736842105263 0.715263157894737 8940 0.000443264031879195 0.522274291428729 0.147473684210526 36068.5936004484
1.2 3 646427129.428571 646433298.857143 0.608571428571429 0.726428571428571 6904 0.00104401994553882 0.24229706579739 0.1503 83354.8858713627
1.25 3 653016225.827586 653020937.931034 0.820344827586207 0.791379310344828 10150 0.00166095709950739 0.203499478966207 0.181262068965517 109959.492947641
1.3 3 659045874.333333 659056084.733333 0.88 0.820666666666667 5270 0.0058773020227704 0.155438880773473 0.208753333333333 337851.487911944
1.35 3 665448771.555556 665465170.888889 0.766666666666667 0.78 3313 0.00654885039843043 0.0599324286903954 0.125388888888889 626739.781152402
1.4 3 672749040.733333 672760973.133333 0.694 0.683333333333333 6462 0.00605922938873414 0.11435221545465 0.151346666666667 480425.2004106
1.45 3 679615002 679620845.5 0.560555555555556 0.683333333333333 5357 0.0114592416315102 0.0750414491989357 0.192288888888889 715126.601296139
1.5 3 687329791.055556 687342159.277778 0.811666666666667 0.695 7294 0.00816763948587881 0.113806378485228 0.171927777777778 570074.685413714
1.55 3 692504482 692508840 1.021 0.706 4571 0.00153486839641216 0.361910760307614 0.17771 103643.130701401
1.6 3 697107588.571429 697117422.571429 NA NA 3870 0.00335439915762274 0.0887145284599288 0.146928571428571 273961.622985231
1.65 3 699472353.666667 699479715.666667 NA NA 1929 0.00117515085536547 0.307656791358642 0.2459 57347.7440601289
0 4 825138 828932.375 1.53285714285714 1.62428571428571 2651 0.00570953569219163 0.045296352522981 0.247375 276965.854699543
0.05 4 3223263.66666667 3229368.75 1.59333333333333 1.58666666666667 6009 0.0122476158229323 0.0583035309580166 0.173858333333333 845351.42525152
0.1 4 6258578.13333333 6263429.53333333 1.616 1.536 6063 0.00803019646214745 0.0307211689768755 0.209026666666667 461005.091275927
0.15 4 9776416.33333333 9784945.13333333 1.458 1.47 8352 0.00332289721144636 0.236701776949221 0.131706666666667 302754.352126111
0.2 4 13712269.9230769 13720915.4230769 1.20384615384615 1.395 8929 0.00517336332624034 0.0838771975075855 0.188430769230769 329459.780737056
0.25 4 18170424.8333333 18177377.8333333 1.19388888888889 1.30944444444444 7344 0.00200803242510893 0.0718360659810112 0.132316666666667 182111.518589045
0.3 4 21399937.4117647 21404744 1.56588235294118 1.24823529411765 5798 0.00444540695067265 0.0716252687179459 0.136105882352941 391936.648775702
0.35 4 24173976.4285714 24182968 1.69571428571429 1.19285714285714 6411 0.00159890146622992 0.0897699912179409 0.151942857142857 126276.535505183
0.4 4 27540263.3846154 27546552.7692308 1.25692307692308 1.14230769230769 4637 0.000510442700452879 0.191424088532652 0.131315384615385 46645.8094257215
0.45 4 34058578.9655172 34067715.9655172 0.55 0.807586206896552 10917 0.000365958587982046 0.289101104950379 0.137996551724138 31823.2810959175
0.5 4 72647150.6736842 72654278.6 0.0787368421052632 0.0430526315789474 37230 0.000407924747730325 0.280475248866162 0.148306315789474 33006.6656076379
0.55 4 267416345.35443 267431305.949367 -0.00569620253164557 -0.00215189873417722 70908 0.000117716602386191 0.303467119091766 0.117010126582278 12072.452785879
0.6 4 432462164.388889 432466921.111111 0.0333333333333333 0.0322222222222222 7025 0.000112074115302491 0.290393563405284 0.117716666666667 11424.800087469
0.65 4 455669326.142857 455677327.142857 0.118928571428571 0.0582142857142857 9298 9.00295870079587e-05 1.09575034783981 0.139835714285714 7725.88783640857
0.7 4 499734721.401786 499741297.508929 0.0760714285714286 0.0782142857142857 45064 0.000265892764912125 0.280612504876464 0.135813392857143 23493.3618240559
0.75 4 550602901.564516 550610760.112903 0.159516129032258 0.170322580645161 27218 2.82657138658241e-05 1.07904903733894 0.14158064516129 2395.72694419835
0.8 4 570852094.060606 570857865 0.49969696969697 0.448484848484848 15072 0.000326344854697452 0.355176046230305 0.139339393939394 28105.0329390177
0.85 4 580252202.1875 580266875.625 0.58625 0.51875 6370 0.000876972419152276 0.0407984834637777 0.1403375 74988.2891588301
0.9 4 589559606.181818 589571193.181818 0.505454545454545 0.599090909090909 10156 0.000862611076998818 0.338086501531905 0.153990909090909 67220.4157056757
0.95 4 597323236.181818 597327767.045455 0.725 0.775 6934 0.0011212490178829 0.235937883222186 0.1646 81743.5492988746
1 4 603161980.25 603168100.375 0.995 0.8925 8201 0.000736407714912815 0.477797836277385 0.1403 62985.6919383734
1.05 4 608209772.933333 608216429.866667 0.971333333333333 0.905333333333333 7972 0.000607023705469142 0.280771367171226 0.14866 48999.6264336722
1.1 4 614346241.733333 614351053.933333 0.69 0.782666666666667 5025 0.000159203980099502 0.592258675 0.147133333333333 12984.4659800229
1.15 4 621108919.409091 621115403.454545 0.804090909090909 0.723181818181818 8625 0.00346495166608696 0.093347302611992 0.139431818181818 298206.109159562
1.2 4 626661397.4375 626666710.9375 0.90625 0.943125 6755 0.00460642680532939 0.0683968904517438 0.1691 326890.134026923
1.25 4 632459994.176471 632467272.470588 1.00235294117647 1 8613 0.00324532277592012 0.057347523655064 0.162176470588235 240132.697238921
1.3 4 641065365.30303 641076918.212121 0.675 1 18535 0.00286079357917453 0.161935837442043 0.182009090909091 188614.331177783
0 5 560535.4 564864.4 2.51333333333333 1.44666666666667 1919 0.00401931483064096 0.178902567316053 0.2295 210160.252582534
0.05 5 2713919.25 2720579 2.3375 1.4025 2166 0.00113873144044321 0.0924579148290874 0.183825 74335.793745783
0.1 5 4355416.375 4359515.625 2.18375 1.36 3891 0.00719426175019275 0.0756928941919336 0.2474 348953.682305226
0.15 5 6588887.9 6601953.4 2.005 1.292 5638 0.000384032821922668 0.535370606759387 0.1513 30458.6507803834
0.2 5 9639399.5 9643982.75 1.74 1.2125 1656 0.00694629724637681 0.0607335135655946 0.133325 625205.827538134
0.25 5 12905876.6 12910755.8 1.49 1.134 2748 0.000834928265647744 0.507508050288907 0.12612 79441.3192814219
