poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 194618.333333333 199957.333333333 NA NA 1246 0.0587146983146067 0.0459844324530916 0.220533333333333 3194874.75714305
0.01 1 1410006.5 1412589 0.93 1.955 298 0.0246434261744966 0.0834657635665528 0.1413 2092859.9723564
0.02 1 1910919 1914393 0.98 1.94 187 0.0527422 0.0215254577928111 0.1729 3660534.41295547
0.04 1 4263680.5 4278921.75 1.2075 1.905 1151 0.0565856561251086 0.0371064402425778 0.2091 3247383.42181398
0.05 1 5016258 5022272 1.25 1.89 338 0.039395 0.15760502601853 0.1182 3999492.3857868
0.08 1 7177116.5 7183684.5 1.53 1.81 1533 0.0510523732550554 0.0420499458391016 0.1577 3884771.58567321
0.1 1 8349328 8356000 1.71 1.77 193 0.0463747 0.114334540169532 0.1891 2942868.32363829
0.11 1 9144629.5 9162676 1.87 1.74 402 0.0756672467661691 0.0501547394277982 0.27215 3336420.94871957
0.21 1 13574504 13581973 1.94 1.55 525 0.0580578 0.0194852371257609 0.2001 3481727.13643178
0.22 1 13725749 13735135 1.92 1.56 203 0.0537825 0.0577942639334356 0.1109 5819567.17763751
0.23 1 14369286 14375231 1.88 1.61 823 0.0736624 0.0162012098438281 0.1805 4897223.26869806
0.29 1 18052637 18059634.6666667 1.40666666666667 1.39333333333333 1337 0.0368015748541511 0.098885792495631 0.0862333333333333 5121208.71569169
0.31 1 20234720 20239868 1.07 1.19 565 0.0646733 0.0238450798088237 0.1244 6238581.99356913
0.33 1 22166621 22176854 0.87 1.06 744 0.0166811 0.042947347596981 0.0647 3093867.07882535
0.35 1 24655081 24658793 0.69 0.89 121 0.0548901 0.0780592492999648 0.1285 5125923.73540856
0.36 1 25499701 25508405 0.655 0.84 2976 0.0217221588306452 0.0801077684276907 0.087875 2966326.09920617
0.37 1 27635089 27640155 0.62 0.71 137 0.0544242 0.305196952826132 0.2804 2329138.37375178
0.39 1 30653893 30656636.5 0.55 0.55 349 0.078485412034384 0.0678831130438242 0.20185 4665964.54997576
0.4 1 32807614.5 32815807 0.485 0.45 291 0.0255288388316151 0.278122545352355 0.0878 3489135.14782895
0.41 1 34763299.5 34767016.5 0.44 0.385 313 0.0220033559105431 0.0400152727211057 0.17885 1476322.45416001
0.42 1 37169071 37223971.3333333 0.366666666666667 0.423333333333333 1704 0.00613094521713615 0.210710519830629 0.0783333333333333 939208.629008091
