poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 194255.166666667 198779.666666667 NA 2221 0.00852515669968483 0.00899417961873755 0.227816666666667 449053.538940162
0.01 1 1337400.25 1343198.25 1.95333333333333 1578 0.00677676010773131 0.113307274069342 0.127025 640197.766524508
0.02 1 2193995 2197810.5 1.935 477 0.00541047299790356 0.0959108362094942 0.15615 415790.432115548
0.04 1 4175226 4187411.5 1.90666666666667 1877 0.0133094847202983 0.113316898252188 0.18875 846165.915992478
0.05 1 4790095.83333333 4796325.33333333 1.895 1433 0.0113837551919051 0.112738938573883 0.227116666666667 601475.287163108
0.06 1 5634093 5638672.5 1.865 343 0.00829272658892128 0.129632533159252 0.1941 512687.888032228
0.07 1 6467087.5 6472859.5 1.84 873 0.00459567990836197 0.118740149247592 0.1454 379285.824624097
0.08 1 7138995 7151078 1.815 1567 0.0201405883790683 0.0883089781866818 0.09415 2567042.59743834
0.09 1 7945074.5 7953901.5 1.785 390 0.0349685733333333 0.0258485871519098 0.1506 2786340.50464807
0.1 1 8383606.33333333 8389027.33333333 1.76666666666667 648 0.00896090436728395 0.164811208541298 0.167733333333333 641082.188438438
0.11 1 9071841.4 9083074.4 1.74 1201 0.0157808946877602 0.037170633017659 0.20476 924842.431398332
0.13 1 10236233 10241154 1.71 146 0.00145384 0.756685742585154 0.1244 140241.800643087
0.14 1 10739577 10746629 1.7 348 0.00496174 0 0.2867 207676.595744681
0.17 1 11688713 11691059 1.66 32 0 Inf 0.1759 0
0.19 1 12460342 12469151.5 1.62 260 0 Inf 0.14265 0
0.2 1 12970911 12980091 1.59 912 0.0155274823574561 0.0614452141823573 0.15205 1225450.76152235
0.21 1 13553518.6666667 13564019 1.55333333333333 1142 0.00738927553415061 0.0398834121869425 0.159333333333333 556514.47537536
0.22 1 13725749 13735135 1.56 172 0.00692521 0 0.1178 705454.329371817
0.23 1 14369286 14375231 1.61 672 0.00969437 0.0599788330752798 0.1888 616167.584745763
0.25 1 15643139.5 15651540 1.63 965 0.00169456607253886 0.471989369421524 0.13695 148483.336038454
0.28 1 17573242.5 17577679.5 1.47 331 0.0145924613293051 0.0202193608763802 0.31545 555110.274058208
0.29 1 18219841 18226505 1.36333333333333 1304 0.00606322661042945 0.0680110026658623 0.115333333333333 630855.947905954
0.3 1 18733034 18737073.5 1.305 537 0.00221528770949721 0.413808464037989 0.1719 154644.866282528
0.31 1 20092871.5 20099553 1.2 637 0.00204988285714286 0.455423086626124 0.10625 231516.181512605
0.33 1 22166621 22176854 1.06 949 0.00364273 0.275666876216464 0.0583 749790.051457976
0.34 1 23817223 23824219 0.95 537 0.00652022 0.208807371530408 0.1275 613667.764705882
0.35 1 24655081 24658793 0.89 198 0.00647368 0.13236397226925 0.1757 442140.922026181
0.36 1 25352879.6666667 25359590.3333333 0.85 2378 0.00446268625273339 0.153787138243647 0.104133333333333 514266.021441748
0.37 1 27743006.75 27745958.75 0.705 513 0.00126418808966862 0.0802443389958088 0.257075 59011.0165361213
0.38 1 28250787 28255706 0.68 218 0.00393265 0.709707194894028 0.2417 195249.482829954
0.39 1 30916841.3333333 30920138 0.536666666666667 637 0.00471824662480377 0.127415778304948 0.350166666666667 161691.459774332
0.4 1 32807614.5 32815807 0.45 749 0.000771774285714286 0.251479892344542 0.1301 71185.9448775667
0.41 1 34083562 34088731 0.39 337 0.0017762 1.25389595766243 0.2016 105726.19047619
0.42 1 37113854.4 37148461.8 0.43 2530 0.00265388545059289 0.128696994271591 0.11344 280735.414378655
0.43 1 39678528.8 39690056.4 0.36 1984 0.00122998107862903 0.562228310652202 0.13104 112635.629911084
0.44 1 44209940 44216086 0.22 167 0 Inf 0.1183 0
0.45 1 52635103.6666667 52641401.047619 0.0871428571428571 7457 0.00217724727102052 0.259068167658757 0.128980952380952 202564.539724275
0.46 1 66890715.2 66896135.5333333 0.0606666666666667 3607 0.00156797561408373 0.110202863841125 0.111173333333333 169246.588231633
0.47 1 101097574.122222 101104690.233333 0.0223333333333333 27529 0.00297682216104087 0.222535041223413 0.135105555555556 264399.682053056
0.48 1 222864075.285714 222879001.771429 -0.00457142857142857 37489 0.0016575923278295 0.222950945753884 0.131586666666667 151163.552036331
0.49 1 336571777.118812 336579367.554455 0.0176237623762376 30691 0.00178525038724773 0.229094823069797 0.126884158415842 168839.080579015
0.5 1 378311113.6875 378316023.5625 0.075 5804 0.00220063597174363 0.226873789941423 0.163875 161144.9681826
0.51 1 384857633.705882 384862698.058824 0.0847058823529412 4334 0.00246230614997693 0.223976264902289 0.133870588235294 220718.18903036
0.52 1 396540393.766667 396546910.566667 0.105333333333333 10249 0.00249090129570252 0.231471118516847 0.128396666666667 232800.557245232
0.53 1 407078874.157895 407093064.578947 0.131052631578947 3554 0.00215870126874257 0.141241216602424 0.143852631578947 180076.060761491
0.54 1 412732050.5 412737101.375 0.14625 3652 0.00180279144304491 0.380073007900072 0.1507875 143470.097432074
0.55 1 419046520.363636 419055268.272727 0.157272727272727 4534 0.00215728381848258 0.443285852601693 0.115618181818182 223904.280578472
0.56 1 425716012.882353 425721935.176471 0.154117647058824 5141 0.00263254885819879 0.20830613934263 0.121223529411765 260597.810108965
0.57 1 433174817.714286 433185899.785714 0.122142857142857 6567 0.00289830781940003 0.0804285792656342 0.167107142857143 208128.110134304
0.58 1 438969543.058824 438981825.117647 0.16 5283 0.00318515203104297 0.182548496789611 0.132576470588235 288300.21045912
0.59 1 447429343.777778 447436563.222222 0.177777777777778 4893 0.00277614537502555 0.254506731317624 0.113344444444444 293915.989121419
0.6 1 452564286.923077 452571428.230769 0.228461538461538 5434 0.00180246942546927 0.416960409711534 0.130461538461538 165793.178286088
0.61 1 455731774.571429 455736276.142857 0.28 2285 0.00141125989496718 0.641832388971766 0.197757142857143 85635.9395920269
0.62 1 458775366.857143 458781429 0.337142857142857 2011 0.00240374316260567 0.220292750356723 0.1412 204284.121467904
0.63 1 462408535.875 462414842.625 0.38125 2366 0.0013309400887574 0.441407848528626 0.1104375 144618.277895541
0.64 1 464648751.2 464652785.6 0.408 1566 0.00353701942528736 0.189893840634072 0.23418 181246.191405962
0.65 1 467021964 467026471.5 0.43 441 0.00480134090702948 0 0.30575 188441.834454141
0.66 1 470043775.75 470048970 0.455 894 0.00204096420581655 0.369711444891051 0.15435 158675.545641715
0.67 1 471851835.25 471855898.25 0.4625 513 0.00548268269005848 0.0473553643945067 0.372625 176564.0852887
0.68 1 473839623.333333 473853546 0.48 1367 0.000836533492318947 0.927023828376274 0.225133333333333 44588.6966589903
0.69 1 475492537.25 475497799.5 0.4925 1150 0.00735316104347826 0.281729529821141 0.130625 675505.703515706
0.7 1 477540426.6 477547613.2 0.512 1979 0.00150189112531582 0.399169314627166 0.2326 77483.6350119939
0.71 1 479563857 479567121.666667 0.53 415 0.00747483493975904 0.0136668761513531 0.243 369127.651346125
0.72 1 481357322.333333 481361132 0.54 543 0.0105625365561694 0 0.282333333333333 448938.979955253
0.73 1 482692287 482699021 0.55 1366 0.00228855306734993 0.298061867839164 0.122775 223682.645556499
0.74 1 484057372.5 484063194 0.56 468 0.00385534025641026 0.022406000680907 0.424 109113.403483309
0.76 1 487103964 487106996 0.58 142 0.00284765 0 0.0918 372241.830065359
0.77 1 488564772.428571 488568657.857143 0.58 2012 0.00614193628727634 0.110105761511812 0.183085714285714 402561.36714358
0.78 1 489383278.333333 489386412.666667 0.59 710 0.00247515443661972 0.24302721301243 0.179333333333333 165623.716948531
0.79 1 491132881.8 491137391.2 0.594 1218 0.000116579865353038 3.14193529181416 0.35224 3971.60567861814
0.8 1 492730224.375 492735934.5 0.6 2618 0.00212613711459129 0.129904848475774 0.22275 114539.373176635
0.81 1 494762312.125 494767775 0.6075 4100 0.000968388215609756 0.154756197600378 0.1815625 64003.6273311784
0.82 1 496564301.2 496570092 0.61 662 0.00183849865936556 0 0.08742 252367.695177153
0.83 1 498597347 498612383.8 0.618 1671 0.00588370355475763 0.103737179246513 0.12944 545460.774544898
0.84 1 501810055.333333 501813715.5 0.631666666666667 1303 0.00188785430544896 0.131817235723961 0.1955 115878.525142647
0.85 1 504133535.166667 504139206.666667 0.645 2076 0.00240974812138728 0.227063937737958 0.1821 158797.240289113
0.86 1 506686775 506691470.5 0.67 1159 0.000966789577221743 0.63989131654725 0.1967 58980.5537705181
0.87 1 508010216.75 508014387.5 0.685 901 0.0013918771154273 0.352720423071206 0.219425 76119.5186743882
0.88 1 508793344 508798804.5 0.7075 1112 0.000641230089928058 0.531306069693555 0.192825 39905.412053088
0.89 1 509908118 509911201.333333 0.735 960 0.0080890804375 0.0659231187694153 0.306033333333333 317184.289020804
0.9 1 511011270.6 511018042 0.74 2039 0.00101678461206474 0.439330044086933 0.1539 79281.451233118
0.92 1 512600340.25 512604100.25 0.795 504 0.0028970780952381 0.36764072690207 0.21765 159728.633782941
0.93 1 513366607 513373715.5 0.835 2077 0.00350634514684641 0.0631862991921268 0.151575 277592.886440092
0.94 1 514436142 514439562.5 0.865 111 0 NA 0.1678 0
0.95 1 516065277.4 516069972 0.854 1079 0.00097971500463392 0.690293542932219 0.18816 62481.8242751225
0.96 1 516779324.8 516784581.8 0.818 1472 0.0052051283763587 0.107440411078593 0.18204 343119.866602419
0.97 1 518028289 518034993.75 0.7575 1376 0.00197618786555233 0.591143127312694 0.1683 140904.660645442
0.98 1 519468364.727273 519474138.363636 0.716363636363636 2885 0.00659280172963605 0.0919732670425085 0.1904 415512.714052692
0.99 1 521012034.333333 521023113.666667 0.713333333333333 1260 0.00846019733333333 0.0254358605977355 0.1491 680901.193829644
1 1 522651458.454545 522657272.818182 0.760909090909091 2313 0.00237079025335063 0.30465083980192 0.183172727272727 155315.05952766
1.01 1 524703566.625 524707977 0.89125 2178 0.00741715784940312 0.0877078961490408 0.2265875 392810.257374469
1.02 1 526032869.5 526037294.75 1.0175 1092 0.00501052350732601 0.153859701115107 0.22215 270656.232671223
1.03 1 526975515.25 526983973 1.065 1399 0.00132008004288778 0.953561748735773 0.12795 123805.865687013
1.04 1 528083172.333333 528089287 1.07 1575 0.00568465973968254 0.0721364334029708 0.122133333333333 558536.437305053
1.05 1 528704563.5 528709981 1.145 214 0.00571581308411215 0 0.14015 489402.475985343
1.06 1 529783559 529789476.333333 1.27333333333333 958 0.00490526346555324 0.440355117667478 0.125766666666667 468034.679989177
1.07 1 530072478.5 530077640.5 1.3 607 0.000438957429983526 1.10941361131415 0.11825 44545.3628735925
1.08 1 530812923 530818423.333333 1.35666666666667 473 0.00981794515856237 0.0810253578765204 0.166433333333333 707883.087739326
1.09 1 531641559.25 531644906.25 1.3975 613 0.00583072117455139 0.213499513439541 0.192425 363615.196022433
1.1 1 532241454.5 532249244.75 1.415 1378 0.00199068033091437 0.156772559223118 0.15805 151143.081119724
1.11 1 532780385 532784089 1.42 450 0.0118141856 0 0.199733333333333 709797.53271028
1.12 1 533221600.333333 533224890.333333 1.41666666666667 281 0.0119374943772242 0.0260951754892966 0.1737 824697.36630219
1.13 1 533836452 533839296 1.40333333333333 709 0.0044902332045134 0.108748687500043 0.2057 261948.461128638
1.14 1 534652330.75 534657408 1.3625 1033 0.0133060007550823 0.0555037007889732 0.209 763980.904598026
1.15 1 535399993.5 535405448 1.31 732 0.0157055858743169 0.148197554988106 0.16125 1168787.78599568
1.16 1 536130432.5 536166381.75 1.2375 2055 0.0119006411678832 0.125418070013738 0.170775 836233.020141113
1.17 1 537179186.5 537184607 1.155 2002 0.00246608714285714 0.269819402679034 0.114683333333333 258041.381028505
1.18 1 538492103.75 538497385.5 1.145 772 0.00379093974093264 0.335067419814986 0.094375 482026.775006005
1.19 1 539233895.833333 539239803.333333 1.09166666666667 3178 0.00395853865638766 0.166544166022134 0.296616666666667 160147.655930725
1.2 1 540933210.666667 540938546.333333 0.963333333333333 777 0.0127565761261261 0.0422815501629908 0.244133333333333 627029.957046068
1.21 1 541986545.666667 541991328.666667 0.913333333333333 1048 0.0107462386450382 0.0446389003267529 0.1348 956638.455047908
1.22 1 542908491.333333 542913869.666667 0.893333333333333 1219 0.00270166761279737 0.147594338795069 0.0844333333333333 383971.709675111
1.23 1 544015185.75 544019838.75 0.8925 1328 0.00461015079066265 0.0982767203445154 0.168675 327978.713430869
1.24 1 545045143.666667 545048092 0.896666666666667 550 0.0118724125818182 0.125225293414056 0.2932 485910.474017115
1.25 1 546104934 546148812 0.8825 1222 0.00292690396072013 0.15040908031317 0.293325 119740.381926674
1.26 1 547107730 547113139.166667 0.868333333333333 750 0.00301325201333333 0.205843758588866 0.176683333333333 204654.414640128
1.27 1 548119433.25 548123825.5 0.85 751 0.00557905500665779 0.083508085957916 0.134825 496559.689077645
1.28 1 548956808.555556 548962641.555556 0.833333333333333 3810 0.00691898629291339 0.129336157746291 0.139277777777778 596131.248212721
1.29 1 550405545 550412153.5 0.795 1710 0.00354904473684211 0.221331611100689 0.13965 304966.250211996
1.3 1 551599670.25 551605053.75 0.7625 1466 0.00930043107094134 0.0772732889689621 0.157225 709843.681674645
1.31 1 552822472.142857 552828018.857143 0.727142857142857 2179 0.0051750878155117 0.0471076042912845 0.119128571428571 521294.371630871
1.32 1 554335225.444444 554341073.222222 0.677777777777778 3166 0.00750888884396715 0.193023205033569 0.203555555555556 442663.752810291
1.33 1 556381201.818182 556387967.727273 0.619090909090909 6115 0.00286414385282093 0.126178152960138 0.124727272727273 275559.029571693
1.34 1 558180860 558188561 0.565 1093 0.00424596564501372 0.11361419998828 0.1996 255268.475652128
0 2 766021 832979 0.81 291 0.00231911 0 0.4427 62862.706121527
0.01 2 1342887 1353579 0.806666666666667 3311 0.00483248612201752 0.266771223679005 0.120166666666667 482578.364473317
0.02 2 3372128.75 3443740.25 0.8 1093 0.00535802699908509 0.0766577212193662 0.176875 363512.785803653
0.03 2 4371395.5 4379635 0.8 813 0.00143614848708487 0.0403011952701975 0.18095 95240.5738879163
0.04 2 5933289 5981320 0.8 539 0.0195213408163265 0.0324522320261332 0.17255 1357612.80669903
0.05 2 7691123 7695847 0.81 169 0.0200970414201183 0.0504729272170533 0.1734 1390798.71419504
0.06 2 9394510 9406741 0.81 1516 0.00423830936675462 0.10274168179831 0.132033333333333 385203.577892366
0.07 2 11515146.4 11518897.4 0.81 1070 0.0117204974953271 0.104413320364686 0.17182 818565.766173468
0.08 2 12644414.4 12670603.4 0.81 1343 0.0114287441250931 0.0906928485140225 0.153 896372.088242594
0.09 2 14304946 14315732.5 0.81 984 0.00491415056910569 0.178186489714488 0.1621 363786.593641384
0.1 2 16406629 16411125 0.8 507 0.00327784 0 0.1356 290074.336283186
0.12 2 18762340 18772893.2 0.81 1950 0.0019838017974359 0.141297828914492 0.12592 189053.53851041
0.13 2 19816329 19830076 0.81 2049 0.0136031 0.0722812447162779 0.1187 1375208.08761584
0.14 2 21600994.6666667 21606716.3333333 0.806666666666667 2273 0.00340765824461065 0.0917694115598444 0.20425 200205.13554628
0.15 2 22751947 22780160.25 0.8 1778 0.00480022643419572 0.114915424874619 0.191475 300836.752632713
0.16 2 23520780.5 23533841 0.8 713 0.00619895562412342 0.144499932233077 0.1723 431732.25472711
0.18 2 25986621.5 25993958.5 0.785 437 0.00981861647597254 0.177410468144925 0.1461 806457.205418689
0.19 2 27274542 27283581.3333333 0.773333333333333 767 0.00301276501955671 0.115708377180336 0.203766666666667 177424.408153185
