poscM Chromosome Start End recRate nb_complete_site piSyn f0
0 1D 1463872.875 1468530 6.17511919675377e-07 6868 0.0342162953392545 0.0491509646290522
0.01 1D 3965872 3970524.5 7.91043783222927e-07 295 0.0306397457627119 0.0564958000160421
0.02 1D 5327166.66666667 5332158.66666667 8.98186007715623e-07 454 0.00835136938325991 0.39821890509027
0.03 1D 5511254 5517977 9.13196172291157e-07 582 0.0448239 0.057601190436352
0.04 1D 6393481.25 6399145.75 9.86558156900533e-07 1422 0.0445099239099859 0.0733404188542362
0.05 1D 6772688.5 6776114 1.01880718595463e-06 444 0.0470910702702703 0.076103051461259
0.06 1D 7487543 7492403.5 9.76008496030621e-07 647 0.0266480041731066 0.0533185341044735
0.07 1D 9243830 9248884.08333333 9.45407021728588e-07 4039 0.0368117376083189 0.0344191794988972
0.08 1D 10690815.5 10697115 1.29229558679425e-06 442 0.0112095597285068 0.116692914866985
0.1 1D 11630859.6666667 11651233.3333333 1.16024726335024e-06 1406 0.0207406325746799 0.0197620780621888
0.11 1D 12201475.6666667 12206032 1.09296141099887e-06 509 0.0507103750491159 0.033277018688925
0.12 1D 14811765.75 14816569 4.1746532006882e-07 927 0.0193583889751888 0.0317649406909857
0.13 1D 16788305 16789896 7.84416690219333e-07 44 0 NA
0.15 1D 18197601 18200600 1.06667669937515e-06 636 0.0305596731132075 0.0611842612536589
0.16 1D 19707424 19715052.5 1.34749897320425e-06 3094 0.0123522944440853 0.108506838856606
0.17 1D 20826034 20827727 1.22497386660458e-06 78 0.0125 0
0.19 1D 21885424 21888853 1.06436469519594e-06 454 0.00555718 0.904957190517493
0.2 1D 22913536.6666667 22917876.3333333 1.02596242346743e-06 299 0.0227103431438127 0
0.21 1D 24399054 24402498.6666667 9.84558259357803e-07 762 0.0135344475065617 0.0827394412759742
0.22 1D 24779031 24786455 9.74006980762083e-07 238 0.0254237 0.0471056533864072
0.23 1D 25732394 25737271 9.47907618748164e-07 968 0.0162966577479339 0.0731195341497766
