poscM Chromosome Start End recRate nb_complete_site piSyn f0
0 1D 1441870.28571429 1447217.14285714 6.17622067730665e-07 7108 0.00675321255149128 0.0379660639637163
0.01 1D 3963719.5 3967548.5 7.9084805232784e-07 479 0.00638464538622129 0.0760542936724817
0.02 1D 5425602.66666667 5430557.33333333 9.06143155659198e-07 406 0.00489334068965517 0
0.03 1D 5511254 5517977 9.13196172291157e-07 631 0.00376963 0.252894315887766
0.04 1D 6279143 6293353.5 9.77238917052491e-07 1036 0.00303423777027027 0.438530345536934
0.05 1D 6757560.33333333 6761052 1.01750991396221e-06 655 0.0197521219847328 0.0711787162973983
0.06 1D 7487543 7492403.5 9.76008496030621e-07 663 0.00101827352941176 0
0.07 1D 9130710.33333333 9136307.22222222 9.07755073440066e-07 3205 0.0198369852199688 0.0433325049333151
0.08 1D 10772096.6666667 10776924.3333333 1.31709003626508e-06 789 0.00894931307984791 0.0970021651384557
0.1 1D 11580304.5 11587739.5 1.17433541115337e-06 1345 0.00925680172490706 0.128870139152303
0.11 1D 12085699.2 12090497.4 1.10965272371213e-06 559 0.00668814454382826 0.257052807616649
0.12 1D 14703452.4 14707503.2 3.62972892156522e-07 1448 0.0016743739640884 0.375174858171408
0.13 1D 17108881 17113137.3333333 8.55367213054208e-07 199 0.00766602010050251 0.302676013314647
0.15 1D 18107199.3333333 18110586.6666667 1.0389592380295e-06 868 0.0391306176267281 0.0442604652918888
0.16 1D 19582041.9 19587482.9 1.33719054563335e-06 3608 0.00852551078159645 0.0852922861170652
0.18 1D 21828436 21832490 1.07349020733297e-06 933 0.00460299 0.313200767327324
0.19 1D 22436448 22437772 1.03944558410579e-06 19 0 NA
0.2 1D 22883248 22888807 1.02679634502334e-06 312 0 Inf
0.21 1D 24286944.3333333 24292081.6666667 9.87637307737847e-07 911 0.0141759554335895 0.0176545117591162
0.22 1D 24779031 24786455 9.74006980762083e-07 230 0 NA
0.23 1D 25806653 25810798.6666667 9.45894765317149e-07 1238 0.00249343264135703 0.228706242632646
0.24 1D 27862652.8 27869461.8 8.90457296975697e-07 2332 0.000332493692109777 0.597685609764531
0.27 1D 31421662 31431937 7.97441065649626e-07 1016 0.00235294 0.251266925633463
0.28 1D 32737866 32740293 7.64103826208086e-07 151 0 NA
0.29 1D 33469805 33474180 7.48121521024002e-07 199 0 NA
