poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 211511.5 216575.25 NA 1636 0.0240355115525672 0.0156546025906365 0.23475 1228652.34773507
0.01 1 1326912.75 1332365.25 1.95333333333333 1836 0.0231046583333333 0.0718688080064361 0.107 2591176.63551402
0.02 1 2193995 2197810.5 1.935 500 0.0290949212 0.0383819097609379 0.15835 2204856.67445532
0.04 1 4107643 4126946.66666667 1.90666666666667 884 0.023766450678733 0.0499705962182213 0.193933333333333 1470595.09184323
0.05 1 4865617.25 4873004 1.8925 1033 0.0290841144627299 0.0576131218751251 0.274475 1271552.50406324
0.06 1 5502121 5508568 1.87 33 0.036999 0.305494743101165 0.197 2253746.1928934
0.07 1 6467087.5 6472859.5 1.84 410 0.0296583870731707 0.0306744055379161 0.1541 2309543.44502303
0.08 1 7217840 7229089 1.81 1209 0.0365028 0.0352227774307724 0.1075 4074731.1627907
0.09 1 7945074.5 7953901.5 1.785 260 0.0493280030769231 0 0.18735 3159519.81277329
0.1 1 8342823 8348788 1.77 147 0.0146571373469388 0.160275972256353 0.1835 958504.894622699
0.11 1 9026890.33333333 9033266 1.74 1009 0.0308148325074331 0.0267825354463887 0.152866666666667 2418957.63250674
0.14 1 10739577 10746629 1.7 349 0.00436999 0.239735102368655 0.2563 204603.511509949
0.16 1 11188338 11195149 1.68 25 0 NA 0.0512 0
0.2 1 12950868 12954667 1.59 207 0.0122741 0 0.284 518623.943661972
0.21 1 13552832.3333333 13562799.6666667 1.55333333333333 1123 0.01556559269813 0.0315202504489576 0.2395 779904.435814447
0.22 1 13725749 13735135 1.56 200 0.0161117 0 0.0907 2131647.18853363
0.25 1 15598792 15607504 1.63 768 0.0203307 0.166077901892212 0.0955 2554642.93193717
0.28 1 17566211 17571933 1.47 142 0.0313316 0.0414188870022597 0.1634 2300974.29620563
0.29 1 18224960.2 18231436.4 1.366 1768 0.00531678933257919 0.0978185659826594 0.1096 582130.218895531
0.3 1 18802466 18807666 1.3 312 0.0396173 0.0797717158917947 0.1234 3852573.7439222
0.31 1 20234720 20239868 1.19 482 0.0448949 0.0114719712038561 0.1045 5155395.21531101
0.33 1 22166621 22176854 1.06 792 0.000820494 0.657495362549879 0.0621 158549.565217391
0.34 1 23812071 23816472 0.95 775 0.0571084 0.0937259667579551 0.1699 4033553.85520895
0.35 1 24655081 24658793 0.89 55 0.0267857 0 0.1574 2042111.81702668
0.36 1 25352879.6666667 25359590.3333333 0.85 2786 0.00388422832376167 0.0341317510987896 0.108233333333333 430650.507100154
0.37 1 27535222.5 27539107.5 0.715 323 0.00948862352941176 0.364657327624601 0.2816 404344.752673797
0.39 1 30710833.25 30713962.5 0.5475 795 0.00415813397484277 0.224951740341461 0.347875 143435.451521705
0.41 1 33943225 33946827 0.395 492 0 NA 0.16645 0
0.42 1 37430594.6 37467732.6 0.424 3228 0.00425338397459727 0.125770436359177 0.097 526191.831908941
0.43 1 39894060 39907165.5 0.3525 2032 0.00151806585137795 0.401610086622702 0.11955 152378.002647724
0.45 1 52888658.3157895 52894499.1052632 0.0842105263157895 7599 0.00146840695354652 0.192904071768756 0.128047368421053 137612.226317813
0.46 1 67058740.75 67064813.5 0.0575 4033 0 Inf 0.112108333333333 0
0.47 1 100961931.03125 100969702 0.02328125 25960 0.000773223726502311 0.272951832211544 0.11676875 79462.0540001305
0.48 1 221867468.552083 221880363.270833 -0.0046875 38683 0.000385414964299563 0.240561025197996 0.120034375 38530.4590588717
