poscM Chromosome Start End recRate nb_complete_site piSyn f0
0 1D 1580107 1584929.1875 6.26120017326891e-07 7082 0.01611112009037 0.0522472073619163
0.01 1D 3963719.5 3967548.5 7.9084805232784e-07 435 0.02399606 0.0277823942763937
0.02 1D 5425513 5430556 9.06139680338369e-07 348 0.00649384022988506 0.189409150068119
0.03 1D 5511254 5517977 9.13196172291157e-07 651 0.00911508 0.19321168876192
0.04 1D 6328647.5 6336972.5 9.81164112860305e-07 1124 0.0301001423487544 0.0976146256742026
0.05 1D 6778533 6780323 1.01923951577083e-06 159 0.0175439 0
0.06 1D 7487543 7492403.5 9.76008496030621e-07 550 0.00706221109090909 0.391155249060422
0.07 1D 9347481.21428571 9352220.42857143 9.75560478228199e-07 4651 0.0217028789249624 0.0199596118786416
0.08 1D 10732559.5 10736626 1.3089501353939e-06 864 0.0209311182638889 0.0411287757139916
0.1 1D 11580304.5 11587739.5 1.17433541115337e-06 1120 0.0157773928571429 0.032271016169157
0.11 1D 12142684 12147731.25 1.10335058599272e-06 543 0.00703802493554328 0
0.12 1D 14744768.2 14749245 3.33972256055056e-07 1123 0.0137218786197685 0.146978773430153
0.15 1D 18107199.3333333 18110586.6666667 1.0389592380295e-06 880 0.0239082817954545 0
0.16 1D 19529676.5555556 19535224.8888889 1.33514601948072e-06 2648 0.0259814862537764 0.084271762412695
0.17 1D 20826034 20827727 1.22497386660458e-06 24 0 NA
0.18 1D 21828436 21832490 1.07349020733297e-06 17 0 NA
0.19 1D 21885424 21888853 1.06436469519594e-06 318 0 NA
0.2 1D 22947275.3333333 22952507.6666667 1.02500201154221e-06 585 0.00156121025641026 0.321556101556102
0.21 1D 24399054 24402498.6666667 9.84558259357803e-07 969 0.00514103168214654 0.0992136383783903
0.22 1D 24779031 24786455 9.74006980762083e-07 291 0.00337268 0.292695126724148
0.23 1D 25732394 25737271 9.47907618748164e-07 971 0.000960744346035015 0
0.24 1D 27863820.5 27871401.75 8.90417204394331e-07 2669 0.00107852869239416 0.101061761046129
0.27 1D 31421662 31431937 7.97441065649626e-07 985 0.00101626 0.285341349654616
0.28 1D 32640925 32643544 7.6654813905423e-07 311 0 NA
0.3 1D 34733574 34736854.6666667 7.214901644776e-07 1188 0.00356778401515152 0.398030838734154
0.32 1D 36792337.8 36797632.2 6.78427112521435e-07 3301 0.00253008503332324 0.136175960223916
0.33 1D 37545378.5 37552059.5 6.62776809866375e-07 505 0 NA
0.34 1D 38591145.8 38594428.8 6.41203733837539e-07 1685 0 NA
0.35 1D 39943215 39948696 6.1341024634116e-07 180 0 Inf
0.36 1D 41554997.75 41557098.125 5.80608624937383e-07 1835 0.00689856392370572 0.139086544316359
0.37 1D 43173708.6666667 43178988 5.47845694936579e-07 446 0 NA
0.38 1D 45287339.8 45291744 5.05569290931406e-07 1259 0 NA
0.39 1D 47789767 47798085 4.56037976501763e-07 689 0 Inf
0.4 1D 49656257.2222222 49663535.8888889 4.19591778221124e-07 4655 0.00129991097314715 0.237685927092771
0.41 1D 52751592 52757766.3333333 3.59920902121984e-07 698 0.00292136378223496 0
0.42 1D 55809231.2857143 55812858 3.02025969718257e-07 2601 0.000341748727412534 0
0.43 1D 59795337.2142857 59804717 2.27932608343201e-07 5335 0.00220769529034677 0.243788918510897
0.44 1D 71778914.3137255 71784264.745098 5.94673161382814e-08 17368 0.00120468324332105 0.38204521340331
0.45 1D 84610895.5 84616708.5 0 388 0 NA
0.46 1D 85633820 85640605.2 0 2594 0.000413846414803392 0
0.47 1D 87171325.75 87179454 0 3455 0.000270336208393632 0.613218982505142
0.48 1D 90944472.8333333 90948551.5833333 0 4797 0.000383022188868043 0.466882072766418
0.49 1D 117650755.184211 117656446.096491 0 40059 0.000588425029830999 0.264099633709053
0.5 1D 150285006.5 150301843 0 1076 0 NA
0.51 1D 153766195 153777481 0 1482 0.00131962153846154 0
0.52 1D 207783186.307692 207790935.906593 3.51777876481541e-08 64403 0.000723170795164822 0.215746627317555
0.53 1D 251101534.153846 251107405.153846 7.759284350594e-08 14436 0.000623637657037961 0.567440899199766
0.54 1D 262869337.129032 262875305.419355 8.80875776419266e-08 9504 0.00122109188026094 0.365185788820297
0.55 1D 281298293.577778 281303414.4 1.03590111857057e-07 13467 0 Inf
0.56 1D 293252964.478261 293257578.130435 1.1287914366076e-07 8687 0.000190926218832739 0
0.57 1D 301431063.242424 301436497.060606 1.19077535536146e-07 9356 0 Inf
0.58 1D 310052742.034483 310057644.655172 1.27019956555811e-07 10464 0 NA
0.59 1D 316514448.653846 316521381.076923 1.34374456227863e-07 8467 0.000122885400968466 0
0.6 1D 324398388.055556 324403275.055556 1.40027304676756e-07 5705 0 Inf
0.61 1D 329368671.888889 329374958.944444 1.42141294165333e-07 7034 0.000126983608188797 1.21873688357637
0.62 1D 335295880.086957 335301836.26087 1.45721824730415e-07 9918 0.0003458843456342 0.378114302247078
0.63 1D 343214388.771429 343219727.485714 1.52223989836094e-07 9332 0.00123604362516074 0.197304633178421
0.64 1D 349622797.809524 349627084.619048 1.58947784481563e-07 5896 0.000993035792062415 0.147407991710547
0.65 1D 356122670.0625 356127315.25 1.67106435897369e-07 4485 0.0011560778974359 0.108735737925966
0.66 1D 361857217.863636 361862361.409091 1.75491455818167e-07 7309 0.00109195103160487 0.402100981047768
0.67 1D 365906571.315789 365910511.157895 1.81994911250395e-07 5149 0.000743192588852204 0.132511194035389
0.68 1D 371147698.8 371151171.6 1.91535402326692e-07 3487 0.00391827479208489 0.191910296111457
0.69 1D 376032163.588235 376036460.294118 2.17352836194582e-07 4700 0.000212836196170213 0.576674871937926
0.7 1D 380964683.875 380968375.75 2.48797691740976e-07 5141 0.00038495675549504 0.289306324547538
0.71 1D 386262182.071429 386268256.071429 2.8449538180974e-07 6168 0.000163959873540856 0.8347046186386
0.72 1D 392076269.666667 392081286.333333 3.32374518162883e-07 3258 0.00541300511356661 0.163832175079726
0.73 1D 396142741.666667 396146172 3.76646269609924e-07 1892 0.000532894471458774 0
0.74 1D 399002377.75 399005825 4.00593911019556e-07 1080 0.00169069722222222 0.160655475798118
0.75 1D 400075840.8 400079505.4 4.06548606003472e-07 1064 0.00190469939849624 0.285545872057959
0.76 1D 402189082.75 402194241.75 4.14057322414562e-07 556 0 NA
0.77 1D 403510876.875 403514181.9375 4.15976374818275e-07 3880 0.0118454746030928 0.112771473366087
0.78 1D 406038975.2 406042703.8 4.13860956226628e-07 1117 0 NA
0.79 1D 408366718.777778 408370552.444444 4.13846363446538e-07 2955 0 Inf
0.8 1D 410264184.857143 410270194 4.19825409358056e-07 3252 0 Inf
0.81 1D 412029942.333333 412038037 4.30543173313123e-07 1554 0.00133563042471042 0
0.82 1D 413903623.833333 413906859.166667 4.35068920595022e-07 912 0.0192066893640351 0.0328815663507495
0.83 1D 415793987 415798923.714286 4.29052843556139e-07 2267 0.00127770410233789 0.372598584691222
0.84 1D 418958743.125 418963846.125 4.90194557987294e-07 4025 0.00023788240173913 0.90636650574379
0.85 1D 422366622.315789 422374476.315789 5.1063032300981e-07 7650 0.0014673452379085 0.240301042287737
0.86 1D 426165850.5 426169497.125 5.46542526147892e-07 3442 0.00955781751016851 0.345539175652219
0.87 1D 430416501 430420775 6.17942033184554e-07 259 0 Inf
0.88 1D 430564939 430573646 6.20568788217035e-07 1215 0.00170721 0.272695801922435
0.89 1D 430976701 430983376 6.27658063680163e-07 610 0.0176282 0
0.9 1D 431790881 431795856.2 6.41382775298851e-07 2166 0.00800339450600185 0.0166794197002916
0.91 1D 432058408 432062311.333333 6.4579507217574e-07 1115 0.00691914914798206 0
0.92 1D 432876223.5 432881684.25 6.59044544466044e-07 1647 0.00716562304189435 0.0246465389675524
0.93 1D 433589805.75 433595731.75 6.70243045010407e-07 1318 0.00265824842943854 0.0821303377850641
0.95 1D 435762734.8 435765826 7.0243438344807e-07 1160 0 NA
0.96 1D 436485566 436489942.333333 7.12478452765874e-07 965 0.00311093904663212 0
0.97 1D 437432659 437437008.5 7.33534519686398e-07 813 0 NA
0.98 1D 439046046 439050693.5 7.70078642014393e-07 720 0.013968546375 0.0285747332181593
0.99 1D 440011140.2 440015139 7.40385288047261e-07 1251 0.0173604257394085 0.0132147038981121
1 1D 443700553.384615 443705051.461538 7.21222347098256e-07 4604 0.00548820498045178 0.136479226433997
1.01 1D 445985051.857143 445989461.571429 7.29024176357346e-07 2068 0.0197958733075435 0.0818501208636522
1.02 1D 446981946.5 446985864 7.2825582144251e-07 691 0.00289217678726483 0
1.03 1D 447957027.5 447960773.833333 7.25461041954832e-07 1037 0.0158355262873674 0.169985462347458
1.04 1D 449295667.5 449297885.5 7.25179357756559e-07 220 0.0183127763636364 0.140996286050464
