poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.01 1A 269472 289602 NA 131 0 NA
0.03 1A 1225759 1233014 1.28145444150604e-06 1142 0.000707501973730298 0.858882058108756
0.07 1A 3119378 3122276 1.23125516685771e-06 60 0 NA
0.08 1A 3403685.33333333 3408569 1.22348203918487e-06 616 0 NA
0.12 1A 5491027 5495112 1.15658401937862e-06 90 0.0178771 0.141838441357938
0.15 1A 7417672.5 7427479 1.10124111080895e-06 103 0 Inf
0.16 1A 8239469 8244826 1.07686217957833e-06 50 0 Inf
0.17 1A 9104841 9110639 1.05050385683924e-06 49 0 NA
0.18 1A 9642195 9644901 1.03388630009487e-06 79 0.0372093 0.0797773674860855
0.19 1A 10066113 10069211 1.02151723414911e-06 378 0.00212766 0
0.21 1A 12014836.25 12018937.25 9.6904305451861e-07 824 0.00577078959951456 0.0489935411090904
0.22 1A 13762566 13768572 9.23164064854122e-07 546 0 NA
0.23 1A 14928293 14932469.8 8.89064798065808e-07 522 0.00709712586206896 0.063135554549806
0.24 1A 16931434 16934477 8.31349589658753e-07 99 0 NA
0.26 1A 19895297 19897721 7.53136045557493e-07 33 0.015625 0
0.27 1A 20091099 20094848 7.48232890360506e-07 71 0 NA
0.28 1A 21745088.3333333 21754604.3333333 7.08351508672709e-07 730 0 NA
0.3 1A 24409602.3333333 24412719.6666667 6.43139171862687e-07 409 0 NA
0.31 1A 25539196 25545141 6.09162871839144e-07 554 0 NA
0.32 1A 27895509.25 27902278.25 5.32051309875538e-07 1404 0.00268019891737892 0.0618548367088712
0.33 1A 29186383 29192077 4.92259893513656e-07 153 0 NA
0.34 1A 33448850.5 33454939.5 4.23837678003901e-07 1670 0 NA
0.35 1A 36196311.4 36201979 3.36765523616747e-07 716 0 Inf
0.36 1A 41679386.8333333 41686392.6666667 2.21498174957362e-07 505 0.00445336396039604 0.102016195299777
0.37 1A 45668347 45673189.5 2.30131335000653e-07 650 0.00112688786153846 0
0.38 1A 48709970.5 48717047.5 2.24821388201567e-07 264 0.0029811634469697 0
0.39 1A 53378090 53382679 1.79297420316662e-07 952 0 Inf
0.4 1A 58914265.4285714 58919528.7142857 1.48824759032402e-07 1457 0.000561711736444749 0
0.41 1A 64767318.75 64771008.9166667 1.30821120607074e-07 2499 0.00050959881552621 0.591150471024669
0.42 1A 79101581.875 79108225.875 5.29868792247527e-08 5622 0.000139913269299182 0.735556661874689
0.43 1A 149850198.296296 149858024.787037 4.68623717861907e-09 24690 0.000217674888213852 0.386153648209488
0.44 1A 282771232.390625 282778364.21875 1.17099537276002e-08 13595 0.000114774300845899 0.531271002650663
0.45 1A 330650235.238095 330659141.809524 3.11155445852581e-08 7328 0.000105212363537118 0
0.46 1A 354944976.666667 354950570.904762 2.36123392531334e-08 4043 0.000190163344051447 0.294115321142348
0.47 1A 368505506.466667 368511138.8 1.50175681952084e-08 2779 0.000565242256207269 0.145200919911147
0.48 1A 379236266.75 379244140.083333 1.41619138321163e-08 2099 0 Inf
0.49 1A 393876126.75 393883656.375 2.14622413218881e-08 5630 0.000132992759325044 0.937473791208615
0.5 1A 427199784.473684 427205763.736842 7.49351584073347e-08 7680 0.000898694532552083 0.133405481484854
0.51 1A 447903576.448276 447909571.344828 1.32755680094324e-07 5189 0.000293826417421468 0.149915803159104
0.52 1A 459051817.857143 459056455.071429 1.82052972669593e-07 2532 0.00121038449052133 0.194697285767429
0.53 1A 464625413.1 464629316.7 2.09660923781099e-07 1493 0.000511960616208975 0
0.54 1A 470449447.333333 470453333.666667 2.39502050371176e-07 1203 0 Inf
0.55 1A 473976338 473979784 2.58016677360084e-07 658 0 NA
0.56 1A 478636552 478643488.333333 2.84050884983133e-07 648 0 NA
0.57 1A 482020393.846154 482023749.692308 3.04640350037489e-07 2109 0.000375713684210526 0
0.58 1A 485772041.166667 485778305.833333 3.28765514002533e-07 2171 0.000960785177337633 0.109233846633824
0.59 1A 487843305.666667 487849164.333333 3.42654562040759e-07 921 0 Inf
0.61 1A 493611585.25 493614639.75 3.79796136366456e-07 557 0 NA
0.62 1A 494943518.5 494948047 3.8447332583479e-07 169 0 NA
0.63 1A 496557717 496562939.5 3.88331965752947e-07 636 0.00132053317610063 0.451454178444932
0.64 1A 498362591.6 498366308 3.90165083786179e-07 641 0.00388281809672387 0
0.65 1A 500352550 500356497 3.89251098913376e-07 834 0 NA
0.66 1A 502992525 502997618.5 3.89484378988289e-07 1175 0.000713134259574468 0
0.67 1A 506254542.833333 506260139.666667 3.96331639130919e-07 667 0.00218982512743628 0
0.68 1A 510067909 510070494.5 3.84018092129111e-07 168 0.00896903571428571 0
0.69 1A 513704002 513709450.666667 3.2948385680139e-07 1522 0.00103161243758213 0
0.7 1A 516509086.571429 516515043.857143 3.28965323229567e-07 2794 0 Inf
0.71 1A 518895393.6 518902055.2 3.44706785136917e-07 2057 0.000787151424404473 0.862485979858032
0.72 1A 520604178.333333 520608052.333333 3.45288809963581e-07 194 0 Inf
0.73 1A 521306413 521310240 3.47022633096285e-07 219 0 NA
0.74 1A 522950013 522953483 3.54444092547726e-07 35 0 NA
0.75 1A 528876540 528881642 4.23055165037433e-07 2368 0 Inf
0.76 1A 532408674.5 532415078.5 4.56513699815355e-07 1284 0.000654033566978193 0.169062697559394
0.77 1A 534475995 534479879.2 4.67992940064518e-07 1110 0.000635693783783784 0.673602480995085
0.78 1A 536482033.333333 536486226.333333 4.43176164453772e-07 268 0 Inf
0.79 1A 537652724.2 537657647 4.35567456989524e-07 1553 0.000495410315518352 0
0.81 1A 540133892 540138751.333333 5.0243293209995e-07 1290 0 NA
0.82 1A 541903534.25 541907835.5 6.22659657393722e-07 686 0.0011714106122449 0
0.83 1A 542436899 542443489 6.70540441152867e-07 117 0 NA
0.84 1A 544216840.833333 544221307.5 8.21620141866861e-07 1232 0 Inf
0.85 1A 547022618.333333 547028885.166667 1.07608703844772e-06 1526 0.00208693885976409 0
0.86 1A 549528092.285714 549533433.857143 1.26405763120808e-06 1439 0.00128398054204309 0.446534132042467
0.87 1A 551645102.5 551648790.5 1.4112307543437e-06 1165 0.00352781682403433 0
0.89 1A 553704158 553707207 1.60887420646116e-06 209 0.0040404 0
0.9 1A 554407118.5 554413747.5 1.65793184980608e-06 623 0.0100712762921348 0.0362565367212748
0.91 1A 554887656 554890251 1.68619660190251e-06 97 0.0377953 0
0.92 1A 555636929.5 555640137.5 1.72168811259233e-06 134 0.00580276537313433 0
0.93 1A 556297389 556306081 1.74436526871546e-06 458 0.00164384 0.618247518006619
0.94 1A 556794147 556798215 1.75594225505569e-06 150 0.006198192 0
0.95 1A 557055856 557059523.5 1.76013585221021e-06 56 0 NA
0.96 1A 557487151 557491334 1.76450617803736e-06 361 0.0124514 0.103712032381901
0.98 1A 557932558 557937076 1.76528779886154e-06 11 0 NA
0.99 1A 558184883 558189224 1.76409132394855e-06 233 0.00327422 0
1 1A 558505998 558517659 1.76080570943263e-06 787 0.0050923 0.285014629931465
1.02 1A 558976150 558979576 1.75265955870495e-06 89 0 NA
1.07 1A 560456487 560463748 1.69985954765578e-06 195 0.00408163 0
1.08 1A 560953573 560957461 1.67308968430037e-06 226 0.00694773539823009 0
1.09 1A 561335324 561346990 1.64908765145755e-06 90 0 NA
1.1 1A 562004636 562010277 1.60107894397402e-06 588 0 Inf
1.11 1A 562561157.5 562564167 1.55422831280034e-06 127 0 NA
1.14 1A 564264417 564269505.666667 1.37662985299256e-06 988 0.00241403697368421 0
1.16 1A 566036057.666667 566041133.333333 1.22550865907912e-06 528 0 NA
1.17 1A 566505469 566508290.8 1.21323158290673e-06 804 0.000939085124378109 0
1.18 1A 567994633 568000605.25 1.16241269501876e-06 1338 0.00290074140508221 0
1.19 1A 570622420 570628514.666667 1.06547048345346e-06 438 0.00322135095890411 0
1.2 1A 572192425 572196839.666667 1.00463914584926e-06 1055 0.00146577093838863 0.298576242498052
1.21 1A 573437165 573441927.666667 9.51913143763664e-07 935 0.00178435764705882 0
1.22 1A 575323674 575328055.333333 8.85412200401948e-07 649 0 Inf
1.23 1A 576656517.166667 576662817.5 8.37913642582324e-07 846 0.0033399158392435 0.417455628756943
