poscM Chromosome Start End GenDens
0 chr1H 211162 221529 10367
0.002 chr1H 1615589 1642848 27259
0.003 chr1H 416845 425630 8785
0.004 chr1H 1468444 1476045 7601
0.005 chr1H 3370395 3388672 18277
0.006 chr1H 781290 786860 5570
0.007 chr1H 944056 947991 3935
0.008 chr1H 968286 979886 11600
0.009 chr1H 4540398 4725296 184898
0.01 chr1H 2506036 2509110 3074
0.011 chr1H 3936991 4025302 88311
0.012 chr1H 4300230 4312105 11875
0.013 chr1H 7677026 7697102 20076
0.014 chr1H 4855186 4864480 9294
0.015 chr1H 3553458 3567378 13920
0.016 chr1H 5724595 5736645 12050
0.017 chr1H 1932835 1933566 731
0.019 chr1H 2199702 2206634 6932
0.02 chr1H 11406422 11433806 27384
0.021 chr1H 7207136 7214968 7832
0.022 chr1H 9984762 10298685 313923
0.023 chr1H 12808488 12815708 7220
0.024 chr1H 10642418 10763184 120766
0.025 chr1H 8285463 8291910 6447
0.026 chr1H 2906403 2906540 137
0.027 chr1H 5864437 5865302 865
0.028 chr1H 3090838 3091923 1085
0.029 chr1H 3183699 3190819 7120
0.03 chr1H 6447459 6453553 6094
0.031 chr1H 6686508 6699101 12593
0.032 chr1H 6894491 6901050 6559
0.033 chr1H 7010653 7016109 5456
0.035 chr1H 25710192 25844315 134123
0.036 chr1H 33923223 33952103 28880
0.037 chr1H 15490124 15509810 19686
0.038 chr1H 3912406 3939515 27109
0.04 chr1H 12415012 12439334 24322
0.041 chr1H 29327060 29340803 13743
0.042 chr1H 25712256 25781909 69653
0.043 chr1H 13059246 13064021 4775
0.044 chr1H 8820804 8825448 4644
0.045 chr1H 4519581 4521429 1848
0.046 chr1H 9202275 9208559 6284
0.047 chr1H 13983989 13994568 10579
0.048 chr1H 14278737 14296499 17762
0.049 chr1H 9651329 9761067 109738
0.05 chr1H 9905787 9912192 6405
0.051 chr1H 25003491 25065024 61533
0.052 chr1H 5079153 5080087 934
0.053 chr1H 25755924 25823900 67976
0.054 chr1H 10498276 10502476 4200
0.055 chr1H 21156519 21172881 16362
0.057 chr1H 5502121 5508568 6447
0.058 chr1H 5571792 5574337 2545
0.059 chr1H 16758641 16764364 5723
0.061 chr1H 23032581 23047143 14562
0.063 chr1H 23645957 23682941 36984
0.064 chr1H 17957364 17963346 5982
0.067 chr1H 6242905 6244743 1838
0.068 chr1H 18821592 18841805 20213
0.069 chr1H 25327984 25343247 15263
0.07 chr1H 19277974 19280786 2812
0.071 chr1H 13036393 13057330 20937
0.072 chr1H 13112145 13134875 22730
0.073 chr1H 6616292 6617247 955
0.074 chr1H 13429864 13437628 7764
0.077 chr1H 6926282 6929910 3628
0.078 chr1H 6994699 7004921 10222
0.079 chr1H 14113467 14132058 18591
0.08 chr1H 14279557 14293476 13919
0.081 chr1H 14434733 14446415 11682
0.083 chr1H 7321806 7326275 4469
0.084 chr1H 29579170 29668945 89775
0.085 chr1H 7488854 7489673 819
