Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_longissima_Tr240_LON01_Contig10_simExt	TraesCS5A02G417000	827	1.4666309141423	0	0.952841596130592	91.572
Ae_longissima_Tr240_LON01_Contig1001_simExt	TraesCS1A02G285000	470	1.58936170212766	0	1	95.319
Ae_longissima_Tr240_LON01_Contig1005	TraesCS2A02G464400	389	1.01936707611439	9.35e-171	1	94.872
Ae_longissima_Tr240_LON01_Contig1007_simExt	TraesCS7A02G284300	1391	1.73318777292576	7.59912663755459e-67	0.849029475197699	98.030350550381
Ae_longissima_Tr240_LON01_Contig1008_simExt	TraesCS7A02G553100	2170	1.6390060947023	2.74219409282701e-25	0.871889400921659	96.5292300916138
Ae_longissima_Tr240_LON01_Contig101_simExt	TraesCS4A02G267000	978	1.99374210073311	0	0.998977505112474	97.137
Ae_longissima_Tr240_LON01_Contig1024	TraesCS7A02G517700	2648	1.66674213266923	1.27053656327824e-134	0.856117824773414	96.7476839435377
Ae_longissima_Tr240_LON01_Contig1026	TraesCS6A02G255500	344	0.919213164388401	3.03e-150	1	95.058
Ae_longissima_Tr240_LON01_Contig103_simExt	TraesCS1A02G179000	1397	1.71280563613759	1.19204309987567e-95	0.87831066571224	97.597065199674
Ae_longissima_Tr240_LON01_Contig1037_simExt	TraesCS5A02G084700	692	1.79371201927589	0	1	98.699
Ae_longissima_Tr240_LON01_Contig1039_simExt	TraesCS2A02G254600	526	1.79569327731092	7.60210084033613e-110	1	99.0522100760456
Ae_longissima_Tr240_LON01_Contig1047_simExt	TraesCS6A02G179300	957	1.74377224199288	0	0.980146290491118	98.4730964818763
Ae_longissima_Tr240_LON01_Contig1052_simExt	TraesCS3A02G200100	1921	1.64305177111717	7.23705722070845e-27	0.950546590317543	96.5114720700986
Ae_longissima_Tr240_LON01_Contig1060_ESTScan	TraesCS2A02G120000	965	1.75790452980137	0	0.893264248704663	95.838
Ae_longissima_Tr240_LON01_Contig1071_simExt	TraesCS5A02G121100	657	1.65261771485018	9.89845242015146e-24	1	96.5912140030441
Ae_longissima_Tr240_LON01_Contig1074_simExt	TraesCS3A02G333300	398	1.04983659962346	7.36e-177	1	94.472
