poscM Chromosome Start End GenDens
0 1B 627874 640297 12423
0.01 1B 2315396 2325102 9706
0.02 1B 21930838 22066451 135613
0.03 1B 38575162 38677208 102046
0.04 1B 15993412 16008479 15067
0.05 1B 29794531 29828178 33647
0.06 1B 85641180 85732653 91473
0.07 1B 141626894 141733561 106667
0.08 1B 113524208 113557778 33570
0.09 1B 125275892 125324515 48623
0.1 1B 85580211 85612871 32660
0.11 1B 141541502 141579778 38276
0.12 1B 192705255 192782051 76796
0.13 1B 250237254 250325883 88629
0.14 1B 143117844 143173920 56076
0.15 1B 137474157 137512893 38736
0.16 1B 238592087 238644461 52374
0.17 1B 268995192 269054207 59015
0.18 1B 292806257 292921064 114807
0.19 1B 524364751 524452342 87591
0.2 1B 707885641 708013585 127944
0.21 1B 377421635 377492734 71099
0.22 1B 349607880 349663116 55236
0.23 1B 378450485 378498995 48510
0.24 1B 265047410 265086959 39549
0.25 1B 381647400 381682487 35087
0.26 1B 434322404 434374359 51955
0.27 1B 698912102 699003207 91105
0.28 1B 969604642 969688152 83510
0.29 1B 2138415141 2138590590 175449
0.3 1B 126834594 126839467 4873
0.31 1B 619631826 619678785 46959
0.32 1B 1723556521 1723679882 123361
0.33 1B 2216941560 2217040742 99182
0.34 1B 1279364526 1279414696 50170
0.35 1B 1658355462 1658425762 70300
0.36 1B 1283656417 1283722465 66048
0.37 1B 1264828941 1264888273 59332
0.38 1B 2007618805 2007714032 95227
0.39 1B 2998814366 2998992532 178166
0.4 1B 1051155398 1051189764 34366
0.41 1B 9789667184 9790092801 425617
0.42 1B 19571039946 19571613651 573705
0.43 1B 103913937195 103916760658 2823463
0.44 1B 74677687487 74678731967 1044480
0.45 1B 55270160802 55270791931 631129
0.46 1B 52548083262 52548583379 500117
0.47 1B 55038244451 55038792134 547683
0.48 1B 45929839360 45930194564 355204
0.49 1B 35427288732 35427632032 343300
0.5 1B 34579435382 34579769519 334137
0.51 1B 26099403292 26099613934 210642
0.52 1B 22808820492 22809001839 181347
0.53 1B 26096575363 26096754527 179164
0.54 1B 32377699259 32377898685 199426
0.55 1B 24532437148 24532645581 208433
0.56 1B 31162635275 31162833497 198222
0.57 1B 30670317667 30670488932 171265
0.58 1B 17875238780 17875322776 83996
0.59 1B 23898402542 23898521091 118549
0.6 1B 16608617346 16608714295 96949
0.61 1B 17277233645 17277337486 103841
0.62 1B 15200370591 15200445629 75038
0.63 1B 13627525416 13627585310 59894
0.64 1B 14263205631 14263278524 72893
0.65 1B 12689599009 12689657078 58069
0.66 1B 22208103867 22208228025 124158
0.67 1B 15640097342 15640161105 63763
0.68 1B 18563165202 18563262820 97618
0.69 1B 15865525477 15865606526 81049
0.7 1B 18241619521 18241758021 138500
0.71 1B 14335314919 14335407682 92763
0.72 1B 15579888224 15579979627 91403
0.73 1B 40796562986 40796756540 193554
0.74 1B 37072603645 37072850794 247149
0.75 1B 17213557952 17213652670 94718
0.76 1B 37138029535 37138174598 145063
0.77 1B 18719964060 18720052310 88250
0.78 1B 12751584916 12751653999 69083
0.79 1B 10372335546 10372428949 93403
0.8 1B 12257539131 12257614700 75569
0.81 1B 15366223354 15366285201 61847
0.82 1B 5546931806 5546945612 13806
0.83 1B 4946268809 4946291164 22355
0.84 1B 6816807116 6816819050 11934
0.85 1B 14925171359 14925267371 96012
0.86 1B 13095827007 13095879302 52295
0.87 1B 23783613817 23783711720 97903
0.88 1B 19476084171 19476148307 64136
0.89 1B 27766340606 27766483134 142528
0.9 1B 36768306182 36768441183 135001
0.91 1B 29329360651 29329448711 88060
0.92 1B 12148594890 12148656367 61477
0.93 1B 7690381889 7690427208 45319
0.94 1B 12837210992 12837269990 58998
0.95 1B 12214230740 12214292638 61898
0.96 1B 2574544361 2574563802 19441
0.97 1B 2579506958 2579513862 6904
0.98 1B 16138527455 16138575857 48402
0.99 1B 3234290066 3234311308 21242
1 1B 3241329506 3241345126 15620
1.01 1B 30664551637 30664656364 104727
1.02 1B 15724146807 15724215872 69065
1.03 1B 13152218908 13152274200 55292
1.04 1B 23741244951 23741302846 57895
1.05 1B 15863040531 15863115361 74830
1.06 1B 14572141332 14572201906 60574
1.07 1B 3981839635 3981855881 16246
1.08 1B 5981617584 5981646427 28843
1.09 1B 11308143603 11308177366 33763
1.1 1B 5328814065 5328833893 19828
1.11 1B 6668747861 6668807818 59957
1.12 1B 8009909238 8009947023 37785
1.13 1B 10020326019 10020360400 34381
1.14 1B 6018122620 6018147476 24856
1.15 1B 10705170864 10705211010 40146
1.16 1B 6697335881 6697364886 29005
1.17 1B 8712465726 8712511165 45439
1.18 1B 8049507778 8049527284 19506
1.19 1B 6042472307 6042492685 20378
1.2 1B 8069957046 8069969907 12861
1.21 1B 3365142575 3365161014 18439
1.22 1B 11456562272 11456623189 60917
1.23 1B 11468861774 11468907725 45951
1.24 1B 12162114569 12162168376 53807
1.25 1B 14881861978 14881957409 95431
1.26 1B 12193947494 12194044513 97019
1.27 1B 14247409785 14247497484 87699
1.28 1B 9514422994 9514465774 42780
1.29 1B 6809946567 6809975863 29296
1.3 1B 6136388027 6136422497 34470
1.31 1B 11623438800 11623483129 44329
1.32 1B 26083781341 26083920248 138907
1.33 1B 11019048221 11019096001 47780
0 2B 3312815 3349804 36989
0.01 2B 36091018 36199045 108027
0.02 2B 30062438 30092599 30161
0.03 2B 71987785 72041899 54114
0.04 2B 130092304 130175247 82943
0.05 2B 234198422 234351812 153390
0.06 2B 206799156 206895833 96677
0.07 2B 222851910 222925976 74066
0.08 2B 110874086 110926352 52266
0.09 2B 229094678 229180435 85757
0.1 2B 302983130 303086622 103492
0.11 2B 84158064 84168660 10596
0.12 2B 395805982 395899012 93030
0.13 2B 267457318 267533537 76219
0.14 2B 105447541 105467298 19757
0.15 2B 255642198 255732846 90648
0.16 2B 564513650 564598290 84640
0.17 2B 591207144 591346781 139637
0.18 2B 339709771 339813602 103831
0.19 2B 237145478 237182968 37490
0.2 2B 82058995 82072042 13047
0.21 2B 195523646 195559004 35358
0.22 2B 223647446 223690939 43493
0.23 2B 443944697 444007054 62357
0.24 2B 360568737 360615654 46917
0.25 2B 648854225 648966650 112425
0.26 2B 256309436 256358933 49497
0.27 2B 554666205 554758459 92254
0.28 2B 436141703 436186160 44457
0.29 2B 591113262 591209323 96061
0.3 2B 667431259 667489526 58267
0.31 2B 507811273 507829436 18163
0.32 2B 397762449 397806053 43604
0.33 2B 157456005 157474904 18899
0.34 2B 228839657 228897771 58114
0.35 2B 370837044 370866093 29049
0.36 2B 450673441 450699677 26236
0.37 2B 178138078 178154885 16807
0.38 2B 1083514377 1083632964 118587
0.39 2B 661775309 661832334 57025
0.4 2B 1098709981 1098812563 102582
0.41 2B 376934837 376969797 34960
0.42 2B 916982796 917051867 69071
0.43 2B 1631630536 1631745086 114550
0.44 2B 1704266144 1704416352 150208
0.45 2B 1596401071 1596508849 107778
0.46 2B 1793971875 1794057564 85689
0.47 2B 1990893096 1991027355 134259
0.48 2B 2539934988 2540056108 121120
0.49 2B 2371642985 2371767340 124355
0.5 2B 1343159062 1343201681 42619
0.51 2B 1385999460 1386055056 55596
0.52 2B 1592495028 1592580743 85715
0.53 2B 979954264 979988160 33896
0.54 2B 1393401980 1393462422 60442
0.55 2B 1189691313 1189749915 58602
0.56 2B 885811545 885856232 44687
0.57 2B 493501914 493515229 13315
0.58 2B 678825091 678844936 19845
0.59 2B 520594395 520614574 20179
0.6 2B 2488254817 2488354095 99278
0.61 2B 1091930642 1091974109 43467
0.62 2B 2153602992 2153637165 34173
0.63 2B 3456998797 3457112023 113226
0.64 2B 3253457413 3253561863 104450
0.65 2B 2325638993 2325697220 58227
0.66 2B 4091342274 4091466775 124501
0.67 2B 5338967129 5339113387 146258
0.68 2B 6380485076 6380679372 194296
0.69 2B 12127757413 12128084391 326978
0.7 2B 13023784213 13024154511 370298
0.71 2B 7227341211 7227479456 138245
0.72 2B 8916744412 8916898287 153875
0.73 2B 9109438966 9109610106 171140
0.74 2B 9296611928 9296824728 212800
0.75 2B 10804209806 10804414551 204745
0.76 2B 24118919168 24119470743 551575
0.77 2B 22293601064 22293957481 356417
0.78 2B 19805156369 19805529338 372969
0.79 2B 30005255430 30005700258 444828
0.8 2B 21282273669 21282709444 435775
0.81 2B 54393749672 54394960698 1211026
0.82 2B 136832254700 136833746513 1491813
0.83 2B 60068291812 60068698251 406439
0.84 2B 38055894226 38056233551 339325
0.85 2B 46838344023 46838669589 325566
0.86 2B 64953353193 64953749592 396399
0.87 2B 45307249837 45307552448 302611
0.88 2B 31680337083 31680575807 238724
0.89 2B 31732348140 31732552016 203876
0.9 2B 23716852873 23716992328 139455
0.91 2B 40977707450 40978011752 304302
0.92 2B 32642032672 32642202522 169850
0.93 2B 28582548397 28582712527 164130
0.94 2B 53094987535 53095277947 290412
0.95 2B 38576756788 38576976159 219371
0.96 2B 41823468040 41823694324 226284
0.97 2B 45831917524 45832246471 328947
0.98 2B 40378880120 40379091197 211077
0.99 2B 51818158826 51818430723 271897
1 2B 64262474438 64262853740 379302
1.01 2B 68021192358 68021536020 343662
1.02 2B 39165039614 39165255573 215959
1.03 2B 49710072093 49710247671 175578
1.04 2B 46895297840 46895481862 184022
1.05 2B 41148197357 41148373412 176055
1.06 2B 77031463904 77031770712 306808
1.07 2B 42113164969 42113392101 227132
1.08 2B 48887183541 48887361018 177477
1.09 2B 42154232893 42154383547 150654
1.1 2B 46821164896 46821423489 258593
1.11 2B 45144319375 45144508104 188729
1.12 2B 31523556809 31523696708 139899
1.13 2B 9578531089 9578555428 24339
1.14 2B 8120588405 8120612368 23963
1.15 2B 14819450506 14819520496 69990
1.16 2B 12619029000 12619081207 52207
1.17 2B 18601615723 18601699836 84113
1.18 2B 12677641196 12677696532 55336
1.19 2B 6722354454 6722382504 28050
1.2 2B 10476049450 10476100657 51207
1.21 2B 13486432415 13486474502 42087
1.22 2B 6750759649 6750785383 25734
1.23 2B 10521012836 10521056144 43308
1.24 2B 10536069043 10536111707 42664
1.25 2B 15826645469 15826687790 42321
1.26 2B 18109843915 18109881310 37395
1.27 2B 8313791446 8313820401 28955
1.28 2B 15138884274 15138959989 75715
1.29 2B 8340609633 8340644005 34372
1.3 2B 12909364516 12909399715 35199
1.31 2B 11412006968 11412042981 36013
1.32 2B 16766552278 16766609392 57114
1.33 2B 13745448983 13745501932 52949
1.34 2B 13770250474 13770367638 117164
1.35 2B 13787751217 13787803836 52619
1.36 2B 16886988716 16887076429 87713
1.37 2B 12307011204 12307059653 48449
1.38 2B 15418429112 15418489769 60657
1.39 2B 13132254900 13132330316 75416
1.4 2B 13941434461 13941513532 79071
1.41 2B 33390863918 33390982686 118768
1.42 2B 31161525173 31161647707 122534
1.43 2B 26573038254 26573156495 118241
1.44 2B 58162874372 58163101021 226649
1.45 2B 41097985358 41098136389 151031
1.46 2B 75481241330 75481598145 356815
1.47 2B 47943898947 47944136294 237347
1.48 2B 1602470028 1602480206 10178
0 3B 1399678 1416350 16672
0.01 3B 2631759 2643503 11744
0.02 3B 17905508 17928236 22728
0.03 3B 60454629 60524051 69422
0.04 3B 53395899 53444279 48380
0.05 3B 51921159 51953678 32519
0.06 3B 116234133 116293470 59337
0.07 3B 111692132 111735821 43689
0.08 3B 230358247 230447601 89354
0.09 3B 145435504 145490475 54971
0.1 3B 229440726 229534175 93449
0.11 3B 211802613 211871159 68546
0.12 3B 313362935 313494902 131967
0.13 3B 326432457 326493607 61150
0.14 3B 450745603 450810147 64544
0.15 3B 436259590 436325796 66206
0.16 3B 742120972 742205011 84039
0.17 3B 272541133 272585918 44785
0.18 3B 351581393 351621734 40341
0.19 3B 512668998 512731744 62746
0.2 3B 510344475 510415881 71406
0.21 3B 685750022 685840675 90653
0.22 3B 281987428 282003860 16432
0.23 3B 477954116 478046345 92229
0.24 3B 163730900 163748674 17774
0.25 3B 395294248 395317498 23250
0.26 3B 57224317 57226089 1772
0.27 3B 415265656 415361105 95449
0.28 3B 455229169 455328936 99767
0.29 3B 217596270 217607142 10872
0.3 3B 223938730 223948125 9395
0.31 3B 229239265 229248042 8777
0.32 3B 338570752 338579496 8744
0.33 3B 242766347 242773198 6851
0.34 3B 608292646 608322014 29368
0.35 3B 191088522 191105420 16898
0.36 3B 1520299147 1520382604 83457
0.37 3B 1143686809 1143746487 59678
0.38 3B 1471135874 1471235536 99662
0.39 3B 1230496691 1230546959 50268
0.4 3B 2437749850 2437863720 113870
0.41 3B 2421252003 2421392859 140856
0.42 3B 1146832819 1146898235 65416
0.43 3B 2053359298 2053452879 93581
0.44 3B 2544233577 2544372723 139146
0.45 3B 3200279459 3200421501 142042
0.46 3B 3471886763 3472066333 179570
0.47 3B 3618614798 3618768881 154083
0.48 3B 5905351723 5905555887 204164
0.49 3B 12562032667 12562378636 345969
0.5 3B 12232573629 12232928800 355171
0.51 3B 13849749608 13850069381 319773
0.52 3B 14193162295 14193525932 363637
0.53 3B 19449446472 19449778104 331632
0.54 3B 17571821070 17572209776 388706
0.55 3B 58903059631 58903925206 865575
0.56 3B 104420517481 104422796866 2279385
0.57 3B 112139164577 112140396999 1232422
0.58 3B 104492862274 104493827180 964906
0.59 3B 91162882695 91163574072 691377
0.6 3B 62277511469 62277911300 399831
0.61 3B 50281874704 50282238194 363490
0.62 3B 36337274511 36337529813 255302
0.63 3B 61803222371 61803585743 363372
0.64 3B 71985289769 71985684093 394324
0.65 3B 50689112471 50689469383 356912
0.66 3B 53105869899 53106156193 286294
0.67 3B 51932235015 51932499407 264392
0.68 3B 75096057981 75096437126 379145
0.69 3B 57202586335 57202912528 326193
0.7 3B 40796471353 40796690139 218786
0.71 3B 29259308208 29259471348 163140
0.72 3B 41602052185 41602244308 192123
0.73 3B 33169022018 33169189543 167525
0.74 3B 74805857029 74806183427 326398
0.75 3B 115947355132 115947870109 514977
0.76 3B 36684009744 36684202468 192724
0.77 3B 34069492143 34069651036 158893
0.78 3B 25491093186 25491203400 110214
0.79 3B 20449528954 20449580485 51531
0.8 3B 14651159168 14651211970 52802
0.81 3B 14682396630 14682475313 78683
0.82 3B 10306926502 10306965024 38522
0.83 3B 19190532230 19190611412 79182
0.84 3B 28103167292 28103259271 91979
0.85 3B 14095754048 14095813290 59242
0.86 3B 28336114233 28336259055 144822
0.87 3B 25475314484 25475395586 81102
0.88 3B 16543126059 16543176487 50428
0.89 3B 19618432454 19618522421 89967
0.9 3B 19667661327 19667736846 75519
0.91 3B 14399704262 14399741800 37538
0.92 3B 6840909038 6840932960 23922
0.93 3B 11419428461 11419480368 51907
0.94 3B 11445479358 11445508907 29549
0.95 3B 10704056438 10704087276 30838
0.96 3B 23748961975 23749084939 122964
0.97 3B 11524349859 11524398852 48993
0.98 3B 12314042373 12314067796 25423
0.99 3B 18508378305 18508441413 63108
1 3B 10816779590 10816841174 61584
1.01 3B 16250670623 16250705724 35101
1.02 3B 1549416132 1549424102 7970
1.03 3B 11639294122 11639329005 34883
1.04 3B 5440755218 5440768514 13296
1.05 3B 13230843594 13230869679 26085
1.06 3B 19484608683 19484674063 65380
1.07 3B 11704585712 11704616618 30906
1.08 3B 7814626749 7814656071 29322
1.09 3B 10957190377 10957238650 48273
1.1 3B 18018949005 18018997587 48582
1.11 3B 10201033480 10201083490 50010
1.12 3B 10212788861 10212820959 32098
1.13 3B 9441119060 9441140305 21245
1.14 3B 14971230734 14971299894 69160
1.15 3B 9468422633 9468492945 70312
1.16 3B 1579119047 1579124553 5506
1.17 3B 7907269154 7907297010 27856
1.18 3B 2375066718 2375084984 18266
1.19 3B 7134550017 7134578790 28773
1.2 3B 8726195573 8726210775 15202
1.21 3B 11124795176 11124824132 28956
1.22 3B 11932566607 11932627928 61321
1.23 3B 7169854933 7169905426 50493
1.24 3B 15958458480 15958504670 46190
1.25 3B 16775361783 16775418402 56619
1.26 3B 16016852457 16016910448 57991
1.27 3B 36162003044 36162131464 128420
1.28 3B 33076647751 33076812894 165143
1.29 3B 16993954896 16994021940 67044
1.3 3B 11345528068 11345581482 53414
1.31 3B 17846703217 17846769392 66175
1.32 3B 3248892943 3248907540 14597
1.33 3B 8939264291 8939289160 24869
1.34 3B 9765451376 9765478327 26951
1.35 3B 14662356272 14662458099 101827
1.36 3B 13864324648 13864419096 94448
1.37 3B 19599871490 19599945406 73916
1.38 3B 16365103877 16365154585 50708
1.39 3B 38546838678 38547036450 197772
1.4 3B 99913194531 99913554583 360052
0 4B 699348 706246 6898
0.01 4B 10613272 10638361 25089
0.02 4B 17939474 17974194 34720
0.03 4B 19415541 19485314 69773
0.04 4B 8178045 8181058 3013
0.05 4B 69615581 69687432 71851
0.06 4B 35600904 35626350 25446
0.07 4B 72360823 72407472 46649
0.08 4B 87906131 87934651 28520
0.09 4B 41239772 41267364 27592
0.1 4B 134915777 134979384 63607
0.11 4B 48889243 48906135 16892
0.12 4B 27796377 27806394 10017
0.13 4B 78130103 78158747 28644
0.14 4B 73876019 73892361 16342
0.15 4B 199610041 199665550 55509
0.16 4B 73692405 73704686 12281
0.17 4B 185514980 185555701 40721
0.18 4B 269560104 269618417 58313
0.19 4B 121983096 122013106 30010
0.2 4B 127776221 127807859 31638
0.21 4B 393571988 393655167 83179
0.22 4B 144855380 144909269 53889
0.23 4B 56052734 56053930 1196
0.24 4B 219993485 220032620 39135
0.25 4B 526851128 526957351 106223
0.26 4B 178014367 178046851 32484
0.27 4B 419843564 419932602 89038
0.28 4B 516880269 516935726 55457
0.29 4B 514612090 514684773 72683
0.3 4B 428325927 428374641 48714
0.31 4B 1212061216 1212195351 134135
0.32 4B 117596346 117621536 25190
0.33 4B 153284313 153307177 22864
0.34 4B 902519506 902624513 105007
0.35 4B 403740977 403797787 56810
0.36 4B 352684584 352732085 47501
0.37 4B 407650200 407674039 23839
0.38 4B 698813871 698881052 67181
0.39 4B 1161446057 1161558285 112228
0.4 4B 6178100440 6178540929 440489
0.41 4B 9988201290 9988725432 524142
0.42 4B 9815593886 9816048138 454252
0.43 4B 39414200577 39415400825 1200248
0.44 4B 27738309719 27738941977 632258
0.45 4B 134241346884 134243917606 2570722
0.46 4B 38372352234 38372673442 321208
0.47 4B 39940475178 39940832606 357428
0.48 4B 38398903521 38399224936 321415
0.49 4B 59951383951 59951845538 461587
0.5 4B 25043365656 25043550761 185105
0.51 4B 29062888652 29063103170 214518
0.52 4B 25075301508 25075508559 207051
