Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_longissima_Tr240_LON01_Contig10_simExt	TraesCS5B02G419300	827	1.47260005143917	0	0.952841596130592	90.943
Ae_longissima_Tr240_LON01_Contig1001_simExt	TraesCS1B02G294300	470	1.31674947929643	0	1	96.17
Ae_longissima_Tr240_LON01_Contig1007_simExt	TraesCS7B02G181600	1391	1.71204410517388	9.1687871077184e-82	0.872034507548526	97.6677221764221
Ae_longissima_Tr240_LON01_Contig1008_simExt	TraesCS7B02G476800	2170	1.68794788273616	2.96916938110749e-25	0.871889400921659	97.3872674418605
Ae_longissima_Tr240_LON01_Contig101_simExt	TraesCS4B02G047300	978	2.16264147363307	0	0.995910020449898	98.871
Ae_longissima_Tr240_LON01_Contig1011	TraesCS7B02G197000	335	1.66990291262136	8.57e-146	0.922388059701493	97.087
Ae_longissima_Tr240_LON01_Contig1024	TraesCS7B02G433800	2648	1.57170617955694	0	0.966012084592145	95.1643448006255
Ae_longissima_Tr240_LON01_Contig1026	TraesCS6B02G270100	344	0.9610936386194	8.76e-151	1	94.813
Ae_longissima_Tr240_LON01_Contig103_simExt	TraesCS1B02G201400	1397	2.12687286728661	0	0.874731567644954	99.018
Ae_longissima_Tr240_LON01_Contig1037_simExt	TraesCS5B02G090600	692	1.80493720222885	0	0.992774566473988	97.962
Ae_longissima_Tr240_LON01_Contig1039_simExt	TraesCS2B02G267500	526	1.78740157480315	0	1	98.9218422053232
Ae_longissima_Tr240_LON01_Contig1043_ESTScan	TraesCS5B02G299700	617	1.73162118780096	5.16019261637239e-18	0.995137763371151	98.1921881107492
Ae_longissima_Tr240_LON01_Contig1047_simExt	TraesCS6B02G206500	957	1.77541622387531	0	1	98.7251003134796
Ae_longissima_Tr240_LON01_Contig1052_simExt	TraesCS3B02G224400	1921	1.72914349276974	1.65072302558398e-28	0.93492972410203	97.94185077951
Ae_longissima_Tr240_LON01_Contig1060_ESTScan	TraesCS2B02G141100	965	1.73603321425084	0	0.808290155440414	96.538
Ae_longissima_Tr240_LON01_Contig1067_simExt	TraesCS7B02G245800	1206	2.09549646874396	0	1	96.609
Ae_longissima_Tr240_LON01_Contig107	TraesCS6B02G437500	325	1.34629404617254	1.95965978128797e-95	0.966153846153846	91.0171380042463
Ae_longissima_Tr240_LON01_Contig1071_simExt	TraesCS5B02G113400	657	1.51200274902489	0	0.986301369863014	94.444
Ae_longissima_Tr240_LON01_Contig1074_simExt	TraesCS3B02G363500	398	1.14461841047514	0	1	95.729
Ae_longissima_Tr240_LON01_Contig1076_simExt	TraesCS1B02G325100	1774	2.00866648138433	0	0.850620067643743	98.41
Ae_longissima_Tr240_LON01_Contig1077_simExt	TraesCS2B02G372000	881	1.920239002119	0	0.997729852440409	96.25
Ae_longissima_Tr240_LON01_Contig108_simExt	TraesCS1B02G480400	4154	1.44227272727273	4.34320355900349e-15	0.849783341357727	93.3576421584828
Ae_longissima_Tr240_LON01_Contig109_simExt	TraesCS6B02G189800	2425	1.77895796627234	6.33475962748553e-16	0.890721649484536	98.7722523148148
Ae_longissima_Tr240_LON01_Contig1093_simExt	TraesCS6B02G359400	405	0.994812176014785	3.7e-160	1	92.593
Ae_longissima_Tr240_LON01_Contig1096_simExt	TraesCS3B02G511900	1023	1.59909683893628	0	1	95.4693235581623
Ae_longissima_Tr240_LON01_Contig1103_simExt	TraesCS7B02G342500	487	1.68884892086331	1.08237410071942e-19	1	97.1222539356605
Ae_longissima_Tr240_LON01_Contig1105_ESTScan	TraesCS5B02G286400	926	1.83717998745846	0	1	94.6
Ae_longissima_Tr240_LON01_Contig1107_simExt	TraesCS5B02G509700	1434	1.81094614340753	0	0.801255230125523	95.478
Ae_longissima_Tr240_LON01_Contig1109_simExt	TraesCS3B02G265700	1125	1.79961277831559	3.88460793804453e-40	0.918222222222222	99.1290997095837
Ae_longissima_Tr240_LON01_Contig112_simExt	TraesCS5B02G397900	3398	1.72700296735905	0	0.829605650382578	97.8334178786804
Ae_longissima_Tr240_LON01_Contig1122_simExt	TraesCS2B02G222700	721	1.7736552717576	0	1	96.671
Ae_longissima_Tr240_LON01_Contig1124	TraesCS6B02G230800	886	2.00289551544672	0	1	97.416
Ae_longissima_Tr240_LON01_Contig1154_simExt	TraesCS7B02G383900	1215	1.45650417452195	0	1	93.4818104252401
Ae_longissima_Tr240_LON01_Contig1160_simExt	TraesCS6B02G258400	393	1.79134860050891	0	1	98.982
Ae_longissima_Tr240_LON01_Contig1164	TraesCS4B02G087600	644	1.70663478360485	0	1	97.36
Ae_longissima_Tr240_LON01_Contig1169	TraesCS4B02G368100	411	1.22157479622459	0	0.978102189781022	97.761
Ae_longissima_Tr240_LON01_Contig1172_simExt	TraesCS7B02G313700	1249	1.66058595909342	0	0.975180144115292	96.6423497126437
Ae_longissima_Tr240_LON01_Contig1173_simExt	TraesCS2B02G468200	1219	1.65730078304929	0	0.980311730926989	96.6198915620642
Ae_longissima_Tr240_LON01_Contig1184_simExt	TraesCS5B02G147700	1643	1.76466575716235	9.72455661664393e-120	0.888618381010347	98.5682506849315
Ae_longissima_Tr240_LON01_Contig1185_simExt	TraesCS2B02G188200	305	1.72131147540984	1.29e-148	1	97.705
Ae_longissima_Tr240_LON01_Contig119_simExt	TraesCS5B02G353200	752	1.70748829953198	3.96248049921997e-21	0.956117021276596	97.618814325452
Ae_longissima_Tr240_LON01_Contig1190_simExt	TraesCS7B02G203800	1423	1.97943173464772	0	0.849613492621223	97.27
Ae_longissima_Tr240_LON01_Contig1192	TraesCS6B02G169300	258	1.77906976744186	1.11e-128	0.992248062015504	98.837
Ae_longissima_Tr240_LON01_Contig12_simExt	TraesCS7B02G285600	400	1.21788907184751	0	1	97.75
Ae_longissima_Tr240_LON01_Contig1211_simExt	TraesCS6B02G381000	1078	1.57739938080495	3.91076294117647e-30	0.88126159554731	96.6487
Ae_longissima_Tr240_LON01_Contig1212_simExt	TraesCS5B02G451500	735	1.32157108525807	0	0.918367346938776	90.667
Ae_longissima_Tr240_LON01_Contig1214_simExt	TraesCS6B02G253200	4513	1.68809578281095	0	0.965433192998006	97.1899037564073
Ae_longissima_Tr240_LON01_Contig1215_simExt	TraesCS6B02G093100	616	1.6630615640599	0	1	97.0066525974026
Ae_longissima_Tr240_LON01_Contig122_simExt	TraesCS5B02G175500	952	2.07911753695414	0	1	97.794
Ae_longissima_Tr240_LON01_Contig1225_simExt	TraesCS1B02G182100	733	1.79829786733937	0	0.997271487039563	96.748
Ae_longissima_Tr240_LON01_Contig1229_simExt	TraesCS5B02G022800	273	1.69311377245509	3.0250748502994e-24	1	97.2309891330891
Ae_longissima_Tr240_LON01_Contig123_simExt	TraesCS1B02G129300	1894	1.63502755664421	2.63625229638702e-21	0.860612460401267	96.3893012269939
Ae_longissima_Tr240_LON01_Contig1246_simExt	TraesCS3B02G353900	2769	1.73057820448345	0	1	98.592
Ae_longissima_Tr240_LON01_Contig1247_simExt	TraesCS6B02G310600	570	1.57777669656809	0	0.982456140350877	97.857
Ae_longissima_Tr240_LON01_Contig1248_simExt	TraesCS6B02G025600	1078	2.15350100617932	0	0.99721706864564	97.953
Ae_longissima_Tr240_LON01_Contig1251_simExt	TraesCS1B02G131800	862	1.85071213909248	0	0.830626450116009	99.441
Ae_longissima_Tr240_LON01_Contig1253_simExt	TraesCS4B02G046000	313	1.69009584664537	1.03e-149	1	97.125
Ae_longissima_Tr240_LON01_Contig1256_simExt	TraesCS2B02G257400	1449	2.09778393412884	0	1	96.761
Ae_longissima_Tr240_LON01_Contig1258_simExt	TraesCS6B02G411800	724	1.61040929762506	0	0.903314917127072	95.9716666666667
Ae_longissima_Tr240_LON01_Contig126_simExt	TraesCS7B02G193200	1156	2.09128785815357	0	0.913494809688581	98.295
Ae_longissima_Tr240_LON01_Contig1260_simExt	TraesCS6B02G211100	1802	1.74141048824593	0	0.918978912319645	98.1312826086957
Ae_longissima_Tr240_LON01_Contig1263_simExt	TraesCS2B02G345700	1171	1.72075149444919	4.95439795046968e-107	1	97.6944073441503
Ae_longissima_Tr240_LON01_Contig1264_ESTScan	TraesCS1B02G315300	295	1.5140771637122	9.26402502606882e-53	1	94.1631785310735
Ae_longissima_Tr240_LON01_Contig1265_simExt	TraesCS1B02G279100	681	1.52431476569408	7.11865605658709e-40	0.84287812041116	94.7948101045296
Ae_longissima_Tr240_LON01_Contig1278_simExt	TraesCS6B02G413000	3286	1.64377044305679	1.87814451382694e-28	0.990261716372489	96.5334087277197
Ae_longissima_Tr240_LON01_Contig1281_simExt	TraesCS2B02G245800	529	1.38802083333333	0	0.996219281663516	92.2836062618596
Ae_longissima_Tr240_LON01_Contig1285	TraesCS4B02G248700	1117	1.6758034026465	7.1937618147448e-21	0.945389435989257	96.9753778409091
Ae_longissima_Tr240_LON01_Contig1287_simExt	TraesCS2B02G133500	555	1.40054538541696	0	0.972972972972973	95.037
Ae_longissima_Tr240_LON01_Contig130_simExt	TraesCS6B02G018900	1385	1.53156039730855	2.11297661006088e-149	0.802888086642599	94.3077033872902
Ae_longissima_Tr240_LON01_Contig1300_simExt	TraesCS5B02G220600	1383	2.17903416353644	0	0.985538684020246	97.947
Ae_longissima_Tr240_LON01_Contig1309	TraesCS6B02G276800	277	0.717098505239969	1.59e-107	0.989169675090253	92.171
Ae_longissima_Tr240_LON01_Contig1311	TraesCS6B02G187200	265	0.772108540117241	6.96e-116	1	95.094
Ae_longissima_Tr240_LON01_Contig1313_simExt	TraesCS3B02G376400	536	1.07571654386443	0	0.852611940298508	92.341
Ae_longissima_Tr240_LON01_Contig132_simExt	TraesCS1B02G283900	1539	1.70178448867536	3.38126286890872e-19	0.946068875893437	97.5286181318681
Ae_longissima_Tr240_LON01_Contig1322_simExt	TraesCS1B02G434000	400	1.1206700603067	0	1	95.25
Ae_longissima_Tr240_LON01_Contig1324_simExt	TraesCS5B02G152300	839	1.92963824097585	0	0.972586412395709	97.558
Ae_longissima_Tr240_LON01_Contig1329_simExt	TraesCS4B02G162600	1474	1.67015445939213	1.1075485799701e-30	0.949796472184532	97.0651288095238
Ae_longissima_Tr240_LON01_Contig1346_simExt	TraesCS5B02G166400	2799	1.76846011131725	3.59406307977737e-62	0.961414790996785	98.6292787068004
Ae_longissima_Tr240_LON01_Contig135_simExt	TraesCS4B02G399200	1684	1.46751592356688	1.58585987261147e-22	0.921021377672209	93.7597388781431
Ae_longissima_Tr240_LON01_Contig1358_simExt	TraesCS2B02G345100	825	1.83451542182507	0	1	95.642
Ae_longissima_Tr240_LON01_Contig136_simExt	TraesCS3B02G193500	265	0.614809435012666	9.32e-90	0.826415094339623	94.064
Ae_longissima_Tr240_LON01_Contig1363_simExt	TraesCS7B02G421700	507	1.4726028042418	0	1	97.83
Ae_longissima_Tr240_LON01_Contig1368_simExt	TraesCS1B02G148600	1125	1.71469740634006	1.05744476464938e-35	0.915555555555556	97.5984087378641
Ae_longissima_Tr240_LON01_Contig1374	TraesCS1B02G157400	1018	1.3427135678392	4.41628140703518e-108	0.971512770137525	91.3586976744186
Ae_longissima_Tr240_LON01_Contig1377_simExt	TraesCS4B02G138100	812	1.6919315403423	0	1	97.311
Ae_longissima_Tr240_LON01_Contig138_simExt	TraesCS6B02G285800	1733	1.99072296456145	0	0.863242931332949	97.867
Ae_longissima_Tr240_LON01_Contig1381_simExt	TraesCS1B02G148500	1578	1.55385164051355	8.15274607703281e-160	0.919518377693283	95.1234713990351
Ae_longissima_Tr240_LON01_Contig1392	TraesCS6B02G367800	373	0.883118517828793	1.62e-138	0.943699731903485	92.33
Ae_longissima_Tr240_LON01_Contig1393_simExt	TraesCS4B02G045500	505	1.77877094972067	1.77626815642879e-88	1	98.7983603960396
Ae_longissima_Tr240_LON01_Contig1402_simExt	TraesCS1B02G388700	335	1.66567164179104	1.4e-158	1	96.716
Ae_longissima_Tr240_LON01_Contig1404_simExt	TraesCS2B02G397500	927	1.67090069284065	6.42933025404157e-142	0.929881337648328	96.8852041763341
Ae_longissima_Tr240_LON01_Contig1406_simExt	TraesCS4B02G393000	602	1.50101640963567	0	1	94.901
Ae_longissima_Tr240_LON01_Contig1407_ESTScan	TraesCS6B02G217700	311	1.56546854942234	3.46944801026958e-40	1	95.0018207931404
Ae_longissima_Tr240_LON01_Contig1413_simExt	TraesCS4B02G014700	419	1.71599045346062	0	1	97.613
Ae_longissima_Tr240_LON01_Contig1417_simExt	TraesCS2B02G366000	329	1.34656340755082	4.86650454985479e-129	1	91.7713333333333
Ae_longissima_Tr240_LON01_Contig1418_ESTScan	TraesCS4B02G125200	866	1.64564943253468	0	0.91108545034642	96.47109252218
Ae_longissima_Tr240_LON01_Contig1421_simExt	TraesCS3B02G141700	728	1.71489181162495	1.31598472634705e-82	1	97.7484471153846
Ae_longissima_Tr240_LON01_Contig1424_simExt	TraesCS1B02G139600	1253	1.70991432068543	0	1	97.5495702314445
Ae_longissima_Tr240_LON01_Contig1425_simExt	TraesCS4B02G398400	2636	1.53310028402884	0	0.999241274658574	94.8488150088585
Ae_longissima_Tr240_LON01_Contig1426_simExt	TraesCS5B02G012100	924	1.51897233201581	0	0.925324675324675	94.5858089668616
Ae_longissima_Tr240_LON01_Contig1442	TraesCS3B02G123100	356	0.8638951570267	1.2e-134	0.960674157303371	92.151
Ae_longissima_Tr240_LON01_Contig1447_simExt	TraesCS6B02G040000	3624	1.6461777589374	1.08842729970357e-22	0.999724061810154	96.4628141426687
Ae_longissima_Tr240_LON01_Contig1458_simExt	TraesCS1B02G024500	863	1.83455892721834	0	0.986095017381228	95.46
