poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 44458.5 48030 NA NA 458 0.0233253100436681 0.107944940892963 0.2106 1329077.4953657
0.002 1 276365.333333333 280827.333333333 NA NA 1647 0.020796067055252 0.0335682210711224 0.223833333333333 1114904.56290256
0.008 1 968286 979886 NA NA 1277 0.00240144 0.0925936105003664 0.1284 224433.644859813
0.01 1 1273993 1276221 0.92 1.96 188 0.00952381 0 0.2179 524487.012391005
0.013 1 1553661 1558343 0.94 1.95 647 0.00291488160741886 0 0.0945 370143.696180172
0.016 1 1910919 1914393 0.98 1.94 194 0.0458015 0.0322740521598638 0.1921 2861103.59187923
0.022 1 2477071 2481228 1.03 1.93 261 0.0290645 0 0.1809 1927993.36650083
0.037 1 3845261 3849085 1.16 1.91 126 0.00627943 1.56223255932465 0.1112 677636.330935252
0.041 1 4163077.5 4166375.5 1.2 1.91 375 0.0156671768 0.144743229041751 0.3754 500815.454448588
0.044 1 4416074 4418966 1.22 1.9 176 0.0120846 0.132082981646062 0.2078 697859.48026949
0.047 1 4675054 4682504 1.23 1.9 172 0.0131387 0.189409150068119 0.1479 1066020.28397566
0.048 1 4757724 4771550 1.24 1.89 651 0.00911508 0.19321168876192 0.1623 673943.068391867
0.051 1 5016258 5022272 1.25 1.89 310 0.0122418 0.152936659641556 0.1238 1186604.2003231
0.057 1 5502121 5508568 1.29 1.87 853 0.010992 0 0.2002 658861.138861139
0.081 1 7217840 7229089 1.54 1.81 1211 0.0274241 0.0174752498714634 0.0972 3385691.35802469
0.095 1 8048778 8051397 1.66 1.78 208 0 NA 0.2797 0
0.1 1 8349328 8356000 1.71 1.77 458 0.0283379 0.0220242854975139 0.1921 1770196.77251432
0.109 1 8912375 8919563 1.8 1.74 380 0.0185553 0.0808750060629578 0.2269 981329.21992067
0.11 1 8929487 8937936 1.8 1.74 740 0.0143509 0 0.1344 1281330.35714286
0.115 1 9238809 9242299 1.9 1.74 209 0.0137931 0 0.1436 1152626.74094708
0.144 1 10739577 10746629 2.16 1.7 349 0.00291971 0 0.2204 158967.876588022
0.155 1 11188338 11195149 2.17 1.68 115 0 NA 0.1146 0
0.163 1 11498084 11501301 2.2 1.67 157 0.0251969 0.217366025185638 0.2367 1277409.37896071
0.187 1 12440825 12445476 2.56 1.62 330 0.00315457 0 0.1687 224391.464137522
0.199 1 12950868 12954667 2.43 1.59 214 0.073903 0.0362525201953913 0.3288 2697189.7810219
0.2 1 12990954 13005515 2.41 1.59 792 0.0132188 0.0538912760613671 0.0852 1861802.81690141
0.211 1 13499647 13518570 2.02 1.56 548 0.0186916 0.110823578505853 0.1102 2035382.94010889
0.212 1 13574504 13581973 1.94 1.55 552 0.0383275 0.0546406627095428 0.1744 2637213.30275229
0.213 1 13586405 13591514 1.93 1.55 205 0.0124611 0.472466315172818 0.1345 1111771.00371747
0.216 1 13725749 13735135 1.92 1.56 216 0.0232558 0 0.1307 2135192.04284621
0.228 1 14369286 14375231 1.88 1.61 823 0 Inf 0.1883 0
0.251 1 15605095.5 15611662.5 1.72 1.63 1069 0.00087680561272217 0 0.1007 104485.276590527
0.286 1 17898142 17905196 1.44 1.42 549 0.00169924 0 0.0975 209137.230769231
0.292 1 18353003 18360045 1.34 1.34 628 0.00481348 0.094313885172474 0.1288 448460.869565217
0.293 1 18408378 18414274 1.33 1.33 291 0.00337268 0.292695126724148 0.1463 276638.140806562
0.315 1 20234720 20239868 1.07 1.19 777 0.00249844 0 0.113 265321.061946903
0.332 1 22166621 22176854 0.87 1.06 985 0.00101626 0.285341349654616 0.0654 186469.724770642
0.342 1 23812071 23816472 0.74 0.95 884 0.0035982 0.441943193819132 0.1839 234792.822185971
0.349 1 24655081 24658793 0.69 0.89 246 0.00813835 0.142670197275861 0.144 678195.833333333
