Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
T_monococcum_TC8_ID259_Contig100_simExt	TraesCS3A02G086700	2664	1.79582646897309	2.22734761120264e-14	0.97972972972973	99.1086854086845
T_monococcum_TC8_ID259_Contig1003_simExt	TraesCS2A02G244100	1991	2.13161055632151	0	1	99.749
T_monococcum_TC8_ID259_Contig1005_simExt	TraesCS7A02G253600	2794	1.67788181666805	0	1	96.932
T_monococcum_TC8_ID259_Contig1008_simExt	TraesCS2A02G502400	498	1.76567447751742	4.61462951234959e-23	0.85140562248996	98.5286935141509
T_monococcum_TC8_ID259_Contig1015	TraesCS2A02G252600	269	0.757174902165743	5.12e-137	1	99.257
T_monococcum_TC8_ID259_Contig1021_simExt	TraesCS1A02G174700	1167	1.81397738951696	0	0.833761782347901	99.3834069886948
T_monococcum_TC8_ID259_Contig1022_simExt	TraesCS5A02G497400	614	1.29061805871188	0	0.824104234527687	99.209
T_monococcum_TC8_ID259_Contig1023_simExt	TraesCS1A02G052200	1023	1.65228113440197	0	1	97.3938792766373
T_monococcum_TC8_ID259_Contig1024	TraesCS1A02G227100	300	0.700735212470467	5.85e-127	0.99	94.276
T_monococcum_TC8_ID259_Contig1026_simExt	TraesCS5A02G024900	725	1.77103448275862	0	1	98.621
T_monococcum_TC8_ID259_Contig1028_simExt	TraesCS2A02G202800	1154	1.82908545727136	0	0.892547660311958	99.6950330097087
T_monococcum_TC8_ID259_Contig1029_simExt	TraesCS3A02G193800	703	1.80901287553648	0	1	99.356853485064
T_monococcum_TC8_ID259_Contig103_simExt	TraesCS3A02G263500	581	1.44794567732748	0	1	98.795
T_monococcum_TC8_ID259_Contig1043_simExt	TraesCS3A02G161300	420	1.15738547526184	0	1	100
T_monococcum_TC8_ID259_Contig1047_simExt	TraesCS4A02G065000	2444	1.60677466863034	3.19353720869791e-92	1	95.8012832378614
T_monococcum_TC8_ID259_Contig1049_simExt	TraesCS3A02G306400	3102	1.78446808510638	4.54468085106383e-32	0.824306898774984	98.8671289923087
T_monococcum_TC8_ID259_Contig105_simExt	TraesCS1A02G013800	3342	1.7203838017528	8.07041402236325e-68	0.999102333931777	97.7307402216233
