Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_searsii_Tr165_SER04_Contig101_simExt	TraesCS6A02G013700	2889	1.58331844972316	0	0.984077535479405	95.4291169539219
Ae_searsii_Tr165_SER04_Contig1013_simExt	TraesCS4A02G036600	2763	1.68996226415094	0	0.964169381107492	97.1744188563564
Ae_searsii_Tr165_SER04_Contig1027_simExt	TraesCS5A02G130800	1489	1.77233042310275	0	1	98.657
Ae_searsii_Tr165_SER04_Contig1037_simExt	TraesCS3A02G073300	1118	1.78066799143272	0	0.964221824686941	94.839
Ae_searsii_Tr165_SER04_Contig1067_simExt	TraesCS3A02G007300	806	1.48948471833545	0	1	92.707
Ae_searsii_Tr165_SER04_Contig1071_simExt	TraesCS6A02G160700	1288	1.61771904062653	0	0.843167701863354	96.0903075506446
Ae_searsii_Tr165_SER04_Contig1079_simExt	TraesCS6A02G289200	748	1.58397668244578	0	0.842245989304813	99.206
Ae_searsii_Tr165_SER04_Contig108_simExt	TraesCS2A02G277100	675	1.57874600114238	0	1	96.746
Ae_searsii_Tr165_SER04_Contig1083	TraesCS6A02G073300	329	1.55263157894737	2.86432748538012e-30	1	94.7170151975684
Ae_searsii_Tr165_SER04_Contig1086_simExt	TraesCS5A02G318500	613	1.68675196037969	3.27263722657862e-21	1	97.2354518760196
Ae_searsii_Tr165_SER04_Contig1089_simExt	TraesCS3A02G263800	621	1.62542372881356	0	0.948470209339775	96.271
Ae_searsii_Tr165_SER04_Contig1092	TraesCS3A02G056100	396	1.65327380952381	2.93154761904762e-19	0.848484848484849	96.7263214285714
Ae_searsii_Tr165_SER04_Contig110_simExt	TraesCS1A02G326200	662	1.51051875595957	0	1	95.77
Ae_searsii_Tr165_SER04_Contig1100_simExt	TraesCS4A02G163400	814	1.64388489208633	6.25899287407674e-21	0.915233415233415	96.5068029082774
Ae_searsii_Tr165_SER04_Contig1108_simExt	TraesCS7A02G446500	1009	1.84631264705234	0	1	95.941
Ae_searsii_Tr165_SER04_Contig1109_simExt	TraesCS1A02G248400	1263	1.73317498020586	0	1	98.1
Ae_searsii_Tr165_SER04_Contig1112_simExt	TraesCS2A02G431500	1732	1.55479238214174	0	0.921478060046189	94.906234962406
Ae_searsii_Tr165_SER04_Contig1117_simExt	TraesCS3A02G122400	1794	1.54550898203593	2.22449101796407e-32	0.924749163879599	94.7311283905968
Ae_searsii_Tr165_SER04_Contig1119_simExt	TraesCS7A02G141300	319	1.66280417149479	7.86477404403244e-106	0.996865203761755	96.6302295597484
Ae_searsii_Tr165_SER04_Contig1128_simExt	TraesCS5A02G169600	2699	1.66189805421504	0	1	97.93
Ae_searsii_Tr165_SER04_Contig1133_simExt	TraesCS4A02G406900	1400	1.6783114992722	5.17212518195051e-92	0.980714285714286	97.0188820101966
Ae_searsii_Tr165_SER04_Contig1136_simExt	TraesCS1A02G118700	1208	1.76466781918975	0	1	93.65
Ae_searsii_Tr165_SER04_Contig1153_simExt	TraesCS7A02G141300	653	1.69817073170732	0	1	97.409
Ae_searsii_Tr165_SER04_Contig1154_simExt	TraesCS1A02G413600	1987	1.82041664794017	0	0.915450427780574	97.086
Ae_searsii_Tr165_SER04_Contig1160_simExt	TraesCS7A02G302800	2756	1.680393912265	2.01338406445837e-23	0.809143686502177	97.0587802690583
Ae_searsii_Tr165_SER04_Contig1173_simExt	TraesCS6A02G300200	1440	1.67175257731959	0	0.842361111111111	96.8660008244023
Ae_searsii_Tr165_SER04_Contig1177_simExt	TraesCS1A02G215400	410	1.20508846922828	0	1	99.756
Ae_searsii_Tr165_SER04_Contig1198_simExt	TraesCS3A02G237300	3805	1.71011937059143	0	0.975558475689882	97.6668793103448
Ae_searsii_Tr165_SER04_Contig12_simExt	TraesCS2A02G231000	1718	1.78209595282766	1.84963816671134e-45	0.80209545983702	98.8069794388002
Ae_searsii_Tr165_SER04_Contig1220_simExt	TraesCS2A02G590000	490	1.47756729810568	0	1	93.7192163265306
Ae_searsii_Tr165_SER04_Contig1222_lgORF	TraesCS5A02G120000	351	1.66875	2.4e-151	0.911680911680912	96.875
Ae_searsii_Tr165_SER04_Contig1233_simExt	TraesCS2A02G373200	1699	1.63715710723192	5.04052369077307e-25	0.973513831665686	96.0993443168077
Ae_searsii_Tr165_SER04_Contig1238_simExt	TraesCS7A02G544700	7070	1.68425635667015	8.28769990203762e-38	0.989250353606789	97.4290526880183
Ae_searsii_Tr165_SER04_Contig1245_simExt	TraesCS4A02G304500	3087	1.70377049180328	3.58950819672131e-24	1	97.5180400064788
Ae_searsii_Tr165_SER04_Contig125_simExt	TraesCS6A02G271000	1038	1.7188093730209	4.26928435718809e-27	0.898843930635838	97.6583344051447
Ae_searsii_Tr165_SER04_Contig126_simExt	TraesCS5A02G107800	993	1.65784215784216	3.31468531468531e-23	1	96.8587980866062
Ae_searsii_Tr165_SER04_Contig1263_simExt	TraesCS4A02G245800	563	1.58303886925795	0	1	95.406
Ae_searsii_Tr165_SER04_Contig1269_simExt	TraesCS5A02G084700	910	1.634458068649	0	0.996703296703297	93.949
Ae_searsii_Tr165_SER04_Contig127_simExt	TraesCS7A02G148100	1230	2.00904711224133	0	1	97.236
Ae_searsii_Tr165_SER04_Contig1284_simExt	TraesCS2A02G133700	1068	1.73538228255601	0	1	93.762
Ae_searsii_Tr165_SER04_Contig1286_ESTScan	TraesCS5A02G138000	747	1.56994459833795	2.32271525552632e-66	0.831325301204819	95.165833870102
Ae_searsii_Tr165_SER04_Contig1294_simExt	TraesCS6A02G213700	1147	1.76117982873454	0	0.915431560592851	98.4777885714286
Ae_searsii_Tr165_SER04_Contig1298_simExt	TraesCS4A02G262700	2219	1.66245733843983	0	0.961243803515097	95.395
Ae_searsii_Tr165_SER04_Contig130_simExt	TraesCS2A02G000100	633	1.68063314711359	0	1	97.1678981042654
