poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.03 1A 1204449.28571429 1210075.42857143 1.28202836542639e-06 3269 0.0078985494417253 0.0353055009379348
0.07 1A 3255618 3262577 1.22749463728347e-06 486 0 NA
0.08 1A 3403685.33333333 3408569 1.22348203918487e-06 1789 0 NA
0.12 1A 5491027 5495112 1.15658401937862e-06 314 0.00720721 0.102777773923613
0.14 1A 6678979.5 6684971.5 1.12284653739583e-06 352 0.00564402363636364 0
0.15 1A 7383482 7393575.66666667 1.1022500091676e-06 1667 0.00331260159568086 0.358567995549438
0.16 1A 8239469 8244826 1.07686217957833e-06 415 0.00737044 0.151453644558534
0.17 1A 9111992 9116920.5 1.05029696827475e-06 663 0.00101827352941176 0
0.18 1A 9610864.5 9614276 1.034852939624e-06 688 0.0144837672238372 0.114516015641548
0.19 1A 10062443.6666667 10066600.6666667 1.02160377026859e-06 777 0.0409105290862291 0.0143955903130682
0.2 1A 11564200 11572148 9.80895544252246e-07 734 0 Inf
0.21 1A 12122663.3333333 12127318.8333333 9.66206731043799e-07 1942 0.0178779808959835 0.0396442741679696
0.22 1A 13816369.5 13821118.5 9.21694797503971e-07 1459 0.00910745930089102 0.120748852499332
0.23 1A 14992398.8888889 14997653.4444444 8.87184173666417e-07 2102 0.00148695884871551 0.439379607513787
0.24 1A 16931434 16934477 8.31349589658753e-07 165 0.0146939 0.0940043147156303
0.25 1A 18473426 18476055.5 7.89663823523313e-07 59 0 Inf
0.26 1A 19895297 19897721 7.53136045557493e-07 65 0 Inf
0.27 1A 20580507.3333333 20584832.6666667 7.36251850723982e-07 1877 0.0278614229088972 0.0700636915051842
0.28 1A 21760904.8 21768164.8 7.08024633342341e-07 2249 0.000705159404179635 0.144493974570332
0.29 1A 23074984.6666667 23077314.3333333 6.78115412154314e-07 1012 0.0049360846541502 0.26926591437377
0.3 1A 24409602.3333333 24412719.6666667 6.43139171862687e-07 772 0.0188354167357513 0.0472674076572807
0.31 1A 25595318.3333333 25600160 6.07592066157176e-07 872 0 NA
0.32 1A 27782495.625 27787622.75 5.35610920977133e-07 3287 0.00117500605415272 0.421960348242029
0.33 1A 30418549.4 30423791 4.65694348274992e-07 1709 0.00170460354008192 0.206193247147534
0.34 1A 33407893.6 33413807.6 4.22013257613853e-07 1994 0.00225843475426279 0.103758194872675
0.35 1A 36288704.5714286 36293624.7142857 3.33566986056065e-07 3633 0.00108467396366639 0.175082632608031
0.36 1A 41507274.8888889 41513486 2.23688161168676e-07 2703 0.00506191901220866 0.145945172122991
0.37 1A 45926655.6666667 45932520.6666667 2.24402987252008e-07 1053 0.000702884292497626 0
