poscM Chromosome Start End recRate nb_complete_site piSyn f0
0 1D 1627550.73333333 1633280.73333333 6.23040752755515e-07 5140 0.0386531718599222 0.0543031939509006
0.01 1D 3963719.5 3967548.5 7.9084805232784e-07 322 0.049303401863354 0.15983943796251
0.02 1D 5445598 5450155 9.07754025682255e-07 149 0.101373 0.0327107809771833
0.03 1D 5511254 5517977 9.13196172291157e-07 640 0.0432099 0.11612894267286
0.04 1D 6328647.5 6336972.5 9.81164112860305e-07 933 0.0480461406216506 0.0460702655395841
0.05 1D 6766844 6771905 1.01837485613843e-06 410 0.0335664 0.0841573716573717
0.06 1D 7487543 7492403.5 9.76008496030621e-07 541 0.0401973955637708 0.066045521382902
0.07 1D 9412459.46666667 9417518 9.50587544454621e-07 4773 0.0267752012088833 0.0472256657508584
0.08 1D 10715309 10722269 1.3039462368089e-06 523 0 Inf
0.1 1D 11580304.5 11587739.5 1.17433541115337e-06 1280 0.01092612628125 0.0597126444410232
0.11 1D 12201475.6666667 12206032 1.09296141099887e-06 460 0.0618331965217391 0.0483312467472095
0.12 1D 14744768.2 14749245 3.33972256055056e-07 1081 0.0241695926919519 0.0557252928912977
0.13 1D 16876908.5 16881377 8.04706988204916e-07 238 0.00952306386554622 0.0641091781950693
0.15 1D 18107199.3333333 18110586.6666667 1.0389592380295e-06 750 0.0146494193333333 0
0.16 1D 19633023.5714286 19639906.1428571 1.34263617996193e-06 3231 0.0140550866976168 0.16916952127725
0.17 1D 20968400 20973809 1.21066412461952e-06 126 0.0109011857142857 0.644345241605435
0.19 1D 21885424 21888853 1.06436469519594e-06 165 0.0370861 0.109407028509334
0.2 1D 22947275.3333333 22952507.6666667 1.02500201154221e-06 850 0.00801435127058824 0.055110139640116
0.21 1D 24533367 24539137 9.80807450322848e-07 551 0.0315296 0.0912383918603471
0.22 1D 24779031 24786455 9.74006980762083e-07 282 0.0333333 0.0489297489297489
0.23 1D 25732394 25737271 9.47907618748164e-07 998 0.0133994452905812 0.196605416860495
0.24 1D 27927500 27936577.6 8.88702614005666e-07 2248 0.0205549207295374 0.0226955896980258
0.25 1D 28818410 28822056 8.65161766754268e-07 462 0.0130481 0.228277680275289
0.27 1D 31421662 31431937 7.97441065649626e-07 984 0.00812526 0.160836699379466
0.3 1D 34733574 34736854.6666667 7.214901644776e-07 1142 0.00896197751313485 0.227048512146224
0.32 1D 36798919.6666667 36803961.5 6.78292304324347e-07 3313 0.00432224641110776 0.1122823641033
0.33 1D 37545378.5 37552059.5 6.62776809866375e-07 252 0.00272108892857143 0.349999849062527
0.34 1D 38782097.5 38785345 6.37269373808189e-07 125 0.0223418112 0.168116303838428
0.35 1D 39648748 39653427 6.19449792655792e-07 335 0.0141732 0.266807072503034
0.36 1D 41438050.3333333 41440396.1111111 5.82983808137527e-07 1158 0.0271085994818653 0.0864800255119192
0.37 1D 43173708.6666667 43178988 5.47845694936579e-07 270 0.0214651733333333 0.0782026900145987
0.38 1D 45448882 45453933.25 5.02346687213128e-07 799 0.00280072225281602 0.274897426333458
0.39 1D 47867028.3333333 47873481 4.54539786346725e-07 1026 0.00337167859649123 0.33706839309429
0.4 1D 49592929.3333333 49600252.5555556 4.20820891100625e-07 4863 0.00215971231667695 0.210977086407167
0.41 1D 52751592 52757766.3333333 3.59920902121984e-07 665 0.00466429467669173 0.0454490146284751
0.42 1D 55891367 55895740.1428571 3.00465093753118e-07 2424 0.0121642542656766 0.0608896621470823
0.43 1D 59735451.2 59741540.1333333 2.2904917544048e-07 5348 0.0088937001065819 0.118654942352626
0.44 1D 71843397.2 71848852.8666667 5.02786646889979e-08 16199 0.00901048728353602 0.112570094934542
0.46 1D 85633820 85640605.2 0 2553 0.00067688464551508 0
0.47 1D 87171325.75 87179454 0 3492 0.000697723906643757 0.292398818652311
0.48 1D 91144453.4 91149466.7 0 4677 0.0043623137438529 0.17225847988943
0.49 1D 118738103.87156 118744371.256881 0 39501 0.00372117879881522 0.209876090213193
0.5 1D 150930208 150953005 0 746 0.0042133 0.0730989960363611
0.51 1D 153886905.5 153900059 0 1661 0.00709743152919928 0.116903549908992
0.52 1D 208036823.907975 208044747.490798 3.56310137955551e-08 61942 0.00331437378073036 0.207584383968538
0.53 1D 251501006.28125 251507731.03125 7.7956299487503e-08 14183 0.00422816308989635 0.20927177461613
0.54 1D 263330617.142857 263336443.357143 8.84788379779182e-08 8735 0.00725214403777905 0.0980987331227806
0.55 1D 280888389.405405 280893190.675676 1.03257507948398e-07 13213 0.0110215424497843 0.0814219203670874
0.56 1D 294253910.75 294258331.166667 1.13620592922437e-07 10006 0.00378902698880672 0.162392171110482
0.57 1D 301703320.958333 301709523.125 1.19278278785307e-07 9695 0.00394781946384734 0.112176964551984
0.58 1D 309740086.434783 309744749.565217 1.26688731681416e-07 7588 0.00374716251449657 0.0840608725425048
0.59 1D 317000290.545455 317007348.590909 1.34946521836108e-07 9009 0.0078683816971917 0.11074278903698
0.6 1D 324428076.444444 324433174.388889 1.40034295226601e-07 5096 0.00272015550824176 0.258863779854758
0.61 1D 329480414.176471 329486030.764706 1.42197037102068e-07 6281 0.00726825084699889 0.115289032092833
0.62 1D 335199086.73913 335205047.478261 1.4565882064009e-07 10030 0.0105608715623131 0.102153271007056
0.63 1D 343123106.193548 343128992.354839 1.5213630110771e-07 9096 0.00214894826033421 0.175112731620392
0.64 1D 349754085.578947 349759217.157895 1.5910732916586e-07 5835 0.00586844709511568 0.1460318867415
0.65 1D 355916710.375 355921446.5 1.66831230911935e-07 4272 0.00470982875702247 0.11978696400367
0.66 1D 361635769.944444 361641305.944444 1.75148195995195e-07 6717 0.00647657654756588 0.0938363033348489
0.67 1D 365796030.842105 365800510.421053 1.81810069255461e-07 4783 0.012647783662973 0.0722097518765838
0.68 1D 371176146.1 371180006.4 1.91587707462291e-07 3202 0.00556133669581512 0.135454888948106
0.69 1D 375768537.5 375772591.214286 2.15685755059551e-07 4530 0.00870958865342163 0.175608375104766
0.7 1D 380881820.055556 380885996.166667 2.48265068767209e-07 4047 0.00854393995552261 0.0692349304927434
0.71 1D 386298465.666667 386304285.866667 2.84812584112498e-07 6908 0.00481302739287782 0.300616394327937
0.72 1D 391916790.3 391921680.1 3.31110036761403e-07 2960 0.00119938604459459 0.378189017434374
0.73 1D 396154504.166667 396158296.666667 3.76791762956756e-07 1709 0 Inf
0.74 1D 398822156.5 398825844 3.99445678763011e-07 855 0.00154259368421053 0.308702408702409
0.75 1D 400098991.2 400104174.4 4.0667115627301e-07 928 0 NA
0.76 1D 402210381.333333 402214837.666667 4.14069533863684e-07 489 0.012551136196319 0.217103938772781
0.77 1D 403423317.933333 403427080.4 4.15923604560661e-07 3319 0.00946909535402229 0.050840698961674
0.78 1D 406038975.2 406042703.8 4.13860956226628e-07 1196 0.0104934748327759 0.0409388143495035
0.79 1D 408516254.285714 408520345.857143 4.14107110483091e-07 2472 0.00132039604773463 0.208235774287137
0.8 1D 410269895.714286 410274486.428571 4.19907878338224e-07 2452 0.00885870078303426 0.234178991919388
0.81 1D 412184731.333333 412186929.333333 4.31620883266455e-07 772 0.00208282966321244 0.284628480647187
0.82 1D 414526371 414530673.333333 4.30409233354273e-07 410 0.0153904668292683 0.145748855555404
0.83 1D 415853855.333333 415859371.333333 4.30868351221108e-07 2576 0.00714750822981366 0.0948348315715204
0.84 1D 418921841.428571 418927753.857143 4.90088775987245e-07 3275 0.00522092919236641 0.109429308363287
0.85 1D 421867307.315789 421874857.210526 5.06993793523555e-07 7985 0.00835707765422668 0.0779014831447418
0.86 1D 426215647.214286 426219702.285714 5.48230287897278e-07 2853 0.0115193839642482 0.0644823471318325
0.87 1D 430413348.5 430418318 6.17892992914589e-07 954 0.00724669566037736 0.020497155064237
0.88 1D 430564939 430573646 6.20568788217035e-07 1214 0.000427533 0.708209658669623
0.89 1D 430976701 430983376 6.27658063680163e-07 569 0.0163652 0
0.9 1D 431782050.5 431787371.5 6.41238818451808e-07 2295 0.00194334189542484 0.0643445531069926
0.91 1D 432079104 432082194.5 6.46127423801188e-07 367 0.010172754359673 0.116388040678782
0.92 1D 432804715.333333 432811626.333333 6.57916199660039e-07 1276 0.00645980297805643 0.0523815169202997
0.93 1D 433650309.75 433655492.5 6.71181938044783e-07 1901 0 Inf
0.95 1D 435785700.571429 435788305 7.02735593221978e-07 888 0.00726494552927928 0.0725050543252354
0.96 1D 436485566 436489942.333333 7.12478452765874e-07 1237 0.015381467178658 0.0619880211647368
0.97 1D 437443195 437448396 7.34265107184632e-07 621 0 Inf
0.98 1D 438804089.333333 438809111 7.70989764604016e-07 1139 0.000672221000877963 0
