poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 269153.5 274154.5 NA 1988 0.00438599923038229 0.118513013365752 0.21045 250092.614704621
0.01 1 1337400.25 1343198.25 1.95333333333333 1380 0.00512273572246377 0.180536956008208 0.152675 402638.471718128
0.02 1 2423811.66666667 2428914.66666667 1.93 474 0.0106153689873418 0.166498430774153 0.221966666666667 573889.898699961
0.04 1 4144470.75 4148883.25 1.9075 878 0.0110816630979499 0.122019445059571 0.22555 589580.834295715
0.05 1 4817621.4 4824513.4 1.894 1188 0.00234580791245791 0.168177623827705 0.13348 210890.732315665
0.06 1 5635567 5640651.5 1.865 756 0.00933356455026455 0.0072291378042392 0.13965 802024.880796095
0.07 1 6467087.5 6472859.5 1.84 744 0.00361020430107527 0.121459542694096 0.15595 277797.060679084
0.08 1 7138995 7151078 1.815 1110 0.00305897503783784 0.155207242690239 0.09285 395344.108282758
0.09 1 7841371 7856406 1.79 201 0.0247774 0.0242562577187275 0.1043 2850707.57430489
0.1 1 8349328 8356000 1.77 411 0.0179499 0.110031810762177 0.1706 1262595.54513482
0.11 1 9073389 9084219 1.74 1056 0.00587190919507576 0.0578105008245545 0.21038 334931.601582418
0.14 1 10739577 10746629 1.7 348 0.00338253 0 0.2298 176633.420365535
0.17 1 11688713 11691059 1.66 43 0 NA 0.1559 0
0.19 1 12468004 12472968.5 1.62 190 0.0172941889473684 0 0.2108 984488.934385299
0.2 1 12990954 13005515 1.59 889 0.00377235 0.259181147030366 0.084 538907.142857143
0.21 1 13553518.6666667 13564019 1.55333333333333 1370 0.0048442302189781 0.104096667396659 0.164833333333333 352663.878429144
0.22 1 13857194 13863951.5 1.575 627 0.00383958695374801 0.307146342022053 0.1806 255122.056727442
0.23 1 14369286 14375231 1.61 691 0.00460616 0.0816339423728225 0.1974 280009.726443769
0.25 1 15687487 15695576 1.63 174 0 NA 0.1939 0
0.29 1 18141572.25 18148294.5 1.3775 1818 0.00329199898734873 0.16437276395794 0.1176 335918.264015177
0.3 1 18802466 18807666 1.3 240 0.00295161 0.613848035478942 0.1144 309609.440559441
0.31 1 19950477.5 19954610.5 1.215 941 0.00154605570669501 0.0314183956593613 0.13015 142548.355592317
0.33 1 22365094 22372460 1.045 1164 0.00348759115120275 0.14770917884347 0.10805 387330.808092855
0.34 1 23812071 23816472 0.95 669 0 Inf 0.1556 0
