poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.02 1B 1387527.71428571 1393146.85714286 NA 2902 0.00610731547553412 0.138244658270994
0.06 1B 4307058.25 4312010.75 7.68883329190219e-07 1869 0.00334815214927769 0.0683445879949324
0.07 1B 4475908 4479190 7.67437826550965e-07 122 0.00134499 0.254929032929613
0.09 1B 6476483.5 6480206 7.49096467401861e-07 407 0.0123628621621622 0.166498430774153
0.12 1B 8619544.66666667 8627181 7.27116975116748e-07 1621 0.00563804475015422 0.0565280625777383
0.13 1B 9854240.66666667 9858683.66666667 7.13436402872417e-07 1219 0.0015540953461854 0.74564186749412
0.14 1B 10131654.6666667 10134220.3333333 7.10260219114051e-07 760 0.016725282381579 0.147607127687383
0.15 1B 11804436.6666667 11808489.6666667 6.90174550159893e-07 898 0.0118469543429844 0.0637676115152748
0.18 1B 14798200.75 14805040.75 6.5580631736794e-07 2218 0.00499004386474301 0.0988894343103843
0.19 1B 15642792.6 15647794.8 6.4739079926367e-07 788 0.0196028970494924 0.085432098696499
0.2 1B 17548396.1428571 17552728.1428571 6.29055555563961e-07 1371 0.00492637460977389 0.08824399312118
0.21 1B 18419377 18423130 6.20777349669413e-07 246 0.011068 0.0696920852909288
0.22 1B 20711757 20716284.5 5.99304154237414e-07 370 0.00390212659459459 0
0.23 1B 22021104 22025774 5.87244660248546e-07 59 0 Inf
0.25 1B 25766012 25768344.25 5.44659338558096e-07 470 0.00361853693617021 0.0725135883648191
0.26 1B 27009017 27014424 5.33903620130794e-07 190 0.0172941889473684 0
0.27 1B 29397478 29401871.8 5.15640593273728e-07 1269 0.00519284115839243 0.192486585114951
0.28 1B 32698410.4 32706002.8 4.75266433759512e-07 1631 0.00448957440833844 0.0943459002515571
0.29 1B 38619975.4545455 38623982.7272727 4.15493642783343e-07 2932 0.00395041740515007 0.208843923890361
0.3 1B 42347605 42351160 3.7779501087664e-07 174 0 NA
0.31 1B 44121018 44126453.1428571 3.57053969694245e-07 2284 0.00456082273204904 0.0597877728458354
0.32 1B 48157426.3333333 48161005.6666667 3.13246535018141e-07 291 0 Inf
0.33 1B 51577480.8 51582575.8 2.80494230347666e-07 2271 0.00118923326287979 0.355645674391761
0.34 1B 55749799.6666667 55757832 2.44729889548409e-07 1855 0.000233745649056604 1.78980104065428
0.35 1B 57138480.4 57143394.4 2.34128670387031e-07 1430 0.00183377203496503 0.174846677470769
0.36 1B 58728757 58731810.5 2.22771542986487e-07 319 0.00111019529780564 0
0.37 1B 59831630 59834138 2.15367092149455e-07 222 0.017759 0.0556814572892618
0.38 1B 62550753.1428571 62554423.4285714 1.98787243910638e-07 1156 0.00853434968858132 0.180492726592126
0.39 1B 68535256.9090909 68542105.2727273 1.70784051711435e-07 4020 0.00244964091330846 0.270188704233419
0.4 1B 71881233.3333333 71885455.3333333 1.59557075946936e-07 1174 0.00275755759795571 0.121344866998968
0.41 1B 95481871.3333333 95486860.4074074 8.10537234954202e-08 7390 0.00249829865280525 0.196999220375962
0.42 1B 115576063.043478 115581964.086957 9.22963733204173e-09 11647 0.000789970293313924 0.364054508364448
0.43 1B 207781802.207317 207789999.02439 5.19481986881061e-09 66471 0.000379950913323759 0.367907376120926
0.44 1B 322900099.171429 322906092.390476 2.65261010861125e-08 31165 0.000842972283492638 0.188126418880451
0.45 1B 361130421.555556 361135911.522222 3.15913259555541e-08 22321 0.00124360499759132 0.327348506452733
0.46 1B 387338243.347222 387342726.138889 3.50415435604949e-08 19825 0.001474258007314 0.327529828214185
0.47 1B 410552426.727273 410557414.863636 4.93817642873187e-08 16794 0.0018765664340181 0.214355613257454
0.48 1B 428898112.243243 428904319.135135 6.63721235083569e-08 13133 0.00159473247734714 0.256133011598943
0.49 1B 442919824.948718 442925754.794872 7.54293108435784e-08 11101 0.000706835209900483 0.363689093573179
0.5 1B 455279297.822222 455285311.222222 8.07297730120655e-08 10927 0.00197080880456667 0.12084352677546
0.51 1B 467004705.888889 467010249.888889 8.5191888469038e-08 5667 0.00404801594220409 0.165852972526049
0.52 1B 475026268.12 475031327.08 9.20298453060831e-08 5862 0.00200962002388263 0.224939580689254
0.53 1B 483307388.966667 483311896.666667 1.02753726318011e-07 8114 0.00179013100209514 0.249284161808125
0.54 1B 490517037.586207 490520911.827586 1.15184670686785e-07 5562 0.00210439783872708 0.295262329874652
0.55 1B 500563789.692308 500568745.653846 1.36672462173365e-07 6399 0.0018605195436912 0.118642477399513
