poscM Chromosome Start End recRate nb_complete_site piSyn f0
0 1D 1585627.27272727 1590820.27272727 6.20213222718213e-07 2259 0.0028648678415228 0.142744964132311
0.01 1D 3961361 3965346 7.90674019502811e-07 90 0.0178771 0.141838441357938
0.02 1D 5445598 5450155 9.07754025682255e-07 20 0 NA
0.03 1D 5511254 5517977 9.13196172291157e-07 41 0 NA
0.04 1D 6331893 6345564 9.81664134084276e-07 62 0 Inf
0.05 1D 6766844 6771905 1.01837485613843e-06 50 0 Inf
0.06 1D 7472890 7478757 9.75567648046246e-07 49 0 NA
0.07 1D 9600084.5 9605716.83333333 9.80450593227368e-07 1269 0.0049204375177305 0.0748680960753263
0.11 1D 12201475.6666667 12206032 1.09296141099887e-06 63 0 NA
0.12 1D 15429533.5 15434868 3.44765211425436e-07 377 0 NA
0.15 1D 18064960 18068880 1.03243324302095e-06 71 0 NA
0.16 1D 19685563.6666667 19693027.3333333 1.34247166612346e-06 952 0.000793092899159664 0
0.2 1D 22943873 22947779 1.02511639374481e-06 198 0 NA
0.21 1D 24328938.5 24333739.5 9.86480612591416e-07 765 0 NA
0.23 1D 25845776 25849781 9.44830902534231e-07 586 0 NA
0.24 1D 27863820.5 27871401.75 8.90417204394331e-07 1219 0.00308695593109106 0.0618548367088712
0.3 1D 34782248.5 34785457 7.20468309871894e-07 839 0 NA
0.32 1D 36782465 36788138.25 6.78629324817066e-07 666 0 Inf
0.36 1D 41611708.5 41616411.5 5.79417109686836e-07 253 0 Inf
0.37 1D 43123433 43127371 5.48870895171306e-07 109 0 NA
0.38 1D 45717473.3333333 45722837.3333333 4.96996221198324e-07 721 0.00101591832177531 0
0.39 1D 47872956 47879800 4.54418729820784e-07 37 0 NA
0.4 1D 49388397.3333333 49397595.3333333 4.24798627943071e-07 227 0.00346707995594714 0
0.41 1D 53257543 53262976 3.50262437302993e-07 29 0 NA
0.42 1D 55589762.3333333 55593790.3333333 3.06110245205249e-07 912 0.000857368651315789 0
0.43 1D 60278706 60284220.8333333 2.19059511512612e-07 1295 0.000631979922779923 0
0.44 1D 70573954.2222222 70579534.1851852 6.72502609289215e-08 5674 0.000224442622488544 0.881892443320839
0.46 1D 85487699 85493537.6 0 1727 0 NA
0.47 1D 86976248.6666667 86983577 0 1245 0 Inf
0.48 1D 91231063 91236459.6666667 0 2006 0.000392119840478564 0.36682571812288
0.49 1D 118470780.710526 118476711.276316 0 16155 0.000327121993809966 0.218813465166807
0.5 1D 149639805 149650681 0 250 0 NA
0.51 1D 153766195 153777481 0 887 0 Inf
0.52 1D 207512175.40404 207520358.707071 3.50852950212018e-08 20503 0.000116930649661025 0.347590901655482
0.53 1D 251232851.571429 251240124.952381 7.77124943824651e-08 3949 0.000199694175740694 0.286572034751037
0.54 1D 264590420.625 264595702.25 8.95761490028261e-08 2027 0.000380363196842625 0
0.55 1D 281583864.391304 281588495.130435 1.03815226121428e-07 4025 0.000191013763975155 0.294115321142348
0.56 1D 294614025.933333 294619234.933333 1.13890117551278e-07 3519 0.000446379150326797 0.145200919911147
0.57 1D 301587942.375 301594915.75 1.19193145350339e-07 2535 0 Inf
0.58 1D 310055884.333333 310061548.333333 1.27011573574723e-07 2835 0.000264109077601411 0.937473791208615
0.59 1D 316468074 316476433.727273 1.34290013255134e-07 3079 0 NA
0.6 1D 325306853.625 325311376.625 1.40317728903343e-07 853 0 NA
0.61 1D 329357996.6 329364524.1 1.42130024620459e-07 2148 0 Inf
0.62 1D 335242670.5 335248477.6875 1.45678643239551e-07 4146 0.00166473082730342 0.0329398023914031
0.63 1D 343400805.235294 343407174.882353 1.52416458985581e-07 2497 0.000610598830596716 0.298137680422552
0.64 1D 350486010 350490248.75 1.59956232698433e-07 1898 0 NA
0.65 1D 356074486.7 356079442.7 1.67041273209051e-07 1879 0.000807688978179883 0.0935367347040033
0.66 1D 362016300.7 362021419.8 1.75730307515975e-07 1763 0.000877507623369257 0.29393549360273
0.67 1D 365739995.666667 365743918 1.81713837410722e-07 1355 0.000564101254612546 0
0.68 1D 371303908.857143 371307524.714286 1.91955596806254e-07 1386 0 Inf
0.69 1D 375603832.857143 375608015.142857 2.14645894662177e-07 969 0 NA
0.7 1D 381326076.538462 381329910.692308 2.51142926208756e-07 2540 0.000311960692913386 0
0.71 1D 386828820 386835225.222222 2.88873581014577e-07 3053 0.000683218021618081 0.216641754055927
0.72 1D 391650568.6 391654730.2 3.27063197875103e-07 517 0 NA
0.73 1D 397072273 397078005 3.86353264668435e-07 12 0 NA
0.74 1D 398822156.5 398825844 3.99445678763011e-07 498 0 Inf
0.75 1D 400777155 400781365 4.09747106533884e-07 295 0.00284698 0
0.76 1D 402252978.5 402256029.5 4.14093956761929e-07 206 0 NA
0.77 1D 403317454.2 403321338.6 4.15861865560585e-07 654 0.00380563669724771 0
0.78 1D 405760358.833333 405763941.333333 4.14325649619796e-07 950 0 NA
0.79 1D 408332052.5 408338420 4.13863704736999e-07 1517 0.00151519190177983 0
0.8 1D 410007265.333333 410015321.666667 4.18727371678738e-07 141 0 NA
0.81 1D 412264647 412266246 4.32244789199845e-07 232 0.00649481896551724 0
0.82 1D 414300825 414304306 4.29400191046945e-07 71 0 NA
0.83 1D 415907837.75 415914350.25 4.34341602822617e-07 1251 0.000649479376498801 0
0.84 1D 418746395.666667 418751939.166667 4.89333883922771e-07 2245 0.000337467897550111 0
0.85 1D 422326081.777778 422331726.666667 5.10337814912279e-07 2476 0.000350484006462036 0.800985970935185
0.86 1D 426703464.2 426707734 5.5654035357714e-07 560 0 Inf
0.87 1D 430413348.5 430418318 6.17892992914589e-07 281 0.00300108185053381 0
0.88 1D 430564939 430573646 6.20568788217035e-07 90 0 Inf
0.9 1D 431769929 431775134.666667 6.41036244932115e-07 1051 0 NA
0.91 1D 431986127.5 431990669.5 6.44612630054726e-07 704 0 NA
0.92 1D 433000020 433005217 6.61009137087298e-07 442 0 Inf
0.93 1D 433905297.5 433911086.5 6.75129360855977e-07 632 0.00116735705696203 0.634931422905084
0.95 1D 435537965 435540616 6.99218103707164e-07 282 0.00297794007092199 0
0.96 1D 436189306 436197416 7.08439141019421e-07 339 0 NA
0.98 1D 438672143 438677427 7.71668894864884e-07 471 0 NA
0.99 1D 440045087.5 440049315.75 7.39841015790141e-07 1038 0.000741206377649326 0
1 1D 443653897.444444 443658900.444444 7.21094957071323e-07 2056 0 Inf
1.01 1D 446086284.25 446090882.75 7.29093677112089e-07 686 0.0011714106122449 0
1.02 1D 446704966 446710961 7.28206479657885e-07 117 0 NA
1.03 1D 447932062.75 447936570.75 7.25583907283558e-07 571 0.00375157197898424 0.10768564220318
1.04 1D 448651423 448656746 7.24154780284398e-07 258 0 NA
1.05 1D 449926610.333333 449931321.666667 7.28355710853478e-07 906 0 Inf
1.07 1D 451947873 451949838.5 7.50257805153854e-07 290 0 NA
