Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_sharonensis_Tr265_SHA02_Contig1_ESTScan	TraesCS3B02G250000	309	0.931464567043304	1.7e-147	1	97.087
Ae_sharonensis_Tr265_SHA02_Contig1002_simExt	TraesCS2B02G393700	724	1.56813406474653	0	0.987569060773481	93.994
Ae_sharonensis_Tr265_SHA02_Contig1003_simExt	TraesCS7B02G305800	955	1.5472027972028	4.83426573426573e-65	0.957068062827225	93.5616389496718
Ae_sharonensis_Tr265_SHA02_Contig1004_simExt	TraesCS7B02G107200	1567	1.74409448818898	1.49743238617144e-28	0.800255264837269	98.120000066454
Ae_sharonensis_Tr265_SHA02_Contig1007_simExt	TraesCS7B02G217700	1550	1.62606181095247	8.35893728537864e-58	0.899354838709677	96.2079802725968
Ae_sharonensis_Tr265_SHA02_Contig1008_simExt	TraesCS7B02G396000	543	1.28252420027664	0	0.815837937384899	98.194
Ae_sharonensis_Tr265_SHA02_Contig1011_simExt	TraesCS6B02G257900	274	1.61538461538462	3.15666666666667e-105	0.996350364963504	96.0926666666667
Ae_sharonensis_Tr265_SHA02_Contig1013_simExt	TraesCS1B02G150500	2386	1.68445839874411	0	0.800502933780386	97.2283554973822
Ae_sharonensis_Tr265_SHA02_Contig1019_simExt	TraesCS1B02G450700	993	1.7289156626506	0	1	97.992
Ae_sharonensis_Tr265_SHA02_Contig1031	TraesCS5B02G061800	517	1.50757575757576	1.05592803030303e-41	0.998065764023211	94.1162044573643
Ae_sharonensis_Tr265_SHA02_Contig1032_simExt	TraesCS5B02G407400	724	1.41726559533763	0	1	91.363
Ae_sharonensis_Tr265_SHA02_Contig1034_simExt	TraesCS2B02G207900	1561	1.55250811981234	1.32082280765067e-136	0.871877001921845	95.0940964976733
Ae_sharonensis_Tr265_SHA02_Contig1035_simExt	TraesCS2B02G569400	799	1.34375337259325	0	0.86107634543179	91.595
Ae_sharonensis_Tr265_SHA02_Contig1036_simExt	TraesCS6B02G220700	988	1.68683121700671	1.21620796119275e-47	0.901821862348178	97.2470998075998
Ae_sharonensis_Tr265_SHA02_Contig1038_simExt	TraesCS3B02G021000	2723	1.64501710717834	0	0.940506793977231	97.474
Ae_sharonensis_Tr265_SHA02_Contig1055_simExt	TraesCS6B02G166200	687	1.66120636405594	0	0.997088791848617	96.254
Ae_sharonensis_Tr265_SHA02_Contig1059_simExt	TraesCS4B02G031500	2269	1.81742775856822	0	0.999118554429264	97.1
Ae_sharonensis_Tr265_SHA02_Contig106_simExt	TraesCS6B02G286700	1015	1.84255084988731	0	0.954679802955665	95.306
Ae_sharonensis_Tr265_SHA02_Contig1061_simExt	TraesCS5B02G283400	580	1.43812923136833	0	0.946551724137931	96.357
Ae_sharonensis_Tr265_SHA02_Contig1063_simExt	TraesCS2B02G600300	2115	1.8310014155483	0	0.907328605200946	97.088
Ae_sharonensis_Tr265_SHA02_Contig1067_simExt	TraesCS1B02G093600	578	1.60291830015552	0	1	98.27
Ae_sharonensis_Tr265_SHA02_Contig1068_simExt	TraesCS2B02G256600	1288	1.69536107125777	0	0.816770186335404	97.3222709125475
Ae_sharonensis_Tr265_SHA02_Contig1073_simExt	TraesCS2B02G131500	1393	1.54096310193871	0	1	94.6634551328069
Ae_sharonensis_Tr265_SHA02_Contig1081_simExt	TraesCS2B02G345100	802	1.71136186284092	0	1	94.645
Ae_sharonensis_Tr265_SHA02_Contig1091_simExt	TraesCS2B02G183100	537	1.09866189800269	0	0.875232774674115	92.34
Ae_sharonensis_Tr265_SHA02_Contig1092_simExt	TraesCS5B02G165300	3323	1.765140562249	0	0.990069214565152	98.5813541033435
Ae_sharonensis_Tr265_SHA02_Contig1095_simExt	TraesCS6B02G247200	1222	1.79357798165138	0	1	98.9963076923077
Ae_sharonensis_Tr265_SHA02_Contig1100_simExt	TraesCS2B02G506400	656	1.45627897066714	0	1	93.14
Ae_sharonensis_Tr265_SHA02_Contig1103	TraesCS6B02G117900	357	1.04205791941499	4.12e-169	1	96.639
Ae_sharonensis_Tr265_SHA02_Contig1111_simExt	TraesCS5B02G159400	1009	2.05100656703169	0	0.998017839444995	97.517
Ae_sharonensis_Tr265_SHA02_Contig1112	TraesCS4B02G343000	258	0.651911704644102	1.15e-98	1	91.923
Ae_sharonensis_Tr265_SHA02_Contig1113_lgORF	TraesCS1B02G292900	278	1.75128205128205	5.94230769230769e-47	0.996402877697842	97.8633754512635
Ae_sharonensis_Tr265_SHA02_Contig1124_simExt	TraesCS5B02G538500	669	1.32150540618332	0	0.974588938714499	91.141
Ae_sharonensis_Tr265_SHA02_Contig1146_simExt	TraesCS3B02G128000	1715	1.79443521594684	1.61279069767442e-61	0.867055393586006	99.0723187626093
Ae_sharonensis_Tr265_SHA02_Contig1150_simExt	TraesCS4B02G240200	736	1.42390050112747	0	0.853260869565217	94.313
Ae_sharonensis_Tr265_SHA02_Contig1152_simExt	TraesCS3B02G047500	1841	1.7007874015748	2.29527559055118e-54	0.894622487778381	97.4041250758956
Ae_sharonensis_Tr265_SHA02_Contig1155_simExt	TraesCS3B02G483600	1098	1.96964398816634	0	1	95.723
Ae_sharonensis_Tr265_SHA02_Contig1156_ESTScan	TraesCS7B02G122400	596	1.63794642857143	5.51116071428572e-65	1	96.3911476510067
Ae_sharonensis_Tr265_SHA02_Contig1161_simExt	TraesCS3B02G356500	389	0.838202905135191	3.67e-135	0.933161953727506	90.489
Ae_sharonensis_Tr265_SHA02_Contig1168_simExt	TraesCS3B02G177400	819	1.72527472527473	0	1	97.802
Ae_sharonensis_Tr265_SHA02_Contig1177_simExt	TraesCS6B02G164900	397	1.33187772925764	1.06365356622999e-22	0.972292191435768	90.6764352331606
Ae_sharonensis_Tr265_SHA02_Contig1180_simExt	TraesCS5B02G102500	916	1.73716814159292	7.03137570394208e-13	0.844978165938865	97.9942299741602
Ae_sharonensis_Tr265_SHA02_Contig1181_simExt	TraesCS3B02G017700	491	1.25590855726407	0	0.857433808553971	98.575
Ae_sharonensis_Tr265_SHA02_Contig1188_simExt	TraesCS6B02G360900	1545	1.73091849935317	4.04592496765847e-151	1	97.8974957928803
Ae_sharonensis_Tr265_SHA02_Contig1194_simExt	TraesCS4B02G395700	2473	1.53052437336614	1.28968168537598e-23	0.890012131014962	94.756009238225
Ae_sharonensis_Tr265_SHA02_Contig1195	TraesCS7B02G170200	807	1.45853658536585	9.85731707317073e-105	1	93.2894138785626
Ae_sharonensis_Tr265_SHA02_Contig1200_simExt	TraesCS3B02G145100	1178	1.7775805353085	0	1	92.658
Ae_sharonensis_Tr265_SHA02_Contig1203_simExt	TraesCS4B02G140300	1538	1.76557734204793	2.50980392156863e-154	0.939531859557867	98.5317529411765
Ae_sharonensis_Tr265_SHA02_Contig1205	TraesCS2B02G079200	318	0.948709604870651	8.08e-151	0.990566037735849	97.143
Ae_sharonensis_Tr265_SHA02_Contig1206_simExt	TraesCS4B02G148900	1183	1.72299944040291	0	0.85883347421809	97.734406003937
Ae_sharonensis_Tr265_SHA02_Contig122_simExt	TraesCS6B02G074500	761	1.67541229385307	3.48215892053973e-65	1	96.865153088042
Ae_sharonensis_Tr265_SHA02_Contig1220_simExt	TraesCS5B02G221600	2924	1.74420218037661	1.62160555004955e-33	0.93844049247606	98.1559264759475
Ae_sharonensis_Tr265_SHA02_Contig1222_simExt	TraesCS1B02G342600	1312	1.64075471698113	0	1	96.528
Ae_sharonensis_Tr265_SHA02_Contig1225_simExt	TraesCS6B02G376400	3021	1.73738414006179	0	0.962926183382986	98.0457383980749
Ae_sharonensis_Tr265_SHA02_Contig1227_simExt	TraesCS5B02G252500	2275	1.61462555066079	1.47885462555066e-16	0.991648351648352	95.9915824468085
Ae_sharonensis_Tr265_SHA02_Contig123_simExt	TraesCS3B02G230700	1267	1.72706834532374	1.24154676258993e-69	0.877663772691397	97.8417158273381
Ae_sharonensis_Tr265_SHA02_Contig1232_simExt	TraesCS7B02G346700	1678	1.57467824004789	1.59946123914996e-30	0.99880810488677	95.362567124105
Ae_sharonensis_Tr265_SHA02_Contig1234_simExt	TraesCS3B02G091900	1547	1.50940170940171	1.55954415954416e-29	0.868131868131868	94.8253484735666
Ae_sharonensis_Tr265_SHA02_Contig1236_simExt	TraesCS2B02G344400	847	1.82260967808432	0	1	95.755
Ae_sharonensis_Tr265_SHA02_Contig1242	TraesCS1B02G386700	288	0.797038153970697	1.26e-123	0.958333333333333	95.668
Ae_sharonensis_Tr265_SHA02_Contig1244_simExt	TraesCS7B02G196900	2630	1.69927696620924	0	0.90722433460076	97.4271992875105
Ae_sharonensis_Tr265_SHA02_Contig1247_simExt	TraesCS2B02G491200	716	1.58684294707912	0	0.931564245810056	95.595
Ae_sharonensis_Tr265_SHA02_Contig1255_simExt	TraesCS1B02G238900	984	1.5962389380531	1.18287610619469e-103	0.913617886178862	95.6847474972191
Ae_sharonensis_Tr265_SHA02_Contig1266_simExt	TraesCS7B02G288800	1347	1.99329614891911	0	1	95.62
Ae_sharonensis_Tr265_SHA02_Contig1268_simExt	TraesCS7B02G161100	1560	1.9981491338511	0	0.969871794871795	96.577
Ae_sharonensis_Tr265_SHA02_Contig127_simExt	TraesCS7B02G197000	1209	1.75541795665635	2.19814241486068e-27	0.801488833746898	98.3489742002064
Ae_sharonensis_Tr265_SHA02_Contig1271_simExt	TraesCS5B02G479100	328	0.900502887553645	5.04e-143	1	94.512
Ae_sharonensis_Tr265_SHA02_Contig1283_simExt	TraesCS4B02G108000	1406	2.15981442135945	0	1	98.081
Ae_sharonensis_Tr265_SHA02_Contig1290_simExt	TraesCS7B02G451200	681	1.70500830317172	0	0.986784140969163	97.325
Ae_sharonensis_Tr265_SHA02_Contig1293_simExt	TraesCS7B02G268900	1562	1.61468926553672	6.56694915254237e-123	0.875160051216389	96.4037781029017
Ae_sharonensis_Tr265_SHA02_Contig13	TraesCS2B02G195600	539	1.71769383697813	7.23658051689861e-85	0.927643784786642	97.812812
Ae_sharonensis_Tr265_SHA02_Contig1302_simExt	TraesCS1B02G468900	570	1.4797121392881	0	1	96.14
Ae_sharonensis_Tr265_SHA02_Contig1305_simExt	TraesCS7B02G140600	1079	1.53692307692308	0	0.88693234476367	94.7835
Ae_sharonensis_Tr265_SHA02_Contig1309_ESTScan	TraesCS1B02G094000	268	0.61380760908127	5.64e-92	0.854477611940298	93.478
Ae_sharonensis_Tr265_SHA02_Contig1311_simExt	TraesCS2B02G284900	1573	1.53558327219369	2.05260454878944e-82	0.854418308963763	94.7357135416667
Ae_sharonensis_Tr265_SHA02_Contig132_simExt	TraesCS7B02G392600	2007	2.00881678740621	0	1	98.407
Ae_sharonensis_Tr265_SHA02_Contig1320_simExt	TraesCS1B02G311400	1002	2.08393989290764	0	0.998003992015968	98.104
Ae_sharonensis_Tr265_SHA02_Contig1328_simExt	TraesCS2B02G366000	1387	1.49346879535559	0	0.977649603460707	94.049
Ae_sharonensis_Tr265_SHA02_Contig1346_simExt	TraesCS7B02G432900	847	1.77123287671233	0	0.861865407319953	98.63
Ae_sharonensis_Tr265_SHA02_Contig1348_simExt	TraesCS7B02G393200	1358	1.77376796308692	0	0.990427098674521	92.604
Ae_sharonensis_Tr265_SHA02_Contig1349_simExt	TraesCS2B02G235100	6105	1.66571524513096	0	0.973955773955774	96.8102845610494
Ae_sharonensis_Tr265_SHA02_Contig1350	TraesCS5B02G331200	307	1.6514657980456	4.71e-143	1	96.417
Ae_sharonensis_Tr265_SHA02_Contig1355	TraesCS5B02G145900	572	1.38461538461538	3.45510395010395e-90	0.835664335664336	92.3016359832636
Ae_sharonensis_Tr265_SHA02_Contig136_simExt	TraesCS1B02G388700	419	1.66348448687351	0	1	96.659
Ae_sharonensis_Tr265_SHA02_Contig1361_simExt	TraesCS7B02G134500	1289	1.69623430962343	1.12282845188285e-93	0.925523661753297	97.3242942162615
Ae_sharonensis_Tr265_SHA02_Contig1373_simExt	TraesCS5B02G544100	252	1.77129337539432	3.90378548895899e-78	1	98.6112222222222
Ae_sharonensis_Tr265_SHA02_Contig1374_simExt	TraesCS6B02G411300	1009	1.50709939148073	1.42150101419878e-28	0.970267591674926	93.9086762002043
Ae_sharonensis_Tr265_SHA02_Contig1380_simExt	TraesCS4B02G153900	1176	1.77997465145754	0	0.897108843537415	98.8011011058452
Ae_sharonensis_Tr265_SHA02_Contig1385_simExt	TraesCS5B02G043300	868	1.72727272727273	0	0.908986175115207	97.7126641318124
Ae_sharonensis_Tr265_SHA02_Contig1387_simExt	TraesCS6B02G295900	1887	1.69597315436242	3.96238255033557e-137	0.82458929517753	97.3847708868895
Ae_sharonensis_Tr265_SHA02_Contig1389_simExt	TraesCS4B02G212600	1146	1.7980064090511	0	0.976439790575916	93.794
Ae_sharonensis_Tr265_SHA02_Contig1390_simExt	TraesCS4B02G022900	606	1.2531816889825	0	0.952145214521452	91.638
Ae_sharonensis_Tr265_SHA02_Contig1394_simExt	TraesCS5B02G541500	1505	2.02497333309454	0	0.99734219269103	96.382
Ae_sharonensis_Tr265_SHA02_Contig14_simExt	TraesCS1B02G165500	500	1.4232127417601	0	1	97.8
Ae_sharonensis_Tr265_SHA02_Contig1411_simExt	TraesCS6B02G015900	805	1.9448951647441	0	1	98.385
Ae_sharonensis_Tr265_SHA02_Contig1412_simExt	TraesCS2B02G520500	3313	1.59035444509006	9.54407900132813e-171	0.90914578931482	95.4795441567065
Ae_sharonensis_Tr265_SHA02_Contig1414_simExt	TraesCS4B02G170900	1141	2.06963068714415	0	0.988606485539001	97.281
Ae_sharonensis_Tr265_SHA02_Contig1419_simExt	TraesCS5B02G168900	457	1.58208955223881	6.4183368869936e-65	1	95.7907407002188
Ae_sharonensis_Tr265_SHA02_Contig1425_simExt	TraesCS2B02G022800	1029	1.8855833848152	0	0.942662779397473	96.091
Ae_sharonensis_Tr265_SHA02_Contig1430_simExt	TraesCS3B02G530000	298	0.695758943054867	1.72e-107	0.986577181208054	90.397
Ae_sharonensis_Tr265_SHA02_Contig1431_simExt	TraesCS4B02G072000	2852	1.66992708518584	0	1	96.8883406381487
Ae_sharonensis_Tr265_SHA02_Contig1432_simExt	TraesCS4B02G382900	1143	1.53046953046953	0	0.864391951006124	94.5393572874494
Ae_sharonensis_Tr265_SHA02_Contig1437_simExt	TraesCS6B02G078100	454	1.13487870251268	0	1	93.392
Ae_sharonensis_Tr265_SHA02_Contig144_simExt	TraesCS7B02G257300	978	1.94572657214521	0	0.993865030674847	96.304
Ae_sharonensis_Tr265_SHA02_Contig1445_simExt	TraesCS4B02G122600	1357	1.7333851535173	4.96214535561601e-55	0.991893883566691	98.0085854383358
Ae_sharonensis_Tr265_SHA02_Contig1446_simExt	TraesCS7B02G210700	2006	1.71773765268189	0	0.932203389830508	97.8265
Ae_sharonensis_Tr265_SHA02_Contig1449_simExt	TraesCS7B02G416000	1276	1.91732333841531	0	0.963949843260188	95.069
Ae_sharonensis_Tr265_SHA02_Contig1455_simExt	TraesCS2B02G267300	1352	1.73611111111111	2.7134009009009e-145	0.994082840236686	98.0471906001984
Ae_sharonensis_Tr265_SHA02_Contig1457_simExt	TraesCS2B02G397800	309	0.82556548317301	1.04e-129	1	93.59
Ae_sharonensis_Tr265_SHA02_Contig1462_simExt	TraesCS3B02G064100	439	0.878925936053624	1.92e-143	0.810933940774487	92.437
Ae_sharonensis_Tr265_SHA02_Contig1474_simExt	TraesCS2B02G152300	570	1.7431289640592	0	0.996491228070175	98.0912834507042
Ae_sharonensis_Tr265_SHA02_Contig1479_simExt	TraesCS5B02G060200	550	1.61359223300971	2.85242718446602e-42	0.936363636363636	95.7283553398058
Ae_sharonensis_Tr265_SHA02_Contig1482_simExt	TraesCS1B02G256300	1059	1.69735599622285	0	1	97.545
Ae_sharonensis_Tr265_SHA02_Contig1484	TraesCS5B02G353200	295	1.78104575163399	6.20849673202614e-21	1	98.7221016949153
Ae_sharonensis_Tr265_SHA02_Contig149_simExt	TraesCS4B02G212300	587	1.30081694490105	0	0.977853492333901	92.491
Ae_sharonensis_Tr265_SHA02_Contig1492_simExt	TraesCS5B02G121000	1530	1.52327506899724	0	0.972549019607843	94.8511678427419
Ae_sharonensis_Tr265_SHA02_Contig1493_simExt	TraesCS5B02G237200	3071	1.52102954614367	0	0.893845652881798	97.632
Ae_sharonensis_Tr265_SHA02_Contig1495_simExt	TraesCS4B02G041100	662	1.64235321628584	0	1	96.375
Ae_sharonensis_Tr265_SHA02_Contig1497_simExt	TraesCS4B02G036800	1572	1.65432363013699	3.28000856164384e-164	1	96.6045224766751
Ae_sharonensis_Tr265_SHA02_Contig1499_simExt	TraesCS2B02G293800	567	1.72519083969466	9.88938237335184e-90	0.871252204585538	97.7768114035088
Ae_sharonensis_Tr265_SHA02_Contig1503	TraesCS3B02G006300	521	1.18136878051615	0	0.988483685220729	92.205
Ae_sharonensis_Tr265_SHA02_Contig1506_simExt	TraesCS3B02G191900	1655	1.72724230254351	1.00913654618474e-165	0.916012084592145	97.8615626649077
Ae_sharonensis_Tr265_SHA02_Contig1507_simExt	TraesCS7B02G200000	780	1.74392819429778	1.28653643083421e-24	0.808974358974359	98.0988891970417
Ae_sharonensis_Tr265_SHA02_Contig1517_simExt	TraesCS1B02G053800	1495	1.75716724839652	0	0.902341137123746	93.81
Ae_sharonensis_Tr265_SHA02_Contig1523_simExt	TraesCS6B02G216800	827	1.3969764837626	8.91041433370661e-105	0.990326481257557	92.615918009768
Ae_sharonensis_Tr265_SHA02_Contig1526_simExt	TraesCS7B02G163800	1512	1.6739417989418	0	1	96.8915
Ae_sharonensis_Tr265_SHA02_Contig1528_simExt	TraesCS1B02G148500	1259	1.67299578059072	8.48059071729958e-102	0.981731532962669	97.0109360841424
Ae_sharonensis_Tr265_SHA02_Contig1531_simExt	TraesCS1B02G085500	782	1.7654679672513	0	0.997442455242967	95.897
Ae_sharonensis_Tr265_SHA02_Contig1536_simExt	TraesCS6B02G258500	1175	1.74754244861483	2.21769436997319e-26	0.968510638297872	98.2131893673111
Ae_sharonensis_Tr265_SHA02_Contig1537_simExt	TraesCS6B02G294700	1051	2.0413866264337	0	0.924833491912464	98.561
Ae_sharonensis_Tr265_SHA02_Contig1543_simExt	TraesCS3B02G250000	796	1.69156626506024	1.5933734939759e-39	1	97.4265452261307
Ae_sharonensis_Tr265_SHA02_Contig1544_simExt	TraesCS2B02G599000	694	1.82894841266151	0	1	98.847
Ae_sharonensis_Tr265_SHA02_Contig1546_simExt	TraesCS2B02G319500	1561	1.57409766454352	0	1	95.35
Ae_sharonensis_Tr265_SHA02_Contig1548_simExt	TraesCS5B02G103700	1278	2.04496868584129	0	0.889671361502347	98.241
Ae_sharonensis_Tr265_SHA02_Contig1550_simExt	TraesCS5B02G121300	1114	1.76780758556892	1.5118408880666e-22	0.968581687612208	98.6122289156626
Ae_sharonensis_Tr265_SHA02_Contig1554_simExt	TraesCS6B02G310100	589	1.33745536202229	0	0.823429541595925	97.331
Ae_sharonensis_Tr265_SHA02_Contig1555_simExt	TraesCS1B02G340500	1186	2.03515561758864	0	1	96.405
Ae_sharonensis_Tr265_SHA02_Contig1557	TraesCS7B02G167800	563	1.16535802346786	0	0.982238010657194	90.718
Ae_sharonensis_Tr265_SHA02_Contig1558_simExt	TraesCS1B02G443100	1095	1.58409321175279	0	0.974429223744292	95.4872099343955
Ae_sharonensis_Tr265_SHA02_Contig1559_simExt	TraesCS5B02G412500	334	1.70238095238095	6.34133333333333e-133	0.838323353293413	97.381
Ae_sharonensis_Tr265_SHA02_Contig1561_simExt	TraesCS6B02G160700	1784	1.93859094073836	0	0.981502242152466	96.307
Ae_sharonensis_Tr265_SHA02_Contig1571	TraesCS1B02G100400	332	1.66386554621849	3.81857142857143e-91	0.837349397590361	96.604917266187
Ae_sharonensis_Tr265_SHA02_Contig1575	TraesCS6B02G276800	603	1.47236765052454	0	0.991708126036484	95.033
Ae_sharonensis_Tr265_SHA02_Contig1577_simExt	TraesCS2B02G621200	2702	1.36523736600306	9.26493108728943e-32	0.85899333826795	91.4545581645842
Ae_sharonensis_Tr265_SHA02_Contig158_simExt	TraesCS7B02G484200	937	1.72303064686676	0	0.836712913553895	96.556
Ae_sharonensis_Tr265_SHA02_Contig1580_lgORF	TraesCS7B02G392600	278	0.791996426015285	1.57e-122	0.956834532374101	96.283
