Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_mutica_Tr237_MUT03_Contig1000_simExt	TraesCS3B02G316500	1188	1.80087336244541	1.64117903930131e-24	1	99.1683734567901
Ae_mutica_Tr237_MUT03_Contig10000_simExt	TraesCS3B02G164000	820	1.58340353833193	2.54317607413648e-127	0.86219512195122	95.7138142385667
Ae_mutica_Tr237_MUT03_Contig10001_simExt	TraesCS3B02G306800	862	1.74646965070249	0	1	95.145
Ae_mutica_Tr237_MUT03_Contig10002_simExt	TraesCS6B02G367400	1320	1.61874294316899	1.96424538953707e-72	1	96.1252159090909
Ae_mutica_Tr237_MUT03_Contig10004_simExt	TraesCS5B02G244200	638	1.40395133599154	0	1	94.062
Ae_mutica_Tr237_MUT03_Contig10010_simExt	TraesCS4B02G226900	1094	2.02180112075148	0	0.99908592321755	96.981
Ae_mutica_Tr237_MUT03_Contig10011_simExt	TraesCS3B02G230500	1681	2.15241325652818	0	0.964306960142772	98.766
Ae_mutica_Tr237_MUT03_Contig10012_simExt	TraesCS1B02G127700	921	1.71932681867535	0	1	97.7745
Ae_mutica_Tr237_MUT03_Contig10013_simExt	TraesCS3B02G418200	2688	1.61897678041553	0	0.99702380952381	95.176
Ae_mutica_Tr237_MUT03_Contig10015_simExt	TraesCS6B02G247500	2883	1.6481375345609	0	0.800208116545265	98.268
Ae_mutica_Tr237_MUT03_Contig10016_simExt	TraesCS2B02G226700	3541	1.61295805289279	4.31110300055748e-29	1	95.8850311823402
Ae_mutica_Tr237_MUT03_Contig10017_simExt	TraesCS3B02G102300	845	1.72790267995407	0	0.97396449704142	95.747
Ae_mutica_Tr237_MUT03_Contig10019_simExt	TraesCS2B02G357600	2388	1.6139990880073	0	0.998324958123953	95.8395134228188
Ae_mutica_Tr237_MUT03_Contig1002_simExt	TraesCS5B02G419300	384	1.04462287415842	0	1	96.615
Ae_mutica_Tr237_MUT03_Contig10022_simExt	TraesCS5B02G428200	663	1.4064773146477	0	0.998491704374057	93.433
Ae_mutica_Tr237_MUT03_Contig10025_simExt	TraesCS1B02G368500	2882	1.59372623574144	0	0.922970159611381	95.5739105263158
Ae_mutica_Tr237_MUT03_Contig10026_simExt	TraesCS6B02G235900	2748	1.74108500929525	0	0.999636098981077	98.1151984589249
Ae_mutica_Tr237_MUT03_Contig10027_simExt	TraesCS7B02G223000	1242	1.92184930647494	0	0.982286634460548	95.037
Ae_mutica_Tr237_MUT03_Contig10028_simExt	TraesCS7B02G157000	1578	1.75040205853972	0	1	98.2958694550063
Ae_mutica_Tr237_MUT03_Contig10029_simExt	TraesCS5B02G468800	1088	1.93028549756549	0	1	95.704
Ae_mutica_Tr237_MUT03_Contig1003_simExt	TraesCS5B02G371800	1022	1.6986301369863	0	1	97.358
Ae_mutica_Tr237_MUT03_Contig10030_simExt	TraesCS2B02G570000	766	1.60512410886951	0	0.877284595300261	97.47
Ae_mutica_Tr237_MUT03_Contig10031_simExt	TraesCS7B02G299600	2629	1.64570517202096	0	0.99505515405097	96.6393599006116
Ae_mutica_Tr237_MUT03_Contig10032_simExt	TraesCS3B02G406200	448	1.39776951672862	8.77447335811648e-149	0.957589285714286	92.2897668997669
Ae_mutica_Tr237_MUT03_Contig10034_simExt	TraesCS6B02G055600	1309	1.50189825360668	0	0.998472116119175	94.0395
Ae_mutica_Tr237_MUT03_Contig10035	TraesCS1B02G169600	733	1.71081081081081	3.85905405405405e-23	0.998635743519782	97.7048155737705
Ae_mutica_Tr237_MUT03_Contig10036_simExt	TraesCS4B02G068600	583	1.46245733788396	0	0.998284734133791	93.174
Ae_mutica_Tr237_MUT03_Contig10038_simExt	TraesCS3B02G165500	2590	1.84029347375747	0	1	98.302
Ae_mutica_Tr237_MUT03_Contig10039_simExt	TraesCS2B02G010300	1646	1.81652144250522	0	0.992102065613609	93.697
Ae_mutica_Tr237_MUT03_Contig10042_simExt	TraesCS3B02G217300	3147	1.72580379225062	0	0.99936447410232	97.8332092209857
Ae_mutica_Tr237_MUT03_Contig10045_simExt	TraesCS7B02G458700	2759	1.6253612716763	0	1	96.1826666666667
Ae_mutica_Tr237_MUT03_Contig10047_simExt	TraesCS7B02G322600	1264	2.0955179207637	0	1	97.231
Ae_mutica_Tr237_MUT03_Contig10049_simExt	TraesCS5B02G002900	1642	1.62611181702668	0	0.976248477466504	96.3321057392389
Ae_mutica_Tr237_MUT03_Contig1005_simExt	TraesCS5B02G135000	1059	1.6235632183908	0	1	96.2181218130312
Ae_mutica_Tr237_MUT03_Contig10055_simExt	TraesCS2B02G465300	2424	1.71832526167786	0	1	97.7792585258526
