poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.02 1B 1418981.8 1425703.2 NA 1261 0.00250738386518636 0.292176784830736
0.06 1B 4302527.33333333 4307091 7.68923596417863e-07 440 0 NA
0.07 1B 4475908 4479190 7.67437826550965e-07 236 0 NA
0.09 1B 6473815 6477799 7.49121041341185e-07 90 0.0178771 0.141838441357938
0.12 1B 8662270.5 8668223 7.26641617277757e-07 91 0 Inf
0.13 1B 9837979 9844502 7.13613779510062e-07 49 0 NA
0.14 1B 10203991 10206698 7.09421832120605e-07 79 0.0372093 0.0797773674860855
0.15 1B 11857187 11860248 6.89525639551083e-07 378 0.00212766 0
0.18 1B 15004639.5 15012308.5 6.53588700415522e-07 437 0 Inf
0.19 1B 15392593.6666667 15396274 6.49826400694233e-07 476 0.00998977023109244 0
0.2 1B 17685825.6666667 17690644 6.27741245255761e-07 573 0 NA
0.21 1B 18419377 18423130 6.20777349669413e-07 148 0 NA
0.22 1B 20588785 20595873 6.00431779138865e-07 278 0 NA
0.25 1B 25998941 26001808.5 5.42356728036348e-07 104 0.00495793269230769 0
0.27 1B 29477964 29480900.5 5.14339723846165e-07 376 0.00200804372340426 0
0.28 1B 32878765.6666667 32888417 4.72782231850662e-07 730 0 NA
0.29 1B 39219458.3333333 39223870.3333333 4.1054145206564e-07 1472 0 NA
0.31 1B 44353472.6 44359547.2 3.54409691786902e-07 1271 0.00296066033044847 0.124667338761755
0.33 1B 53131621 53134905.6666667 2.66256241738691e-07 978 0 NA
0.34 1B 55593776 55605247 2.45960662118562e-07 1193 0 Inf
0.35 1B 56938728.5 56946728 2.35588166343723e-07 77 0 NA
0.37 1B 59969523 59971717 2.1447198120156e-07 149 0.0198791416107383 0.0799540890065169
0.38 1B 62498682.5 62502555.6666667 1.99097464381767e-07 466 0 Inf
0.39 1B 67264709.8 67272198.6 1.7585159713466e-07 850 0.00178765207058824 0
0.4 1B 72468584.5 72473591 1.57929057169792e-07 685 0.00115855935766423 0
0.41 1B 95800657.3076923 95805559.7692308 7.95441390738428e-08 2837 0.000564093835037011 0
0.42 1B 116809650.736842 116815977.052632 7.69891044859335e-09 4972 0.000154044955752212 1.08796850320256
0.43 1B 204657584.351562 204665824.554688 5.12234942263875e-09 28375 0.000245064930044053 0.361504735814407
0.44 1B 323600629.363636 323607404 2.66513902026353e-08 12524 0.00012458931810923 0.291183797457789
0.45 1B 361399254.897436 361405340.282051 3.1711561607279e-08 5550 0.000138918234234234 0
0.46 1B 388031445.28125 388036486.125 3.50385577467097e-08 6651 0.000121191700496166 0.563500842383685
0.47 1B 411455023.310345 411461361.344828 5.00823248718929e-08 5041 0.000148531885538584 2.03705934203726
0.48 1B 427993228.066667 428001794 6.55092015745094e-08 3389 0 NA
0.49 1B 443188519.409091 443194644.5 7.55463614910366e-08 3986 0.00037111393878575 0.46875561496904
0.5 1B 453895321.173913 453901522.086957 8.02921375201657e-08 5211 0.00117901379581654 0.110990802367605
0.51 1B 466670770.916667 466677629.583333 8.49699570268704e-08 2137 0.000376012278895648 0
0.52 1B 475834792.125 475839894.625 9.28772554185677e-08 2891 0.000524955928744379 0.0935367347040033
0.53 1B 482700331.7 482705378.2 1.01803709337446e-07 1962 0.000788504556574924 0.29393549360273
0.54 1B 490411113.75 490415124.833333 1.14993892943665e-07 1973 0.000387408616320324 0.298697983089582
0.55 1B 500114253.2 500119368.1 1.35662362543284e-07 1563 0 NA
0.56 1B 510246028.111111 510249914.111111 1.59320303574908e-07 2089 0.000379310751555768 0
0.57 1B 519476874.9 519482640.9 1.88394899331318e-07 3176 0.000656758381612091 0.216641754055927
0.58 1B 526557244 526565115 2.02022454118501e-07 141 0 NA
0.59 1B 531061998 531065151 2.12112896251327e-07 615 0 NA
0.6 1B 535407264 535410875.333333 2.33290999733806e-07 589 0.00142590679117148 0
0.61 1B 540569988.5 540574350 2.54763628539604e-07 459 0 NA
0.62 1B 543145367.333333 543149990.333333 2.6204951963629e-07 460 0.00541062260869565 0
0.63 1B 545369169.833333 545372828.333333 2.66464542848337e-07 986 0 NA
0.64 1B 547623769 547629586 2.69428572157367e-07 1175 0.000713134259574468 0
0.65 1B 551319059.5 551325075 2.70556116873727e-07 532 0.00274551383458647 0
0.66 1B 555147936.25 555151063 2.66848006698854e-07 367 0.00410571662125341 0
0.67 1B 559100572 559104015 2.58251538636214e-07 71 0 NA
0.68 1B 562657175.8 562663165 2.58323886981564e-07 1394 0.00112633725251076 0
0.69 1B 566022378.5 566029880.25 2.72606247178336e-07 2015 0 NA
