Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_comosa_Tr272_COM03_0_simExt	TraesCS3A02G253600	258	1.72093023255814	2.98e-124	1	97.674
Ae_comosa_Tr272_COM03_100023_simExt	TraesCS3A02G521200	287	0.849827645891675	9.13e-140	0.986062717770035	98.233
Ae_comosa_Tr272_COM03_100032_ESTScan	TraesCS6A02G293500	407	0.88850138569182	1.68e-153	0.965601965601966	91.4
Ae_comosa_Tr272_COM03_100065_simExt	TraesCS6A02G291900	643	1.42572741194487	0	1	92.802
Ae_comosa_Tr272_COM03_100090	TraesCS5A02G011000	483	1.58471074380165	0	1	95.455
Ae_comosa_Tr272_COM03_100105_simExt	TraesCS6A02G319900	1892	1.32436384907868	1.98022813688213e-40	0.997885835095137	91.6658654661017
Ae_comosa_Tr272_COM03_100132_simExt	TraesCS2A02G383300	594	1.21006001746043	0	0.905723905723906	93.346
Ae_comosa_Tr272_COM03_100158_simExt	TraesCS1A02G246400	1279	1.88482104429226	0	0.999218139171227	95.201
Ae_comosa_Tr272_COM03_100162_simExt	TraesCS5A02G271500	1866	1.58692666849767	0	1	95.4963483386924
Ae_comosa_Tr272_COM03_10018_simExt	TraesCS6A02G306000	1797	1.7334581772784	7.44943820224719e-48	0.891485809682805	97.940074906367
Ae_comosa_Tr272_COM03_100183_simExt	TraesCS3A02G192600	308	1.70454545454545	1.26e-148	1	97.403
Ae_comosa_Tr272_COM03_100187_simExt	TraesCS3A02G306700	3004	1.56932020809488	0	1	98.502
Ae_comosa_Tr272_COM03_100208_simExt	TraesCS2A02G321000	1552	2.08215800021613	0	0.945231958762887	99.182
Ae_comosa_Tr272_COM03_100227_simExt	TraesCS6A02G235500	634	1.41778643865259	0	1	94.154
Ae_comosa_Tr272_COM03_100240_simExt	TraesCS6A02G252300	1049	1.56811301715439	3.8481331987891e-101	0.979027645376549	95.1224819863681
Ae_comosa_Tr272_COM03_100245_simExt	TraesCS3A02G208200	1592	1.68996582789686	7.93476234855545e-72	1	97.3453684045226
Ae_comosa_Tr272_COM03_100251_simExt	TraesCS6A02G232100	1091	2.07736487609786	0	1	98.625
