poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 44458.5 48030 NA 80 0.00972426125 0 0.25965 449417.042172155
0.002 1 289231 294986 NA 37 0 NA 0.2665 0
0.008 1 968286 979886 NA 823 0.00418603 0.0931280951163752 0.1396 359830.659025788
0.01 1 1273993 1276221 1.96 41 0 NA 0.2145 0
0.013 1 1561302 1567729 1.95 34 0 NA 0.1051 0
0.022 1 2477071 2481228 1.93 28 0 Inf 0.1646 0
0.037 1 3882581.5 3885924.5 1.91 206 0.0045169613592233 0 0.131 413767.452753279
0.042 1 4312493 4363970 1.9 319 0.0205554 0.0376055440419549 0.1516 1627076.5171504
0.047 1 4675054 4682504 1.9 43 0 NA 0.1064 0
0.048 1 4757724 4771550 1.89 42 0 Inf 0.1699 0
0.051 1 5014845.5 5018981 1.89 28 0.0274725357142857 0.191803190459043 0.0894 3687588.6864813
0.074 1 6686731 6690773 1.83 58 0.043956 0 0.1902 2773249.21135647
0.081 1 7217840 7229089 1.81 684 0.00995372 0.100690997938459 0.1264 944973.417721519
0.091 1 7841371 7856406 1.79 22 0.05 0 0.0881 6810442.67877412
0.1 1 8336318 8341576 1.77 11 0 NA 0.165 0
0.11 1 8929487 8937936 1.74 176 0.0227704 0 0.111 2461664.86486486
0.144 1 10739577 10746629 1.7 45 0 NA 0.227 0
0.2 1 12990954 13005515 1.59 130 0.00380228 0.397761343194084 0.0829 550390.349819059
0.211 1 13499647 13518570 1.56 71 0.0124827 0.252326820319322 0.1406 1065379.80085349
0.212 1 13574504 13581973 1.55 421 0.00639868 0.0574157482480762 0.1611 476624.208566108
0.216 1 13725749 13735135 1.56 66 0.0201991 0 0.1202 2016549.08485857
0.221 1 13988639 13992768 1.59 5 NA NA 0.2271 NA
0.228 1 14369286 14375231 1.61 298 0.00567363 0.0568990223190444 0.1856 366829.525862069
0.251 1 15598792 15607504 1.63 282 0 Inf 0.1058 0
0.281 1 17566211 17571933 1.47 123 0.0237904 0 0.1887 1512903.02066773
0.286 1 17898142 17905196 1.42 65 0.0117187 0 0.0964 1458759.33609959
0.292 1 18353003 18360045 1.34 167 0.00498339 0 0.1031 580025.994180407
0.293 1 18408378 18414274 1.33 9 NA NA 0.1272 NA
0.298 1 18802466 18807666 1.3 33 0.032967 0 0.1399 2827762.68763402
0.332 1 22166621 22176854 1.06 37 0 NA 0.0518 0
0.342 1 23812071 23816472 0.95 332 0.000967118 1.48487568218149 0.1768 65641.4932126697
0.356 1 25330382.5 25336517.5 0.85 124 0 NA 0.11325 0
0.357 1 25397874 25405736 0.85 46 0 NA 0.0827 0
0.407 1 34083562 34088731 0.39 76 0 NA 0.1552 0
0.417 1 36438691 36461615 0.4 164 0 NA 0.154 0
0.42 1 37114344 37117197 0.45 299 0.0112683 0.0575795816582803 0.1302 1038552.99539171
0.421 1 37376061.5 37382115.5 0.44 118 0.00658371355932203 0 0.11585 681955.655691536
0.422 1 37693920 37828128 0.43 279 0 Inf 0.0877 0
0.424 1 38531416 38549552 0.4 61 0 NA 0.098 0
0.426 1 39011650 39025960 0.38 386 0 Inf 0.1099 0
0.432 1 40513042 40543033 0.33 36 0 NA 0.0729 0
0.438 1 42490639 42497130 0.27 31 0 NA 0.1705 0
0.446 1 45642070 45647323.5 0.19 200 0.0036769623 0 0.1232 358145.678571428
0.448 1 46520022.5 46524532 0.17 435 0.00396771544827586 0 0.1166 408341.212515526
0.453 1 52350079.125 52357886.75 0.0725 641 0.00315851553376421 0.192588760442654 0.1007125 376340.438427906
0.454 1 59539726.3333333 59546104 0.03 1126 0.00240943956483126 0.0314194048684958 0.1241 232983.680725021
0.458 1 64110158 64114041 0.05 83 0.0035503 0 0.0519 820878.612716763
0.462 1 68265152 68269538.5 0.075 527 0.000976902125237191 0.448583367995434 0.09585 122303.865444406
0.463 1 69929284.2 69935335.4 0.06 657 0.00722906754946728 0.123616137251138 0.11576 749385.025860464
0.465 1 72535217.6666667 72543587.6666667 0.04 435 0.00154922535632184 0 0.125866666666667 147701.569988311
0.466 1 74117889 74130407 0.03 365 0.00156525712328767 0.420939253098335 0.0904 207777.494241726
0.469 1 79751182 79758007.5 0.02 699 0.0024534065665236 0 0.08505 346159.65665236
0.471 1 85582714 85590982.4 0.04 688 0 Inf 0.1231 0
0.472 1 89477211.8333333 89487902.1666667 0.0383333333333333 1295 0.000620377637065637 0.403800397874484 0.14395 51716.0933990111
0.473 1 96718648.7777778 96728533 0.03 1322 0 Inf 0.109 0
0.474 1 115726179.772727 115733258.590909 0.0127272727272727 3416 0.000945139663348946 0.159166178892889 0.102640909090909 110498.592234233
0.476 1 142426894 142446852 0 487 0 NA 0.0795 0
0.478 1 143351069 143358345 0 202 0 NA 0.0922 0
0.479 1 143837029 143854668 0 116 0 NA 0.0726 0
0.482 1 150910144 150914554.5 -0.01 374 0 Inf 0.07015 0
0.483 1 192225429.97619 192243122.071429 -0.00857142857142857 6337 0.00101192024136027 0.201553112342648 0.107154761904762 113322.475646167
0.484 1 271108756.962963 271119835.407407 0 3796 0.000735305213551106 0.123506712127822 0.1086 81249.1948675256
0.485 1 303252551.8125 303260448.9375 0 2302 0.00161012761077324 0.240229862144097 0.14465 133574.36107348
0.486 1 321236516.047619 321247703.52381 0 3893 0.000670693303365014 0.310773161516029 0.0954571428571429 84313.4353227495
0.487 1 333021135.25 333028357.5 0.0025 593 0.00104478686340641 0 0.073 171745.785765437
0.488 1 345684768.833333 345693092.166667 0.0183333333333333 988 0.00451072094129555 0.0528549135016342 0.108383333333333 499418.587995201
0.489 1 354455479.25 354462042.5 0.03 713 0.000734125147265077 0.584938409196562 0.092775 94955.5566389752
0.49 1 359029705 359034711.25 0.04 172 0 NA 0.10205 0
0.491 1 363556027 363563388 0.05 86 0 NA 0.0801 0
0.492 1 368301968.75 368310174.5 0.06 1625 0.000313496658461538 0.472310657238364 0.109475 34363.6437683349
0.494 1 372997065 373000302 0.07 42 0 NA 0.118 0
0.497 1 375059276 375075518 0.07 600 0.00137855 0.115390083783686 0.0821 201493.300852619
0.498 1 375901460 375915071 0.07 92 0.0070064947826087 0.298415544633184 0.1325 634550.470877769
0.5 1 376868924 376871410 0.07 13 0 NA 0.131 0
0.501 1 377354906 377358430 0.07 80 0 NA 0.1517 0
0.504 1 379645200 379651249 0.08 144 0 Inf 0.1494 0
0.505 1 380533467.857143 380537299 0.08 999 0.000899518018018018 0 0.117557142857143 91821.0153281243
0.507 1 382472796 382482399.5 0.08 307 0 Inf 0.1037 0
0.508 1 383460565 383462205 0.08 28 0 NA 0.1878 0
0.51 1 384608005 384616626 0.08 136 0 NA 0.092 0
0.511 1 385752912 385757976 0.09 200 0 NA 0.1408 0
0.512 1 386658800 386662971 0.09 40 0 NA 0.1306 0
0.514 1 389010799.333333 389016772.333333 0.09 270 0 Inf 0.0985666666666667 0
0.515 1 393043850.75 393052093.375 0.0975 1135 0.000627659138325991 0.824700705069413 0.1595 47222.0041373786
0.516 1 396314737 396321894 0.1 22 0 NA 0.0827 0
0.517 1 397043231 397050481 0.11 83 0 NA 0.1133 0
0.518 1 398276256 398284346 0.11 45 0 NA 0.0816 0
0.521 1 401378276 401390595 0.115 947 0 Inf 0.22415 0
0.522 1 401880291 401885184 0.12 248 0.00718686 0 0.0834 1034080.57553957
0.523 1 403305636 403309855 0.12 47 0 NA 0.0945 0
0.525 1 404433888 404480737 0.12 1363 0.000427855 0.571639924740858 0.0778 65993.059125964
0.526 1 405081116.5 405086013 0.1225 235 0 NA 0.11945 0
0.528 1 406367116.5 406371586 0.13 201 0.0108267184079602 0 0.1844 704558.681646
0.529 1 406765488 406772479 0.13 268 0 NA 0.1238 0
0.533 1 409442943.333333 409447907 0.14 210 0.00213574285714286 0 0.116 220938.916256158
0.536 1 411145993 411149733 0.15 172 0.00493827 0 0.1372 431918.658892128
0.537 1 411698268 411702425 0.15 14 0 Inf 0.1277 0
0.541 1 413953448 413958410 0.14 25 0 NA 0.115 0
0.542 1 414864751 414869005 0.14 160 0.00677249 0 0.155 524321.806451613
0.545 1 416315528 416322392 0.15 80 0 NA 0.1033 0
0.547 1 417153319 417162493 0.15 394 0 NA 0.1042 0
0.549 1 418514975 418519803 0.16 11 0 NA 0.0924 0
0.55 1 418988419 419013290 0.16 405 0.00210491 0 0.1238 204030.048465267
0.551 1 419848819.333333 419853333.666667 0.16 204 0 NA 0.109866666666667 0
0.552 1 420574729 420581630 0.16 147 0 Inf 0.1092 0
0.554 1 421688241 421708558 0.16 193 0 NA 0.1041 0
0.555 1 422891831 422894245 0.16 191 0.00164384 0 0.3095 63735.3150242326
0.556 1 423401663 423405074 0.16 39 0 NA 0.0752 0
0.557 1 423826084.5 423831974 0.16 102 0 NA 0.11905 0
0.562 1 427094732 427098155 0.16 11 0 NA 0.0968 0
0.563 1 427811041 427818946.5 0.15 193 0.00645808248704663 0 0.10285 753495.282883418
