poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.02 1B 1388257 1393986.28571429 NA 3856 0.0305480666415975 0.0212490805540625
0.06 1B 4307058.25 4312010.75 7.68883329190219e-07 2015 0.0459144991066998 0.0892278505531671
0.07 1B 4475908 4479190 7.67437826550965e-07 222 0.0500596 0.0253104299674788
0.08 1B 5454308 5456883.66666667 7.58717294818023e-07 333 0.0190960405405405 0.251678197208154
0.09 1B 6229954.5 6234293 7.51449749039354e-07 279 0.0351637107526882 0.0965010431035262
0.11 1B 7632619 7638865 7.3754325831314e-07 20 0 NA
0.12 1B 8852972.66666667 8856536.33333333 7.24603971507753e-07 1417 0.0452905577981651 0.0717201569558547
0.13 1B 9779022 9784277 7.14292421815624e-07 647 0.0266480041731066 0.0533185341044735
0.14 1B 10153833.5 10156831 7.10001034062584e-07 614 0.0383826504885993 0.036833022337038
0.15 1B 11786148.6 11790337.2 6.90399816868264e-07 1001 0.0162656713286713 0.0345267028118338
0.18 1B 14718121.3333333 14725903.6666667 6.56649930742069e-07 1651 0.039531701029679 0.040034871675353
0.19 1B 15585458.25 15589626.75 6.47951461836419e-07 726 0.0305912121212121 0.0778742549265575
0.2 1B 17717071.75 17722205.75 6.27441634729552e-07 1427 0.0317016206026629 0.0412224409591284
0.21 1B 18419377 18423130 6.20777349669413e-07 327 0.039576 0.0226059733171619
0.22 1B 20448929.6666667 20453967.3333333 6.01741223286984e-07 664 0.0150817181927711 0.0570125640665355
0.23 1B 22021104 22025774 5.87244660248546e-07 77 0 Inf
0.25 1B 26044066.3333333 26046542.6666667 5.41945424284386e-07 598 0.0296889877926421 0.0329564237096188
0.26 1B 27235878 27242405 5.32159052739087e-07 78 0.0215633 0.359148646079218
0.27 1B 29132732.75 29138543 5.18370811911284e-07 1494 0.013884423875502 0.0964072826001089
0.28 1B 32927145.25 32934556 4.72349414100025e-07 1975 0.0158239576911392 0.0870780698200303
0.29 1B 38911387.8 38915510.5 4.1340887001171e-07 2764 0.0149599545007236 0.0692303591151407
0.3 1B 42347605 42351160 3.7779501087664e-07 61 0 NA
0.31 1B 44202861.5 44208822 3.56125780745845e-07 2844 0.00889190867440225 0.211416192272879
0.32 1B 47160110 47164879 3.23493154739926e-07 315 0 NA
0.33 1B 51894143.1 51897788.9 2.77545863033449e-07 2968 0.00657392767857143 0.170499311778598
0.34 1B 55749799.6666667 55757832 2.44729889548409e-07 2159 0.00231646421954609 0.171373530147611
0.35 1B 57232452.5 57238076.75 2.33435857849798e-07 1338 0.00221758484304933 0.289928641176622
0.36 1B 58648514.5 58650357 2.23331121031096e-07 406 0 NA
0.37 1B 59845249.6666667 59848440.6666667 2.15282592881934e-07 1165 0.00154660944206009 0.654028416028416
0.38 1B 62458401.1666667 62462209.5 1.99328866482137e-07 1396 0.00216313136103152 0.283978894506835
0.39 1B 68900164.1 68907027.5 1.69415552832803e-07 4870 0.000536928152977413 0.411945290628009
0.4 1B 71881233.3333333 71885455.3333333 1.59557075946936e-07 1837 0.00167975568862275 0.324768785879897
0.41 1B 95013469.6774193 95018360.6129032 8.33046752374823e-08 9859 0.00161467407444974 0.208775971654176
