poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.02 1B 1391762.5 1397015.75 NA 1519 0.0588405230414747 0.0376392887640877
0.06 1B 4222340 4225375 7.69615823781103e-07 111 0.0375212 0.0562569960449026
0.07 1B 4475908 4479190 7.67437826550965e-07 205 0.0748226 0.0182720194165934
0.08 1B 5157094 5160358 7.61425431751981e-07 187 0.0527422 0.0215254577928111
0.12 1B 8892991 8899831.66666667 7.24165240783651e-07 1046 0.0571599294455067 0.0317196628448794
0.13 1B 9720065 9724052 7.14971064121186e-07 16 0 Inf
0.14 1B 10145644 10147848.5 7.10100210668795e-07 462 0.0434860337662338 0.149981493784669
0.15 1B 11703157 11707398.8 6.91424437859346e-07 594 0.0573344281144781 0.0152355265544128
0.18 1B 14485283.6666667 14494385.6666667 6.59181229066357e-07 1473 0.0522321649694501 0.0349104422147611
0.19 1B 15800114.6666667 15803570.3333333 6.4587425977162e-07 461 0.0683892284164859 0.06473220943323
0.2 1B 17560955.25 17565311 6.28933992313186e-07 1179 0.0480239953350297 0.0307445747739496
0.23 1B 22021104 22025774 5.87244660248546e-07 187 0.0432722 0.124707548957529
0.25 1B 26134317 26136011 5.41122816780463e-07 187 0.0169994 0.119113615774674
0.26 1B 26782156 26786443 5.35648187522501e-07 53 0.0922526 0
0.27 1B 29040633.4 29047574.2 5.192994125382e-07 1033 0.0392384648596321 0.076035646729501
0.28 1B 33153221.25 33161699 4.69499840877231e-07 1243 0.0490511729686243 0.0549748841277751
0.29 1B 39315405.6666667 39319469.8333333 4.10384873563444e-07 1585 0.0363301500820189 0.0988199939513423
0.31 1B 44632514.5 44637138 3.51152541292684e-07 1037 0.0692584162005786 0.0162852258363022
0.32 1B 47544015 47546636 3.19486715217127e-07 166 0.0315582 0.165053456787776
0.33 1B 51860149.5 51865146.75 2.78037164667405e-07 1322 0.0355903485627837 0.0358294886793069
0.34 1B 55592168.5 55603668.75 2.45972843790477e-07 3244 0.0206465151202219 0.0996254097006863
0.35 1B 57309951.6666667 57314710.6666667 2.32863169033382e-07 881 0.0195680679455165 0.224467949441683
0.37 1B 59714166.5 59718013 2.16135454196069e-07 677 0.0423321400295421 0.184033113698163
0.38 1B 62771751.6666667 62775010.3333333 1.97637234096989e-07 740 0.032486997972973 0.126626233443038
0.39 1B 69091917.5454545 69100687.9090909 1.68594126305978e-07 4317 0.0116635557099838 0.1179964556418
0.4 1B 70706531 70709184 1.62813113501223e-07 70 0 NA
0.41 1B 94016358.4761905 94021156.7142857 8.64853480980446e-08 6399 0.0190138835286764 0.0908295632871656
0.42 1B 115007204.454545 115013901.333333 1.07859568876616e-08 9997 0.0228482797025108 0.078923241660596
0.43 1B 208450566.553672 208459184.587571 4.85208739019678e-09 59130 0.00578779244708328 0.10582104772605
0.44 1B 321643743.5 321649693.222222 2.66532074089199e-08 25636 0.00629426958464659 0.116339410710595
0.45 1B 359873917.809524 359879646.650794 3.14690056811635e-08 16768 0.0117497869729843 0.143388483418102
0.46 1B 387090143.489796 387094604.693878 3.49123495990093e-08 14749 0.00965934705958861 0.107170785226026
0.47 1B 411563312.674419 411569249.697674 5.02544413289272e-08 15284 0.0126195701583355 0.134234692565917
0.48 1B 428665341.454545 428672737.227273 6.62689835714949e-08 9969 0.0114478192386398 0.0997789579884932
0.49 1B 442459630.166667 442465492.416667 7.52519828538164e-08 8391 0.0142200015480872 0.119662028740778
0.5 1B 455298448 455304694.5 8.07287971676785e-08 9301 0.0184202015396194 0.0769313316903692
0.51 1B 466296910.866667 466301912.6 8.47830108775731e-08 6239 0.0216531425532938 0.0942295718636773
0.52 1B 474948929.375 474954407.9375 9.19083168683178e-08 3241 0.0178076305738969 0.0744192413011199
0.53 1B 482475698.066667 482480403.4 1.0146992107566e-07 4387 0.0249564347780781 0.155639526192367
0.54 1B 490465502.95 490468911.35 1.15049124154958e-07 4234 0.0383796227161077 0.0688336516017986
0.55 1B 500465614.375 500470114.4375 1.36459502012054e-07 5429 0.0185961671762756 0.117206724662748
0.56 1B 510054535.409091 510058163.636364 1.5865692492374e-07 4524 0.0241259867727675 0.0936384368002636
0.57 1B 518734544.875 518740754.875 1.86277661867991e-07 3844 0.0160296793184183 0.198964899321047
0.58 1B 527385336.333333 527388448.333333 2.03795497891801e-07 364 0.0261786321428571 0.296321298278865
0.59 1B 531074147.769231 531077405.153846 2.12930079927497e-07 3242 0.0331779222085133 0.0491164432036787
0.6 1B 535221150 535224774 2.3246189050658e-07 1230 0.0232922283739837 0.0609893161649797
0.61 1B 540217057.5 540222844.833333 2.53614821957504e-07 315 0.0315606373333333 0.0790535499234834
0.62 1B 542835670.4 542839944.4 2.6128301240338e-07 1697 0.0217180489216264 0.111589520958123
0.63 1B 545416736.4 545421505.8 2.66513628262235e-07 878 0.0310467472665148 0.0714721030881637
0.64 1B 548273191.6 548277936 2.6991327600057e-07 2236 0.0182821938282648 0.0561744452199638
0.65 1B 551823868.333333 551828421.666667 2.70246574272643e-07 1572 0.0110989155534351 0.148397750903529
0.66 1B 554462212 554465719.5 2.67881981052394e-07 629 0.0100874495230525 0.411431299333338
0.67 1B 558548743.166667 558551833.166667 2.59514331788005e-07 425 0.0306520924705882 0.075678848386921
0.68 1B 563002748.2 563009915 2.60355719088458e-07 1135 0.0431775828722467 0.051906798815493
0.69 1B 566064518.666667 566067496.666667 2.7260411813449e-07 537 0.0701717636871508 0.0274808308554483
0.7 1B 569708757.571429 569720348.571429 2.62620212315679e-07 2353 0.0256618717849554 0.0442901605917059
0.71 1B 573405293.727273 573410172.636364 2.25363367866275e-07 3424 0.0290636615537383 0.0918098041274185
0.72 1B 576174323.166667 576178883.5 1.93377762571046e-07 1348 0.0507435505934718 0.0659362216649941
0.73 1B 582777946.230769 582783614 1.82594713604335e-07 6059 0.0286270935632943 0.0633240174394073
0.74 1B 587797748.3 587802456.4 2.20015706569891e-07 3443 0.0333108829799593 0.048512905992497
0.75 1B 593541874.5 593546280.666667 2.23008798310718e-07 979 0.0578853551215526 0.0588081936915733
0.76 1B 598970672.333333 598975102 2.40552800850917e-07 2831 0.0340304237725185 0.110788216532783
0.77 1B 604514309.6 604518166 3.07693968155075e-07 1271 0.0482216524783635 0.0707051177389694
