Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_comosa_Tr272_COM03_0_simExt	TraesCS3B02G285500	258	0.828710227218797	3.08e-129	1	98.837
Ae_comosa_Tr272_COM03_100023_simExt	TraesCS3B02G590900	287	1.77017543859649	1.0189849122807e-141	1	98.5966324041812
Ae_comosa_Tr272_COM03_100032_ESTScan	TraesCS6B02G323900	407	1.0323531853665	6.09e-173	0.992628992628993	93.478
Ae_comosa_Tr272_COM03_100035_simExt	TraesCS3B02G543900	3689	1.33356375325815	0	0.933857413933315	98.229
Ae_comosa_Tr272_COM03_100065_simExt	TraesCS6B02G322300	643	1.52018633540373	0	1	94.255
Ae_comosa_Tr272_COM03_100088_simExt	TraesCS4B02G334700	718	1.44076526293762	0	0.988857938718663	92.222
Ae_comosa_Tr272_COM03_100105_simExt	TraesCS6B02G350700	1892	1.33246346555324	0	0.992071881606765	91.206757591902
Ae_comosa_Tr272_COM03_100132_simExt	TraesCS2B02G400500	594	1.41879609859201	0	0.937710437710438	96.05
Ae_comosa_Tr272_COM03_100158_simExt	TraesCS1B02G257100	1279	1.6557911908646	9.95921696574225e-47	0.956997654417514	96.6553774509804
Ae_comosa_Tr272_COM03_100162_simExt	TraesCS5B02G271800	1866	1.50585729499468	3.71246006389776e-51	1	94.0324367631297
Ae_comosa_Tr272_COM03_10018_simExt	TraesCS6B02G334300	1797	1.69981470043237	1.81000617665225e-39	0.898163606010017	97.4789491945477
Ae_comosa_Tr272_COM03_100183_simExt	TraesCS3B02G231900	308	0.941583033130795	2.81e-150	1	97.727
Ae_comosa_Tr272_COM03_100187_simExt	TraesCS3B02G329800	3004	1.55348114311312	0	1	98.036
Ae_comosa_Tr272_COM03_10020_simExt	TraesCS1B02G360700	1297	1.24143070044709	0	1	90.015
Ae_comosa_Tr272_COM03_100208_simExt	TraesCS2B02G361700	1552	2.15345766240709	0	0.997422680412371	98.966
Ae_comosa_Tr272_COM03_100227_simExt	TraesCS6B02G264100	634	1.48071456349153	0	1	94.427
Ae_comosa_Tr272_COM03_100230_simExt	TraesCS5B02G460800	258	0.789076259830072	1.44e-122	1	97.287
Ae_comosa_Tr272_COM03_100240_simExt	TraesCS6B02G272300	1049	1.81360975022553	0	1	94.471
