Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_sharonensis_Tr265_SHA02_Contig1002_simExt	TraesCS2D02G373000	724	1.50991613248232	0	0.987569060773481	94.598
Ae_sharonensis_Tr265_SHA02_Contig1007_simExt	TraesCS7D02G313600	1550	1.77329827636576	2.0576394975168e-107	0.872258064516129	98.7993934911243
Ae_sharonensis_Tr265_SHA02_Contig1011_simExt	TraesCS6D02G212000	274	0.796697662361495	1.49e-132	0.996350364963504	97.802
Ae_sharonensis_Tr265_SHA02_Contig1013_simExt	TraesCS1D02G131500	2386	1.78226681127983	3.98253796095445e-132	0.801341156747695	98.8358402196653
Ae_sharonensis_Tr265_SHA02_Contig1019_simExt	TraesCS1D02G428100	993	1.68177240684794	0	1	97.18
Ae_sharonensis_Tr265_SHA02_Contig1031	TraesCS5D02G065900	517	1.57965451055662	8.14606525911708e-48	0.994197292069632	95.2055145914397
Ae_sharonensis_Tr265_SHA02_Contig1034_simExt	TraesCS2D02G189200	1561	1.52932761087268	0	0.928251121076233	94.6362751322751
Ae_sharonensis_Tr265_SHA02_Contig1036_simExt	TraesCS6D02G182700	988	1.77367875647668	1.13674611398964e-27	0.922064777327935	98.6906755579949
Ae_sharonensis_Tr265_SHA02_Contig1038_simExt	TraesCS3D02G022400	2723	1.56579334868029	0	0.940506793977231	97.163
Ae_sharonensis_Tr265_SHA02_Contig1042_simExt	TraesCS4D02G118300	1088	1.76310914546164	0	0.935661764705882	95.371
Ae_sharonensis_Tr265_SHA02_Contig1055_simExt	TraesCS6D02G127100	687	1.62379366654399	0	1	97.395
Ae_sharonensis_Tr265_SHA02_Contig1057_simExt	TraesCS5D02G376600	2913	1.72338959696865	0	1	97.8300892550635
Ae_sharonensis_Tr265_SHA02_Contig1061_simExt	TraesCS5D02G291700	580	1.75843694493783	0	0.970689655172414	98.401
Ae_sharonensis_Tr265_SHA02_Contig1063_simExt	TraesCS2D02G594500	2115	1.78225395206527	2.17129015808261e-32	0.927186761229314	98.8271126976033
Ae_sharonensis_Tr265_SHA02_Contig1067_simExt	TraesCS1D02G077600	578	1.80968858131488	0	1	99.308
Ae_sharonensis_Tr265_SHA02_Contig1073_simExt	TraesCS2D02G113200	1393	1.60225846925972	0	1	95.7242282842785
Ae_sharonensis_Tr265_SHA02_Contig1091_simExt	TraesCS2D02G163700	537	1.04818951582398	0	0.880819366852886	92.6
Ae_sharonensis_Tr265_SHA02_Contig1092_simExt	TraesCS5D02G172800	3323	1.7801829766378	0	0.971110442371351	98.8118489308956
Ae_sharonensis_Tr265_SHA02_Contig1093_ESTScan	TraesCS3D02G152600	354	1.44713656387665	2.66643171806167e-62	1	92.871104519774
Ae_sharonensis_Tr265_SHA02_Contig1095_simExt	TraesCS6D02G199700	1222	1.76972624798712	0	1	98.5525427577741
