poscM Chromosome Start End recRate nb_complete_site piSyn f0
0 1D 1597258.10526316 1602425.89473684 6.26121589786403e-07 6735 0.00682095610838901 0.0744382958498431
0.01 1D 3963719.5 3967548.5 7.9084805232784e-07 428 0.0115874187383178 0.164495620917177
0.02 1D 5435690 5440357.5 9.06952065991556e-07 175 0.00569621588571429 0.562490629117207
0.03 1D 5511254 5517977 9.13196172291157e-07 643 0.00240697 0.499137920289825
0.04 1D 6294562.66666667 6305029.33333333 9.78380641913772e-07 1048 0.0204803550572519 0.0857465738171239
0.05 1D 6916837 6920027 1.01882896341781e-06 290 0.00602022034482759 0.250212420338149
0.06 1D 7487543 7492403.5 9.76008496030621e-07 601 0.0139273196339434 0.00507252967213639
0.07 1D 9426873.78947368 9432244.63157895 9.55552070342395e-07 4899 0.0150900663645642 0.0796985174402048
0.08 1D 10690815.5 10697115 1.29229558679425e-06 491 0.00371384425661914 0.237584295493946
0.1 1D 11519455.6666667 11525704.6666667 1.21204248965502e-06 978 0.0126661639263804 0
0.11 1D 12267952.4 12272283.2 1.07826618414503e-06 1010 0.0155136360891089 0.132889550004283
0.12 1D 14333549.5 14337889.3333333 5.92874382242761e-07 1344 0.00393394799464286 0.402740067814926
0.13 1D 17066692 17071329.5 8.46413239667381e-07 123 0.00233632512195122 0.513359013994565
0.15 1D 18107199.3333333 18110586.6666667 1.0389592380295e-06 610 0.00459064218032787 0.158925683789381
0.16 1D 19510838.5 19516308.9 1.33600490084965e-06 3108 0.0115678870817246 0.119169401641792
0.17 1D 20826034 20827727 1.22497386660458e-06 174 0.00710564 0.0649337709200016
0.18 1D 21828436 21832490 1.07349020733297e-06 63 0 Inf
0.19 1D 21885424 21888853 1.06436469519594e-06 12 0 Inf
0.2 1D 22943873 22947779 1.02511639374481e-06 537 0.00221528770949721 0.413808464037989
0.21 1D 24328938.5 24333739.5 9.86480612591416e-07 780 0.00278401643589744 0.0909552746248616
0.22 1D 24699114 24704863 9.76233916131811e-07 307 0.0176930423452769 0.0311836928113961
0.23 1D 25728407 25732834 9.48022490882986e-07 526 0.00115328 0.281608109045505
0.24 1D 27861391.8 27867720.6 8.90497298582833e-07 2315 0.00460100591792657 0.134248132723573
0.27 1D 31421662 31431937 7.97441065649626e-07 949 0.00364273 0.275666876216464
0.28 1D 32737866 32740293 7.64103826208086e-07 275 0.00268336 0.670062906207143
0.29 1D 33705560 33706322 7.43176473028711e-07 52 0 Inf
0.3 1D 34688170.2 34692146.2 7.22436870628164e-07 1478 0.00518956824763194 0.344731563711931
0.32 1D 36792337.8 36797632.2 6.78427112521435e-07 2545 0.00486217710373281 0.15400674786727
0.33 1D 37545378.5 37552059.5 6.62776809866375e-07 310 0.00142361770967742 0.117920249022997
0.34 1D 38601832 38604762.8333333 6.40986815217474e-07 893 0.00232594566629339 0.386828673636859
0.35 1D 39845059.3333333 39850273 6.15423428446037e-07 429 0.000979313286713287 0.782367083732619
0.36 1D 41526256 41528764.3 5.81185177552457e-07 1567 0.00401051475430759 0.131864813907129
0.37 1D 43070153.5 43075271 5.4993365493638e-07 429 0.00350873412587413 0.0965756489098061
0.38 1D 45448882 45453933.25 5.02346687213128e-07 1130 0.00195011168141593 0.842732741605632
0.39 1D 47773165.5 47779831.1666667 4.56383001492152e-07 180 0.00508475 0
0.4 1D 49387692.0666667 49395470.7333333 4.2481640507951e-07 3978 0.00283075655300582 0.122136728547814
0.41 1D 52977752.75 52982154.75 3.55613935735555e-07 389 0 Inf
0.42 1D 55145108.3333333 55149364.7777778 3.14514405415465e-07 2397 0.00316272469753859 0.180386766816543
0.43 1D 59689491.4 59695222.8666667 2.2990168996046e-07 4155 0.0015349065198556 0.425057459686013
0.44 1D 72384983.78125 72390439.75 4.8459173036286e-08 14116 0.00206554355683354 0.272004910773203
0.45 1D 84498956 84507724 0 89 0 NA
0.46 1D 85633820 85640605.2 0 1854 0.00593411181229773 0.0647717523844391
0.47 1D 87360278.8888889 87372184 0 3145 0.0149884067535771 0.138027281814429
0.48 1D 91602937.75 91607848.125 0 4981 0.00381844244181222 0.187825174895195
0.49 1D 117756423.171429 117762160.407143 0 32560 0.00204251158857672 0.222173649727163
0.5 1D 150285006.5 150301843 0 1006 0 Inf
0.51 1D 153886905.5 153900059 0 784 0.0023463387244898 0.0224996085412185
0.52 1D 207987326.370892 207994678.713615 3.55639116246812e-08 59438 0.00154799831612008 0.272614309642121
0.53 1D 251024063.555556 251029930.066667 7.7518771475197e-08 12294 0.00170586087265407 0.291612729589562
0.54 1D 262946458.690476 262951738.5 8.81542087249037e-08 8777 0.00230476380426114 0.22819506078911
0.55 1D 281445014.5 281449628.875 1.03711443712656e-07 11953 0.0022782587476877 0.241081439946938
0.56 1D 293492263.69697 293497014.575758 1.13051534094168e-07 6968 0.00246579549856487 0.178655903909051
0.57 1D 301683910.261905 301689717.761905 1.19268383861799e-07 10747 0.00226546738946826 0.294828261792513
0.58 1D 310072296.090909 310076923.878788 1.27031264948932e-07 9039 0.00197056108516857 0.284092621837068
0.59 1D 317009952.230769 317016247 1.3496257411874e-07 9039 0.00261782358225467 0.147521585599203
0.6 1D 324058138 324062566.375 1.39909489430665e-07 5111 0.00418021069262375 0.304993184747833
0.61 1D 329326940.727273 329332063.090909 1.42118376320979e-07 5737 0.00206443829196444 0.193858331974309
0.62 1D 334942185.931035 334948003.37931 1.4548268032364e-07 8693 0.00334758599792937 0.149295524927312
0.63 1D 343065394.714286 343070526.228571 1.52083889399175e-07 7518 0.00324883425512104 0.243256545619488
0.64 1D 349709513.125 349714135.666667 1.59044712058395e-07 5231 0.00221529255591665 0.336512818420417
0.65 1D 355734583 355739195.666667 1.66587943103868e-07 3490 0.00159945151575931 0.305466127026328
0.66 1D 361645952 361650626.2 1.75158946103951e-07 6862 0.00376831157097056 0.216863975904854
0.67 1D 365747714.814815 365751122.518519 1.81729162717972e-07 4413 0.00275533495354634 0.161683285841332
0.68 1D 370922800.090909 370926146.636364 1.91100080991387e-07 3275 0.00106876840946565 0.455072194060579
0.69 1D 376312074.037037 376315879.222222 2.19115654884885e-07 4575 0.0030821495252459 0.266350809454142
0.7 1D 381444890.24 381448808.56 2.51898747867888e-07 3947 0.00343670143256849 0.126683710801138
0.71 1D 386683545.333333 386688221.222222 2.87819161722658e-07 6389 0.00129383476968687 0.191389932737488
0.72 1D 391641842.75 391646036.75 3.28555689113126e-07 2619 0.00398197054600993 0.200887464424101
0.73 1D 396237962.75 396241648.5 3.77773410724588e-07 1374 0.00456586096069869 0.0861322552823678
0.74 1D 398996420.8 399000014.6 4.00572329048372e-07 1080 0.00648678700925926 0.360887512197391
0.75 1D 400059881.375 400066905.25 4.06509601085915e-07 1050 0.00169965071047619 0.165866006734697
0.76 1D 402005905 402009380.75 4.13488616512654e-07 660 0.00469380166666667 0.272698972348801
0.77 1D 403543295.526316 403546723.578947 4.15990872876213e-07 2195 0.00784654615439129 0.0986716391624382
0.78 1D 405911308.833333 405914207.166667 4.14019781544111e-07 965 0.00144668630466321 0.381677282510717
0.79 1D 408366718.777778 408370552.444444 4.13846363446538e-07 1923 0.00410109202288092 0.0357840693892477
0.8 1D 410381597.714286 410387075.285714 4.2041077630263e-07 2953 0.00321992554588554 0.34989160392923
0.81 1D 412184731.333333 412186929.333333 4.31620883266455e-07 732 0.00221085038251366 0.412922655901611
0.82 1D 413965269.625 413968112.875 4.34188219345027e-07 756 0.00388058533068783 0.0991372173096221
0.83 1D 415682084.166667 415686651.166667 4.25745630614377e-07 1526 0.0174934075491481 0.0700897781230144
0.84 1D 418989407.875 418995060 4.90344173610406e-07 3020 0.00221934150993378 0.281553875857599
0.85 1D 421933318.368421 421940091.894737 5.07545673534367e-07 5231 0.00258844729554579 0.275115001128321
0.86 1D 426297148.375 426300933.3125 5.48985221154949e-07 2880 0.00393401486458333 0.201854278284255
0.87 1D 430413348.5 430418318 6.17892992914589e-07 768 0.00376251208072917 0.1487156773311
0.88 1D 430564939 430573646 6.20568788217035e-07 1205 0.00402723 0.253665670945042
0.89 1D 430976701 430983376 6.27658063680163e-07 630 0.00245592 0
0.9 1D 431694760.8 431699780.4 6.39775168504642e-07 2069 0.00430260542935396 0.0746682702150826
0.91 1D 432095384 432099264.5 6.46402392679807e-07 1113 0.0034990358131177 0.0424292967720544
0.92 1D 432717701 432723005.428571 6.5650053560383e-07 1405 0.0029395904341637 0.150952065716875
0.93 1D 433550701.6 433555970.6 6.69635986054634e-07 1240 0.00329345629354839 0.178426184024611
0.94 1D 434267438 434269267 6.80596758915021e-07 135 0 Inf
0.95 1D 435692157 435694975.571429 7.01407645057167e-07 469 0.00309125771144279 0.455550781307838
0.96 1D 436401944 436407299.5 7.11339127325756e-07 769 0.00923127802340702 0
0.97 1D 437432659 437437008.5 7.33534519686398e-07 756 0.000922658121693122 0.782328461673465
0.98 1D 438695164.75 438699678 7.71584276757408e-07 739 0.00432158671177267 0
0.99 1D 439916692.8 439920521.9 7.43396822248714e-07 1380 0.00686795038647343 0.243291326764039
1 1D 443088372.533333 443092440.133333 7.19686264780945e-07 2984 0.00585508512997894 0.218377794552915
1.01 1D 446031864.75 446036040.125 7.29209422647655e-07 1991 0.00506672710497238 0.104321590978955
1.02 1D 446999668.25 447003349 7.28217064299791e-07 941 0.0028179675664187 0.177574958607425
1.03 1D 447897959.714286 447902216.571429 7.25594924586673e-07 1214 0.00377984391268534 0.275489360781834
1.04 1D 449163163.5 449166746.75 7.24921650200236e-07 361 0.0031589159833795 0.530595689725499
1.05 1D 449891065.7 449895606.2 7.28095372294361e-07 2335 0.00440608896445396 0.152746108309132
1.06 1D 451128789 451132397 7.38813049530761e-07 273 0.00465995 0.130404188886147
1.07 1D 451950313.333333 451952514 7.5021698278203e-07 432 0.00596468611111111 0.0160185084713874
1.08 1D 452520785.5 452526124 7.59776863456066e-07 921 0.017272298805646 0.0280786278684945
1.09 1D 453282482.5 453285928.5 7.75080090646747e-07 695 0.00570130589928058 0.449879487410634
1.1 1D 454394531 454399086.5 8.02456861524297e-07 438 0.00229059808219178 0.426629391402592
1.11 1D 455663516.166667 455667004.166667 8.40804900295378e-07 1320 0.00240212692424242 0.487290163943536
1.12 1D 457282832.333333 457288452.333333 9.00628066344511e-07 1148 0.00849956209059233 0.209496968468537
1.13 1D 459088028.736842 459092091.631579 9.63868962931249e-07 2824 0.00355769605453258 0.116035506549751
1.14 1D 461431637.111111 461435218.111111 1.00960834118497e-06 1402 0.0073438796217903 0.0949915515303087
1.15 1D 462654247.333333 462658817.5 1.04307282119267e-06 1254 0.0120682557256778 0.0504112847577975
1.16 1D 463490591 463494658 1.10445679939063e-06 229 0.00542854 0
1.17 1D 464067668.5 464073296 1.13801518605649e-06 518 0.0197941181467181 0.166165302878672
1.18 1D 464512902.666667 464517485 1.15727490624447e-06 1482 0.00996154703103914 0.125613869112231
1.19 1D 465280173.833333 465283999.5 1.17694079626164e-06 1200 0.00712923845 0.145491137509458
1.2 1D 466224813.333333 466230976 1.17939046041983e-06 1379 0.00248957640319072 0.196646907666822
1.21 1D 467002160 467003836 1.16320915359036e-06 87 0.00330477 0
1.22 1D 467897212.5 467902927 1.12802522305065e-06 2430 0.00251257852674897 0.295905840549926
1.23 1D 469078805.75 469084527 1.15099376049844e-06 1549 0.00497204327307941 0.168163574895538
1.24 1D 469858178.125 469860728.625 1.16282194274093e-06 1127 0.00664994501204208 0.208322984006673
1.25 1D 470553167.75 470556456.625 1.15700735076267e-06 1183 0.0104372366272189 0.0609979658848644
1.26 1D 471561390 471567662.4 1.11734273442656e-06 1312 0.00556649378048781 0.111818880920115
1.27 1D 472116569.5 472120408.5 1.08015212803411e-06 623 0.0098880683788122 0.191811040937741
1.28 1D 472535402.25 472538189.25 1.05570784385761e-06 901 0.00659908245283019 0.146708687912317
1.29 1D 473774400.7 473778534.6 1.02185674189739e-06 2747 0.00447126128867856 0.158283171863506
1.3 1D 475336797 475342263.416667 9.92429588070383e-07 2137 0.00504361198830136 0.191645179003262
1.31 1D 476739670.714286 476744508.357143 9.84141655155094e-07 2808 0.00280215080555556 0.250019018574232
1.32 1D 478230914.6 478235662.4 9.917025722808e-07 1138 0.00299308084358524 0.223428713441605
1.33 1D 479058146.666667 479061923.666667 1.00371788606344e-06 1650 0.00414996724848485 0.336764915191824
1.34 1D 479750606.666667 479756894 1.01795443385136e-06 2094 0.00233788641642789 0.182676269330884
1.35 1D 480680997 480686271.4 1.04273467497676e-06 1399 0.00651099203002144 0.0577504269639536
1.36 1D 481553347.5 481559681.5 1.05690333698491e-06 1710 0.00354904473684211 0.221331611100689
1.37 1D 482217137 482218242 1.06049841476365e-06 111 0 NA
1.38 1D 483144074.666667 483149189.333333 1.05786936433025e-06 1081 0.00881044861239593 0.0668744750387017
1.39 1D 483851677.125 483859992.125 1.05191362223959e-06 1512 0.00437626962962963 0.205725892081555
1.4 1D 484678218.125 484683325.625 1.05082224899672e-06 2314 0.00700373007778738 0.0908425127753569
1.41 1D 485646585 485651266.142857 1.05149068998877e-06 2720 0.00580357488602941 0.244864158647895
1.42 1D 486328431.333333 486331413.333333 1.05223584952966e-06 580 0.00285047298275862 0.178451764263466
1.43 1D 487067057.714286 487071189 1.05316826482908e-06 1001 0.00916360435564435 0.2361178493171
1.44 1D 487994603 487999519.714286 1.0534420833875e-06 1891 0.00681542848228451 0.128252562303569
1.45 1D 489502680.333333 489506090.666667 1.05060123500707e-06 426 0.00440948873239437 0
1.46 1D 490856048 490861318.5 1.04866839936052e-06 1838 0.00534862546789989 0.377083770521291
1.47 1D 492852134.222222 492857580.111111 1.04805968518512e-06 3940 0.0016882084213198 0.290092809889211
1.48 1D 494223382.818182 494227996.454545 NA 3597 0.00333016587489575 0.248239946630481
0 2D 242380.25 247494 1.65063745148952e-06 632 0.0134733036708861 0
0.01 2D 672180 675387 1.63675003794495e-06 185 0.00080429 1.50427084757985
0.02 2D 2045570 2048979 1.57119498190317e-06 449 0 Inf
0.03 2D 2472602 2477802 1.55116453599258e-06 130 0.02356991 0
0.04 2D 3077076 3080377 1.52307003389834e-06 163 0.00434132 0
0.06 2D 4461128 4465758 1.45761527914681e-06 25 0.0331825 0
0.07 2D 5158603 5164177 1.42372329800465e-06 555 0.00294205 0.0498118658758349
0.08 2D 5301362.5 5304713.75 1.416770306408e-06 905 0.0143513250276243 0.11210304746227
0.09 2D 5744852.5 5750534 1.39478607304196e-06 477 0.000951125587002096 0.952595017041543
0.1 2D 6575074.33333333 6582604 1.35302810864433e-06 1272 0.00763089891509434 0.00484780347401351
0.11 2D 7220610.4 7223923 1.32011051206773e-06 962 0.00594978885654886 0.0708544628589765
0.12 2D 8486714.66666667 8492707 1.25375087040179e-06 1280 0.007358071875 0.0894859209677467
0.14 2D 10703683.625 10708323.5 1.13279827794152e-06 859 0.011756042441377 0.0764903694210028
0.15 2D 11556116.8 11563425.2 1.0674239256546e-06 1823 0.00566130957213385 0.0639639026240161
0.16 2D 12622468 12631739.5 9.44649523140665e-07 694 0.00621756507204611 0.0910851217329311
0.17 2D 12763657.75 12767263.5 9.2728574867669e-07 687 0.00939150491994178 0.158009790966158
