poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 930999.6 936138.5 0.9675 1.945 4621 0.0163093411664142 0.0787387044353602 0.19186 1020077.62950574
0.05 1 4984489.7 4994887.7 1.26 1.884 2951 0.0279308233480176 0.057104771277776 0.22653 1479582.74919972
0.1 1 8549929.875 8560829.75 1.755 1.76 3007 0.0280181918190888 0.0387424609827706 0.177925 1889663.07055819
0.15 1 11118830.5 11123965 2.18 1.685 534 0.00289707574906367 0.149207700687724 0.2517 138120.417118649
0.2 1 13311730.5 13321585 2.13 1.57166666666667 1956 0.00325443649795501 0.11248293561525 0.18595 210020.102046035
0.25 1 15218521.6666667 15226103.6666667 1.77 1.62333333333333 1874 0.00195353240341515 0.17365130457037 0.159633333333333 146851.464863115
0.3 1 18273751 18280168.8 1.364 1.362 2115 0.0100482424349882 0.0844176975964805 0.11834 1018919.29372873
0.35 1 25511335.5555556 25517413 0.68 0.842222222222222 5098 0.00169885020655159 0.0660317119269519 0.151022222222222 134988.09763653
0.4 1 34991278.2 35011370 0.426 0.448 3932 0.00110840679043744 0.329034035292332 0.12202 109005.748936643
0.45 1 87086231.1965812 87093305.2564103 0.045042735042735 0.0466666666666667 47249 0.00106810578238693 0.256067188341365 0.129570085470085 98921.5168157185
0.5 1 304447660.90535 304457902.625514 0.0276131687242798 0.0266255144032922 93806 0.00107301111176257 0.248590865986758 0.13077695473251 98458.7335550639
0.55 1 419281766.84375 419288383.359375 0.15375 0.14203125 24076 0.000215712467519522 0.26262140235008 0.1452953125 17815.7819801259
0.6 1 448096069.131148 448104395.377049 0.200983606557377 0.213934426229508 24972 0.000625630040605478 0.128973087053369 0.140375409836066 53482.0200776851
0.65 1 465572481.4 465578097.1 0.3925 0.4135 7482 0.000106253100775194 0.867888675230259 0.191565 6655.8985686442
0.7 1 476917756.111111 476924437.444444 0.57 0.505555555555556 5884 0.00345028177090415 0.194745609388485 0.171955555555556 240779.549791708
0.75 1 486266406.666667 486271030.416667 0.645 0.569166666666667 4090 0.00334461218092909 0.101380201976367 0.187516666666667 214036.154143538
0.8 1 493188558.041667 493193281.833333 0.615833333333333 0.600833333333333 7613 0.00489500272822803 0.190953807653872 0.193658333333333 303317.867750263
0.85 1 503101476.192308 503108210.692308 0.511923076923077 0.645 8151 0.000287513933259723 0.75453023315418 0.194407692307692 17747.0714155489
0.9 1 509989579.166667 509994993.5 1.04916666666667 0.73 4491 0.00105311571142285 0.157541726201493 0.236366666666667 53465.1891287864
0.95 1 516567124.473684 516572833.315789 0.858421052631579 0.801052631578947 6681 0.00451294907648556 0.046021874028737 0.151068421052632 358482.524279242
1 1 522856876.454545 522862650.757576 0.664848484848485 0.817878787878788 10794 0.00404000178988327 0.148097631516816 0.189548484848485 255765.808507262
1.05 1 528558205.842105 528564338.263158 1.19157894736842 1.14684210526316 6153 0.00654272465951568 0.0641372647752291 0.194568421052632 403522.295598782
1.1 1 532009661.6875 532013772.625 1.563125 1.4 3566 0.00281278822209759 0.0224724225431904 0.17136875 196963.907743804
1.15 1 536011871.6 536017143 1.25466666666667 1.24866666666667 5685 0.00606865994371152 0.112935973539209 0.149206666666667 488074.165527936
1.2 1 540417714.315789 540423152.578947 0.868947368421053 1.01842105263158 8578 0.00486841045231989 0.0819154272047374 0.145768421052632 400779.023371221
1.25 1 546087089.35 546100605.35 0.9825 0.8785 6358 0.00495278757470903 0.00744120654547717 0.19513 304583.871759895
1.3 1 551711618.655172 551719249.724138 0.779655172413793 0.756551724137931 14678 0.00248488449747922 0.101293046732818 0.142634482758621 209056.137008696
1.35 1 556695987.846154 556703009.846154 0.413846153846154 0.609230769230769 8356 0.00592053270057444 0.11366552725458 0.143646153846154 494593.071270008
0 2 1972866.14285714 2018964.14285714 0.62 0.803333333333333 4330 0.00738254312309469 0.0966016311045059 0.136742857142857 647862.121124064
0.05 2 8856415.72727273 8877155.90909091 0.634545454545455 0.807272727272727 4905 0.00835577291743119 0.112138860946516 0.176654545454545 567600.877470624
0.1 2 16011006.8666667 16042653 0.674 0.808666666666667 5642 0.00753318929634881 0.063285828779037 0.141346666666667 639550.077041216
0.15 2 21927274.8461538 21942141.0769231 0.807692307692308 0.803076923076923 8941 0.00632386487350408 0.0648039668077306 0.161546153846154 469750.450105536
0.2 2 28666800.5714286 28684161.0714286 0.908571428571429 0.780714285714286 5476 0.00837894091636231 0.0527906724400775 0.188657142857143 532963.075098011
0.25 2 33559454.2857143 33572868.2857143 0.93 0.772857142857143 3057 0.00898886178933595 0.0573675825273485 0.141942857142857 759927.929050141
0.3 2 38558536 38564730.6666667 0.921111111111111 0.781111111111111 2671 0.00105199184238113 0 0.165388888888889 76328.5985738408
0.35 2 44936810.7 44952699.5 0.803 0.762 4002 0.00204947759570215 0.146322913757209 0.1584 155263.45421986
0.4 2 52543400.5238095 52549166.6666667 0.534761904761905 0.6 6520 0.00404231602300613 0.0866882636622736 0.162866666666667 297837.447458495
0.45 2 65570547.6785714 65587139.3571429 0.324642857142857 0.404642857142857 12074 0.00117494268212688 0.202212029297922 0.139142857142857 101329.75903353
0.5 2 84759994.8048781 84777730.9512195 0.20780487804878 0.206829268292683 13407 0.0030701379297382 0.0917410469676413 0.136165853658537 270564.566423872
0.55 2 295029810.068493 295043951.452055 0.0139452054794521 0.0141643835616438 139704 0.000564979094843383 0.242508431297967 0.122675342465753 55265.7852984047
0.6 2 561517857.85 561529229.36 0.0721 0.0667 31980 0.000817748802439024 0.286902190006788 0.135517 72411.473315291
0.65 2 610204687.309524 610213270.119048 0.182380952380952 0.188095238095238 14362 0.000346046502715499 0.442713947642494 0.12722380952381 32639.7869088243
0.7 2 629401960.9 629411118.133333 0.302666666666667 0.359333333333333 13603 0.000679001280599868 0.209532030906725 0.12868 63319.9826484179
0.75 2 644887292.166667 644895264 0.588333333333333 0.430555555555556 6833 0 Inf 0.160161111111111 0
0.8 2 655100447.677419 655116437.806452 0.370645161290323 0.440967741935484 10204 7.39779537436299e-05 0.306009676831688 0.155248387096774 5718.16211121207
0.85 2 667107696.066667 667112931.266667 0.427333333333333 0.438666666666667 5073 0.00110769179794993 0.553302708927125 0.147546666666667 90088.7961462984
0.9 2 675890885.235294 675895950.411765 0.671764705882353 0.598235294117647 5749 0.00150764722734389 0.451808083155895 0.146070588235294 123856.328277284
0.95 2 683493899.285714 683500156.357143 0.788571428571429 0.629285714285714 7337 0.000219627208940984 0.55943614422524 0.130207142857143 20241.0286368343
1 2 688631773.823529 688638273.117647 0.859411764705882 0.640588235294118 5418 0.00242065834625323 0.138902246704296 0.167911764705882 172995.026321828
1.05 2 697999067.390244 698005405.780488 0.433170731707317 0.658536585365854 16807 0.00291010509597192 0.134303065856585 0.153241463414634 227883.892345602
1.1 2 707522023.769231 707527305.692308 0.883846153846154 0.676153846153846 5498 0.00388374181884322 0.130099190839521 0.114223076923077 408016.515414871
1.15 2 713021674.380952 713032750.428571 0.802857142857143 0.740952380952381 8386 0.00656310450035774 0.0956017053084158 0.172233333333333 457270.683206655
1.2 2 720375442.176471 720390233.294118 0.722352941176471 0.778823529411765 7104 0.00265970874774775 0.175771234543679 0.140135294117647 227754.93621313
1.25 2 727197344.428571 727202097.714286 0.802142857142857 0.737142857142857 4349 0.00855828644515981 0.0829748748641111 0.207578571428571 494749.706750231
1.3 2 733556240.727273 733568138.818182 0.691363636363636 0.710909090909091 8180 0.00105627598533007 0.260262555066194 0.155331818181818 81601.515853785
1.35 2 742139534.611111 742152505.722222 0.66 0.667777777777778 4936 0.0039914753006483 0.101061556507575 0.183077777777778 261624.890738615
1.4 2 748935517.1 748944403.5 0.6595 0.643 5438 0.00341038647112909 0.139177319307837 0.19784 206857.246530272
1.45 2 755664543 755706570.4 0.632 0.605333333333333 6670 0.00173961124827586 0.196143491786389 0.144773333333333 144193.232957108
1.5 2 764694038 764699906.5 0.378333333333333 0.555 6179 0.00350531897232562 0.110210984186461 0.202716666666667 207500.588676679
0 3 1188926 1199121.88888889 0.7 1.26 4489 0.00533210387391401 0.0537062991225272 0.172088888888889 371815.094513632
0.05 3 5834084.77777778 5856595.55555556 0.807777777777778 1.24777777777778 3364 0.00076958651902497 0.287371133961882 0.237255555555556 38924.4340629873
0.1 3 12488976.0909091 12494275.7272727 0.971818181818182 1.17727272727273 3552 0.000659825833333333 0.202406436287599 0.224372727272727 35289.0928244399
0.15 3 16549030.75 16553030.25 1.06583333333333 1.12916666666667 2525 0.00777998676435644 0.0696545993971194 0.181683333333333 513860.239458456
0.2 3 22053649.4 22059104.6 1.268 1.07 1251 0.0136340382254197 0.0819357692564748 0.31476 519787.96131985
0.25 3 25341525.8181818 25345606 1.57 1 2738 0.0112878970416362 0.0747601418613479 0.1445 937403.214530344
0.3 3 28186917.8333333 28198898.3333333 1.345 0.988333333333333 4937 0.00150241969738708 0.123910519240735 0.128183333333333 140650.394242452
0.35 3 31779648.9375 31784735.875 1.2075 0.988125 5464 0.00819993430636896 0.0927447038868929 0.15505625 634603.324125455
0.4 3 38962085.3529412 38967623.3529412 0.582941176470588 0.715294117647059 5839 0.00774788058057887 0.0894807624457278 0.161005882352941 577460.684095608
0.45 3 64186695.8135593 64194804.4915254 0.134576271186441 0.165932203389831 21045 0.00286530083064861 0.154555841834843 0.126696610169492 271385.397934371
0.5 3 251520964.183453 251531539.931655 0.0183812949640288 0.0165107913669065 101006 0.000389711412292339 0.262288017925323 0.129473741007194 36119.5784653215
0.55 3 467231802.878505 467243484.88785 0.0582242990654206 0.0594392523364486 42233 0.000170514779248455 0.524896648165893 0.13138785046729 15573.5659248865
0.6 3 515858999.487179 515871743 0.190769230769231 0.178717948717949 16106 0.00135530277970943 0.1048136853826 0.144589743589744 112481.237968436
0.65 3 542466878.075472 542473839.169811 0.216415094339623 0.209056603773585 18934 0.000941453709728531 0.202043904832895 0.136707547169811 82639.5085759914
0.7 3 562539906.083333 562549031.75 0.30375 0.282083333333333 17552 0.000983648173883318 0.34453782204392 0.12254375 96322.9710744107
0.75 3 579273790.423077 579296332.538462 0.345384615384615 0.435384615384615 8082 0.000979897753031428 0.22326930137265 0.169123076923077 69527.9038810619
0.8 3 590075010.357143 590084761.714286 0.662142857142857 0.55 6649 0.00148521838622349 0.214295555964514 0.159421428571429 111795.639986355
0.85 3 597290164.6875 597302116.625 0.805 0.618125 6125 0.00222130204081633 0.160567164836215 0.11928125 223468.688413275
0.9 3 603892888.05 603897815.65 0.452 0.626 5619 0.00124590143441894 0.0984094504928761 0.160825 92963.2657424357
