poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 183602.6 187708.4 NA 2105 0.0213463726555819 0.0512511310994026 0.21854 1172126.2554543
0.01 1 1337400.25 1343198.25 1.95333333333333 2112 0.00319272895833333 0.0421102375319669 0.133825 286289.912198767
0.02 1 2193995 2197810.5 1.935 455 0.0362007153846154 0.0174103049569387 0.1865 2329268.55021654
0.04 1 4146872.5 4150200.5 1.9075 677 0.0129886101624815 0.26922477339958 0.26745 582775.554121437
0.05 1 4816345.33333333 4825442 1.89333333333333 1133 0.0105814046601942 0.179746107717478 0.144666666666667 877720.202228088
0.06 1 5502121 5508568 1.87 853 0.010992 0 0.2002 658861.138861139
0.08 1 7217840 7229089 1.81 1211 0.0274241 0.0174752498714634 0.0972 3385691.35802469
0.09 1 8048778 8051397 1.78 208 0 NA 0.2797 0
0.1 1 8349328 8356000 1.77 458 0.0283379 0.0220242854975139 0.1921 1770196.77251432
0.11 1 9026890.33333333 9033266 1.74 1329 0.0154653407825433 0.0277447891089792 0.1683 1102698.095012
0.14 1 10739577 10746629 1.7 349 0.00291971 0 0.2204 158967.876588022
0.16 1 11343211 11348225 1.675 272 0.0145437988970588 0.217366025185638 0.17565 993598.558296077
0.19 1 12440825 12445476 1.62 330 0.00315457 0 0.1687 224391.464137522
0.2 1 12970911 12980091 1.59 1006 0.0261277650099404 0.043278144473383 0.207 1514653.04405451
0.21 1 13553518.6666667 13564019 1.55333333333333 1305 0.0260186224521073 0.10302415461501 0.1397 2234956.8319634
0.22 1 13725749 13735135 1.56 216 0.0232558 0 0.1307 2135192.04284621
0.23 1 14369286 14375231 1.61 823 0 Inf 0.1883 0
0.25 1 15605095.5 15611662.5 1.63 1069 0.00087680561272217 0 0.1007 104485.276590527
0.29 1 18219841 18226505 1.36333333333333 1468 0.00336321395095368 0.115928867289845 0.1242 324948.207821611
0.31 1 20234720 20239868 1.19 777 0.00249844 0 0.113 265321.061946903
0.33 1 22166621 22176854 1.06 985 0.00101626 0.285341349654616 0.0654 186469.724770642
0.34 1 23812071 23816472 0.95 884 0.0035982 0.441943193819132 0.1839 234792.822185971
0.35 1 24655081 24658793 0.89 246 0.00813835 0.142670197275861 0.144 678195.833333333
0.36 1 25352879.6666667 25359590.3333333 0.85 2838 0.000352874099718111 0.85958918173691 0.107466666666667 39402.815105
0.37 1 27847248 27851142 0.7 528 0 NA 0.21935 0
0.39 1 31279594 31283449.5 0.52 772 0 Inf 0.2099 0
0.4 1 32807614.5 32815807 0.45 694 0 NA 0.1074 0
0.41 1 34083562 34088731 0.39 483 0 NA 0.1248 0
0.42 1 37458857.1428571 37486409.7142857 0.422857142857143 4511 0.00155356703613389 0.205226736522949 0.135814285714286 137266.888645469
0.43 1 40513042 40543033 0.33 212 0 NA 0.0825 0
0.44 1 43167829.25 43172136 0.2525 1086 0 NA 0.169925 0
0.45 1 52501880.8421053 52508484.1052632 0.0857894736842105 8572 0.000780522692953803 0.558637734547641 0.129673684210526 72229.553532538
0.46 1 66859225.6923077 66864987.9230769 0.0569230769230769 4674 0.000646651163885323 0.379045991316031 0.107176923076923 72401.9102606118
0.47 1 99097934.5263158 99105664.0131579 0.0243421052631579 30684 0.000591432081214965 0.295726696595186 0.132030263157895 53754.2288020139
