poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 126049.333333333 130348.666666667 NA 117 0.00664906752136752 0 0.261933333333333 304614.953893142
0.01 1 1267860.33333333 1274612 1.955 898 0.00383641724944321 0.0931280951163752 0.153066666666667 300764.418510356
0.02 1 2477071 2481228 1.93 28 0 Inf 0.1646 0
0.04 1 4025885.33333333 4045273 1.90666666666667 525 0.0142622221714286 0.0329322945125132 0.137866666666667 1241392.64548218
0.05 1 4865617.25 4873004 1.8925 113 0.00680735398230089 0.519403092179072 0.113775 717980.644145116
0.07 1 6686731 6690773 1.83 58 0.043956 0 0.1902 2773249.21135647
0.08 1 7217840 7229089 1.81 684 0.00995372 0.100690997938459 0.1264 944973.417721519
0.09 1 7841371 7856406 1.79 22 0.05 0 0.0881 6810442.67877412
0.1 1 8336318 8341576 1.77 11 0 NA 0.165 0
0.11 1 8929487 8937936 1.74 176 0.0227704 0 0.111 2461664.86486486
0.14 1 10739577 10746629 1.7 45 0 NA 0.227 0
0.2 1 12990954 13005515 1.59 130 0.00380228 0.397761343194084 0.0829 550390.349819059
0.21 1 13537075.5 13550271.5 1.555 492 0.00727665849593496 0.105666745746041 0.15085 578852.515420746
0.22 1 13857194 13863951.5 1.575 71 0.0375532563380282 0 0.17365 2595099.77573474
0.23 1 14369286 14375231 1.61 298 0.00567363 0.0568990223190444 0.1856 366829.525862069
0.25 1 15598792 15607504 1.63 282 0 Inf 0.1058 0
0.28 1 17566211 17571933 1.47 123 0.0237904 0 0.1887 1512903.02066773
0.29 1 18219841 18226505 1.36333333333333 241 0.00992079852697095 0 0.1089 1093200.93961112
0.3 1 18802466 18807666 1.3 33 0.032967 0 0.1399 2827762.68763402
0.33 1 22166621 22176854 1.06 37 0 NA 0.0518 0
0.34 1 23812071 23816472 0.95 332 0.000967118 1.48487568218149 0.1768 65641.4932126697
0.36 1 25352879.6666667 25359590.3333333 0.85 170 0 NA 0.103066666666667 0
0.41 1 34083562 34088731 0.39 76 0 NA 0.1552 0
0.42 1 37421749 37453453.8333333 0.426666666666667 921 0.00450173713355049 0.0879436257674351 0.116933333333333 461979.865472684
0.43 1 39762346 39784496.5 0.355 422 0 Inf 0.0914 0
