poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 968731.8 972707 0.962 1.946 2472 0.0642554102750809 0.027577961573208 0.18143 4249930.68015748
0.05 1 4716205.63636364 4724326.54545455 1.23909090909091 1.89181818181818 2113 0.062333055560814 0.0438980023349282 0.166354545454545 4496400.53228452
0.1 1 8457517.42857143 8467312.71428571 1.73714285714286 1.76428571428571 1842 0.0391485500760044 0.058197191274554 0.184514285714286 2546050.02042766
0.15 1 11141999.6666667 11147693 2.17666666666667 1.68333333333333 445 0.0481426168539326 0.0325083394424837 0.160166666666667 3606939.03588257
0.2 1 13384512.6666667 13392063.5 2.11166666666667 1.57666666666667 2095 0.0353842618138425 0.0738909429934996 0.151016666666667 2811683.97593716
0.3 1 18705397 18710971.7142857 1.29857142857143 1.32714285714286 2300 0.0349863650434783 0.0520306726174603 0.145457142857143 2886323.57459455
0.35 1 24925158.2222222 24930796.7777778 0.705555555555556 0.878888888888889 4826 0.029574811496063 0.0787816127016187 0.161466666666667 2197962.86923672
0.4 1 34022155.625 34044024 0.45625 0.47 1871 0.0321419718332443 0.0848636701746406 0.1435625 2686660.24901302
0.45 1 83278892.5576923 83286400.3269231 0.0500961538461538 0.0514423076923077 36038 0.0176573794823797 0.10600978619582 0.143620192307692 1475339.5771439
0.5 1 307693108.645669 307702499.606299 0.0281889763779528 0.0278346456692913 85521 0.0110502218628056 0.100930890637109 0.132574803149606 1000210.13950916
0.55 1 418747397.081967 418756678.47541 0.154098360655738 0.142786885245902 22878 0.0173568020674884 0.10999484133173 0.144747540983607 1438930.3154618
0.6 1 448279539.03125 448288196.265625 0.20234375 0.2153125 20905 0.018326024210476 0.097767849871707 0.141425 1554974.65459227
0.65 1 465457462.772727 465462533.727273 0.395454545454545 0.410454545454545 5903 0.0288496012180247 0.0751335154615253 0.206545454545455 1676121.19752608
0.7 1 477770236.2 477778507.6 0.574 0.513 3855 0.0214819161867704 0.0585649247845806 0.1844 1397955.50022367
0.75 1 486613673.333333 486617995.2 0.649333333333333 0.571333333333333 4825 0.0378168892849741 0.0630011412161164 0.167453333333333 2710024.71187807
0.8 1 493600404.047619 493604762.952381 0.610476190476191 0.602857142857143 6175 0.0198486470202429 0.115411109763944 0.181466666666667 1312548.29670967
0.85 1 502162392.826087 502169069.565217 0.468260869565217 0.637826086956522 5945 0.0299940987720774 0.0595405921036426 0.198126086956522 1816667.30915608
0.9 1 510462290.933333 510467551.133333 1.034 0.743333333333333 4209 0.0370253881919696 0.0777910321054584 0.248993333333333 1784403.83264733
0.95 1 515575097.105263 515580072.368421 0.916315789473684 0.823157894736842 4891 0.0371868369692633 0.0520625791497335 0.191684210526316 2328006.26825701
1 1 523079136.969697 523085098.121212 0.667272727272727 0.826969696969697 8732 0.0361326950068713 0.0706579384747876 0.186884848484848 2320104.29736688
1.05 1 528498950.285714 528508163.928571 1.18142857142857 1.14142857142857 3453 0.0386790550825369 0.0374811200577539 0.225092857142857 2062031.94042655
1.1 1 532025966.3125 532030661.3125 1.563125 1.399375 2676 0.0514863575912876 0.0799690192152081 0.177325 3484202.96684309
1.15 1 535501086 535506327.636364 1.36545454545455 1.29272727272727 2806 0.0416017402352103 0.0720242845877646 0.1519 3286510.09099752
1.2 1 540302214.916667 540307218.75 0.859166666666667 1.02583333333333 4069 0.0425196108626198 0.0653797426904973 0.200775 2541329.00187492
1.25 1 546339950.428571 546354421.047619 0.991904761904762 0.875714285714286 5299 0.0575234864861295 0.041136237387369 0.187190476190476 3687590.58623877
1.3 1 552134587.272727 552139659.409091 0.75 0.743636363636364 8989 0.0398967436756035 0.0508393446697781 0.174490909090909 2743758.55224532
1.35 1 556645993.615385 556652488 0.418461538461538 0.610769230769231 7412 0.0326803679573664 0.0419584182717605 0.153446153846154 2555713.55591997
0 2 2940487.71428571 2986075.42857143 0.62 0.801428571428571 4106 0.0248890454749148 0.0763175963722024 0.162071428571429 1842820.4670717
0.05 2 8376749.41666667 8395257.08333333 0.6325 0.806666666666667 3606 0.0419572214793526 0.0401717406118098 0.207083333333333 2431323.9006144
0.1 2 14652324.6428571 14665660.8571429 0.657142857142857 0.808571428571429 4288 0.0502094921338619 0.055672688686455 0.166685714285714 3614670.32845767
0.15 2 21865253.7777778 21882204.6666667 0.806666666666667 0.803333333333333 4472 0.022211752862254 0.0789673597915578 0.121755555555556 2189148.84935521
0.2 2 28685642.4666667 28697063.8666667 0.910666666666667 0.781333333333333 4403 0.0446696188507836 0.0873525979174701 0.241333333333333 2221141.26882349
0.25 2 33766907.2857143 33779432.8571429 0.928571428571429 0.768571428571429 2735 0.038257833857404 0.0356863833370391 0.147042857142857 3122178.222114
0.3 2 38543185.75 38549272.5 0.92 0.78 1783 0.0442079280426248 0.0674391634443107 0.133475 3974490.62754446
0.35 2 44995081.1111111 45012196.7777778 0.802222222222222 0.761111111111111 3042 0.0364128351084813 0.0796417988793145 0.152277777777778 2869453.62401749
0.4 2 51973583.92 51978562.24 0.5484 0.6132 5782 0.0330634823054307 0.0362236458230441 0.15484 2562398.52534983
0.45 2 65208677.0322581 65223507.6129032 0.329354838709677 0.408387096774194 8660 0.0265404973441109 0.0631138174405285 0.1566 2033754.58575562
0.5 2 85155566.4893617 85171490.5531915 0.204893617021277 0.203191489361702 14981 0.0244877536009815 0.0869664975383883 0.146023404255319 2012369.4876883
0.55 2 292101310.905172 292117357.712644 0.0144252873563218 0.015 123263 0.0099430064503537 0.119241957165383 0.121925862068966 978595.315051002
0.6 2 561923903.83 561934482.08 0.0709 0.067 28758 0.0191263171500104 0.0894113905340395 0.135242 1697074.91607729
0.65 2 609151813.902439 609160219.365854 0.174390243902439 0.180487804878049 11866 0.0226703917663914 0.0824699098770633 0.116041463414634 2344374.96039358
0.7 2 629416831.125 629424117.9375 0.3028125 0.35875 9419 0.0222601547121296 0.121103947048841 0.14075 1897846.22767712
0.75 2 644989493.0625 644998210.875 0.590625 0.43125 5589 0.0203360320271963 0.107294110987249 0.1657 1472736.17577764
0.8 2 655183917.666667 655201914 0.3675 0.439583333333333 8341 0.0245034254094233 0.101844829244066 0.134116666666667 2192427.77367774
0.85 2 666823745.545455 666829312.272727 0.415454545454545 0.437272727272727 6755 0.0373349435173945 0.0976923424391233 0.135463636363636 3307303.23085436
0.9 2 676856536.153846 676860949.615385 0.691538461538462 0.611538461538461 3467 0.0282612115892703 0.0681958865391936 0.163169230769231 2078422.12329161
0.95 2 683818881.416667 683824837.416667 0.796666666666667 0.629166666666667 5477 0.0289375795747506 0.116638130025191 0.124183333333333 2796276.64660052
1 2 688524598.076923 688529474.307692 0.859230769230769 0.640769230769231 3209 0.0268874959114989 0.0645788947000682 0.141446153846154 2281079.70534796
1.05 2 698290943.111111 698297223.722222 0.433333333333333 0.658888888888889 10587 0.0342442447246623 0.0748834096341009 0.178980555555556 2295952.96215513
1.1 2 707303789.923077 707308332.846154 0.836153846153846 0.676153846153846 4825 0.0345665747720207 0.11337831657332 0.119876923076923 3460206.40685012
1.15 2 713224238.125 713255068.4375 0.79375 0.746875 5684 0.0315172101213934 0.0985593052239079 0.15845625 2386819.84116575
1.2 2 721007401.125 721037557.25 0.740625 0.77 5250 0.0340961589180952 0.0721238032762868 0.18195 2248716.16937149
1.25 2 727113817.333333 727121317.583333 0.798333333333333 0.7375 2894 0.0546749640981341 0.0536907353117097 0.197508333333333 3321882.97123805
1.3 2 733296419.666667 733307384.708333 0.697916666666667 0.712916666666667 7096 0.0420213043821381 0.0897540146932177 0.152520833333333 3306142.78433432
1.35 2 741949137.6 741960490.2 0.662 0.6685 3819 0.0607094226891857 0.0310773666963461 0.25888 2814095.61291034
1.4 2 749000672.043478 749009649.173913 0.658695652173913 0.642608695652174 5283 0.0443520203672156 0.0564184424189008 0.137813043478261 3861929.40068508
1.45 2 756987927.428571 757018319.857143 0.621428571428571 0.598571428571429 4402 0.0513153795774648 0.0438189121691502 0.156257142857143 3940840.99881792
1.5 2 765239062.714286 765245821.142857 0.358571428571429 0.551428571428571 4352 0.0326985430147059 0.0484034319310549 0.170471428571429 2301749.44543308
0 3 1167241.55555556 1172898.77777778 0.7 1.26 3473 0.048737818629427 0.0546974562691838 0.200311111111111 2919727.31971273
0.05 3 6975373.58333333 6994759.83333333 0.8375 1.23916666666667 4609 0.0443781793664569 0.0534655098565059 0.278458333333333 1912451.84161897
0.1 3 12410018.3636364 12415013.9090909 0.969090909090909 1.17909090909091 2793 0.0452077829215897 0.0394126332740961 0.178127272727273 3045538.09617732
0.15 3 16542340.4 16547010.5333333 1.06466666666667 1.13 3789 0.0476922293009841 0.0720646435384302 0.154953333333333 3693413.61880012
0.2 3 22911097 22918060.5 1.305 1.055 681 0.0356926233480176 0.0610997357043033 0.51515 831430.612785036
0.25 3 25078935.75 25083175.625 1.57625 1.005 2016 0.0474630925595238 0.0544713822575755 0.1311125 4344033.6406848
0.3 3 28229711.1428571 28240426.4285714 1.34571428571429 0.99 4514 0.0178467994904741 0.0771019131149895 0.154914285714286 1382452.19217984
0.35 3 32094122.7894737 32098860.2105263 1.17315789473684 0.978947368421053 4551 0.0456808715447154 0.0596818816969868 0.1668 3286393.63631046
0.4 3 39756985 39762471.0952381 0.534761904761905 0.692380952380952 5441 0.0427179830913435 0.0620472498803998 0.169266666666667 3028450.94779119
0.45 3 64022489.3472222 64034298.0416667 0.139722222222222 0.181388888888889 19800 0.0234822586862338 0.0841583098499826 0.149983333333333 1878789.44928196
0.5 3 250028576.90493 250038807.933099 0.018556338028169 0.0164084507042254 93717 0.0089426106704124 0.13706494796523 0.123808450704225 866752.854385621
0.55 3 465215457.579439 465224260.607477 0.0528971962616822 0.0532710280373832 34647 0.0164876352645251 0.106071040961101 0.138310280373832 1430491.08598101
0.6 3 516553562.232558 516565711.55814 0.188139534883721 0.179302325581395 14833 0.0191417031949033 0.10302690327182 0.138416279069767 1659490.05335608
0.65 3 542627097.126984 542633438.269841 0.217301587301587 0.209047619047619 19560 0.0190290855074955 0.0957159160059577 0.151225396825397 1509991.25069975
0.7 3 562266921.8 562275137.38 0.2952 0.2836 17639 0.0179724636425534 0.107917113414129 0.123736 1742981.53900757
0.75 3 578490465.16129 578511646.419355 0.346451612903226 0.425161290322581 7000 0.0257268370980476 0.0916337693472275 0.160712903225806 1920953.69432041
0.8 3 589734752 589743217.052632 0.645263157894737 0.54578947368421 6922 0.0159671258263508 0.0942502127527309 0.152131578947368 1259472.30181905
