poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 199187 203318.333333333 NA 2729 0.00152437322828875 0.289443774876806 0.316383333333333 57817.4537411316
0.01 1 1358536 1365524 1.95 1917 0.00162970389045383 0.148120266931831 0.108233333333333 180687.835098054
0.02 1 2193995 2197810.5 1.935 515 0.0252089121359223 0.0894157099896036 0.1429 2116913.54535387
0.04 1 4178075.2 4191900.6 1.906 1816 0.0325902751156388 0.0829864296355516 0.18118 2158534.61412775
0.05 1 4768668.5 4776719.25 1.895 1343 0.0244330388682055 0.134431237097412 0.17985 1630227.78103123
0.06 1 5502121 5508568 1.87 893 0.0318491 0.0327918214329447 0.1872 2041608.97435897
0.07 1 6298039.5 6303383 1.845 965 0.00820391060103627 0.318584359742716 0.1122 877423.593693719
0.08 1 7217840 7229089 1.81 1211 0.0238837 0.0400985609432374 0.1138 2518492.0913884
0.09 1 8048778 8051397 1.78 203 0.0666153 0 0.2462 3246887.08367181
0.1 1 8342823 8348788 1.77 927 0.0237680275080906 0.123827293030944 0.204 1398119.2651818
0.11 1 9058290 9069949.2 1.74 2214 0.0119734177958446 0.0432296387733638 0.1982 724929.432644478
0.14 1 10739577 10746629 1.7 349 0 NA 0.2357 0
0.16 1 11498084 11501301 1.67 177 0 Inf 0.2908 0
0.19 1 12440825 12445476 1.62 382 0 NA 0.1714 0
0.2 1 12970911 12980091 1.59 1207 0 Inf 0.171 0
0.21 1 13553518.6666667 13564019 1.55333333333333 1466 0.00390517735334243 0.15941957400799 0.1428 328166.164146423
0.22 1 13725749 13735135 1.56 232 0 NA 0.1118 0
0.25 1 15643139.5 15651540 1.63 1076 0.00287743198884758 0.074744839246731 0.1369 252221.942046538
0.28 1 17580274 17583426 1.47 306 0.00236803 0 0.4308 65961.8384401114
0.29 1 18141572.25 18148294.5 1.3775 1634 0.0054093502876377 0.128821171910752 0.0995 652383.954287964
0.3 1 18802466 18807666 1.3 312 0 NA 0.1327 0
0.31 1 19951023 19959238 1.21 954 0 NA 0.1357 0
0.33 1 22365094 22372460 1.045 1337 0.000595254186985789 0.579766249033392 0.0926 77138.7715316357
0.34 1 23489382 23492768.5 0.97 923 0.000927856702058505 0.261964175138301 0.30235 36825.7993209924
0.35 1 24655081 24658793 0.89 280 0 NA 0.1509 0
0.36 1 25352879.6666667 25359590.3333333 0.85 2855 0.00110068284658494 0.0730049911792903 0.1075 122866.922409482
0.37 1 27709950.6666667 27713448 0.706666666666667 727 0.00833431801925722 0.113096432687822 0.280933333333333 355998.396646013
0.38 1 28635461.6 28640995.8 0.658 1056 0.0120949316098485 0.183067001695766 0.1563 928593.597685104
0.39 1 30703156.5 30705676 0.545 472 0 NA 0.45335 0
0.4 1 32807614.5 32815807 0.45 719 0.00109414789986092 0.290181370013085 0.11465 114520.495406289
0.41 1 34763299.5 34767016.5 0.385 509 0.00648531510805501 0 0.1758 442683.625123209
0.42 1 37003009.6 37036197.2 0.42 2524 0.00063916860459588 0.371959597019047 0.13382 57315.9711190446
0.43 1 39516863.5 39527017.6666667 0.365 2183 0 Inf 0.124066666666667 0
0.44 1 42490639 42497130 0.27 176 0 NA 0.1762 0
0.45 1 53390185.6363636 53396082.0909091 0.0681818181818182 4459 0.000365445292666517 0.509742886582542 0.158254545454545 27710.6954457607
0.46 1 67506895.25 67513143.5833333 0.0625 4935 0.000322004303951368 0.38081653889175 0.109466666666667 35298.8883746932
0.47 1 98681097.8026316 98688098.7368421 0.0240789473684211 32574 0.000534014321452692 0.153857422789761 0.130621052631579 49059.2575111668
0.48 1 232781178.559524 232794882.630952 -0.00380952380952381 37066 0.000287374874979766 0.199782968874306 0.121720238095238 28331.3486214097
0.49 1 338403954.741935 338411686.860215 0.020752688172043 35211 0.000154506782170344 0.378439843226463 0.1487 12468.6038066183
0.5 1 378422532.454545 378429314.090909 0.0754545454545455 6026 0.000261974195154331 0.529098101455256 0.1254 25069.3009717063
0.51 1 384821563.588235 384826163.117647 0.0835294117647059 6244 0.000365906620755926 0.200063047962435 0.125917647058824 34871.0411259501
0.52 1 396800348.555556 396807834.444444 0.106296296296296 14046 6.03738594617685e-05 0.530832109381382 0.116685185185185 6208.8971482663
0.53 1 406738566.533333 406755393.733333 0.13 3971 0.000996546411483254 0.0363900474411022 0.1488 80366.6460873592
0.54 1 412598024 412603336.545455 0.146363636363636 4857 0.000495947504426601 0.18877599856091 0.139863636363636 42551.2320989999
0.55 1 419026578.272727 419035547.090909 0.157272727272727 6286 0.000245601777441934 0.298976978292476 0.1126 26174.2569209877
0.56 1 426190802.571429 426196280.714286 0.152857142857143 4810 0.000320856455301455 0.149926669431486 0.11595 33206.3601864378
0.57 1 433117685.4 433128468.6 0.121 6717 0.000354560193538782 0.538340629565534 0.10372 41021.2333442478
0.58 1 440158362 440172046.842105 0.162631578947368 7781 0.000911360170929186 0.0323130143073517 0.131136842105263 83396.2590190458
0.59 1 447645770.8125 447652554.8125 0.17875 5953 0.00102841891483286 0.222229807667461 0.1175875 104951.86119268
0.6 1 452080835.5 452088166.4 0.222 5256 0.000290813789954338 0.303126162891662 0.1536 22719.8273401826
0.61 1 456051456.444444 456059115.444444 0.284444444444444 4195 0.00171953834803337 0.0631349612024161 0.143844444444444 143449.823565274
0.62 1 458881499.2 458888329.8 0.338 1463 0.000599148838004101 0.536997955917756 0.13942 51569.2587580635
0.63 1 462411506.625 462418241.75 0.38125 3530 0.000670341515580736 0.25557749209522 0.12885 62429.9432438404
0.64 1 464988881.75 464993822.5 0.4125 1477 0 NA 0.130425 0
0.65 1 466843903 466853888 0.43 691 0 NA 0.1219 0
0.66 1 469431720 469437238.333333 0.45 1479 0 NA 0.161933333333333 0
0.67 1 471969568.5 471976576 0.465 623 0 NA 0.17995 0
