Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_umbellulata_Tr257_UMB03_Contig1002	TraesCS5D02G470000	425	1.11567383938491	0	1	96.721
Ae_umbellulata_Tr257_UMB03_Contig1004_simExt	TraesCS5D02G402700	3003	1.38250369212058	8.24887875944883e-168	0.926739926739927	93.9522597941843
Ae_umbellulata_Tr257_UMB03_Contig1005_simExt	TraesCS2D02G000100	1482	1.37735932653965	3.14594594594595e-17	0.846828609986505	92.0288916334661
Ae_umbellulata_Tr257_UMB03_Contig101_simExt	TraesCS7D02G239200	326	0.816779711088031	1.06e-139	0.849693251533742	98.917
Ae_umbellulata_Tr257_UMB03_Contig1010_simExt	TraesCS4D02G172900	1154	2.10183292365092	0	1	98.875
Ae_umbellulata_Tr257_UMB03_Contig1017_simExt	TraesCS4D02G135000	694	1.76182345910876	1.02507017244323e-47	1	98.4373826248799
Ae_umbellulata_Tr257_UMB03_Contig1018_simExt	TraesCS1D02G242400	2063	1.98004691867047	0	1	98.788
Ae_umbellulata_Tr257_UMB03_Contig102_simExt	TraesCS2D02G220900	1794	1.73602969910121	0	1	98.0325546265329
Ae_umbellulata_Tr257_UMB03_Contig1025_simExt	TraesCS6D02G189100	2240	1.80324737344795	3.99426934097421e-77	0.934821428571429	99.2355415472779
Ae_umbellulata_Tr257_UMB03_Contig1035_simExt	TraesCS5D02G521800	690	1.43719744339231	0	0.871014492753623	97.03
Ae_umbellulata_Tr257_UMB03_Contig1040_simExt	TraesCS5D02G280400	1739	1.56821116597038	2.06091910368401e-20	0.828637147786084	95.3669144112885
Ae_umbellulata_Tr257_UMB03_Contig1041_simExt	TraesCS1D02G109200	1417	1.70476947535771	0	0.989414255469301	97.5700084522111
Ae_umbellulata_Tr257_UMB03_Contig1049_simExt	TraesCS1D02G268500	1453	1.76356589147287	0	0.887130075705437	98.5273405740884
Ae_umbellulata_Tr257_UMB03_Contig105_simExt	TraesCS1D02G263600	781	1.52774498229044	6.10200708382526e-21	0.996158770806658	94.3770070694087
Ae_umbellulata_Tr257_UMB03_Contig1051_simExt	TraesCS5D02G118900	624	1.74393530997305	0	0.99198717948718	98.2208890683899
Ae_umbellulata_Tr257_UMB03_Contig1052_simExt	TraesCS1D02G219700	350	1.79692307692308	4.70076923076923e-25	1	99.0817014285714
Ae_umbellulata_Tr257_UMB03_Contig1056_simExt	TraesCS7D02G454700	2158	1.63584905660377	0	0.990732159406858	96.458814546305
Ae_umbellulata_Tr257_UMB03_Contig1058	TraesCS1D02G020000	386	0.972201061924983	2.03e-172	0.917098445595855	97.465
Ae_umbellulata_Tr257_UMB03_Contig106_simExt	TraesCS3D02G288000	527	1.78420038535645	0	1	98.8438581593928
Ae_umbellulata_Tr257_UMB03_Contig1061_simExt	TraesCS1D02G121200	856	1.82423580786026	3.63144104803493e-87	0.84696261682243	99.5447816091954
Ae_umbellulata_Tr257_UMB03_Contig1064_simExt	TraesCS6D02G289200	2021	1.90568843468343	0	0.999505195447798	97.427
Ae_umbellulata_Tr257_UMB03_Contig107_simExt	TraesCS3D02G247300	1935	1.80321910695742	3.00207684319834e-181	1	99.2206302325581
Ae_umbellulata_Tr257_UMB03_Contig1071_simExt	TraesCS2D02G176800	887	1.54187481617714	0	0.919954904171364	94.046
Ae_umbellulata_Tr257_UMB03_Contig1073_simExt	TraesCS7D02G300100	1374	1.67006554989075	0	1	97.1916197234352
Ae_umbellulata_Tr257_UMB03_Contig1074_simExt	TraesCS3D02G200300	1912	2.00730734594612	0	0.980125523012552	98.721
Ae_umbellulata_Tr257_UMB03_Contig108	TraesCS2D02G343000	1069	1.61971830985915	2.04460093897144e-43	0.942937324602432	96.488337962963
Ae_umbellulata_Tr257_UMB03_Contig1083_simExt	TraesCS7D02G221200	1296	1.89385000411078	0	0.984567901234568	95.49
Ae_umbellulata_Tr257_UMB03_Contig1084_simExt	TraesCS3D02G434700	2896	1.58684442725137	0	1	97.385
Ae_umbellulata_Tr257_UMB03_Contig1089_simExt	TraesCS2D02G500600	1985	1.84262697285929	0	0.932493702770781	96.981
Ae_umbellulata_Tr257_UMB03_Contig1091_simExt	TraesCS2D02G283800	2252	1.30731667873543	0	0.842362344582593	90.052
Ae_umbellulata_Tr257_UMB03_Contig1097_simExt	TraesCS5D02G172800	3425	1.78386332052644	0	0.941021897810219	98.8609872013652
Ae_umbellulata_Tr257_UMB03_Contig1099_simExt	TraesCS4D02G132600	1536	1.71888584768958	1.66237320882306e-21	1	97.779942578125
Ae_umbellulata_Tr257_UMB03_Contig11	TraesCS2D02G408200	9240	1.71003205017748	6.50653065444395e-78	1	97.7629713718821
Ae_umbellulata_Tr257_UMB03_Contig1101_simExt	TraesCS3D02G408600	2216	1.67457545465494	1.2695652173913e-133	0.999097472924188	97.0057235847636
Ae_umbellulata_Tr257_UMB03_Contig1107_simExt	TraesCS4D02G092800	4339	1.70815752461322	0	0.981562572021203	97.5635463723879
Ae_umbellulata_Tr257_UMB03_Contig1112	TraesCS1D02G064500	435	0.936368780382094	3.85e-170	0.993103448275862	92.045
Ae_umbellulata_Tr257_UMB03_Contig1115_simExt	TraesCS5D02G031300	714	1.7974105102818	0	0.920168067226891	99.08600152207
Ae_umbellulata_Tr257_UMB03_Contig1117_simExt	TraesCS5D02G398900	1683	1.64790021951952	0	0.997029114676174	92.107
Ae_umbellulata_Tr257_UMB03_Contig1127	TraesCS1D02G143000	3103	1.79789335088874	3.2044107965767e-24	0.979052529809861	99.1115951283739
Ae_umbellulata_Tr257_UMB03_Contig1130_simExt	TraesCS5D02G328200	1597	2.03977050984707	0	0.99812147777082	97.743
Ae_umbellulata_Tr257_UMB03_Contig1131_simExt	TraesCS7D02G269400	1946	1.78047223994895	4.99527760051053e-51	0.802158273381295	98.7320432415118
Ae_umbellulata_Tr257_UMB03_Contig1132_simExt	TraesCS4D02G353800	1747	1.48865069356873	8.46431273644388e-60	0.898111047510017	94.0044110898662
Ae_umbellulata_Tr257_UMB03_Contig1135_simExt	TraesCS7D02G292400	1169	2.11498340145391	0	1	98.975
Ae_umbellulata_Tr257_UMB03_Contig1137_simExt	TraesCS7D02G071100	824	1.63321271656445	0	0.997572815533981	94.903
Ae_umbellulata_Tr257_UMB03_Contig1144_simExt	TraesCS6D02G391300	1821	1.52319731693684	2.53907210732253e-48	0.961010433827567	94.5745771428571
Ae_umbellulata_Tr257_UMB03_Contig1146_simExt	TraesCS5D02G179900	1018	1.73832335329341	0	0.954813359528487	98.0123744855967
Ae_umbellulata_Tr257_UMB03_Contig1147_simExt	TraesCS4D02G174600	2709	1.77071509648127	0	1	98.6250324843116
Ae_umbellulata_Tr257_UMB03_Contig1151_simExt	TraesCS7D02G248500	2792	1.70297482837529	1.55169336384439e-59	0.836318051575931	97.3691402569593
Ae_umbellulata_Tr257_UMB03_Contig1153_simExt	TraesCS1D02G412200	926	1.72539776075427	4.36817913965822e-115	1	97.8763639308855
Ae_umbellulata_Tr257_UMB03_Contig1156_simExt	TraesCS1D02G262300	1743	1.74287393476344	0	1	98.2380476190476
Ae_umbellulata_Tr257_UMB03_Contig1159_simExt	TraesCS5D02G343100	6355	1.3825182985043	2.65471517980269e-35	1	93.2311527143981
Ae_umbellulata_Tr257_UMB03_Contig1166_simExt	TraesCS6D02G108200	1023	1.45048203330412	1.80157756354075e-157	0.998044965786901	92.7582482859941
Ae_umbellulata_Tr257_UMB03_Contig1171_simExt	TraesCS6D02G256200	3820	1.36785437345792	0	1	98.719
Ae_umbellulata_Tr257_UMB03_Contig1173_simExt	TraesCS3D02G206400	2103	1.72326852976914	0	0.823109843081312	97.7239656268053
Ae_umbellulata_Tr257_UMB03_Contig1174_simExt	TraesCS6D02G280500	2241	1.80185956980288	0	0.914323962516734	97.767
Ae_umbellulata_Tr257_UMB03_Contig1177_simExt	TraesCS6D02G263000	2968	1.69	3.38391111111134e-25	0.81233153638814	97.6362771671506
Ae_umbellulata_Tr257_UMB03_Contig1178_simExt	TraesCS7D02G261300	1893	1.74217890839395	0	0.997358689910195	94.317
Ae_umbellulata_Tr257_UMB03_Contig1179_simExt	TraesCS7D02G282300	1463	1.79300582847627	6.57452123230641e-16	0.820915926179084	99.0010174854288
Ae_umbellulata_Tr257_UMB03_Contig1180_simExt	TraesCS4D02G146900	2165	1.80021085925145	2.01096468107538e-40	0.911778290993072	99.2034174265451
Ae_umbellulata_Tr257_UMB03_Contig1181_simExt	TraesCS6D02G167200	2876	1.80581652803543	6.64628089282509e-170	0.973226703755216	99.3009611476888
Ae_umbellulata_Tr257_UMB03_Contig1187_simExt	TraesCS5D02G127600	1890	2.05149260880369	0	0.963492063492064	99.451
Ae_umbellulata_Tr257_UMB03_Contig1195_simExt	TraesCS4D02G094500	881	1.62617839689812	0	0.812712826333712	98.184
Ae_umbellulata_Tr257_UMB03_Contig1196_simExt	TraesCS1D02G324200	2139	1.698098663926	0	1	97.3269698457223
Ae_umbellulata_Tr257_UMB03_Contig1201_simExt	TraesCS3D02G120500	1320	1.7363184079602	1.42421227197347e-93	0.846212121212121	98.0786871083259
Ae_umbellulata_Tr257_UMB03_Contig1203	TraesCS5D02G286500	298	0.807377581699375	4.49e-138	1	96.321
Ae_umbellulata_Tr257_UMB03_Contig1205_simExt	TraesCS6D02G273100	2389	1.50444915254237	0	0.999162829635831	94.0572674556626
Ae_umbellulata_Tr257_UMB03_Contig1206	TraesCS2D02G097700	379	1.04452054151749	0	1	97.625
Ae_umbellulata_Tr257_UMB03_Contig1210_simExt	TraesCS3D02G529500	920	1.67520893903901	0	0.841304347826087	97.677
Ae_umbellulata_Tr257_UMB03_Contig1211_simExt	TraesCS5D02G496400	263	1.63498920086393	1.63110151187905e-24	1	96.168108365019
Ae_umbellulata_Tr257_UMB03_Contig1214_simExt	TraesCS3D02G013000	3939	1.70146653114564	0	0.88042650418888	97.4297952710496
Ae_umbellulata_Tr257_UMB03_Contig1215_simExt	TraesCS7D02G526800	1283	1.54015215553677	5.74809805579036e-31	0.904910366328917	94.9826993970715
Ae_umbellulata_Tr257_UMB03_Contig1223_simExt	TraesCS3D02G129400	900	1.76598173515982	7.41598173515982e-74	0.973333333333333	98.6298207762557
Ae_umbellulata_Tr257_UMB03_Contig1225_simExt	TraesCS2D02G218000	1812	2.00301561200013	0	0.927152317880795	98.81
Ae_umbellulata_Tr257_UMB03_Contig1229_simExt	TraesCS2D02G165900	1322	1.73499077190316	4.13787862338508e-23	0.993948562783661	98.0892925394409
Ae_umbellulata_Tr257_UMB03_Contig1232	TraesCS6D02G075000	396	1.37270341207349	6e-148	0.962121212121212	91.864
Ae_umbellulata_Tr257_UMB03_Contig1239_simExt	TraesCS5D02G031300	736	1.74155538098979	0	1	98.0758804347826
Ae_umbellulata_Tr257_UMB03_Contig1242_simExt	TraesCS7D02G382500	1554	1.97576816543002	0	1	96.607
Ae_umbellulata_Tr257_UMB03_Contig1247_simExt	TraesCS4D02G149700	1087	2.08370106978011	0	1	98.896
Ae_umbellulata_Tr257_UMB03_Contig1252_simExt	TraesCS7D02G353600	682	1.76635514018692	0	0.939882697947214	98.598
Ae_umbellulata_Tr257_UMB03_Contig1259_simExt	TraesCS7D02G237600	1463	1.58813972380179	3.15134037367994e-99	0.83526999316473	95.5367749590835
Ae_umbellulata_Tr257_UMB03_Contig1266_simExt	TraesCS5D02G332600	657	1.53046247459869	0	1	96.499
Ae_umbellulata_Tr257_UMB03_Contig1273	TraesCS5D02G454800	254	1.68571428571429	4.57142857142857e-23	0.964566929133858	97.1431428571429
Ae_umbellulata_Tr257_UMB03_Contig1277_simExt	TraesCS4D02G102600	1564	1.58544726301736	0	0.938618925831202	95.6103658038147
Ae_umbellulata_Tr257_UMB03_Contig1279_simExt	TraesCS7D02G359500	1442	1.81786699256123	0	0.986130374479889	94.467
Ae_umbellulata_Tr257_UMB03_Contig1282_simExt	TraesCS4D02G189000	964	1.64466737064414	0	0.981327800829875	96.4625
Ae_umbellulata_Tr257_UMB03_Contig1284_simExt	TraesCS2D02G200700	394	1.08180844705586	0	1	97.716
Ae_umbellulata_Tr257_UMB03_Contig1286_simExt	TraesCS7D02G375700	554	1.55215827338129	0	1	94.784
Ae_umbellulata_Tr257_UMB03_Contig1296_simExt	TraesCS7D02G531900	1403	1.73072230844592	0	0.947968638631504	93.464
Ae_umbellulata_Tr257_UMB03_Contig1305_simExt	TraesCS1D02G323900	501	1.18928364900926	0	1	94.563
Ae_umbellulata_Tr257_UMB03_Contig1307_simExt	TraesCS4D02G358700	657	1.74910394265233	2.26057347670251e-43	0.849315068493151	98.2081577060932
Ae_umbellulata_Tr257_UMB03_Contig131	TraesCS3D02G082300	1183	1.60506566604128	0	0.89687235841082	95.781547596607
Ae_umbellulata_Tr257_UMB03_Contig1312	TraesCS7D02G008100	300	0.785492554117166	3.52e-134	1	95.349
Ae_umbellulata_Tr257_UMB03_Contig1313_simExt	TraesCS6D02G377900	2180	1.80660133589084	0	0.962844036697248	97.082
Ae_umbellulata_Tr257_UMB03_Contig1316_simExt	TraesCS4D02G061200	786	1.22368687917376	0	0.844783715012723	91.291
Ae_umbellulata_Tr257_UMB03_Contig1317_simExt	TraesCS4D02G355000	1572	1.72783983751632	0	0.998727735368957	97.9658131528662
Ae_umbellulata_Tr257_UMB03_Contig1320_simExt	TraesCS3D02G347100	809	1.47485421349029	0	0.854140914709518	95.409
Ae_umbellulata_Tr257_UMB03_Contig1324_simExt	TraesCS7D02G360200	1811	1.72703023117961	1.57522228808536e-44	0.931529541689674	98.0143390634262
Ae_umbellulata_Tr257_UMB03_Contig1325_simExt	TraesCS1D02G154800	1106	1.61172161172161	4.1043956043956e-77	0.985533453887884	96.0612614678899
Ae_umbellulata_Tr257_UMB03_Contig1326_simExt	TraesCS3D02G298600	1319	2.1021563447824	0	1	98.484
Ae_umbellulata_Tr257_UMB03_Contig1327_simExt	TraesCS2D02G009100	1954	1.62090752441126	0	0.917604912998977	96.0274082543224
Ae_umbellulata_Tr257_UMB03_Contig1336_ESTScan	TraesCS5D02G466400	532	1.30744541915242	0	1	95.956
Ae_umbellulata_Tr257_UMB03_Contig1337_simExt	TraesCS7D02G036600	823	1.68928086838535	0	0.8955042527339	97.151
Ae_umbellulata_Tr257_UMB03_Contig1344_simExt	TraesCS7D02G239200	347	1.7883008356546	1.31969359331476e-22	1	98.8938472622478
Ae_umbellulata_Tr257_UMB03_Contig1347_simExt	TraesCS5D02G483400	865	1.68802529625719	0	0.998843930635838	95.145
Ae_umbellulata_Tr257_UMB03_Contig1350_simExt	TraesCS7D02G199700	849	1.65225609401879	0	0.905771495877503	96.879
Ae_umbellulata_Tr257_UMB03_Contig1351_simExt	TraesCS3D02G354100	2289	1.82310763143366	0	1	97.6
Ae_umbellulata_Tr257_UMB03_Contig1352_simExt	TraesCS4D02G298800	862	1.32158785279875	0	0.827146171693735	92.51
Ae_umbellulata_Tr257_UMB03_Contig1359_simExt	TraesCS1D02G064700	2154	1.60964230171073	1.52099533437014e-61	0.890436397400186	95.9028003128259
Ae_umbellulata_Tr257_UMB03_Contig1363_simExt	TraesCS6D02G186800	777	1.70916079436259	0	1	97.6305
Ae_umbellulata_Tr257_UMB03_Contig1365_simExt	TraesCS7D02G354000	1946	1.6752851882097	0	0.964028776978417	93.872
Ae_umbellulata_Tr257_UMB03_Contig1370_simExt	TraesCS4D02G097300	722	1.38328800407402	0	0.842105263157895	95.779
Ae_umbellulata_Tr257_UMB03_Contig1377_simExt	TraesCS1D02G175900	1847	1.51574803149606	3.27021934758155e-91	0.985381700054142	94.1765181318681
Ae_umbellulata_Tr257_UMB03_Contig139_simExt	TraesCS4D02G166000	2291	1.75509424350484	8.88423331635252e-25	0.934089917066783	98.3458378894081
Ae_umbellulata_Tr257_UMB03_Contig1391_simExt	TraesCS7D02G036600	569	1.64260563380282	0	1	96.3025228471002
Ae_umbellulata_Tr257_UMB03_Contig1393	TraesCS5D02G362600	1466	1.66614111154907	7.81434765471029e-137	0.856070941336971	96.9772892430279
Ae_umbellulata_Tr257_UMB03_Contig140_simExt	TraesCS6D02G018900	670	1.2850679386225	0	0.997014925373134	91.467
Ae_umbellulata_Tr257_UMB03_Contig1400_simExt	TraesCS2D02G237700	2544	1.80505271533718	0	0.987814465408805	99.2440532564001
Ae_umbellulata_Tr257_UMB03_Contig1407_simExt	TraesCS1D02G175000	1321	1.66383549396513	0	0.891748675246026	96.8446014431239
Ae_umbellulata_Tr257_UMB03_Contig1408_simExt	TraesCS6D02G230100	1429	1.55	0	0.920923722883135	95.0217127659574
Ae_umbellulata_Tr257_UMB03_Contig1410_simExt	TraesCS3D02G216000	2666	1.74458874458874	0	0.944486121530383	98.312936457506
Ae_umbellulata_Tr257_UMB03_Contig1411_simExt	TraesCS4D02G012900	2759	1.67440420341527	1.75100394070182e-15	0.960130482058717	96.9383907763936
Ae_umbellulata_Tr257_UMB03_Contig1414_simExt	TraesCS7D02G213100	678	1.66310794780546	2.86856465005931e-98	0.904129793510325	96.5941924959217
Ae_umbellulata_Tr257_UMB03_Contig1416_simExt	TraesCS1D02G259000	1668	1.68523775727466	0	1	97.2317122302158
Ae_umbellulata_Tr257_UMB03_Contig1417_simExt	TraesCS4D02G166700	3362	1.76222544550352	0	0.975907198096371	98.6132884283247
Ae_umbellulata_Tr257_UMB03_Contig1420_simExt	TraesCS2D02G294300	912	1.6248492159228	6.94716525934861e-152	0.904605263157895	96.2623090909091
Ae_umbellulata_Tr257_UMB03_Contig1432_simExt	TraesCS2D02G249900	2087	1.77616869918699	0	0.947771921418304	98.8284936804853
Ae_umbellulata_Tr257_UMB03_Contig1436_simExt	TraesCS6D02G189600	2183	1.63419160287636	0	0.983050847457627	96.405
Ae_umbellulata_Tr257_UMB03_Contig1439_simExt	TraesCS6D02G148700	955	1.63342036553525	0	0.998952879581152	96.243893256464
Ae_umbellulata_Tr257_UMB03_Contig1445_simExt	TraesCS4D02G208800	1410	1.67819336626676	0	0.999290780141844	97.142
Ae_umbellulata_Tr257_UMB03_Contig1446_simExt	TraesCS2D02G263600	1002	1.87251911256056	0	0.998003992015968	96.707
Ae_umbellulata_Tr257_UMB03_Contig1448_simExt	TraesCS6D02G087700	1350	1.54246745195288	4.01812845629262e-52	1	95.2944959259259
