poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 44458.5 48030 NA 346 0.00437248497109827 0 0.23225 225919.567936186
0.002 1 276365.333333333 280827.333333333 NA 1278 0.0292577228482003 0.0243908448093282 0.249433333333333 1407561.16869599
0.008 1 968286 979886 NA 1267 0.000645335 0 0.1333 58094.6736684171
0.01 1 1273993 1276221 1.96 186 0.0306954 0.0829355538614906 0.2355 1564096.81528662
0.013 1 1553661 1558343 1.95 585 0 NA 0.1104 0
0.022 1 2477071 2481228 1.93 314 0.00720721 0.102777773923613 0.2228 388180.071813286
0.037 1 3845261 3849085 1.91 273 0.00247295 0 0.1264 234773.734177215
0.04 1 4141211.5 4146173 1.91 472 0.0064803656779661 0.226937820586213 0.28885 269220.661712284
0.041 1 4160980 4164966 1.91 183 0.0539831 0.0229521831832555 0.1716 3775041.95804196
0.042 1 4312493 4363970 1.9 1001 0.00314033 0.438530345536934 0.1425 264448.842105263
0.044 1 4416074 4418966 1.9 105 0 NA 0.1712 0
0.046 1 4625638 4630551 1.9 128 0 NA 0.1815 0
0.047 1 4675054 4682504 1.9 224 0.00886918 0 0.1856 573438.362068966
0.048 1 4757724 4771550 1.89 631 0.00376963 0.252894315887766 0.149 303594.362416107
0.051 1 5016258 5022272 1.89 433 0.00346445 0.310649598060298 0.1478 281281.461434371
0.057 1 5502121 5508568 1.87 305 0.0561261 0.0136441869290758 0.1826 3688462.21248631
0.061 1 5769013 5772735 1.86 378 0.0296951 0 0.0995 3581318.59296482
0.068 1 6247444 6254946 1.85 734 0 Inf 0.1253 0
0.074 1 6686731 6690773 1.83 410 0.0428073 0.026411616710234 0.1951 2632945.15633009
0.081 1 7217840 7229089 1.81 368 0.0103049 0.122466011315005 0.1027 1204077.89678676
0.091 1 7841371 7856406 1.79 228 0.00211416 0 0.0714 355321.008403361
0.095 1 8048778 8051397 1.78 204 0.0110092 0 0.1991 663537.920642893
0.1 1 8349328 8356000 1.77 360 0.0153565 0.082998078989353 0.1897 971418.028465999
0.102 1 8465173 8469506 1.76 215 0.00376766 0 0.2922 154729.363449692
0.109 1 8912375 8919563 1.74 648 0.00491174 0.431551751517792 0.2243 262776.995095854
0.11 1 8929487 8937936 1.74 697 0.0132964 0.0249189254234229 0.1277 1249465.935787
0.112 1 9050450 9083053 1.74 56 0.0149533 0 0.4675 383828.021390374
0.144 1 10739577 10746629 1.7 355 0 NA 0.2173 0
0.163 1 11498084 11501301 1.67 165 0.0146939 0.0940043147156303 0.2482 710422.240128928
0.167 1 11662347 11665843 1.66 11 0 NA 0.222 0
