poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.02 1B 1383081.83333333 1389288.33333333 NA 3057 0.026700562839385 0.0448665443664478
0.06 1B 4307058.25 4312010.75 7.68883329190219e-07 1859 0.0405368135018827 0.0481021225895752
0.07 1B 4475908 4479190 7.67437826550965e-07 223 0.0173057 0.0936876289315081
0.08 1B 5157094 5160358 7.61425431751981e-07 193 0.0339788 0
0.09 1B 6476483.5 6480206 7.49096467401861e-07 437 0.0223446778032037 0.0972004964615023
0.12 1B 8803067.4 8809041 7.25132544262658e-07 1875 0.02702104944 0.0511600330106695
0.13 1B 9779022 9784277 7.14292421815624e-07 427 0.0348040615925059 0.0162543534196657
0.14 1B 10153833.5 10156831 7.10001034062584e-07 605 0.0375205568595041 0.0490249542940359
0.15 1B 11804436.6666667 11808489.6666667 6.90174550159893e-07 274 0.0169090797810219 0.119394057854107
0.18 1B 14655383 14665031.5 6.57385647901953e-07 1268 0.0348043258675079 0.039443456859169
0.19 1B 15586031.75 15590977.5 6.47942092976099e-07 407 0.0368056019410319 0.0230529537106125
0.2 1B 17582706 17588348 6.2872038730175e-07 1128 0.0281537084574468 0.0262215256946388
0.21 1B 18419377 18423130 6.20777349669413e-07 281 0.0565795 0
0.22 1B 20587001.5 20592123.5 6.00457444050231e-07 562 0.010439773683274 0.0623175110382032
0.23 1B 22021104 22025774 5.87244660248546e-07 59 0 NA
0.25 1B 26044066.3333333 26046542.6666667 5.41945424284386e-07 632 0.0267454075949367 0.0223672168821885
0.27 1B 29071572 29076011.8 5.19137584655172e-07 1196 0.00978394647157191 0.0468115053442461
0.28 1B 32699133.8 32706283.6 4.75260749587773e-07 1339 0.0159732742345034 0.0257608716112447
0.29 1B 40405953 40410343.6666667 3.99662647059469e-07 2543 0.0181181213291388 0.0453572006132847
0.31 1B 44353472.6 44359547.2 3.54409691786902e-07 2556 0.0225994303716745 0.0556743791845988
0.32 1B 47544015 47546636 3.19486715217127e-07 29 0 NA
0.33 1B 52133249.8571429 52137126.7142857 2.75411240672857e-07 2214 0.0290697260831075 0.104803424376794
0.34 1B 55593776 55605247 2.45960662118562e-07 1256 0.00561759143312102 0.0260485130334803
0.35 1B 57203273.5 57208482 2.33649120342033e-07 1112 0.00503009560251799 0.199806520332827
0.37 1B 59831630 59834138 2.15367092149455e-07 386 0.00353878 0.276684620123319
0.38 1B 62415730.75 62419471.5 1.99572351174884e-07 436 0.00595823516055046 0.0703601109824663
0.39 1B 68573665.1 68581640 1.70682215276923e-07 4070 0.00337344557002457 0.125770436359177
