Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_caudata_Tr139_CAU6_Contig1003_simExt	TraesCS5D02G453200	472	1.31962587163	0	1	98.941
Ae_caudata_Tr139_CAU6_Contig1007_simExt	TraesCS6D02G026300	556	1.55935251798561	0	1	94.784
Ae_caudata_Tr139_CAU6_Contig1009_simExt	TraesCS5D02G286300	1014	1.60216962524655	0	1	95.8384
Ae_caudata_Tr139_CAU6_Contig1013_simExt	TraesCS5D02G142900	3112	1.75449871465296	0	1	98.345
Ae_caudata_Tr139_CAU6_Contig1016_simExt	TraesCS5D02G258900	2409	1.7445152158528	0	0.998339559983396	98.217920997921
Ae_caudata_Tr139_CAU6_Contig1018_simExt	TraesCS3D02G110700	2016	1.80108602457845	0	1	99.1754719742064
Ae_caudata_Tr139_CAU6_Contig1023_simExt	TraesCS3D02G056600	975	2.01874862603487	0	1	99.282
Ae_caudata_Tr139_CAU6_Contig1024_simExt	TraesCS1D02G184100	3149	1.8006004945249	3.14235252560933e-27	0.973324865036519	99.1850277868407
Ae_caudata_Tr139_CAU6_Contig1028_simExt	TraesCS6D02G289200	1766	1.95993724561607	0	1	97.735
Ae_caudata_Tr139_CAU6_Contig1029_simExt	TraesCS3D02G216400	404	1.15723982062701	0	1	98.762
Ae_caudata_Tr139_CAU6_Contig1030_simExt	TraesCS3D02G513400	2860	1.57158006362672	3.20830682219866e-130	0.982867132867133	95.1582073995019
Ae_caudata_Tr139_CAU6_Contig1031_simExt	TraesCS7D02G260500	885	1.87164676301443	0	0.998870056497175	97.964
Ae_caudata_Tr139_CAU6_Contig1034_simExt	TraesCS5D02G143800	879	1.89100835118208	0	1	98.407
Ae_caudata_Tr139_CAU6_Contig1036	TraesCS7D02G303600	528	1.83675937122128	8.98911729144048e-23	0.803030303030303	99.7331898584906
Ae_caudata_Tr139_CAU6_Contig1039_simExt	TraesCS2D02G290800	1111	1.71174617461746	0	1	97.6375
Ae_caudata_Tr139_CAU6_Contig104_simExt	TraesCS2D02G512200	1649	2.0247174018765	0	1	98.545
Ae_caudata_Tr139_CAU6_Contig1041_simExt	TraesCS1D02G382100	1954	1.55742384203218	0	0.996929375639713	92.71
Ae_caudata_Tr139_CAU6_Contig1042	TraesCS5D02G434600	603	1.25724651695321	0	1	92.707
Ae_caudata_Tr139_CAU6_Contig1045_simExt	TraesCS7D02G282900	1589	1.7671280883126	0	1	98.5746613488567
Ae_caudata_Tr139_CAU6_Contig1050_simExt	TraesCS5D02G177500	2468	1.79059783192015	0	0.998784440842788	99.0342843137255
Ae_caudata_Tr139_CAU6_Contig1051_simExt	TraesCS3D02G352800	745	1.55373406193078	5.84426229508197e-176	1	94.6290906040268
Ae_caudata_Tr139_CAU6_Contig1053_simExt	TraesCS4D02G184400	994	1.66828104648587	0	0.846076458752515	96.671
Ae_caudata_Tr139_CAU6_Contig1054_simExt	TraesCS2D02G428100	649	1.8135593220339	0	1	99.384
Ae_caudata_Tr139_CAU6_Contig1060_simExt	TraesCS1D02G078800	1251	1.81595441595442	0	1	99.4329496402878
Ae_caudata_Tr139_CAU6_Contig1063_simExt	TraesCS5D02G178400	2331	1.74896440540939	0	0.860574860574861	99.103
Ae_caudata_Tr139_CAU6_Contig1079_simExt	TraesCS2D02G416000	525	1.29942982199673	0	1	96
Ae_caudata_Tr139_CAU6_Contig1081_ESTScan	TraesCS3D02G100200	599	1.42687747035573	5.09407114624506e-46	0.906510851419032	91.4849944751381
Ae_caudata_Tr139_CAU6_Contig1083_simExt	TraesCS5D02G218800	1728	1.94557053707663	0	1	97.627
Ae_caudata_Tr139_CAU6_Contig1089_simExt	TraesCS4D02G172900	1168	1.79441903019213	1.18984446477585e-12	0.934075342465753	99.0885453712191
Ae_caudata_Tr139_CAU6_Contig1092	TraesCS2D02G199900	537	1.05373996970553	0	1	90.892
Ae_caudata_Tr139_CAU6_Contig110_simExt	TraesCS2D02G546500	578	1.74221453287197	0	1	98.097
Ae_caudata_Tr139_CAU6_Contig1106_simExt	TraesCS1D02G277000	1514	1.67695473251029	1.89519890260631e-85	0.963011889035667	96.9137421124829
Ae_caudata_Tr139_CAU6_Contig1110_simExt	TraesCS6D02G258000	2283	1.79290322580645	0	1	99.0319104978829
Ae_caudata_Tr139_CAU6_Contig112_simExt	TraesCS6D02G162800	265	0.799522601310784	3.98e-133	1	98.868
Ae_caudata_Tr139_CAU6_Contig1126_simExt	TraesCS1D02G208600	1434	1.83383233532934	2.63892215568862e-47	0.931659693165969	99.7757245508982
Ae_caudata_Tr139_CAU6_Contig1127_simExt	TraesCS3D02G447600	676	1.53815970426673	0	0.995562130177515	96.137
Ae_caudata_Tr139_CAU6_Contig113_simExt	TraesCS5D02G496700	1255	1.91175029872628	0	0.99203187250996	96.388
Ae_caudata_Tr139_CAU6_Contig1136_simExt	TraesCS5D02G434100	1033	1.80435885292857	0	1	95.353
Ae_caudata_Tr139_CAU6_Contig1139_simExt	TraesCS5D02G542300	1488	1.84090780468412	0	0.969086021505376	95.643
Ae_caudata_Tr139_CAU6_Contig1142_simExt	TraesCS6D02G066500	1307	1.93123190071014	0	0.881407804131599	98.438
Ae_caudata_Tr139_CAU6_Contig1143	TraesCS2D02G511800	318	0.6600560058842	1.08e-109	0.949685534591195	90.759
Ae_caudata_Tr139_CAU6_Contig1150_simExt	TraesCS4D02G096400	518	1.77709611451943	2.42494887525562e-55	1	98.7783500643501
Ae_caudata_Tr139_CAU6_Contig1153_simExt	TraesCS1D02G176100	416	1.82187694220012	8.18645121193288e-13	1	99.5032145432692
Ae_caudata_Tr139_CAU6_Contig1155_simExt	TraesCS5D02G166500	3556	1.37794598992402	0	1	98.934
Ae_caudata_Tr139_CAU6_Contig1158_simExt	TraesCS6D02G290700	1700	1.8414685669597	0	1	96.028
Ae_caudata_Tr139_CAU6_Contig116_simExt	TraesCS5D02G513800	398	1.05867616042795	0	0.99748743718593	96.474
Ae_caudata_Tr139_CAU6_Contig1162_simExt	TraesCS3D02G457500	818	1.62068965517241	0	0.996332518337408	95.6912680981595
Ae_caudata_Tr139_CAU6_Contig1166_simExt	TraesCS7D02G259400	2476	1.65135994348287	3.91239844577888e-134	1	96.8430646203554
Ae_caudata_Tr139_CAU6_Contig1168_simExt	TraesCS1D02G113700	1884	1.78836586299273	3.17428243398393e-79	0.849787685774947	98.9753910056215
Ae_caudata_Tr139_CAU6_Contig117_simExt	TraesCS7D02G455400	387	1.07777699214576	0	1	97.674
Ae_caudata_Tr139_CAU6_Contig1172	TraesCS6D02G076500	1363	1.69654714475432	1.06294820717131e-149	1	97.4543844460748
Ae_caudata_Tr139_CAU6_Contig1175_simExt	TraesCS4D02G061300	3211	1.77314634463057	7.62368523568368e-22	0.899719713484896	98.6681001499942
Ae_caudata_Tr139_CAU6_Contig1176_simExt	TraesCS3D02G158200	995	1.77012072434608	0	0.998994974874372	98.642
Ae_caudata_Tr139_CAU6_Contig1177	TraesCS3D02G346600	255	1.59710144927536	2.975e-18	1	95.5932588235294
Ae_caudata_Tr139_CAU6_Contig1181_simExt	TraesCS6D02G049100	1971	1.90380749261059	0	1	98.224
Ae_caudata_Tr139_CAU6_Contig1191_simExt	TraesCS2D02G215300	6040	1.79072532699168	0	0.974172185430464	99.0659578518015
Ae_caudata_Tr139_CAU6_Contig1195_simExt	TraesCS5D02G320100	453	1.27457927664557	0	1	98.896
Ae_caudata_Tr139_CAU6_Contig1198_simExt	TraesCS7D02G174600	1140	1.84634006317595	0	0.996491228070175	95.53
Ae_caudata_Tr139_CAU6_Contig1205_simExt	TraesCS5D02G359600	697	1.45238251652301	0	0.995695839311334	94.143
Ae_caudata_Tr139_CAU6_Contig121_simExt	TraesCS2D02G467300	1886	1.79877927577181	0	0.950159066808059	96.659
Ae_caudata_Tr139_CAU6_Contig1215_simExt	TraesCS3D02G312800	1703	1.89627307369617	0	1	96.948
Ae_caudata_Tr139_CAU6_Contig1216_simExt	TraesCS7D02G509300	1523	1.9465365096474	0	0.984241628365069	97.145
Ae_caudata_Tr139_CAU6_Contig1228_simExt	TraesCS3D02G314200	587	1.38614353550008	0	0.911413969335605	97.944
Ae_caudata_Tr139_CAU6_Contig1229	TraesCS1D02G349700	706	1.67047308319739	1.63621533442088e-22	0.86685552407932	96.9008137254902
Ae_caudata_Tr139_CAU6_Contig123	TraesCS3D02G195600	777	1.81146025878004	8.79001848428836e-24	1	99.1465800698658
Ae_caudata_Tr139_CAU6_Contig1230_simExt	TraesCS3D02G374400	1892	1.91757669226167	0	1	97.992
Ae_caudata_Tr139_CAU6_Contig1236_simExt	TraesCS7D02G287000	2220	1.84161585079326	0	0.936036036036036	99.376
