Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_speltoides_Tr290_SPE10_100017_simExt	TraesCS6D02G272400	2100	1.77562077111309	0	1	95.154
Ae_speltoides_Tr290_SPE10_100052_simExt	TraesCS5D02G477500	700	1.41504662326157	0	1	93.172
Ae_speltoides_Tr290_SPE10_1001_simExt	TraesCS3D02G524400	1218	1.93574752752548	0	1	95.656
Ae_speltoides_Tr290_SPE10_100113_simExt	TraesCS1D02G125400	816	1.75436193024501	0	1	96.573
Ae_speltoides_Tr290_SPE10_100120	TraesCS5D02G243000	255	0.695269964952775	2.35e-115	1	96.078
Ae_speltoides_Tr290_SPE10_10013_simExt	TraesCS3D02G001300	299	0.834816938608686	5.79e-142	1	96.99
Ae_speltoides_Tr290_SPE10_100131_simExt	TraesCS3D02G312500	498	1.64574898785425	0	0.991967871485944	96.356
Ae_speltoides_Tr290_SPE10_10014_simExt	TraesCS5D02G189900	479	1.80167014613779	0	1	99.165
Ae_speltoides_Tr290_SPE10_100173_simExt	TraesCS7D02G438200	1011	1.7615964310979	0	1	94.227
Ae_speltoides_Tr290_SPE10_100211_simExt	TraesCS2D02G233800	1727	2.01828795245629	0	1	97.177
Ae_speltoides_Tr290_SPE10_10023_simExt	TraesCS7D02G490100	1022	2.00446040202414	0	0.998043052837573	97.849
Ae_speltoides_Tr290_SPE10_100264_simExt	TraesCS5D02G259600	258	0.763552402119379	1.4e-127	1	98.45
Ae_speltoides_Tr290_SPE10_10027_simExt	TraesCS3D02G337800	2848	1.59669467890866	0	1	96.412
Ae_speltoides_Tr290_SPE10_100306_simExt	TraesCS4D02G027000	730	1.48119233498935	4.19403832505323e-53	0.998630136986301	93.4778449931413
Ae_speltoides_Tr290_SPE10_100311	TraesCS5D02G195700	284	0.823574639218279	3.3e-139	0.992957746478873	98.227
Ae_speltoides_Tr290_SPE10_100315_simExt	TraesCS3D02G298900	1480	2.00095328398329	0	1	96.433
Ae_speltoides_Tr290_SPE10_100335_simExt	TraesCS7D02G419400	638	1.47450901960277	0	0.940438871473354	97.167
Ae_speltoides_Tr290_SPE10_10035_simExt	TraesCS4D02G059700	688	1.34470378713319	0	0.982558139534884	92.251
Ae_speltoides_Tr290_SPE10_100368_simExt	TraesCS3D02G092000	956	1.61845028587619	0	0.98744769874477	92.812
Ae_speltoides_Tr290_SPE10_100392_simExt	TraesCS1D02G121400	830	1.68231046931408	0	1	97.172
Ae_speltoides_Tr290_SPE10_100430_simExt	TraesCS2D02G372500	950	1.81806463370695	0	0.998947368421053	95.89
Ae_speltoides_Tr290_SPE10_100438	TraesCS3D02G307700	268	1.53903345724907	2.48e-115	1	94.796
Ae_speltoides_Tr290_SPE10_100447	TraesCS6D02G184700	351	0.98638370050611	1.83e-172	1	97.721
Ae_speltoides_Tr290_SPE10_100458_simExt	TraesCS4D02G362500	540	0.917049120757654	6.25e-169	0.827777777777778	90.604
Ae_speltoides_Tr290_SPE10_100463_simExt	TraesCS5D02G426100	314	0.76201180095199	1.04e-129	1	92.945
Ae_speltoides_Tr290_SPE10_10048_simExt	TraesCS6D02G291400	309	0.862165932324961	1.66e-147	1	97.087
Ae_speltoides_Tr290_SPE10_100480_simExt	TraesCS4D02G242500	1876	1.85766890130236	0	0.967484008528785	95.647
Ae_speltoides_Tr290_SPE10_100508_simExt	TraesCS7D02G172200	1733	1.95830212184204	0	1	96.275
Ae_speltoides_Tr290_SPE10_100529_simExt	TraesCS2D02G114900	1873	1.63007114016535	3.00836377619688e-79	1	96.2344608026339
Ae_speltoides_Tr290_SPE10_100535_simExt	TraesCS7D02G070100	2001	1.64516129032258	2.71491351098644e-27	1	96.860652173913
Ae_speltoides_Tr290_SPE10_100544_simExt	TraesCS3D02G105300	1909	1.93553187571776	0	0.988999476165532	96.721
Ae_speltoides_Tr290_SPE10_100556_simExt	TraesCS3D02G109600	1999	1.95169211583603	0	0.977488744372186	97.646
Ae_speltoides_Tr290_SPE10_100564_simExt	TraesCS5D02G219500	859	1.62071085642074	0	0.993015133876601	93.757
Ae_speltoides_Tr290_SPE10_100577_simExt	TraesCS5D02G069200	681	1.70653459905976	0	1	98.827
Ae_speltoides_Tr290_SPE10_100603_simExt	TraesCS5D02G466200	718	1.50289722787919	0	0.913649025069638	96.189
