#	Marey	map	built	with	the	Hv_IBSC_PGSB_v21	version	of	the	Hordeum	genome	and	the	SNPJHutton	2012	genetic	map
#	Invalid	markers	checked	by	eye												
set	map	mkr	phys	gen	vld												
Hordeum	1H	11_10002	458109745	61.5	TRUE												
Hordeum	1H	11_10006	480448307	71	TRUE												
Hordeum	1H	11_10030	13590934	21.3	TRUE												
Hordeum	1H	11_10043	456852946	60.8	TRUE												
Hordeum	1H	11_10075	355336510	48.4	TRUE												
Hordeum	1H	11_10111	520009568	97.9	TRUE												
Hordeum	1H	11_10259	61118929	46.3	TRUE												
Hordeum	1H	11_10275	36687000	42.8	TRUE												
Hordeum	1H	11_10357	517540377	95.9	TRUE												
Hordeum	1H	11_10396	511924294	90.3	TRUE												
Hordeum	1H	11_10419	4153868	5	TRUE												
Hordeum	1H	11_10433	508780596	87	TRUE												
Hordeum	1H	11_10443	558025045	133	TRUE												
Hordeum	1H	11_10470	92433217	47.7	TRUE												
Hordeum	1H	11_10520	376489575	49.1	TRUE												
Hordeum	1H	11_10526	64113901	46.5	TRUE												
Hordeum	1H	11_10586	538423095	117.5	TRUE												
Hordeum	1H	11_10590	555618219	132.5	TRUE												
Hordeum	1H	11_10597	37124491	43.1	TRUE												
Hordeum	1H	11_10617	434823728	57.3	TRUE												
Hordeum	1H	11_10644	541351026	119.7	TRUE												
Hordeum	1H	11_10686	476365128	67.9	TRUE												
Hordeum	1H	11_10722	539492243	118.6	TRUE												
Hordeum	1H	11_10757	18359684	28.1	TRUE												
Hordeum	1H	11_10760	23815813	35.7	TRUE												
Hordeum	1H	11_10764	34087686	41.5	TRUE												
Hordeum	1H	11_10768	406535168	52.3	TRUE												
Hordeum	1H	11_10798	435096952	57.3	TRUE												
Hordeum	1H	11_10854	533708596	111.8	TRUE												
Hordeum	1H	11_10933	381326003	50.6	TRUE												
Hordeum	1H	11_10957	76992307	47.5	TRUE												
Hordeum	1H	11_10985	116969279	47.8	TRUE												
Hordeum	1H	11_11049	435402973	57.3	TRUE												
Hordeum	1H	11_11064	80487274	47.7	TRUE												
Hordeum	1H	11_11277	513140982	92.1	TRUE												
Hordeum	1H	11_11287	322116949	48.1	TRUE												
Hordeum	1H	11_11326	379650858	49.6	TRUE												
Hordeum	1H	11_11367	461403045	61.8	TRUE												
Hordeum	1H	11_11478	88883038	47.7	TRUE												
Hordeum	1H	11_11481	540810107	119.4	TRUE												
Hordeum	1H	11_11509	554277483	130.8	TRUE												
