poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.03 1A 1205949 1210945.42857143 1.281724179666e-06 3712 0.00134048002640086 0.149303315325278
0.07 1A 3066359.5 3068627.5 1.23270145179415e-06 267 0 Inf
0.08 1A 3382062.5 3387753.5 1.22406224215697e-06 1515 0.00053728396039604 0
0.09 1A 4045713 4048684 1.19607758843423e-06 177 0.00903955 0
0.12 1A 5496281 5501427 1.15642263114012e-06 460 0.0267558871304348 0.112199178841752
0.13 1A 6336481 6345966 1.13263550534582e-06 88 0.0164103 0
0.14 1A 6678979.5 6684971.5 1.12284653739583e-06 286 0.0169248055944056 0.165838026793296
0.15 1A 7450477.5 7458712.5 1.10030359054488e-06 2282 0.0271271445705521 0.07292093299219
0.16 1A 8037598.5 8039873.5 1.08294836541722e-06 167 0.0185628556886228 0
0.17 1A 9104841 9110639 1.05050385683924e-06 408 0.0265871 0.0416514023718269
0.18 1A 9610864.5 9614276 1.034852939624e-06 717 0.0278256786610879 0.104466458933842
0.19 1A 10062443.6666667 10066600.6666667 1.02160377026859e-06 1440 0.0288466618055556 0.0278541393425722
0.2 1A 11564200 11572148 9.80895544252246e-07 793 0.00898129 0.354128415851175
0.21 1A 12112547.8333333 12116760.3333333 9.66477853708551e-07 1846 0.0303164875947996 0.0688546078805496
0.22 1A 13553058.5 13556972.5 9.28736223428297e-07 1706 0.0174041776670574 0.0308048864216216
0.23 1A 14875947.9 14880136.1 8.90474956754396e-07 2465 0.00184597312373225 0.0507886158649701
0.24 1A 16931434 16934477 8.31349589658753e-07 177 0 Inf
0.25 1A 18460513 18462491 7.90012496529181e-07 63 0 Inf
0.26 1A 19912616.5 19915713 7.52694120028994e-07 339 0 Inf
0.27 1A 20501222 20505834.3333333 7.38168214094091e-07 2098 0 NA
0.28 1A 21760904.8 21768164.8 7.08024633342341e-07 1881 0.00304358851674641 0.239541109591458
0.29 1A 23234750.5 23237379 6.74561935036468e-07 987 0 NA
0.3 1A 24409602.3333333 24412719.6666667 6.43139171862687e-07 871 0.00185927956371986 0
0.31 1A 25595318.3333333 25600160 6.07592066157176e-07 985 0.0089734805786802 0.128821171910752
0.32 1A 27837622 27842753 5.33773432195622e-07 3299 0.00229041763867839 0.0923767334894874
0.33 1A 30210080.75 30216107.25 4.69875701118892e-07 1839 0.000868412685154976 0.46715337066247
0.34 1A 32626661.6666667 32629850.8333333 4.33259714506521e-07 1778 0.000481671392575928 0.807762279427707
0.35 1A 36797713.5833333 36801838.5833333 3.18526726999719e-07 5057 0.00245392965532925 0.202527135608064
0.36 1A 41263787.875 41270097.125 2.27132239694016e-07 2140 0.00660237448598131 0.117619901177723
0.37 1A 45611271.5714286 45616504.1428571 2.23757350113373e-07 1978 0.00192662758341759 0.0599032502651836
0.38 1A 49171536.0625 49177811.8125 2.23272964774877e-07 7230 0.000458763756293223 0.512176609250375
0.39 1A 53767730.125 53773191.125 1.75824284983383e-07 1679 0 NA
0.4 1A 58835846 58841241.3333333 1.49542713831845e-07 5359 0.000615076663556634 0.251998532344486
0.41 1A 65144519.5 65148756.8636364 1.28703820606333e-07 5652 0.00040921999646143 0.561081409680618
0.42 1A 79862759.8 79869334.1666667 5.05782943890972e-08 13705 0.00058613290529004 0.160947590846437
0.43 1A 150443073.583333 150451078.697917 5.74844701813987e-09 73808 0.000361093416675699 0.249761045431171
0.44 1A 281785689.361345 281791783.226891 1.16064825073222e-08 42155 8.91870663029297e-05 0.428572844155136
0.45 1A 329108537.574713 329114370.574713 3.03495653837634e-08 29789 0.00040781381231327 0.314228769894562
0.46 1A 354647222.042553 354652075.829787 2.40165801646062e-08 15122 0.000311966647930168 0.256229528968436
0.47 1A 368127044.911765 368132338.823529 1.51653696102485e-08 13271 0.000111877195388441 0.305347328058515
0.48 1A 378584268.28125 378590209.71875 1.41228289792535e-08 12611 0.000374630861311553 0.272762005629096
0.49 1A 394484892.052632 394490969.736842 2.212659017304e-08 23938 0.000329071453671986 0.320183791546637
0.5 1A 426265369.796875 426271190.015625 7.25323081292319e-08 25086 0.000248575260623455 0.208305705287787
0.51 1A 447327756.377049 447333313.491803 1.3042501074196e-07 19995 0.00122934087221805 0.186633544199209
0.52 1A 459370662.892857 459375132.178571 1.83608107122199e-07 8674 0.00100953965068019 0.159082612771133
0.53 1A 464583288.555556 464586989.481481 2.09456489515425e-07 6708 0.00158050714818128 0.0872078260358138
0.54 1A 470573901.142857 470578009.714286 2.40148433896107e-07 3186 0.00133930798493409 0.162362929067349
0.55 1A 473789288.5 473794287.833333 2.5702733970768e-07 2675 0.00120622962242991 0.425048784747433
0.56 1A 478475948.538462 478479678.153846 2.83108859129973e-07 2242 0.00036347914808207 0
0.57 1A 481866491.24 481870205.84 3.03672763641931e-07 6182 0 Inf
0.58 1A 485802097.933333 485807782.733333 3.28961181322972e-07 7067 0 NA
0.59 1A 487843305.666667 487849164.333333 3.42654562040759e-07 1098 0 Inf
0.6 1A 490979934.333333 490989243 3.6492905788719e-07 1323 0 Inf
0.61 1A 493490416.5 493494888.5 3.79286942689183e-07 2738 0.000568426092037984 0.145231917018391
