poscM Chromosome Start End GenDens
0 1A 1204425 1299730 95305
0.01 1A 2487165 2522100 34935
0.03 1A 10834042 10873835 39793
0.04 1A 10094918 10153924 59006
0.05 1A 11068824 11082376 13552
0.06 1A 22567638 22640600 72962
0.07 1A 42192389 42232431 40042
0.08 1A 49538062 49584729 46667
0.09 1A 51965011 51977556 12545
0.1 1A 18211048 18226946 15898
0.11 1A 30156055 30169576 13521
0.12 1A 39027951 39057048 29097
0.13 1A 69019698 69058950 39252
0.14 1A 115237947 115276871 38924
0.15 1A 126646377 126703592 57215
0.16 1A 162939495 162983768 44273
0.17 1A 107178891 107215368 36477
0.18 1A 228248048 228311636 63588
0.19 1A 276086770 276175283 88513
0.2 1A 147195931 147236299 40368
0.21 1A 325993076 326087155 94079
0.22 1A 476813680 476959862 146182
0.23 1A 632269212 632393267 124055
0.24 1A 137522342 137539516 17174
0.25 1A 110125513 110141057 15544
0.26 1A 97768964 97783835 14871
0.27 1A 538205196 538275221 70025
0.28 1A 413292645 413366456 73811
0.29 1A 501643738 501681873 38135
0.3 1A 339889052 339925034 35982
0.31 1A 230522323 230553776 31453
0.32 1A 501582998 501649378 66380
0.33 1A 664209261 664272743 63482
0.34 1A 1161854241 1161937553 83312
0.35 1A 1876067323 1876199906 132583
0.36 1A 1952301324 1952466791 165467
0.37 1A 828269922 828351039 81117
0.38 1A 2122245329 2122406837 161508
0.39 1A 1548541957 1548652310 110353
0.4 1A 3575880548 3576056378 175830
0.41 1A 3704444770 3704600405 155635
0.42 1A 7948538693 7948932536 393843
0.43 1A 69818660798 69821145272 2484474
0.44 1A 78284275919 78285390768 1114849
0.45 1A 61074188769 61075003122 814353
0.46 1A 30893614494 30893967314 352820
0.47 1A 33498128027 33498401120 273093
0.48 1A 24221768601 24221984956 216355
0.49 1A 58571866065 58572456877 590812
0.5 1A 63109435420 63110035940 600520
0.51 1A 56762032892 56762552626 519734
0.52 1A 28493389649 28493573236 183587
0.53 1A 29748490663 29748659125 168462
0.54 1A 14580881071 14580953570 72499
0.55 1A 9007876626 9007945827 69201
0.56 1A 9562012350 9562105098 92748
0.57 1A 26988850300 26989020540 170240
0.58 1A 17499132211 17499228859 96648
0.59 1A 17578900744 17579001219 100475
0.6 1A 11291383595 11291452150 68555
0.61 1A 10356198875 10356255202 56327
0.62 1A 12379606948 12379655760 48812
0.63 1A 10927265413 10927327203 61790
0.64 1A 17440947866 17441044102 96236
0.65 1A 13506110424 13506186083 75659
0.66 1A 6536820437 6536850659 30222
0.67 1A 28369346734 28369529653 182919
0.68 1A 19400998049 19401067352 69303
0.69 1A 15928943607 15929040051 96444
0.7 1A 20670007931 20670147521 139590
0.71 1A 8297273961 8297354454 80493
0.72 1A 9887548958 9887606521 57563
0.73 1A 10952005125 10952058666 53541
0.74 1A 8885746874 8885798549 51675
0.75 1A 26959609686 26959754003 144317
0.76 1A 34608692042 34608926304 234262
0.77 1A 12825417590 12825511058 93468
0.78 1A 10722490593 10722534706 44113
0.79 1A 14508513989 14508588850 74861
0.8 1A 3773508323 3773526950 18627
0.81 1A 16743062431 16743180301 117870
0.82 1A 11372978494 11373025953 47459
0.83 1A 6511881626 6511937102 55476
0.84 1A 20139434444 20139555419 120975
0.85 1A 20764650898 20764762631 111733
0.86 1A 42872850128 42873076929 226801
0.87 1A 18203387776 18203478491 90715
0.88 1A 3868356013 3868375058 19045
0.89 1A 2213840799 2213851229 10430
0.9 1A 13856592583 13856640441 47858
0.91 1A 1664847283 1664856136 8853
0.92 1A 7223639415 7223679188 39773
0.93 1A 2224868729 2224883923 15194
0.94 1A 1670037524 1670046941 9417
0.95 1A 6127501633 6127532129 30496
0.96 1A 3344938127 3345007301 69174
0.97 1A 557872303 557873519 1216
0.98 1A 5579933581 5579973597 40016
0.99 1A 1674839092 1674846801 7709
1 1A 3909818353 3909846520 28167
1.01 1A 558704272 558705248 976
1.02 1A 1676974612 1676981148 6536
1.03 1A 559349304 559350846 1542
1.04 1A 559590468 559590776 308
1.05 1A 5038595497 5038600857 5360
1.06 1A 3361506797 3361518358 11561
1.07 1A 2802206870 2802224508 17638
1.08 1A 3365276279 3365293374 17095
1.09 1A 2807041345 2807056885 15540
1.1 1A 2248159377 2248174489 15112
1.11 1A 2813231488 2813244987 13499
1.12 1A 6757777767 6757799773 22006
1.13 1A 8456165382 8456203673 38291
1.14 1A 9593872328 9593927806 55478
1.15 1A 3389916663 3389928565 11902
1.16 1A 4527173760 4527204431 30671
1.17 1A 6798666915 6798714780 47865
1.18 1A 13070718025 13070781322 63297
1.19 1A 19958037836 19958122058 84222
1.2 1A 15449290991 15449355894 64903
1.21 1A 17214332280 17214444505 112225
1.22 1A 18987862424 18987946226 83802
1.23 1A 8072243177 8072292423 49246
1.24 1A 9820057032 9820111413 54381
1.25 1A 4625840393 4625863213 22820
1.26 1A 5210114843 5210125353 10510
1.27 1A 4636943180 4636967933 24753
1.28 1A 7547720976 7547760911 39935
1.29 1A 13964054851 13964118995 64144
1.3 1A 18076005130 18076128874 123744
1.31 1A 19296121522 19296247948 126426
1.32 1A 19367954810 19368058336 103526
1.33 1A 42549045897 42549289379 243482
0 2A 112277981 112512662 234681
0.01 2A 251182584 251455648 273064
0.02 2A 152103380 152162777 59397
0.03 2A 113855548 113902587 47039
0.04 2A 352721203 352797903 76700
0.05 2A 4801016323 4802066345 1050022
0.06 2A 413816666 413906524 89858
0.07 2A 1009485937 1009599508 113571
0.08 2A 227722787 227750165 27378
0.09 2A 26371659 26374700 3041
0.1 2A 326124790 326183486 58696
0.11 2A 693377313 693424080 46767
0.12 2A 287008049 287038999 30950
0.13 2A 294479254 294526104 46850
0.14 2A 1113350008 1113451446 101438
0.15 2A 400452629 400508685 56056
0.16 2A 380169952 380285161 115209
0.17 2A 873335125 873432790 97665
0.18 2A 467082434 467119052 36618
0.19 2A 342183140 342224298 41158
0.2 2A 353938099 353957032 18933
0.21 2A 971702752 971764600 61848
0.22 2A 701709119 701769014 59895
0.23 2A 535561015 535601098 40083
0.24 2A 584327956 584372899 44943
0.25 2A 316202199 316214124 11925
0.26 2A 283253946 283275336 21390
0.27 2A 412006238 412024331 18093
0.28 2A 719285517 719330449 44932
0.29 2A 967141315 967209013 67698
0.3 2A 1387504612 1387583098 78486
0.31 2A 598552797 598597701 44904
0.32 2A 873258611 873326303 67692
