Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_tauschii_Tr294_TAU12_Contig1_simExt	TraesCS6B02G199500	2391	1.85664239783767	0	1	97.747
Ae_tauschii_Tr294_TAU12_Contig1006_simExt	TraesCS5B02G124400	2793	1.72466499162479	1.64159233668342e-25	0.984604368063015	97.8412221818182
Ae_tauschii_Tr294_TAU12_Contig1013_simExt	TraesCS3B02G376400	807	1.449203187251	8.32778884462151e-47	0.838909541511772	92.670157065485
Ae_tauschii_Tr294_TAU12_Contig1027_simExt	TraesCS5B02G211400	907	1.72	0	0.909592061742007	97.697
Ae_tauschii_Tr294_TAU12_Contig1029_simExt	TraesCS7B02G237700	1163	1.62100456621005	0	0.941530524505589	95.9362849315068
Ae_tauschii_Tr294_TAU12_Contig1030_simExt	TraesCS1B02G128600	896	1.79242689044702	0	0.922991071428571	96.493
Ae_tauschii_Tr294_TAU12_Contig1035_simExt	TraesCS2B02G184500	1334	1.75745011661052	2.19243327286862e-24	1	98.4314692653673
Ae_tauschii_Tr294_TAU12_Contig104_simExt	TraesCS2B02G407400	880	1.71554714601072	1.21684011352886e-22	1	97.7559104166667
Ae_tauschii_Tr294_TAU12_Contig1041_simExt	TraesCS6B02G235200	1470	1.74864130434783	1.39020380434783e-153	1	98.2334176870748
Ae_tauschii_Tr294_TAU12_Contig1043	TraesCS2B02G253000	255	1.41346153846154	3.26e-79	0.815686274509804	92.308
Ae_tauschii_Tr294_TAU12_Contig1044	TraesCS1B02G274700	382	1.28212290502793	1.69e-128	0.926701570680628	90.782
Ae_tauschii_Tr294_TAU12_Contig1048_simExt	TraesCS1B02G147600	549	1.53684790527638	0	0.992714025500911	98.899
Ae_tauschii_Tr294_TAU12_Contig1049_simExt	TraesCS1B02G241300	1284	2.07545704944476	0	1	96.734
Ae_tauschii_Tr294_TAU12_Contig105_simExt	TraesCS2B02G300500	884	1.84336106481129	0	0.91289592760181	97.77
Ae_tauschii_Tr294_TAU12_Contig1051_simExt	TraesCS7B02G226100	674	1.32700475639726	0	0.954005934718101	91.642
Ae_tauschii_Tr294_TAU12_Contig1052	TraesCS2B02G312000	279	0.697551734199502	2.67e-110	1	91.892
Ae_tauschii_Tr294_TAU12_Contig1054_simExt	TraesCS3B02G212900	3725	1.75687154905649	1.82677022025363e-79	0.888322147651007	98.4156785735872
