poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.02 1B 1372074.875 1377323.125 NA 3523 0.00921880353250071 0.0420014100230547
0.06 1B 4307058.25 4312010.75 7.68883329190219e-07 2105 0 NA
0.07 1B 4475908 4479190 7.67437826550965e-07 269 0 NA
0.09 1B 6473815 6477799 7.49121041341185e-07 314 0.00720721 0.102777773923613
0.12 1B 8662571.33333333 8671397.66666667 7.26637504832272e-07 2047 0.00419190984855887 0.284739855510593
0.13 1B 9779022 9784277 7.14292421815624e-07 663 0.00101827352941176 0
0.14 1B 10153833.5 10156831 7.10001034062584e-07 688 0.0144837672238372 0.114516015641548
0.15 1B 11804436.6666667 11808489.6666667 6.90174550159893e-07 777 0.0409105290862291 0.0143955903130682
0.18 1B 14718121.3333333 14725903.6666667 6.56649930742069e-07 1512 0.0141158705026455 0.0541737777774821
0.19 1B 15684565.6666667 15689380 6.46985300046139e-07 933 0.00922417665594855 0.0795864031211088
0.2 1B 17653800.9 17659306.2 6.28043916676549e-07 1797 0.00880931815247635 0.0840602657451164
0.21 1B 18494849.5 18497442.5 6.20068937058435e-07 609 0 Inf
0.22 1B 20587001.5 20592123.5 6.00457444050231e-07 576 0 NA
0.23 1B 22021104 22025774 5.87244660248546e-07 336 0 Inf
0.25 1B 25610477.8 25612767 5.46168778070551e-07 645 0.0290911502325581 0.0742488808991748
0.26 1B 26782156 26786443 5.35648187522501e-07 347 0.0438086 0.0373084280255475
0.27 1B 29071572 29076011.8 5.19137584655172e-07 1388 0.0212296818443804 0.088841253958557
0.28 1B 33074362.8333333 33081540.8333333 4.70499864099851e-07 2340 0.000677736538461539 0.144493974570332
0.29 1B 39599545 39603670.4444444 4.06821304706332e-07 3585 0.00251272122733612 0.278679256379943
0.3 1B 42347605 42351160 3.7779501087664e-07 264 0 Inf
0.31 1B 44232886.6666667 44238329.3333333 3.55778593719859e-07 2543 0.00175315563900904 0.156510597903275
0.32 1B 48202985.5 48206999 3.12862050085731e-07 346 0.00151034800578035 0
0.33 1B 51798445.375 51802592 2.78452722961353e-07 2785 0.00308579100179533 0.219085718328702
0.34 1B 55593776 55605247 2.45960662118562e-07 2105 0 NA
0.35 1B 57138480.4 57143394.4 2.34128670387031e-07 1540 0.00302660827922078 0.149132527425716
0.37 1B 59969523 59971717 2.1447198120156e-07 597 0.00120538281407035 0.656203717345285
0.38 1B 62619380.8571429 62623542 1.98461601358435e-07 1651 0.00633327043609933 0.0440197128840943
0.39 1B 68651961.5 68659317.5833333 1.70191502118486e-07 6202 0.00114027552079974 0.388795716104063
0.4 1B 74140753.75 74145388.5 1.47052174092804e-07 2077 0.00241090875300915 0.14835777776789
0.41 1B 95237894.96 95243518.48 8.38357765495867e-08 8386 0.00159037779513475 0.120274331587792
0.42 1B 115999106.025 116004589.775 8.94404456969508e-09 15961 0.000852641209197419 0.220005885602372
0.43 1B 204794152.203883 204802170.393204 5.27382359356723e-09 75821 4.3921289036019e-05 0.999354682794481
0.44 1B 320924746.18 320931033 2.61550879596165e-08 38542 0.00016866539896736 0.478708173115869
0.45 1B 360850372.217391 360856243.84058 3.15797051723294e-08 23213 0.00110315280144746 0.253423355227782
0.46 1B 388086957.728814 388091684 3.52805754809117e-08 19511 0.000425690839218902 0.299028793249157
0.47 1B 410960909.728814 410966799.288136 4.9682123453375e-08 22235 0.000244462868900382 0.252055046612069
0.48 1B 428418526.16129 428425236.451613 6.60012913423535e-08 13751 0.000352692075194531 0.18730423921169
0.49 1B 443345425.358974 443351392.282051 7.56023461842063e-08 14220 0.000877535978199719 0.294712437854446
0.5 1B 455373617.5 455379785.416667 8.07114388700453e-08 13085 0.0015615531738632 0.224832898653158
0.51 1B 467047453.904762 467053208.047619 8.52656578846956e-08 7810 0.0017221143021767 0.153303984329717
0.52 1B 475588479.818182 475593922.636364 9.26414427663595e-08 7203 0.000443618740802443 0.496822066358379
0.53 1B 482739146.277778 482744229.888889 1.01879651151179e-07 6009 0.000677434406723248 0.11027714313793
0.54 1B 490028721.037037 490032379.62963 1.14250409858662e-07 7135 0.0028541015697267 0.0453322542042753
0.55 1B 500884159.3125 500888675.375 1.37387155598975e-07 4538 0.00227637225650066 0.199056723256822
0.56 1B 510442665.473684 510446302.315789 1.59616391559826e-07 3932 0.00320715065106816 0.0731009721318025
0.57 1B 519692553.470588 519698143.235294 1.89158912662637e-07 7588 0.000439854260411176 0.682355928114648
0.58 1B 526557244 526565115 2.02022454118501e-07 380 0.00412371 0
0.59 1B 530795978 530800190.454545 2.11696254290657e-07 3972 0.00252512865055388 0.114004770179618
0.6 1B 535877180.666667 535881911.444444 2.35785445612535e-07 2544 0 Inf
0.61 1B 540570126.875 540574584.875 2.54763595034738e-07 2097 0.00898932618025751 0.0854716023353506
0.62 1B 542884786.444444 542888705 2.61385597676465e-07 1437 0 Inf
0.63 1B 545311631.333333 545315590.666667 2.6635185845973e-07 1346 0.00122092233283804 0.417633622733248
0.64 1B 547926532.333333 547932423.666667 2.69666120875957e-07 1916 0.000849216576200417 0.277985136196019
0.65 1B 551481030.5 551485835 2.70447777927025e-07 3355 0.0052785877466468 0.0907565593845451
0.66 1B 554643001.166667 554646559.166667 2.67561648092534e-07 2067 0.000380654281567489 0.866364142202131
0.67 1B 559076307.25 559080706 2.58051552886484e-07 950 0.00413840955789474 0.0585841736586993
0.68 1B 562876924 562884058.428571 2.59396825866781e-07 2368 0.00100581303209459 0.191855225900809
0.69 1B 566451771.428571 566459071 2.73313582173363e-07 3290 0 Inf
0.7 1B 569662984 569670356.181818 2.63173006130062e-07 4511 0.00359125125471071 0.0414452061327064
0.71 1B 573501121.142857 573506097.285714 2.24041919518344e-07 4499 0.0013627601378084 0.148229743830863
0.72 1B 576529948.7 576535489.3 1.90723300996105e-07 1697 0.00373796550383029 0.0582753846984907
0.73 1B 582792453.380952 582797816.952381 1.83183476459332e-07 8692 0.00256641119075012 0.159761088473975
0.74 1B 588128284.3 588132632.8 2.24172311676559e-07 2685 0.00467382270391061 0.145921961473992
0.75 1B 592595577.454545 592599452.818182 2.26312082769984e-07 2783 0.00379245528206971 0.260112331128002
0.76 1B 598376150.428571 598380426.571429 2.35899349627991e-07 4369 0.00261097665598535 0.300042331190264
0.77 1B 604556267.142857 604560670 3.08235848079411e-07 2149 0.00412452563052583 0.156637009450504
0.78 1B 607175290.4 607180119.4 3.39825654344498e-07 1161 0.0108089179931094 0.0825341718917607
0.79 1B 610212344.5 610218355.25 3.69069294977813e-07 1797 0.000881926188091263 0.146127121860599
0.8 1B 613254064.333333 613258058.666667 3.95441386528275e-07 775 0 Inf
0.81 1B 614844889.428571 614849205.285714 4.08240351851559e-07 1450 0.00051008324137931 0.619877410137385
0.82 1B 616615780 616619878 4.21703508884683e-07 392 0 NA
0.83 1B 617817049 617823421 4.30355134876028e-07 667 0.00242241 0.282144228268543
0.84 1B 619416561 619420464 4.41251542446307e-07 248 0.00349345 0
0.85 1B 622146408.2 622151074.6 4.58239132610059e-07 1638 0.00242180996336996 0.0584200191225207
0.86 1B 623727376 623731829 4.67207429156021e-07 656 0.00120907 0.28889477036069
0.87 1B 625797217.7 625802142.5 4.77816576210883e-07 3333 0.000462383792379238 1.18793143072258
0.88 1B 627922310.5 627925683.166667 4.87562041808746e-07 1697 0.000934518243959929 0.289107485643941
0.89 1B 630910386.333333 630914077.333333 4.99911593031059e-07 1873 0.00220358363053924 0.328829629057326
0.9 1B 633748373.6 633751867.6 5.11816470045684e-07 968 0.0145392994008264 0.0980090913215718
0.91 1B 637719814.75 637723479 5.46999173627942e-07 1594 0.0111706050188206 0.0129089092292122
0.92 1B 639544972.5 639550970 5.45021920047094e-07 690 0.00386473333333333 0
0.93 1B 640706092 640710608.5 5.66007900939366e-07 1906 0 Inf
0.94 1B 641590668 641593096 5.89409964420086e-07 500 0 Inf
0.95 1B 642637255.4 642642809.6 5.88237840147277e-07 2154 0.000219365320334262 0.483578721342846
0.98 1B 645750521.5 645755287.833333 5.99506182346229e-07 1061 0.00887442337417531 0.0975769505333354
0.99 1B 647227620 647240151 6.1372518545546e-07 1587 0.000496395856332703 0.291438534511879
1 1B 648518875 648524414.5 6.03867660585682e-07 1208 0.000669501564569536 1.12201359173139
1.01 1B 651299838.4 651303019.7 5.48379989811408e-07 2024 0.00293882181818182 0.273265529616127
1.02 1B 655614918.2 655620281.6 5.34914367683827e-07 2016 0.00624061180555556 0.21724306369598
