poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 44458.5 48030 NA 458 0.00505421135371179 0.0735687891908032 0.26035 232957.696349305
0.002 1 269153.5 274154.5 NA 1763 0.009426854356211 0 0.21155 534730.570903011
0.008 1 968286 979886 NA 799 0.00714547 0.134289416931287 0.1264 678367.405063291
0.01 1 1273993 1276221 1.96 182 0.00349063 0.441711095131824 0.1814 230912.679162073
0.013 1 1553661 1558343 1.95 597 0.00728509591289782 0.0377934062786034 0.10015 872902.156313269
0.016 1 1910919 1914393 1.94 170 0.00632644 0.0720294510024595 0.1336 568243.113772455
0.022 1 2477071 2481228 1.93 307 0.00490326 0.112973409527539 0.1787 329262.003357583
0.037 1 3845261 3849085 1.91 180 0.00133432 0 0.1392 115027.586206897
0.04 1 4151373 4159697 1.91 413 0.00403424 0.364532105179662 0.1173 412709.974424552
0.041 1 4163077.5 4166375.5 1.91 290 0.00862855517241379 0.153098616822012 0.2707 382499.675171649
0.042 1 4312493 4363970 1.9 933 0.0220507 0.0703932301468888 0.1362 1942792.95154185
0.044 1 4416074 4418966 1.9 61 0 Inf 0.1984 0
0.046 1 4625638 4630551 1.9 16 0 NA 0.1757 0
0.047 1 4663761 4668944.5 1.9 371 0.0200131228571429 0.143651672552567 0.2554 940319.006600291
0.048 1 4757724 4771550 1.89 643 0.00240697 0.499137920289825 0.1654 174629.020556227
0.051 1 5014845.5 5018981 1.89 403 0.0182143198511166 0 0.2554 855802.029026623
0.057 1 5502121 5508568 1.87 256 0.00823102 0.0794432524766068 0.1798 549345.050055617
0.061 1 5766065 5768777 1.86 87 0.0084743 0.273076242285498 0.2084 487963.531669866
0.068 1 6247444 6254946 1.85 470 0.000338868 1.7895139110214 0.116 35055.3103448276
0.074 1 6686731 6690773 1.83 403 0.0095602 0.0496726009916111 0.1748 656306.636155606
0.079 1 7060150 7073067 1.82 397 0.00282367 0.818105515162891 0.0875 387246.171428571
0.081 1 7217840 7229089 1.81 1170 0.0260165 0.0614325524186574 0.1008 3097202.38095238
0.091 1 7841371 7856406 1.79 196 0.0238957 0.00923844038885657 0.071 4038709.85915493
0.095 1 8048778 8051397 1.78 194 0.0461556 0.0345366542738043 0.2302 2406026.06429192
0.1 1 8342823 8348788 1.77 491 0.00371384425661914 0.237584295493946 0.16055 277584.123820802
0.102 1 8465173 8469506 1.76 157 0.0253705 0.131495634693837 0.1821 1671861.61449753
0.109 1 8912375 8919563 1.74 482 0.0176765 0 0.1927 1100768.03321225
0.11 1 8929487 8937936 1.74 454 0.00851858 0 0.1138 898268.541300527
0.112 1 9050450 9083053 1.74 51 0.005 0 0.5244 114416.47597254
0.115 1 9233447.5 9237410 1.74 214 0.0294875990654206 0.111640404135038 0.09645 3668752.60534004
0.134 1 10236233 10241154 1.71 146 0.00145384 0.756685742585154 0.1244 140241.800643087
0.144 1 10739577 10746629 1.7 348 0.00496174 0 0.2867 207676.595744681
0.168 1 11688713 11691059 1.66 32 0 Inf 0.1759 0
0.187 1 12440825 12445476 1.62 79 0 NA 0.1415 0
0.188 1 12479859 12492827 1.62 181 0 Inf 0.1438 0
0.199 1 12950868 12954667 1.59 175 0.0495392 0.00981015034558491 0.2088 2847080.45977012
0.2 1 12990954 13005515 1.59 737 0.00745143 0.142957794678337 0.0953 938270.304302204
0.211 1 13499647 13518570 1.56 538 0.00260167 0.240450556757775 0.1118 279249.016100179
